Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I. Larie,Ionuț Larie,12097,Farul Constanţa,Farul Constanţa,https://cdn5.wyscout.com/photos/team/public/g40666_120x120.png,Superliga,RCB,RCB,96,,0,,0,38.0,1987-01-16,400000,,14,1409,2,2.75,0,0.31,10.54,56.97,Romania,['Romania'],right,191,85,False,7.15,3.7,63.79,4.79,60.0,0.19,0.29,0.38,4.6,6.95,0.7000000000000001,3,0.19,0,0.0,0.64,0.13,0,0.0,0.18,0,0.0,9,0.5700000000000001,77.78,22.222,0.0,0.19,66.67,0.0,0.0,0.19,66.67,0.0,0.0,0.0,0.77,33.33,0.77,1.28,0.0,32.19,0.51,0.45,51.67,88.13,22.74,79.21,4.22,96.97,42.73,92.68,8.75,66.42,24.93,43.95,0.02,0.19,0.0,0.0,0.06,100.0,0.0,8.5,74.44,0.96,46.67,0.45,42.86,0.51,0.13,12.01,78.19,95.34,21.91,0,,0,,0,0.0,0.0,0.0,,,3.58,,4.79,0.0,0.0,0.0,0.0,3,66.667
A. Buzbuchi,Alexandru Buzbuchi,153682,Farul Constanţa,Farul Constanţa,https://cdn5.wyscout.com/photos/team/public/g40666_120x120.png,Superliga,GK,GK,100,,0,,0,31.0,1993-10-31,500000,,14,1409,0,0.0,0,0.0,0.77,66.67,Romania,['Romania'],right,190,84,False,1.53,0.26,50.0,0.45,85.71,0.0,0.0,0.0,1.4100000000000001,2.12,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.39,0.26,0.19,21.27,84.68,10.09,71.52,0.0,0.0,14.31,99.11,6.9,55.56,29.44,45.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,38.46,0.06,0.0,0.0,0.0,0.0,0.0,5.5600000000000005,57.47,96.91,10.35,17,1.09,62,3.96,2,72.58,16.78,1.07,-0.22,-0.014,0.0,0.89,0.45,,,,0.0,0,0.0
C. Ganea,Cristian Ganea,282315,Farul Constanţa,Farul Constanţa,https://cdn5.wyscout.com/photos/team/public/g40666_120x120.png,Superliga,LB,LB,100,,0,,0,33.0,1992-05-24,400000,,14,1409,0,0.38,1,1.9500000000000002,13.09,52.2,Romania,"['Romania', 'Spain']",left,176,72,False,8.11,4.85,67.11,2.75,51.16,1.15,1.74,0.06,3.7,5.59,0.5700000000000001,1,0.06,0,0.0,1.79,0.0,0,0.0,0.02,0,0.0,13,0.8300000000000001,15.38,0.0,0.06,3.19,26.0,3.19,26.0,0.0,0.0,0.5700000000000001,1.53,50.0,3.96,38.71,1.02,1.85,0.19,31.23,2.04,0.64,46.05,72.82,20.31,63.84,6.39,90.0,31.87,82.97,11.24,56.25,24.24,38.98,0.12,1.28,0.0,0.0,0.13,50.0,0.45,8.94,60.0,4.98,46.15,1.85,51.72,1.72,0.96,13.41,72.38,78.21,14.95,0,,0,,0,0.0,0.0,0.0,,,1.21,,2.75,0.38,0.06,0.0,0.13,0,0.0
K. Boateng,Kennedy Kofi Boateng,435961,Dinamo Bucureşti,Dinamo Bucureşti,https://cdn5.wyscout.com/photos/team/public/479_120x120.png,Superliga,"RCB, LCB",RCB,77,LCB,22,,0,28.0,1996-11-29,400000,2026-06-30,14,1391,2,2.58,0,0.07,16.89,61.3,Togo,"['Togo', 'Ghana']",right,191,78,False,7.7,5.63,60.92,5.89,69.23,0.0,0.0,0.39,4.27,6.85,1.16,2,0.13,0,0.0,0.97,0.13,2,0.13,0.17,1,0.06,17,1.1,35.29,11.765,0.0,0.19,33.33,0.0,0.0,0.19,33.33,0.0,0.84,61.54,3.04,40.43,1.6800000000000002,0.65,0.0,31.38,0.19,1.16,46.2,90.2,18.5,81.47,2.98,95.65,43.61,93.18,2.46,39.47,19.26,31.14,0.0,0.06,0.0,0.06,0.0,0.0,0.06,2.7199999999999998,71.43,0.19,33.33,0.06,0.0,0.13,0.06,6.34,64.29,96.97,19.22,0,,0,,0,0.0,0.0,0.0,,,2.33,,5.89,0.0,0.0,0.0,0.0,0,0.0
R. Sierra,Rober Sierra,417333,Argeș,Argeș,https://cdn5.wyscout.com/photos/team/public/g22423_120x120.png,Superliga,"DMF, LCMF, LDMF",DMF,39,LCMF,18,LDMF,12,29.0,1996-05-21,250000,,14,1388,2,0.8300000000000001,0,0.02,14.72,61.67,Spain,['Spain'],right,181,0,False,10.5,6.1,70.21,4.8,59.46,0.06,0.09,0.19,6.16,8.12,0.65,1,0.06,0,0.0,0.26,0.13,2,0.13,0.05,1,0.06,7,0.45,42.86,28.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,50.0,1.56,33.33,0.39,0.0,0.0,11.02,0.19,0.52,24.57,79.16,10.31,62.89,3.76,96.55,20.55,86.12,4.02,43.55,20.54,34.89,0.0,0.06,0.0,0.0,0.0,0.0,0.0,4.41,60.29,0.13,50.0,0.06,0.0,0.06,0.0,4.67,63.89,91.27,8.17,0,,0,,0,0.0,0.0,0.0,,,0.71,,4.8,0.0,0.0,0.0,0.0,0,0.0
M. Zhelev,Milen Zhelev,202089,Oţelul,Oţelul,https://cdn5.wyscout.com/photos/team/public/596_120x120.png,Superliga,RB,RB,96,,0,,0,32.0,1993-07-15,600000,,14,1380,0,0.41000000000000003,0,0.58,18.91,54.14,Bulgaria,['Bulgaria'],right,180,76,False,9.91,7.89,65.29,2.93,53.33,0.39,0.6000000000000001,0.2,4.37,6.72,1.83,2,0.13,0,0.0,2.41,0.0,0,0.0,0.03,0,0.0,4,0.26,25.0,0.0,0.0,2.35,52.78,0.0,0.0,2.35,52.78,0.26,1.83,60.71,4.96,40.79,0.72,2.35,0.26,21.98,2.8,0.78,32.35,76.61,13.96,67.76,5.61,91.86,26.22,82.84,3.98,47.54,18.65,35.25,0.04,0.72,0.07,0.0,0.13,0.0,0.2,4.89,61.33,2.09,53.13,0.26,0.0,0.2,1.17,7.04,70.37,80.67,7.76,0,,0,,0,0.0,0.0,0.0,,,1.11,,2.93,0.0,0.0,0.0,0.0,0,0.0
C. Căbuz,Cătălin Vasile Căbuz,270589,Hermannstadt,Hermannstadt,https://cdn5.wyscout.com/photos/team/public/g37490_120x120.png,Superliga,GK,GK,100,,0,,0,29.0,1996-06-18,750000,2027-06-30,14,1372,0,0.0,0,0.0,0.79,75.0,Romania,['Romania'],right,187,79,False,1.38,0.13,0.0,0.59,100.0,0.0,0.0,0.0,1.38,1.6400000000000001,0.07,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,0.13,0.0,15.68,83.68,10.1,75.97,0.0,0.0,8.53,98.46,7.15,66.06,34.79,49.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,45.83,0.13,0.0,0.2,33.33,0.0,0.0,5.58,76.47,97.47,5.18,20,1.31,57,3.74,1,64.91,19.22,1.26,-0.78,-0.051000000000000004,0.0,1.77,0.59,,,,0.0,0,0.0
K. Keita,Kader Keita,-132656,Rapid Bucureşti,Rapid Bucureşti,https://cdn5.wyscout.com/photos/team/public/593_120x120.png,Superliga,"LDMF, RDMF, RCMF",LDMF,44,RDMF,25,RCMF,11,24.0,2000-11-06,0,2027-06-30,14,1369,0,0.66,0,0.03,16.76,54.51,Côte d'Ivoire,"[""Côte d'Ivoire"", 'France']",right,178,74,False,7.3,5.79,64.77,3.68,46.43,0.26,0.36,0.53,3.29,4.5,1.38,2,0.13,0,0.0,1.05,0.0,0,0.0,0.04,0,0.0,11,0.72,36.36,0.0,0.0,0.53,12.5,0.2,0.0,0.33,20.0,0.0,1.12,64.71,5.06,45.45,0.39,0.72,0.13,34.51,0.13,0.92,48.98,87.79,13.81,77.62,7.43,96.46,44.18,91.82,4.27,55.38,18.73,39.3,0.0,0.2,0.0,0.07,0.13,0.0,0.0,7.49,73.68,1.05,43.75,0.2,0.0,0.33,0.07,6.77,74.76,91.61,20.38,0,,0,,0,0.0,0.0,0.0,,,0.85,,3.68,0.0,0.0,0.0,0.0,0,0.0
D. Živulić,Diego Živulić,158205,Oţelul,Oţelul,https://cdn5.wyscout.com/photos/team/public/596_120x120.png,Superliga,"RCB, LDMF, RCMF3",RCB,54,LDMF,16,RCMF3,14,33.0,1992-03-23,250000,,14,1363,0,0.36,0,0.22,15.25,53.68,Croatia,['Croatia'],right,187,86,False,8.72,6.27,58.95,4.5600000000000005,53.62,0.07,0.1,0.46,4.95,7.58,1.52,3,0.2,0,0.0,0.33,0.0,0,0.0,0.02,0,0.0,5,0.33,60.0,0.0,0.0,0.07,100.0,0.07,100.0,0.0,0.0,0.0,0.07,100.0,2.05,35.48,0.46,0.13,0.0,24.04,0.13,0.46,45.03,81.09,21.0,66.98,4.5600000000000005,95.65,34.2,89.38,10.76,54.6,22.56,38.15,0.01,0.2,0.0,0.0,0.0,0.0,0.0,8.72,59.09,1.25,42.11,0.4,16.67,0.59,0.07,9.18,76.26,94.89,15.52,0,,0,,0,0.0,0.0,0.0,,,1.19,,4.5600000000000005,0.0,0.0,0.0,0.0,0,0.0
C. Cîrjan,Cătălin Ionut Cîrjan,-134245,Dinamo Bucureşti,Dinamo Bucureşti,https://cdn5.wyscout.com/photos/team/public/479_120x120.png,Superliga,"LCMF3, LCMF",LCMF3,70,LCMF,15,,0,22.0,2002-12-01,350000,2027-06-30,14,1355,2,3.15,3,1.54,14.61,45.45,Romania,['Romania'],,0,0,False,3.7199999999999998,3.99,51.67,1.73,26.92,0.07,0.11,0.07,1.5899999999999999,2.56,1.2,1,0.07,0,0.0,2.66,0.13,2,0.13,0.21,0,0.0,32,2.13,37.5,6.25,0.2,0.66,20.0,0.46,28.57,0.2,0.0,0.2,2.59,64.1,6.97,49.52,2.79,4.32,0.53,39.52,1.0,1.2,50.81,83.01,19.73,75.08,8.3,97.6,45.7,86.77,4.45,53.73,16.15,38.15,0.1,0.93,0.07,0.0,0.2,33.33,0.33,8.77,65.15,3.32,56.0,0.86,38.46,2.32,0.13,7.9,78.99,83.91,11.56,0,,0,,0,0.0,0.0,0.0,,,0.07,,1.73,0.2,0.0,0.0,0.0,0,0.0
