Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Mkhize,Mfanafuthi Mkhize,-320744,Durban City,Durban City,https://cdn5.wyscout.com/photos/team/public/g-23627_120x120.png,PSL,"LCB, LB",LCB,61,LB,28,,0,27.0,1998-05-05,0,,19,1855,1,0.67,0,0.48,14.26,55.1,South Africa,['South Africa'],unknown,0,0,False,6.89,3.3,79.41,6.4,49.24,0.53,0.74,0.34,3.74,5.16,0.73,2,0.1,0,0.0,0.87,0.05,1,0.05,0.03,1,0.05,8,0.39,37.5,12.5,0.0,0.68,35.71,0.63,38.46,0.05,0.0,0.1,0.58,83.33,2.96,47.54,0.63,0.49,0.0,20.91,0.24,0.92,34.06,77.21,17.13,67.99,2.43,90.0,23.34,87.94,10.14,55.02,24.99,39.43,0.02,0.15,0.0,0.05,0.0,0.0,0.05,6.79,60.0,1.07,45.45,0.34,57.14,0.24,0.19,8.78,66.85,86.55,11.55,0,,0,,0,0.0,0.0,0.0,,,1.07,,6.4,0.1,0.0,0.0,0.0,0,0
D. Keet,Darren Keet,88796,Durban City,Durban City,https://cdn5.wyscout.com/photos/team/public/g-23627_120x120.png,PSL,GK,GK,100,,0,,0,36.0,1989-08-05,100000,2026-06-30,19,1855,0,0.0,1,0.18,1.12,91.3,South Africa,['South Africa'],left,183,82,False,2.04,0.05,100.0,0.87,94.44,0.0,0.0,0.0,1.99,2.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,66.67,0.0,0.0,0.0,8.35,0.1,0.29,16.45,81.71,10.72,73.76,0.0,0.0,8.44,97.13,7.96,65.85,39.69,51.74,0.01,0.05,0.0,0.0,0.0,0.0,0.05,2.67,54.55,0.19,0.0,0.1,100.0,0.05,0.0,6.06,82.4,97.25,5.29,13,0.63,50,2.43,11,74.0,13.28,0.64,0.28,0.014,0.0,2.18,0.87,,,,0.0,0,0
S. Chaine,Sipho Chaine,454464,Orlando Pirates,Orlando Pirates,https://cdn5.wyscout.com/photos/team/public/1216_120x120.png,PSL,GK,GK,100,,0,,0,29.0,1996-12-14,700000,,18,1760,0,0.0,0,0.0,0.61,91.67,South Africa,['South Africa'],,178,69,False,1.38,0.05,100.0,0.51,90.0,0.0,0.0,0.0,1.33,2.05,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,18.87,0.2,0.15,26.03,89.19,12.38,80.17,0.0,0.0,19.74,99.22,6.24,58.2,27.78,50.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,55.56,0.2,25.0,0.26,80.0,0.05,0.0,4.19,78.05,97.54,12.48,7,0.36,41,2.1,13,82.93,11.95,0.61,4.95,0.253,0.0,1.28,0.51,,,,0.0,0,0
S. Sikhosana,Sibusiso Sikhosana,458331,Marumo Gallants,Marumo Gallants,https://cdn5.wyscout.com/photos/team/public/g13127_120x120.png,PSL,"LCB, RCB",LCB,51,RCB,46,,0,30.0,1995-10-01,0,,18,1757,0,0.19,0,0.05,12.81,61.6,South Africa,['South Africa'],right,0,0,False,7.22,4.25,67.47,6.2,63.64,0.2,0.29,0.77,4.15,5.94,1.02,1,0.05,0,0.0,0.2,0.0,0,0.0,0.01,0,0.0,2,0.1,0.0,0.0,0.0,0.15,33.33,0.1,50.0,0.05,0.0,0.0,0.2,75.0,0.92,55.56,0.41000000000000003,0.2,0.05,21.36,0.15,0.92,34.06,84.36,13.37,73.18,2.2,90.7,28.94,90.09,4.97,52.58,21.33,36.51,0.0,0.1,0.0,0.0,0.05,0.0,0.0,2.61,47.06,0.72,35.71,0.46,11.11,0.31,0.0,5.17,58.42,93.44,15.62,0,,0,,0,0.0,0.0,0.0,,,1.49,,6.2,0.05,0.0,0.0,0.0,0,0
M. Modise,Gadinkame Malebogo Modise,484453,Chippa United,Chippa United,https://cdn5.wyscout.com/photos/team/public/4100_120x120.png,PSL,LB,LB,78,,0,,0,27.0,1999-02-06,0,2027-06-30,18,1703,0,0.37,1,1.25,10.31,49.74,South Africa,['South Africa'],left,179,70,False,7.03,3.7,61.43,2.59,46.94,0.11,0.13,0.16,4.65,5.91,0.63,0,0.0,0,0.0,1.22,0.0,0,0.0,0.02,0,0.0,10,0.53,20.0,0.0,0.05,2.01,31.58,2.01,31.58,0.0,0.0,0.16,0.79,60.0,2.91,45.45,0.21,1.53,0.11,21.4,0.9,0.85,30.86,72.95,13.63,63.95,4.54,93.02,22.67,84.38,6.24,44.07,22.24,40.08,0.07,0.6900000000000001,0.0,0.0,0.0,0.0,0.11,5.71,55.56,2.59,40.82,0.42,12.5,0.53,0.6900000000000001,8.14,70.78,77.07,8.3,0,,0,,0,0.0,0.0,0.0,,,1.16,,2.59,1.43,0.11,50.0,0.58,0,0
S. Mthethwa,Sandile Mthethwa,484454,AmaZulu,AmaZulu,https://cdn5.wyscout.com/photos/team/public/2873_120x120.png,PSL,"LCB3, RCB3",LCB3,68,RCB3,23,,0,28.0,1997-04-14,300000,,18,1693,0,0.65,1,0.74,10.05,65.61,South Africa,['South Africa'],right,185,76,False,9.41,3.51,77.27,4.41,65.06,0.05,0.06,0.8,6.65,7.04,0.53,2,0.11,0,0.0,0.27,0.0,0,0.0,0.03,0,0.0,4,0.21,25.0,0.0,0.05,0.16,66.67,0.05,100.0,0.11,50.0,0.0,0.11,100.0,1.33,52.0,0.37,0.32,0.0,17.06,0.05,0.37,30.67,80.76,16.27,74.51,1.12,95.24,25.41,85.77,5.1,56.25,22.38,41.13,0.04,0.11,0.05,0.0,0.0,0.0,0.11,3.19,66.67,0.53,30.0,0.48,44.44,0.16,0.11,7.87,52.03,89.67,9.78,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,4.41,0.0,0.0,0.0,0.0,0,0
V. Letlapa,Vuyo  Letlapa,-691669,Sekhukhune United,Sekhukhune United,https://cdn5.wyscout.com/photos/team/public/g-13608_120x120.png,PSL,"LB, LWB",LB,80,LWB,10,,0,22.0,2003-08-08,0,,19,1664,0,0.78,1,0.9400000000000001,16.5,51.15,South Africa,['South Africa'],,0,0,False,7.79,5.25,70.1,3.03,57.14,0.32,0.44,0.16,3.79,5.15,0.76,0,0.0,0,0.0,2.81,0.0,0,0.0,0.04,0,0.0,20,1.08,30.0,0.0,0.05,2.9699999999999998,38.18,2.81,40.38,0.16,0.0,0.11,2.6,52.08,6.27,37.93,1.51,1.62,0.38,23.2,2.22,0.76,32.83,72.65,9.68,58.66,6.17,91.23,25.26,81.58,4.6,45.88,22.27,38.69,0.05,0.49,0.0,0.0,0.05,0.0,0.27,3.68,55.88,2.49,39.13,0.38,14.29,0.16,1.19,7.52,57.55,77.38,11.95,0,,0,,0,0.0,0.0,0.0,,,1.08,,3.03,0.0,0.0,0.0,0.0,0,0
E. Tapé,Eliezer Ira Tapé,-127471,TS Galaxy FC,TS Galaxy FC,https://cdn5.wyscout.com/photos/team/public/g-9524_120x120.png,PSL,GK,GK,100,,0,,0,28.0,1997-08-31,0,,17,1657,0,0.0,0,0.0,1.19,81.82,Côte d'Ivoire,"[""Côte d'Ivoire""]",right,192,85,False,1.9,0.05,100.0,0.81,80.0,0.0,0.0,0.0,1.85,2.64,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,14.07,0.49,0.27,21.4,80.71,12.44,70.31,0.0,0.0,12.38,96.93,8.96,58.18,38.03,53.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,50.7,0.11,0.0,0.16,33.33,0.0,0.0,6.41,75.42,96.25,8.69,19,1.03,75,4.07,4,74.67,20.59,1.12,1.5899999999999999,0.08600000000000001,0.0,2.23,0.81,,,,0.0,0,0
R. Williams,Ronwen Williams,171341,Mamelodi Sundowns,Mamelodi Sundowns,https://cdn5.wyscout.com/photos/team/public/2557_120x120.png,PSL,GK,GK,100,,0,,0,34.0,1992-01-21,1000000,2028-06-30,17,1654,0,0.0,0,0.0,0.87,87.5,South Africa,['South Africa'],right,184,79,False,1.96,0.11,50.0,0.6000000000000001,100.0,0.0,0.0,0.05,1.9,4.23,0.0,0,0.0,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.16,66.67,0.0,0.0,0.0,23.83,0.76,0.22,33.41,93.16,15.73,86.16,0.0,0.0,27.91,98.44,5.5,66.34,25.18,43.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,54.55,0.22,75.0,0.16,33.33,0.22,0.0,4.14,71.05,99.34,16.6,9,0.49,40,2.18,8,77.5,10.84,0.59,1.8399999999999999,0.1,0.0,1.58,0.6000000000000001,,,,0.0,0,0
W. Arubi,Washington Arubi,124925,Marumo Gallants,Marumo Gallants,https://cdn5.wyscout.com/photos/team/public/g13127_120x120.png,PSL,GK,GK,100,,0,,0,40.0,1985-08-29,25000,,17,1653,0,0.0,0,0.0,1.58,82.76,Zimbabwe,['Zimbabwe'],left,180,80,False,1.03,0.05,0.0,0.93,94.12,0.0,0.0,0.0,1.03,1.47,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.44,62.5,0.0,0.0,0.0,11.92,0.16,0.38,21.4,84.73,12.25,73.78,0.0,0.0,13.45,99.19,7.95,60.27,33.89,45.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7199999999999998,54.0,0.11,0.0,0.11,50.0,0.0,0.0,5.99,77.27,99.35,8.38,22,1.2,75,4.08,0,70.67,22.71,1.24,0.71,0.039,0.0,2.18,0.93,,,,0.0,0,0
