Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Smakiqi,Florjan Smakiqi,-78151,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,GK,GK,100,,0,,0,27.0,1998-08-10,200000,,8,770,0,0.0,0,0.0,0.8200000000000001,85.71,Kosovo,['Kosovo'],right,191,0,False,2.81,0.0,0.0,0.23,100.0,0.0,0.0,0.0,2.81,3.17,0.0,1,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.12,13.44,0.23,0.47000000000000003,24.08,83.01,13.21,72.57,0.0,0.0,14.61,98.4,9.47,59.26,31.8,48.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,25.0,0.12,0.0,0.35000000000000003,0.0,0.0,0.0,6.31,70.37,96.34,9.58,10,1.17,40,4.68,2,75.0,10.91,1.28,0.91,0.106,0.0,1.99,0.23,,,,0.0,0,0
Elvis Prençi,Elvis Prençi,211780,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"LCB, CB",LCB,65,CB,29,,0,32.0,1993-06-26,150000,,8,770,0,0.07,0,0.0,9.7,65.06,Albania,['Albania'],,0,0,False,9.7,4.09,74.29,3.16,59.26,0.12,0.13,0.9400000000000001,6.55,7.4,0.58,2,0.23,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200000000000001,28.57,0.47000000000000003,0.0,0.0,23.73,0.35000000000000003,0.47000000000000003,38.57,85.45,13.68,70.09,3.9699999999999998,91.18,31.68,92.62,6.9,52.54,24.6,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,42.5,0.58,0.0,0.7000000000000001,0.0,0.0,0.0,5.73,63.27,95.06,18.94,0,,0,,0,0.0,0.0,0.0,,,3.16,,3.16,0.12,0.0,0.0,0.0,0,0
E. Baholli,Endrit  Baholli,-359768,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"LDMF, LCMF, RCMF",LDMF,37,LCMF,22,RCMF,19,25.0,2000-02-26,0,,8,718,0,0.48,0,0.29,16.55,54.55,Kosovo,['Kosovo'],left,173,0,False,10.78,8.15,67.69,1.5,16.67,0.25,0.28,0.25,5.01,5.66,1.25,2,0.25,0,0.0,2.13,0.0,0,0.0,0.06,0,0.0,9,1.13,11.11,0.0,0.0,1.5,41.67,1.13,44.44,0.38,33.33,0.13,2.13,64.71,5.39,46.51,0.88,0.75,0.13,20.56,0.13,1.0,36.85,80.95,10.4,68.67,7.77,95.16,32.09,85.55,3.38,55.56,17.79,35.74,0.04,0.5,0.0,0.0,0.0,0.0,0.25,5.14,58.54,1.75,57.14,0.38,33.33,0.75,0.5,5.01,67.5,81.0,12.53,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.5,1.25,0.38,33.33,1.75,0,0
Toni Gomes,Toni Correia Gomes,452451,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"RW, CF, RAMF",RW,32,CF,31,RAMF,24,26.0,1998-11-16,150000,,8,698,4,2.39,0,0.64,16.5,31.25,Guinea-Bissau,"['Guinea-Bissau', 'Portugal']",left,182,65,False,4.13,4.13,56.25,2.45,21.05,0.13,0.14,0.26,1.6800000000000002,1.83,0.64,1,0.13,0,0.0,1.9300000000000002,0.52,4,0.52,0.31,3,0.39,10,1.29,50.0,40.0,0.0,1.42,27.27,0.26,50.0,1.16,22.22,0.0,2.19,41.18,7.74,25.0,1.6800000000000002,1.55,0.39,14.31,1.9300000000000002,0.39,20.37,74.05,5.8,64.44,4.9,94.74,17.66,79.56,1.29,50.0,17.61,28.04,0.08,0.64,0.13,0.0,0.13,0.0,0.13,2.9699999999999998,47.83,1.03,25.0,0.26,50.0,0.26,0.26,2.32,83.33,65.22,5.93,0,,0,,0,0.0,0.0,0.0,,,0.13,,2.45,0.0,0.0,0.0,0.0,0,0
A. Dadet,Amos Dadet,-346907,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"RDMF, RCMF, LDMF",RDMF,38,RCMF,30,LDMF,17,25.0,1999-11-30,0,2026-06-30,8,635,0,0.24,1,0.25,18.99,60.45,Nigeria,['Nigeria'],right,180,0,False,10.77,8.36,67.8,2.41,52.94,0.14,0.15,0.43,4.96,5.3,1.7000000000000002,2,0.28,0,0.0,1.42,0.0,0,0.0,0.03,0,0.0,4,0.5700000000000001,25.0,0.0,0.14,0.28,50.0,0.0,0.0,0.28,50.0,0.0,2.27,50.0,6.52,58.7,0.71,0.99,0.0,9.5,0.0,1.7000000000000002,20.41,70.83,9.64,57.35,1.42,100.0,17.86,75.4,2.27,37.5,18.26,28.86,0.04,0.28,0.0,0.0,0.0,0.0,0.14,3.12,59.09,0.71,60.0,0.14,0.0,0.14,0.14,3.83,44.44,83.33,5.95,0,,0,,0,0.0,0.0,0.0,,,0.28,,2.41,0.0,0.0,0.0,0.0,0,0
D. Fazliu,Drilon  Fazliu,-262265,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"LAMF, AMF, LW",LAMF,33,AMF,26,LW,26,24.0,2000-11-17,0,,8,588,0,1.3599999999999999,3,0.18,25.87,33.73,Kosovo,['Kosovo'],right,177,0,False,5.51,5.66,59.46,2.14,50.0,0.0,0.0,0.0,2.14,2.46,1.6800000000000002,1,0.15,0,0.0,3.21,0.0,0,0.0,0.21,0,0.0,9,1.38,66.67,0.0,0.46,0.77,20.0,0.15,100.0,0.46,0.0,0.61,5.66,37.84,14.54,27.37,1.99,2.14,0.46,13.16,1.07,1.53,18.83,77.24,4.59,56.67,5.36,91.43,17.3,80.53,0.77,60.0,14.55,15.08,0.03,0.46,0.0,0.0,0.0,0.0,0.15,2.45,62.5,0.46,33.33,0.0,0.0,0.0,0.15,3.37,63.64,84.85,5.05,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.14,0.77,0.0,0.0,1.07,0,0
E. Vitija,Ermal Vitija,-193915,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"LB, LCB3",LB,54,LCB3,29,,0,24.0,2001-01-28,0,,7,562,0,0.1,0,0.38,19.54,59.02,Kosovo,['Kosovo'],,0,0,False,12.49,10.73,61.19,1.92,66.67,0.96,1.05,0.16,4.96,5.41,1.92,1,0.16,0,0.0,1.44,0.0,0,0.0,0.02,0,0.0,4,0.64,50.0,0.0,0.0,0.8,40.0,0.8,40.0,0.0,0.0,0.32,0.96,83.33,4.96,58.06,0.16,1.6,0.0,14.57,0.16,0.96,26.74,70.06,15.05,67.02,3.2,100.0,20.02,79.2,5.93,43.24,21.32,29.41,0.06,0.32,0.0,0.0,0.0,0.0,0.32,4.8,63.33,1.28,37.5,0.48,0.0,0.16,0.64,7.21,62.22,65.71,5.6,0,,0,,0,0.0,0.0,0.0,,,1.12,,1.92,0.16,0.0,0.0,0.0,0,0
D. Hasanaj,Donat Hasanaj,454798,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"RB, RB5, RWB",RB,54,RB5,31,RWB,13,27.0,1998-09-18,0,,6,510,0,0.03,0,0.07,13.94,55.7,Kosovo,['Kosovo'],right,183,0,False,8.82,6.53,64.86,1.5899999999999999,44.44,0.18,0.19,0.18,4.41,4.8100000000000005,1.06,2,0.35000000000000003,0,0.0,1.06,0.0,0,0.0,0.0,0,0.0,4,0.71,0.0,0.0,0.0,1.94,18.18,0.0,0.0,1.94,18.18,0.18,1.4100000000000001,50.0,4.76,48.15,0.35000000000000003,1.24,0.53,17.12,1.4100000000000001,0.88,27.35,69.68,13.76,62.82,3.0,94.12,21.18,80.83,4.41,36.0,20.51,37.35,0.01,0.18,0.0,0.0,0.0,0.0,0.0,4.94,42.86,1.94,54.55,0.71,50.0,0.53,0.35000000000000003,5.82,57.58,71.43,4.94,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,1.5899999999999999,0.53,0.18,0.0,0.35000000000000003,0,0
A. Rudović,Adrijan Rudović,417344,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"RCB, RCB3",RCB,85,RCB3,14,,0,30.0,1995-06-10,125000,,6,482,0,0.0,0,0.0,11.58,56.45,Montenegro,['Montenegro'],right,187,80,False,10.08,5.6,70.0,2.05,45.45,0.56,0.68,1.12,5.6,6.82,1.31,1,0.19,1,0.19,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,2.43,46.15,0.0,1.12,0.0,26.33,0.0,0.75,37.34,87.0,14.94,76.25,4.67,100.0,31.93,90.06,5.41,68.97,21.35,33.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,86.67,0.19,100.0,0.37,100.0,0.0,0.0,7.28,69.23,94.05,15.68,0,,0,,0,0.0,0.0,0.0,,,3.73,,2.05,0.0,0.0,0.0,0.0,0,0
A. Zeqiri,Adonis Zeqiri,-696713,Prishtina e Re,Prishtina e Re,https://cdn5.wyscout.com/photos/team/public/g-21605_120x120.png,Superliga,"LB, LB5",LB,56,LB5,38,,0,25.0,2000-07-28,0,,6,409,0,0.0,0,0.06,17.38,58.23,Kosovo,['Kosovo'],unknown,0,0,False,10.78,7.7,62.86,1.76,50.0,0.44,0.47000000000000003,0.0,5.5,5.86,1.98,2,0.44,1,0.22,2.64,0.0,0,0.0,0.0,0,0.0,1,0.22,0.0,0.0,0.0,2.42,27.27,2.42,27.27,0.0,0.0,0.0,2.86,69.23,5.72,53.85,0.44,1.32,0.0,17.16,2.2,1.32,25.75,74.36,11.22,70.59,3.96,100.0,20.9,83.16,2.64,41.67,17.11,27.22,0.01,0.44,0.0,0.0,0.0,0.0,0.22,2.64,58.33,2.42,36.36,0.22,0.0,0.44,0.22,5.5,76.0,65.52,6.38,0,,0,,0,0.0,0.0,0.0,,,0.66,,1.76,0.0,0.0,0.0,0.0,0,0
