Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Renan Ribeiro,Renan Ribeiro,97659,Estrela Amadora,Estrela Amadora,https://cdn5.wyscout.com/photos/team/public/g-12861_120x120.png,Primeira Liga,GK,GK,100,,0,,0,35,1990-03-23,150000,2026-06-30,17,1719,0,0.0,0,0.0,0.73,78.57,Brazil,['Brazil'],right,193,87,False,1.05,0.1,50.0,0.47000000000000003,88.89,0.05,0.08,0.0,0.9400000000000001,1.37,0.05,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,13.3,0.16,0.1,19.32,80.49,9.48,66.85,0.0,0.0,11.83,96.02,7.49,55.94,33.13,47.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,39.39,0.21,0.0,0.26,20.0,0.0,0.0,5.13,63.27,94.41,9.37,27,1.4100000000000001,75,3.93,4,64.0,26.31,1.38,-0.6900000000000001,-0.036000000000000004,0.0,1.88,0.47000000000000003,,,,0.0,0,0.0
L. Carević,Lazar Carević,386291,Famalicão,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,Primeira Liga,GK,GK,100,,0,,0,26,1999-03-16,1500000,2028-06-30,17,1693,0,0.0,0,0.0,0.48,100.0,Montenegro,['Montenegro'],right,195,85,False,1.12,0.05,100.0,0.21,100.0,0.0,0.0,0.0,1.06,1.52,0.0,4,0.21,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,15.31,0.21,0.21,23.07,87.56,9.3,71.43,0.0,0.0,17.28,98.77,5.79,54.13,26.27,45.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,33.33,0.11,0.0,0.32,16.67,0.0,0.0,3.88,60.27,98.76,12.81,14,0.74,73,3.88,8,80.82,16.33,0.87,2.33,0.124,0.0,0.74,0.21,,,,0.0,0,0.0
L. Horníček,Lukáš Horníček,-104881,Sporting Braga,Sporting Braga,https://cdn5.wyscout.com/photos/team/public/165_120x120.png,Primeira Liga,GK,GK,100,,0,,0,23,2002-07-13,0,2028-06-30,17,1691,0,0.0,0,0.0,0.59,81.82,Czech Republic,['Czech Republic'],right,194,90,False,2.08,0.0,0.0,0.43,87.5,0.0,0.0,0.05,2.08,3.51,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,24.06,0.27,0.05,30.39,87.39,14.53,77.66,0.0,0.0,22.83,98.6,7.45,54.29,26.1,43.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,48.65,0.05,0.0,0.21,50.0,0.0,0.0,5.16,59.79,97.35,14.05,18,0.96,60,3.19,5,70.0,14.51,0.77,-3.49,-0.186,0.0,0.96,0.43,,,,0.0,0,0.0
Rodrigo Pinheiro,Rodrigo Pinheiro Ferreira,-134027,Famalicão,Famalicão,https://cdn5.wyscout.com/photos/team/public/4103_120x120.png,Primeira Liga,RB,RB,94,,0,,0,23,2002-08-28,1300000,2027-06-30,17,1684,1,0.31,1,2.18,14.59,57.14,Portugal,['Portugal'],right,183,80,False,8.18,7.96,56.38,1.82,61.76,0.16,0.23,0.0,3.5300000000000002,5.03,2.14,3,0.16,0,0.0,2.5700000000000003,0.05,1,0.05,0.02,0,0.0,8,0.43,37.5,12.5,0.05,3.1,50.0,0.11,50.0,2.83,47.17,0.48,1.18,63.64,3.21,60.0,1.34,1.6600000000000001,0.53,23.19,0.86,1.18,32.92,79.06,15.18,75.35,3.58,89.55,27.04,85.57,2.94,49.09,17.5,32.81,0.12,1.02,0.11,0.0,0.11,100.0,0.53,5.24,70.41,3.05,43.86,0.59,36.36,0.59,1.34,7.96,71.14,78.36,9.14,0,,0,,0,0.0,0.0,0.0,,,0.27,,1.82,0.05,0.0,0.0,0.0,0,0.0
Gabriel Batista,Gabriel Batista de Souza,425508,Santa Clara,Santa Clara,https://cdn5.wyscout.com/photos/team/public/1536_120x120.png,Primeira Liga,GK,GK,100,,0,,0,27,1998-06-03,800000,2028-06-30,17,1684,0,0.0,0,0.0,0.91,70.59,Italy,['Italy'],right,191,78,False,1.5,0.16,33.33,0.64,83.33,0.0,0.0,0.0,1.44,1.8900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,50.0,0.0,0.0,0.0,11.92,0.21,0.21,18.71,81.43,10.37,70.1,0.0,0.0,10.48,97.45,8.18,61.44,35.43,51.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,42.59,0.21,0.0,0.32,33.33,0.0,0.0,5.13,77.08,95.62,7.32,19,1.02,64,3.42,5,70.31,19.88,1.06,0.88,0.047,0.0,1.71,0.64,,,,0.0,0,0.0
F. Bacher,Felix Bacher,-78304,Estoril,Estoril,https://cdn5.wyscout.com/photos/team/public/1542_120x120.png,Primeira Liga,"CB, LCB, LCB3",CB,55,LCB,25,LCB3,14,25,2000-10-25,500000,2028-06-30,17,1674,0,0.34,0,0.21,16.24,59.93,Austria,['Austria'],right,190,81,False,8.55,5.75,68.22,5.8100000000000005,50.93,0.11,0.14,0.48,4.52,6.07,1.08,3,0.16,0,0.0,0.22,0.0,0,0.0,0.02,0,0.0,2,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,1.88,57.14,0.59,0.05,0.0,30.86,0.32,0.91,42.58,89.27,17.85,80.12,1.72,100.0,37.96,93.63,4.62,53.49,19.29,35.87,0.01,0.11,0.05,0.0,0.05,100.0,0.05,3.44,68.75,0.16,33.33,0.11,50.0,0.16,0.0,5.38,69.0,97.3,17.9,0,,0,,0,0.0,0.0,0.0,,,1.24,,5.8100000000000005,0.0,0.0,0.0,0.0,0,0.0
Joel Robles,Joel Robles Blázquez,95877,Estoril,Estoril,https://cdn5.wyscout.com/photos/team/public/1542_120x120.png,Primeira Liga,GK,GK,100,,0,,0,35,1990-06-17,700000,2028-06-30,17,1674,0,0.0,0,0.0,0.32,66.67,Spain,['Spain'],right,197,95,False,1.77,0.11,50.0,0.16,66.67,0.0,0.0,0.0,1.72,2.31,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,7.53,0.05,0.05,13.44,79.6,8.12,68.87,0.0,0.0,7.42,97.1,6.02,58.04,33.3,47.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,54.29,0.11,0.0,0.11,50.0,0.0,0.0,4.62,70.93,95.18,4.46,29,1.56,73,3.92,2,60.27,27.0,1.45,-2.0,-0.108,0.0,0.7000000000000001,0.16,,,,0.0,0,0.0
Luan Patrick,Luan Patrick Wiedthauper,-120699,Estrela Amadora,Estrela Amadora,https://cdn5.wyscout.com/photos/team/public/g-12861_120x120.png,Primeira Liga,"RCB3, RCB",RCB3,64,RCB,30,,0,23,2002-01-20,1300000,2028-06-30,17,1670,0,0.0,0,0.0,7.6,53.9,Brazil,['Brazil'],right,190,80,False,6.79,3.99,51.35,1.51,60.71,0.49,0.7000000000000001,0.81,4.26,6.14,0.7000000000000001,2,0.11,0,0.0,0.16,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.38,14.29,0.0,0.0,0.38,14.29,0.05,0.16,66.67,0.65,50.0,0.27,0.81,0.05,28.08,0.32,0.27,44.3,86.62,20.37,79.37,2.69,92.0,38.37,91.71,5.55,56.31,20.96,41.68,0.0,0.0,0.0,0.05,0.0,0.0,0.0,3.5,73.85,0.38,14.29,0.16,33.33,0.05,0.11,6.95,59.69,95.05,17.41,0,,0,,0,0.0,0.0,0.0,,,1.94,,1.51,0.0,0.0,0.0,0.0,0,0.0
Andrew,Andrew da Silva Ventura,-81280,Gil Vicente,Gil Vicente,https://cdn5.wyscout.com/photos/team/public/1535_120x120.png,Primeira Liga,GK,GK,100,,0,,0,24,2001-07-01,0,2026-06-30,17,1664,0,0.0,0,0.0,0.59,81.82,Brazil,['Brazil'],right,189,76,False,1.78,0.16,66.67,0.43,87.5,0.0,0.0,0.0,1.6800000000000002,2.37,0.05,2,0.11,1,0.05,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.69,0.22,0.05,20.23,89.04,10.98,82.27,0.0,0.0,12.98,98.33,7.19,72.93,29.99,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,67.5,0.16,0.0,0.11,0.0,0.0,0.0,4.54,77.38,97.55,8.82,12,0.65,55,2.9699999999999998,8,78.18,15.75,0.85,3.75,0.203,0.0,1.6800000000000002,0.43,,,,0.0,0,0.0
J. Livolant,Jérémy Livolant,418317,Casa Pia AC,Casa Pia AC,https://cdn5.wyscout.com/photos/team/public/g2892_120x120.png,Primeira Liga,"RWF, RW, LW",RWF,45,RW,25,LW,10,28,1998-01-09,1500000,2027-06-30,17,1635,3,4.01,4,2.29,15.58,51.94,France,['France'],right,175,70,False,4.73,3.3,65.0,3.91,46.48,0.39,0.55,0.06,2.2,3.13,0.44,2,0.11,0,0.0,3.47,0.17,2,0.11,0.22,0,0.0,26,1.43,46.15,11.538,0.22,3.08,39.29,0.9400000000000001,35.29,2.15,41.03,0.61,2.81,56.86,6.66,50.41,2.31,1.38,0.22,16.4,2.37,2.31,23.01,70.81,6.33,59.13,5.23,87.37,18.88,76.68,1.21,54.55,18.59,28.53,0.13,1.1,0.0,0.0,0.0,0.0,0.5,2.42,54.55,2.48,53.33,0.06,100.0,0.61,1.16,4.24,68.83,73.48,7.27,0,,0,,0,0.0,0.0,0.0,,,0.06,,3.91,1.38,0.39,57.14,1.9300000000000002,1,100.0
