Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Nowak,Klaudia Urna Nowak,-523180,UJ Kraków,UJ Kraków,https://cdn5.wyscout.com/photos/team/public/g13844_120x120.png,Ekstraliga Women,RCB,RCB,94,,0,,0,23.0,2002-01-13,0,,11,1077,0,0.06,0,0.0,16.04,63.02,Poland,['Poland'],,0,0,False,12.95,8.94,73.83,2.42,55.17,0.42,0.54,0.67,5.93,7.63,1.09,2,0.17,1,0.08,0.08,0.0,0,0.0,0.0,0,0.0,3,0.25,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.25,33.33,2.59,38.71,0.17,0.33,0.0,24.15,0.0,0.5,43.96,82.51,14.04,68.45,2.34,92.86,41.11,85.77,2.67,37.5,18.83,30.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51,61.9,0.25,66.67,0.0,0.0,0.17,0.0,6.69,43.75,91.67,22.06,0,,0,,0,0.0,0.0,0.0,,,1.17,,2.42,0.0,0.0,0.0,0.0,0,0.0
K. Klabis,Karolina Klabis,-156997,UJ Kraków,UJ Kraków,https://cdn5.wyscout.com/photos/team/public/g13844_120x120.png,Ekstraliga Women,GK,GK,100,,0,,0,34.0,1991-07-19,0,,11,1077,0,0.0,0,0.0,1.0,75.0,Poland,['Poland'],,0,0,False,2.09,0.25,33.33,0.75,88.89,0.0,0.0,0.0,2.01,2.58,0.0,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.96,0.0,0.17,25.07,81.0,12.12,66.21,0.08,0.0,16.88,96.04,8.11,50.52,30.9,43.78,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.51,40.0,0.17,0.0,0.17,0.0,0.0,0.0,5.6,64.18,96.64,12.45,20,1.67,55,4.6,2,63.64,18.71,1.56,-1.29,-0.108,0.0,1.92,0.75,,,,0.0,0,0.0
W. Smaza,Weronika Smaza,-439320,UJ Kraków,UJ Kraków,https://cdn5.wyscout.com/photos/team/public/g13844_120x120.png,Ekstraliga Women,"DMF, LDMF",DMF,65,LDMF,10,,0,24.0,2000-12-27,0,,11,1068,1,1.21,0,0.53,19.55,51.29,Poland,['Poland'],unknown,0,0,False,12.05,7.58,67.78,3.03,44.44,0.34,0.43,0.67,6.57,8.48,1.1,1,0.08,0,0.0,1.43,0.08,1,0.08,0.1,0,0.0,24,2.02,25.0,4.167,0.0,0.67,50.0,0.34,100.0,0.34,0.0,0.17,1.1,53.85,6.49,32.47,1.18,0.76,0.0,18.2,0.17,0.76,36.32,71.93,15.25,57.46,3.2,94.74,29.83,79.38,5.8100000000000005,36.23,20.75,43.83,0.05,0.59,0.08,0.0,0.0,0.0,0.17,6.74,51.25,1.77,33.33,0.25,33.33,0.25,0.34,7.16,60.0,85.23,12.56,0,,0,,0,0.0,0.0,0.0,,,0.76,,3.03,0.25,0.25,33.33,0.0,0,0.0
J. Mordel,Julia Mordel,-439338,UJ Kraków,UJ Kraków,https://cdn5.wyscout.com/photos/team/public/g13844_120x120.png,Ekstraliga Women,LB,LB,94,,0,,0,24.0,2001-02-19,0,,11,1052,0,0.93,2,1.3,13.43,49.68,Poland,['Poland'],unknown,0,0,False,8.47,6.76,56.96,1.11,53.85,0.0,0.0,0.0,4.62,5.89,1.28,1,0.09,0,0.0,1.8,0.0,0,0.0,0.08,0,0.0,8,0.68,50.0,0.0,0.17,1.45,41.18,1.37,37.5,0.09,100.0,0.43,1.37,62.5,4.45,36.54,0.68,1.63,0.09,26.95,0.6000000000000001,0.68,38.75,79.91,16.51,72.02,5.99,91.43,35.42,83.09,1.97,47.83,17.45,28.96,0.11,0.77,0.0,0.09,0.0,0.0,0.51,3.51,73.17,1.45,58.82,0.09,0.0,0.43,0.6000000000000001,8.56,62.0,89.39,11.29,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.11,0.09,0.0,0.0,0.0,0,0.0
A. Romuzga,Anita Romuzga,-481775,UJ Kraków,UJ Kraków,https://cdn5.wyscout.com/photos/team/public/g13844_120x120.png,Ekstraliga Women,"LCMF, RCMF",LCMF,62,RCMF,12,,0,20.0,2005-08-26,0,,11,1030,1,0.88,0,1.71,17.13,47.45,Poland,['Poland'],unknown,0,0,False,8.21,6.64,64.47,0.96,27.27,0.0,0.0,0.17,3.93,5.08,1.05,0,0.0,0,0.0,2.5300000000000002,0.09,1,0.09,0.08,0,0.0,15,1.31,26.67,6.667,0.0,2.18,36.0,0.79,22.22,1.4,43.75,0.52,2.5300000000000002,55.17,8.21,39.36,2.1,2.1,0.0,15.2,1.22,0.61,25.43,72.85,7.95,65.93,3.67,97.62,21.76,78.31,1.49,47.06,18.08,23.45,0.15,1.31,0.09,0.0,0.0,0.0,0.52,3.32,55.26,2.36,48.15,0.26,66.67,0.61,0.79,4.11,74.47,74.75,8.65,0,,0,,0,0.0,0.0,0.0,,,0.0,,0.96,1.31,0.0,0.0,1.6600000000000001,0,0.0
Z. Błaszczyk,Zuzanna Błaszczyk,-500810,Śląsk Wrocław,Śląsk Wrocław,https://cdn5.wyscout.com/photos/team/public/g-18243_120x120.png,Ekstraliga Women,GK,GK,100,,0,,0,17.0,2008-07-17,0,,10,985,0,0.0,0,0.0,1.83,85.0,Poland,['Poland'],,0,0,False,1.83,0.18,100.0,0.8200000000000001,88.89,0.09,0.12,0.0,1.55,2.05,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,0.0,0.0,0.0,16.72,0.0,0.8200000000000001,30.79,91.39,10.6,80.17,0.0,0.0,24.67,97.78,6.12,65.67,21.78,24.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,51.85,97.28,16.81,15,1.37,61,5.57,2,75.41,15.11,1.38,0.11,0.01,0.0,1.55,0.8200000000000001,,,,0.0,0,0.0
D. Sokołowska,Daria Sokołowska,-335216,Śląsk Wrocław,Śląsk Wrocław,https://cdn5.wyscout.com/photos/team/public/g-18243_120x120.png,Ekstraliga Women,"LCB3, RCB3",LCB3,65,RCB3,16,,0,22.0,2003-04-20,0,,10,934,2,0.5700000000000001,0,0.07,12.72,56.06,Poland,['Poland'],unknown,0,0,False,10.02,6.55,67.65,2.51,46.15,0.0,0.0,0.87,5.59,7.25,0.67,2,0.19,1,0.1,0.96,0.19,2,0.19,0.06,0,0.0,7,0.67,28.57,28.571,0.0,0.48,40.0,0.39,25.0,0.1,100.0,0.0,0.67,85.71,2.6,37.04,0.48,1.06,0.1,34.59,0.1,0.48,50.3,80.08,22.16,66.09,3.18,96.97,44.61,86.18,5.2,31.48,20.25,32.12,0.01,0.1,0.0,0.0,0.0,0.0,0.1,4.53,55.32,0.96,40.0,0.39,0.0,0.1,0.19,11.27,52.99,93.75,20.04,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,2.51,0.0,0.0,0.0,0.0,0,0.0
A. Dyguś,Alicja Dyguś,-222988,Pogoń Szczecin,Pogoń Szczecin,https://cdn5.wyscout.com/photos/team/public/g19245_120x120.png,Ekstraliga Women,"RB, RCB",RB,89,RCB,10,,0,31.0,1994-03-06,0,,10,927,0,0.46,2,1.6,12.72,49.62,Poland,['Poland'],,0,0,False,8.06,6.89,59.15,1.8399999999999999,36.84,0.1,0.17,0.39,3.88,6.74,0.97,2,0.19,0,0.0,2.62,0.0,0,0.0,0.04,0,0.0,6,0.58,0.0,0.0,0.19,3.79,41.03,0.1,100.0,3.69,39.47,1.07,1.46,73.33,3.4,40.0,1.07,1.55,0.1,27.38,2.04,0.19,40.0,75.49,15.24,66.24,6.31,89.23,32.91,83.78,3.3,32.35,19.43,26.31,0.15,0.97,0.0,0.0,0.0,0.0,0.19,6.02,69.35,3.98,43.9,0.1,100.0,0.39,1.46,8.74,72.22,82.27,13.69,0,,0,,0,0.0,0.0,0.0,,,0.97,,1.8399999999999999,0.0,0.0,0.0,0.0,0,0.0
Z. Radochońska,Zuzanna Radochońska,515143,Pogoń Szczecin,Pogoń Szczecin,https://cdn5.wyscout.com/photos/team/public/g19245_120x120.png,Ekstraliga Women,LB,LB,100,,0,,0,23.0,2002-11-11,0,,10,917,1,1.03,1,2.09,11.48,53.85,Poland,['Poland'],,0,0,False,7.75,5.1,67.31,0.49,40.0,0.29,0.51,0.29,4.02,6.91,0.98,2,0.2,0,0.0,2.36,0.1,1,0.1,0.1,0,0.0,8,0.79,37.5,12.5,0.1,3.14,34.38,3.04,32.26,0.1,100.0,0.59,1.67,58.82,4.51,45.65,0.39,1.8599999999999999,0.29,31.01,1.67,0.49,43.77,74.22,17.67,67.22,7.5600000000000005,90.91,37.2,80.74,3.73,36.84,19.63,39.54,0.21,1.8599999999999999,0.0,0.0,0.0,0.0,0.2,5.89,65.0,5.01,39.22,0.39,0.0,0.6900000000000001,1.08,10.6,71.3,76.27,11.58,0,,0,,0,0.0,0.0,0.0,,,0.49,,0.49,1.96,0.2,100.0,4.02,1,0.0
P. Guzik,Paulina Guzik,-296980,Śląsk Wrocław,Śląsk Wrocław,https://cdn5.wyscout.com/photos/team/public/g-18243_120x120.png,Ekstraliga Women,"RWB, LB5, RB",RWB,35,LB5,32,RB,10,19.0,2006-06-13,0,,10,914,1,0.81,0,1.57,18.22,53.51,Poland,['Poland'],unknown,0,0,False,7.98,8.17,62.65,0.49,80.0,0.59,0.77,0.1,2.26,2.96,1.38,1,0.1,0,0.0,3.05,0.1,1,0.1,0.08,1,0.1,7,0.6900000000000001,57.14,14.286,0.0,1.77,33.33,1.28,30.77,0.49,40.0,0.2,3.35,61.76,8.27,46.43,1.28,1.87,0.1,13.39,0.89,1.87,21.96,67.26,5.61,40.35,4.92,92.0,18.41,73.8,1.77,33.33,17.57,27.86,0.15,1.08,0.0,0.0,0.39,0.0,0.30000000000000004,2.56,34.62,2.36,25.0,0.89,11.11,0.39,0.59,4.14,54.76,68.13,8.96,0,,0,,0,0.0,0.0,0.0,,,0.1,,0.49,0.89,0.1,100.0,0.98,0,0.0
