Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Ramírez,Roberto Fabián Ramírez,336357,Godoy Cruz,Godoy Cruz,https://cdn5.wyscout.com/photos/team/public/1084_120x120.png,Primera Nacional,GK,GK,100,,0,,0,29.0,1996-07-07,275000,2026-06-30,9,892,0,0.0,0,0.12,0.81,87.5,Argentina,['Argentina'],left,188,73,False,1.4100000000000001,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,1.4100000000000001,2.75,0.0,1,0.1,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.4,75.0,0.0,0.0,0.0,8.58,0.1,0.30000000000000004,17.35,78.49,10.49,65.38,0.0,0.0,9.69,97.92,7.67,53.95,38.11,58.34,0.01,0.1,0.1,0.0,0.0,0.0,0.1,3.63,50.0,0.30000000000000004,33.33,0.30000000000000004,33.33,0.1,0.0,5.04,76.0,98.41,6.36,6,0.61,19,1.92,4,68.42,3.69,0.37,-2.31,-0.233,0.0,1.31,0.30000000000000004,,,,0.0,0,0
M. Guanini,Manuel Guanini,406304,Gimnasia y Tiro,Gimnasia y Tiro,https://cdn5.wyscout.com/photos/team/public/g8015_120x120.png,Primera Nacional,LCB,LCB,100,,0,,0,30.0,1996-02-14,175000,2026-12-31,9,889,0,0.31,0,0.0,12.65,71.2,Argentina,"['Argentina', 'Spain']",right,191,86,False,8.2,4.35,72.09,4.35,79.07,0.4,0.66,0.61,4.66,7.62,0.71,2,0.2,0,0.0,0.30000000000000004,0.0,0,0.0,0.03,0,0.0,6,0.61,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,50.0,1.72,35.29,0.81,1.32,0.0,25.51,0.51,0.61,40.8,79.9,21.87,69.91,1.52,86.67,32.4,87.19,8.4,51.81,24.51,46.79,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.49,63.51,0.81,25.0,0.51,40.0,0.30000000000000004,0.0,10.63,72.38,94.03,13.57,0,,0,,0,0.0,0.0,0.0,,,1.01,,4.35,0.1,0.0,0.0,0.0,0,0
M. Benítez,Marcelo Nicolás  Benítez,230509,Club Atlético Güemes,Club Atlético Güemes,https://cdn5.wyscout.com/photos/team/public/g22570_120x120.png,Primera Nacional,LB,LB,98,,0,,0,35.0,1991-01-13,200000,2026-12-31,9,886,1,0.05,1,0.68,9.45,46.24,Argentina,['Argentina'],left,178,73,False,5.69,4.16,43.9,1.83,50.0,0.1,0.14,0.0,3.76,5.29,0.91,2,0.2,0,0.0,1.52,0.1,1,0.1,0.01,0,0.0,5,0.51,20.0,20.0,0.1,3.15,32.26,2.84,28.57,0.2,100.0,0.2,0.81,50.0,2.03,50.0,0.51,0.91,0.0,25.5,1.22,0.30000000000000004,36.26,73.39,17.47,63.95,5.18,98.04,25.8,86.61,7.52,43.24,23.92,40.5,0.07,1.02,0.1,0.1,0.0,0.0,0.2,8.02,50.63,4.06,37.5,0.71,28.57,0.41000000000000003,0.91,9.04,79.78,77.78,10.06,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,1.83,1.9300000000000002,0.2,0.0,2.95,0,0
E. Lazza,Emilio Lazza,323325,Club Atlético Güemes,Club Atlético Güemes,https://cdn5.wyscout.com/photos/team/public/g22570_120x120.png,Primera Nacional,LCB,LCB,98,,0,,0,31.0,1994-07-09,0,2026-12-31,9,886,1,0.42,0,0.0,12.09,63.03,Argentina,['Argentina'],left,189,0,False,8.02,4.47,68.18,4.88,62.5,0.1,0.14,0.30000000000000004,4.88,6.86,0.61,1,0.1,0,0.0,0.51,0.1,1,0.1,0.04,1,0.1,4,0.41000000000000003,25.0,25.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.51,80.0,0.91,66.67,0.30000000000000004,0.41000000000000003,0.0,18.89,0.1,0.41000000000000003,33.93,79.04,15.95,66.88,1.9300000000000002,100.0,26.41,89.23,7.42,43.84,24.9,44.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28,48.08,0.51,20.0,0.30000000000000004,33.33,0.1,0.0,8.23,70.37,88.72,13.51,0,,0,,0,0.0,0.0,0.0,,,1.32,,4.88,0.1,0.1,0.0,0.0,0,0
L. Finochietto,Leandro Farid Finochietto,486148,Club Atlético Güemes,Club Atlético Güemes,https://cdn5.wyscout.com/photos/team/public/g22570_120x120.png,Primera Nacional,GK,GK,100,,0,,0,28.0,1997-04-25,125000,2026-12-31,9,886,0,0.0,0,0.0,0.41000000000000003,100.0,Argentina,"['Argentina', 'Italy']",right,186,78,True,0.91,0.1,100.0,0.2,100.0,0.0,0.0,0.0,0.81,1.1400000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,6.6,0.2,0.0,14.83,76.03,9.65,64.21,0.0,0.0,8.23,96.3,6.6,50.77,41.06,60.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,48.48,0.41000000000000003,0.0,0.51,60.0,0.0,0.0,5.28,65.38,100.0,4.88,12,1.22,35,3.56,0,65.71,11.79,1.2,-0.21,-0.021,0.0,1.02,0.2,,,,0.0,0,0
E. Vázquez,Enzo Javier Vázquez,-426486,Central Norte,Central Norte,https://cdn5.wyscout.com/photos/team/public/g7061_120x120.png,Primera Nacional,GK,GK,100,,0,,0,25.0,2000-09-07,0,2026-12-31,9,886,0,0.0,0,0.0,0.61,100.0,Argentina,['Argentina'],,0,0,False,1.42,0.0,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,1.42,2.06,0.0,3,0.30000000000000004,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,6.7,0.0,0.30000000000000004,16.76,71.52,10.56,56.73,0.0,0.0,9.14,97.78,7.52,40.54,40.55,56.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,40.48,0.30000000000000004,0.0,0.41000000000000003,0.0,0.0,0.0,4.37,67.44,96.49,5.79,6,0.61,26,2.64,4,76.92,4.58,0.46,-1.42,-0.14400000000000002,0.0,2.64,0.41000000000000003,,,,0.0,0,0
E. Di Fulvio,Emilio Di Fulvio,434278,Colegiales,Colegiales,https://cdn5.wyscout.com/photos/team/public/4114_120x120.png,Primera Nacional,GK,GK,100,,0,,0,30.0,1995-05-17,0,2026-12-31,9,885,0,0.0,0,0.09,0.61,83.33,Argentina,['Argentina'],left,180,70,False,1.83,0.0,0.0,0.2,100.0,0.0,0.0,0.0,1.83,2.77,0.0,4,0.41000000000000003,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,66.67,0.0,0.0,0.0,6.31,0.51,0.2,15.36,81.46,10.98,75.0,0.0,0.0,8.75,93.02,6.31,69.35,41.42,60.55,0.01,0.1,0.0,0.0,0.0,0.0,0.1,5.29,67.31,0.71,28.57,0.2,0.0,0.2,0.0,5.59,81.82,100.0,3.9699999999999998,12,1.22,37,3.76,3,67.57,12.16,1.24,0.16,0.016,0.0,2.03,0.2,,,,0.0,0,0
F. Malagueño,Franco Daniel Malagueño,501641,Colegiales,Colegiales,https://cdn5.wyscout.com/photos/team/public/4114_120x120.png,Primera Nacional,"RB, RB5",RB,55,RB5,29,,0,27.0,1998-10-10,100000,2026-12-31,9,885,0,0.05,0,0.41000000000000003,14.24,50.71,Argentina,['Argentina'],right,167,69,False,6.61,6.1,63.33,2.34,39.13,0.0,0.0,0.0,2.75,4.15,1.02,1,0.1,0,0.0,1.22,0.0,0,0.0,0.01,0,0.0,3,0.31,33.33,0.0,0.0,2.34,21.74,0.0,0.0,2.34,21.74,0.41000000000000003,1.53,40.0,4.27,33.33,0.31,0.71,0.2,15.56,1.12,0.81,27.56,63.84,16.07,64.56,1.83,83.33,18.51,76.37,6.8100000000000005,44.78,21.48,36.11,0.04,0.61,0.0,0.0,0.0,0.0,0.2,5.59,52.73,2.44,45.83,0.0,0.0,0.61,0.41000000000000003,9.05,60.67,59.32,6.0,0,,0,,0,0.0,0.0,0.0,,,0.1,,2.34,0.0,0.0,0.0,0.0,0,0
B. Galván,Bruno Gabriel Galván,180840,Almirante Brown,Almirante Brown,https://cdn5.wyscout.com/photos/team/public/1089_120x120.png,Primera Nacional,GK,GK,100,,0,,0,31.0,1994-05-08,75000,,9,882,0,0.0,0,0.0,0.8200000000000001,87.5,Argentina,['Argentina'],right,186,81,False,1.12,0.0,0.0,0.71,85.71,0.0,0.0,0.0,1.12,1.9100000000000001,0.0,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,6.63,0.0,0.2,13.37,77.1,10.1,71.72,0.0,0.0,6.22,96.72,7.04,60.87,41.31,54.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,55.56,0.2,0.0,0.31,66.67,0.0,0.0,4.9,85.42,96.67,3.06,8,0.8200000000000001,25,2.55,4,68.0,9.25,0.9400000000000001,1.25,0.128,0.0,2.55,0.71,,,,0.0,0,0
G. Cepeda,Genaro Cepeda,-424380,Midland,Midland,https://cdn5.wyscout.com/photos/team/public/g7572_120x120.png,Primera Nacional,"RCB, RCB3",RCB,87,RCB3,12,,0,25.0,2000-08-10,0,,9,882,0,0.5,0,0.02,18.16,64.04,Argentina,['Argentina'],right,190,0,False,10.51,5.71,78.57,8.06,62.03,0.41000000000000003,0.67,0.51,5.61,9.17,0.71,2,0.2,0,0.0,0.41000000000000003,0.0,0,0.0,0.05,0,0.0,3,0.31,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,100.0,0.71,57.14,0.41000000000000003,0.1,0.1,15.1,0.51,0.1,31.73,68.81,19.59,58.33,1.02,90.0,20.82,81.86,10.92,43.93,27.68,41.57,0.0,0.1,0.0,0.0,0.0,0.0,0.1,7.35,52.78,0.8200000000000001,37.5,0.31,0.0,0.2,0.0,11.02,62.04,86.52,9.08,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,8.06,0.0,0.0,0.0,0.0,0,0
