Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Martínez,Miguel Angel Martínez Irala,398599,Sportivo Ameliano,Sportivo Ameliano,https://cdn5.wyscout.com/photos/team/public/g-10312_120x120.png,Division Profesional,GK,GK,100,,0,,0,27.0,1998-09-29,200000,,42,4183,0,0.0,0,0.0,0.6000000000000001,85.71,Paraguay,['Paraguay'],right,184,78,False,1.74,0.17,87.5,0.22,100.0,0.0,0.0,0.02,1.5899999999999999,2.38,0.0,2,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,75.0,0.0,0.0,0.0,9.27,0.22,0.19,17.0,86.58,9.83,78.56,0.0,0.0,9.92,97.83,7.01,71.47,37.1,51.62,0.0,0.0,0.0,0.0,0.0,0.0,0.02,2.75,65.63,0.22,20.0,0.17,25.0,0.04,0.0,5.62,81.61,98.37,6.61,56,1.2,172,3.7,10,67.44,52.06,1.12,-3.94,-0.085,0.0,1.31,0.22,,,,0.0,0,0.0
D. Viera,Diego Francisco Viera Ruiz Díaz,132343,Libertad,Libertad,https://cdn5.wyscout.com/photos/team/public/508_120x120.png,Division Profesional,"RCB, LCB",RCB,78,LCB,17,,0,34.0,1991-04-30,400000,,39,3823,0,1.82,0,0.51,9.39,69.17,Paraguay,['Paraguay'],right,185,83,False,6.66,3.51,81.88,4.38,63.98,0.02,0.04,0.52,3.77,5.85,0.31,5,0.12,1,0.02,0.21,0.0,0,0.0,0.04,0,0.0,12,0.28,16.67,0.0,0.0,0.21,77.78,0.0,0.0,0.21,77.78,0.02,0.0,0.0,0.33,35.71,0.4,1.29,0.0,43.15,0.66,0.12,58.45,91.86,24.18,85.1,2.5,98.11,50.69,95.91,7.5600000000000005,65.11,21.14,34.26,0.01,0.09,0.07,0.0,0.0,0.0,0.0,5.18,76.82,0.49,61.9,0.33,64.29,0.28,0.14,9.37,73.62,97.06,27.21,0,,0,,0,0.0,0.0,0.0,,,2.05,,4.38,0.0,0.0,0.0,0.0,0,0.0
César Castro,César Manuel Castro,-74984,2 de Mayo,2 de Mayo,https://cdn5.wyscout.com/photos/team/public/969_120x120.png,Division Profesional,LB,LB,87,,0,,0,32.0,1993-07-29,0,,39,3594,0,1.54,0,2.87,20.58,54.14,Paraguay,['Paraguay'],left,0,0,False,8.34,6.06,73.55,3.03,57.85,0.38,0.6000000000000001,0.25,3.51,5.58,1.18,5,0.13,0,0.0,3.33,0.0,0,0.0,0.04,0,0.0,28,0.7000000000000001,28.57,0.0,0.0,4.01,31.87,3.93,30.57,0.05,100.0,0.48,3.31,56.06,8.36,43.11,1.33,2.48,0.2,26.42,1.53,1.13,38.31,75.23,15.55,72.62,5.68,93.83,31.35,82.59,3.16,55.56,18.98,35.27,0.07,0.78,0.05,0.0,0.03,0.0,0.30000000000000004,5.66,66.37,3.2800000000000002,41.22,0.18,28.57,0.55,1.13,8.84,75.35,74.82,10.64,0,,0,,0,0.0,0.0,0.0,,,0.13,,3.03,0.05,0.03,100.0,0.03,0,0.0
N. Giménez,Néstor Rafael Giménez Florentín,468096,Libertad,Libertad,https://cdn5.wyscout.com/photos/team/public/508_120x120.png,Division Profesional,"LCB, LB",LCB,64,LB,33,,0,28.0,1997-07-24,1700000,,37,3531,1,0.66,2,1.96,14.3,54.72,Paraguay,['Paraguay'],left,174,72,False,8.49,6.32,62.5,3.36,50.0,0.13,0.2,0.28,4.41,6.94,1.27,11,0.28,1,0.03,0.71,0.03,1,0.03,0.02,1,0.03,8,0.2,25.0,12.5,0.05,0.89,42.86,0.89,42.86,0.0,0.0,0.03,0.54,52.38,2.06,34.57,0.33,1.22,0.0,37.14,1.22,0.43,51.97,86.17,22.97,77.8,4.26,96.41,44.25,91.99,6.88,53.7,21.05,37.42,0.05,0.43,0.03,0.0,0.03,0.0,0.23,7.14,73.21,1.6600000000000001,43.08,0.38,26.67,0.51,0.38,10.71,73.1,93.82,19.8,0,,0,,0,0.0,0.0,0.0,,,1.53,,3.36,0.08,0.0,0.0,0.0,0,0.0
M. Pérez,Matías Damián Pérez,-170141,Cerro Porteño,Cerro Porteño,https://cdn5.wyscout.com/photos/team/public/485_120x120.png,Division Profesional,"LCB, RCB",LCB,69,RCB,16,,0,26.0,1999-03-03,3000000,,36,3476,0,1.77,0,0.87,16.75,65.69,Argentina,"['Argentina', 'Paraguay']",right,177,75,False,9.58,6.32,76.23,6.08,64.26,0.78,1.48,0.31,3.99,7.59,1.17,7,0.18,0,0.0,0.28,0.0,0,0.0,0.05,0,0.0,20,0.52,5.0,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.0,0.44,52.94,2.25,51.72,0.52,0.85,0.03,35.65,0.49,0.62,52.46,90.97,19.73,82.94,2.56,97.98,47.2,94.51,5.23,58.91,20.99,37.14,0.02,0.05,0.03,0.03,0.0,0.0,0.08,6.06,76.92,0.47000000000000003,50.0,0.26,70.0,0.21,0.03,8.23,73.27,96.53,26.1,0,,0,,0,0.0,0.0,0.0,,,1.58,,6.08,0.0,0.0,0.0,0.0,0,0.0
Á. Benítez,Ángel María Benítez Argüello,290240,Sportivo Luqueño,Sportivo Luqueño,https://cdn5.wyscout.com/photos/team/public/555_120x120.png,Division Profesional,"RCMF, RCB",RCMF,49,RCB,10,,0,29.0,1996-01-27,225000,,39,3430,1,3.34,0,0.58,18.89,53.47,Paraguay,['Paraguay'],right,183,76,False,10.26,7.82,58.05,5.3,57.43,1.18,1.73,0.31,4.54,6.64,1.8399999999999999,10,0.26,1,0.03,0.63,0.03,1,0.03,0.09,1,0.03,31,0.81,19.35,3.226,0.0,0.31,25.0,0.03,100.0,0.29,18.18,0.03,0.76,51.72,3.5700000000000003,43.38,0.87,0.71,0.13,14.85,0.26,1.31,25.03,83.75,8.79,71.04,2.47,92.55,22.46,87.03,2.2800000000000002,59.77,18.54,28.35,0.02,0.29,0.0,0.0,0.0,0.0,0.1,3.25,74.19,0.55,57.14,0.24,77.78,0.34,0.08,4.36,61.45,91.86,10.31,0,,0,,0,0.0,0.0,0.0,,,0.79,,5.3,0.0,0.0,0.0,0.03,0,0.0
Pedro Sosa,Pedro Pablo Sosa,330423,2 de Mayo,2 de Mayo,https://cdn5.wyscout.com/photos/team/public/969_120x120.png,Division Profesional,RCB,RCB,97,,0,,0,34.0,1991-10-11,0,,37,3430,1,1.3,2,0.36,13.43,62.7,Paraguay,['Paraguay'],,0,0,False,7.98,3.99,71.05,6.17,62.98,0.16,0.25,0.55,4.99,8.03,0.76,7,0.18,0,0.0,0.29,0.03,1,0.03,0.03,1,0.03,6,0.16,33.33,16.667,0.05,0.05,50.0,0.0,0.0,0.05,50.0,0.03,0.24,88.89,1.08,60.98,0.26,0.66,0.0,22.07,0.55,0.76,36.26,83.94,15.59,72.05,2.81,99.07,29.26,90.04,6.95,58.49,23.83,39.15,0.01,0.05,0.0,0.0,0.0,0.0,0.03,5.3,62.38,0.45,41.18,0.29,36.36,0.24,0.03,7.64,68.38,94.27,15.11,0,,0,,0,0.0,0.0,0.0,,,2.2800000000000002,,6.17,0.0,0.0,0.0,0.0,0,0.0
G. Viera,Gustavo Agustín Viera Velázquez,254581,Sportivo Trinidense,Sportivo Trinidense,https://cdn5.wyscout.com/photos/team/public/2406_120x120.png,Division Profesional,"RDMF, DMF, LCMF",RDMF,26,DMF,22,LCMF,19,30.0,1995-08-28,300000,,39,3406,1,0.6000000000000001,0,0.38,13.49,48.89,Paraguay,['Paraguay'],right,175,70,False,9.16,5.59,57.56,3.35,34.96,0.22,0.31,0.44,5.72,8.08,1.09,7,0.18,0,0.0,0.79,0.03,1,0.03,0.02,1,0.03,22,0.6000000000000001,13.64,4.545,0.0,0.68,44.0,0.19,57.14,0.49,38.89,0.05,0.54,70.0,2.5300000000000002,49.46,0.25,0.33,0.03,23.13,0.22,0.76,38.83,79.79,16.13,68.58,4.03,95.95,31.85,85.54,6.35,54.51,19.99,33.39,0.01,0.27,0.0,0.03,0.05,50.0,0.08,7.52,67.39,1.23,48.89,0.38,42.86,0.30000000000000004,0.27,8.04,69.83,88.29,14.2,0,,0,,0,0.0,0.0,0.0,,,0.63,,3.35,0.25,0.0,0.0,0.05,0,0.0
A. Manzur,Enzo Agustín Manzur,-72404,Guaraní,Guaraní,https://cdn5.wyscout.com/photos/team/public/968_120x120.png,Division Profesional,"RCMF, LCMF, DMF",RCMF,37,LCMF,23,DMF,14,25.0,2000-09-29,400000,,38,3403,5,4.65,5,2.55,11.93,50.11,Argentina,['Argentina'],right,169,71,False,5.53,4.5,59.41,1.16,29.55,0.4,0.55,0.03,2.46,3.4,0.9,7,0.19,0,0.0,1.32,0.13,2,0.05,0.12,0,0.0,55,1.45,29.09,9.091,0.13,0.9500000000000001,30.56,0.21,37.5,0.71,25.93,0.08,1.0,50.0,4.44,46.43,0.26,1.06,0.05,33.69,0.56,1.32,45.75,82.2,16.82,71.54,6.51,93.9,39.7,87.48,5.16,51.28,19.28,38.08,0.07,0.74,0.05,0.03,0.21,50.0,0.21,8.3,67.52,2.35,42.7,1.06,30.0,0.6900000000000001,0.34,8.97,77.88,88.31,15.84,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,1.16,1.98,0.37,35.71,2.51,4,75.0
C. Núñez,Claudio Ronaldo Núñez Aquino,472064,Nacional Asunción,Nacional Asunción,https://cdn5.wyscout.com/photos/team/public/2296_120x120.png,Division Profesional,"RCB, RB",RCB,67,RB,28,,0,30.0,1995-11-19,450000,,36,3396,0,0.2,0,0.21,12.56,62.24,Paraguay,['Paraguay'],right,179,78,False,8.53,5.75,72.35,3.52,55.64,0.32,0.41000000000000003,0.58,4.05,5.26,1.09,9,0.24,0,0.0,0.19,0.0,0,0.0,0.01,0,0.0,4,0.11,75.0,0.0,0.0,0.24,22.22,0.0,0.0,0.21,12.5,0.0,0.08,66.67,1.27,54.17,0.08,0.21,0.0,15.93,0.5,0.9,28.54,78.92,15.03,67.9,1.8599999999999999,97.14,21.6,87.12,6.7,54.55,23.65,36.96,0.01,0.24,0.03,0.0,0.03,0.0,0.03,5.57,61.9,0.77,24.14,0.42,18.75,0.11,0.05,7.9,71.48,92.74,9.86,0,,0,,0,0.0,0.0,0.0,,,1.09,,3.52,0.03,0.0,0.0,0.0,0,0.0
