Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Lane,Joshua Lane,-532715,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,GK,GK,100,,0,,0,19.0,2006-06-22,0,,14,1349,0,0.0,0,0.0,1.07,81.25,Scotland,['Scotland'],unknown,0,0,False,1.4,0.07,100.0,0.6000000000000001,88.89,0.0,0.0,0.0,1.33,1.85,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,5.94,0.27,0.27,14.54,62.84,12.88,58.55,0.0,0.0,3.14,93.62,11.28,55.03,46.93,52.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,52.38,0.4,16.67,0.27,25.0,0.07,0.0,7.87,74.58,100.0,1.53,18,1.2,71,4.74,2,74.65,19.36,1.29,1.3599999999999999,0.091,0.0,2.2,0.6000000000000001,,,,0.0,0,0.0
P. Martin,Paddy Martin,-249727,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g5019_120x120.png,League Two,GK,GK,100,,0,,0,26.0,1999-06-21,0,,14,1342,0,0.0,1,0.0,0.67,70.0,Scotland,['Scotland'],,192,0,False,1.48,0.07,0.0,0.47000000000000003,85.71,0.07,0.11,0.0,1.4100000000000001,2.23,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,11.4,0.27,0.07,19.78,79.66,13.55,71.78,0.0,0.0,9.79,99.32,9.99,60.4,39.63,56.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,57.14,0.54,12.5,0.2,0.0,0.13,0.0,7.18,80.37,96.3,5.43,18,1.21,52,3.49,3,65.38,18.02,1.21,0.02,0.001,0.0,1.48,0.47000000000000003,,,,0.0,0,0.0
L. Reid,Lewis Reid,-362926,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,LCB,LCB,100,,0,,0,21.0,2004-07-27,0,2026-05-31,14,1333,0,0.79,0,0.0,19.04,61.35,Scotland,['Scotland'],,0,0,False,9.59,6.08,77.78,5.67,54.76,0.0,0.0,1.42,4.86,6.73,1.01,2,0.14,0,0.0,0.81,0.0,0,0.0,0.05,0,0.0,9,0.61,11.11,0.0,0.0,0.2,33.33,0.07,0.0,0.07,100.0,0.0,1.15,52.94,4.12,49.18,0.81,1.01,0.2,7.16,0.07,1.49,22.96,68.53,13.71,58.13,2.5700000000000003,89.47,15.06,79.37,7.7,48.25,27.18,41.41,0.0,0.07,0.0,0.0,0.07,100.0,0.0,5.54,53.66,0.47000000000000003,28.57,0.2,0.0,0.07,0.07,8.37,58.87,85.51,4.66,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,5.67,0.0,0.0,0.0,0.0,0,0.0
S. Rough,Scot Rough,-722027,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,RCB,RCB,100,,0,,0,24.0,2001-11-01,0,,14,1319,0,1.19,0,0.0,21.43,60.83,Scotland,['Scotland'],,0,0,False,12.76,7.23,68.87,10.99,57.76,0.75,1.05,0.96,7.03,9.87,1.16,1,0.07,0,0.0,0.14,0.0,0,0.0,0.08,0,0.0,8,0.55,25.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.27,0.0,1.02,0.14,0.0,3.8200000000000003,0.07,0.34,16.24,54.62,10.71,47.13,0.61,77.78,10.99,62.11,5.19,39.47,22.72,33.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,59.46,0.34,20.0,0.07,100.0,0.14,0.07,6.96,39.22,70.45,3.0,0,,0,,0,0.0,0.0,0.0,,,0.48,,10.99,0.14,0.0,0.0,0.0,0,0.0
B. Whyte,Bradley Whyte,-459124,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g5019_120x120.png,League Two,"RCMF, RCMF3, AMF",RCMF,30,RCMF3,25,AMF,13,25.0,2000-01-15,0,2026-05-31,14,1252,2,1.88,1,0.64,19.7,45.62,Scotland,['Scotland'],unknown,0,0,False,6.33,5.97,68.67,4.89,42.65,0.29,0.45,0.14,1.94,3.02,0.86,3,0.22,0,0.0,1.73,0.14,2,0.14,0.14,0,0.0,15,1.08,46.67,13.333,0.07,0.86,41.67,0.5,28.57,0.22,66.67,0.07,1.15,62.5,6.04,33.33,2.08,0.43,0.07,16.32,1.01,1.29,27.03,79.26,8.99,62.4,5.61,91.03,23.08,83.8,3.09,55.81,17.58,29.87,0.05,0.72,0.0,0.07,0.14,100.0,0.29,4.31,80.0,1.8,64.0,0.14,50.0,1.01,0.43,5.54,75.32,87.5,8.05,0,,0,,0,0.0,0.0,0.0,,,0.22,,4.89,0.0,0.0,0.0,0.0,0,0.0
J. Hogarth,Jay Hogarth,-119168,Clyde,Clyde,https://cdn5.wyscout.com/photos/team/public/1233_120x120.png,League Two,GK,GK,100,,0,,0,22.0,2003-07-18,0,,13,1239,0,0.0,0,0.0,1.02,71.43,Scotland,['Scotland'],left,0,0,False,1.67,0.15,50.0,0.65,77.78,0.07,0.11,0.0,1.53,2.3,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.46,0.29,0.0,20.19,78.42,13.73,72.49,0.07,100.0,8.86,94.26,11.26,66.45,40.22,50.94,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3.85,47.17,0.29,25.0,0.07,100.0,0.07,0.0,8.35,80.87,91.46,5.96,13,0.9400000000000001,46,3.34,5,71.74,13.59,0.99,0.59,0.043000000000000003,0.07,2.32,0.65,,,,0.0,0,0.0
A. Mailer,Angus Mailer,437154,Forfar Athletic,Forfar Athletic,https://cdn5.wyscout.com/photos/team/public/g1925_120x120.png,League Two,"RCMF, DMF",RCMF,60,DMF,13,,0,27.0,1998-07-04,0,2027-05-31,12,1134,2,1.88,1,0.84,18.97,52.3,Scotland,['Scotland'],right,183,0,False,8.49,7.3,65.22,4.92,41.94,0.63,0.9400000000000001,0.32,3.1,4.57,1.51,3,0.24,0,0.0,0.71,0.16,2,0.16,0.15,0,0.0,16,1.27,25.0,12.5,0.08,0.4,60.0,0.16,100.0,0.24,33.33,0.16,0.4,40.0,3.81,50.0,1.43,0.48,0.08,9.84,0.4,2.22,21.9,61.59,10.32,41.54,3.02,94.74,17.86,66.67,3.65,36.96,18.38,30.96,0.07,0.4,0.08,0.0,0.0,0.0,0.16,4.6,51.72,2.22,35.71,0.24,0.0,0.71,0.24,4.44,57.14,75.0,5.71,0,,0,,0,0.0,0.0,0.0,,,0.32,,4.92,0.0,0.0,0.0,0.0,0,0.0
S. Welsh,Sean Welsh,85202,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g5019_120x120.png,League Two,"DMF, RDMF",DMF,68,RDMF,11,,0,35.0,1990-03-15,150000,,14,1126,0,0.12,1,0.93,17.74,57.21,Scotland,['Scotland'],right,174,70,False,8.31,5.2,76.92,6.87,55.81,0.08,0.13,0.16,4.24,6.63,0.96,3,0.24,0,0.0,0.8,0.0,0,0.0,0.01,0,0.0,2,0.16,0.0,0.0,0.08,0.8,70.0,0.16,100.0,0.64,62.5,0.08,0.16,100.0,3.2800000000000002,43.9,0.48,0.48,0.0,22.62,0.16,1.12,42.2,81.06,15.11,62.96,7.03,95.45,35.17,87.05,6.23,48.72,20.71,35.72,0.07,0.56,0.16,0.08,0.08,100.0,0.32,8.15,59.8,1.6800000000000002,42.86,0.24,66.67,0.4,0.48,6.87,73.26,92.67,15.27,0,,0,,0,0.0,0.0,0.0,,,1.52,,6.87,0.56,0.08,0.0,0.24,0,0.0
L. Martin,Lewis Martin,292775,Forfar Athletic,Forfar Athletic,https://cdn5.wyscout.com/photos/team/public/g1925_120x120.png,League Two,"RB, RWB, LB",RB,55,RWB,20,LB,10,29.0,1996-04-08,0,,12,1122,0,0.63,0,0.38,16.12,63.18,Scotland,['Scotland'],right,188,71,False,7.06,5.29,66.67,7.22,73.33,0.4,0.59,0.48,3.13,4.62,0.48,2,0.16,0,0.0,0.8,0.0,0,0.0,0.05,0,0.0,5,0.4,0.0,0.0,0.0,2.01,28.0,0.24,0.0,1.76,31.82,0.24,0.56,42.86,2.09,30.77,0.8,0.48,0.08,17.17,1.12,0.56,28.88,61.94,14.36,46.93,5.21,90.77,21.26,71.7,5.7,38.03,23.11,40.77,0.03,0.64,0.08,0.0,0.0,0.0,0.0,6.1,42.11,1.8399999999999999,30.43,0.08,100.0,0.24,0.56,7.38,61.96,71.43,5.05,0,,0,,0,0.0,0.0,0.0,,,1.6800000000000002,,7.22,0.0,0.0,0.0,0.0,0,0.0
J. Dolan,James  Dolan,-473727,Stranraer,Stranraer,https://cdn5.wyscout.com/photos/team/public/g1930_120x120.png,League Two,"LAMF, CF, LW",LAMF,27,CF,22,LW,18,22.0,2003-05-28,0,,13,1119,2,1.7000000000000002,0,1.11,27.51,44.74,Scotland,['Scotland'],unknown,0,0,False,7.4,7.32,63.74,4.26,22.64,0.08,0.11,0.0,2.65,3.65,1.21,0,0.0,0,0.0,4.66,0.16,1,0.08,0.14,0,0.0,21,1.69,28.57,9.524000000000001,0.0,3.46,20.93,2.49,22.58,0.97,16.67,0.56,4.83,71.67,13.43,43.71,1.77,2.9,0.4,9.73,1.13,2.25,19.79,52.85,7.08,45.45,2.65,81.82,13.99,63.79,2.41,33.33,22.01,30.1,0.09,0.56,0.0,0.0,0.0,0.0,0.16,3.38,42.86,3.14,28.21,0.08,0.0,0.8,1.05,4.02,60.0,54.12,6.84,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.26,0.72,0.0,0.0,2.01,1,100.0
