Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Kovačić,Dominik Kovačić,285145,Slaven Belupo,Slaven Belupo,https://cdn5.wyscout.com/photos/team/public/234_120x120.png,Superleague,LCB,LCB,90,,0,,0,31,1994-01-05,300000,2026-06-30,18,1774,0,0.67,0,0.12,11.26,66.22,Croatia,['Croatia'],right,192,86,False,9.49,6.04,72.27,2.59,58.82,0.15,0.21,0.46,4.97,6.74,1.12,1,0.05,0,0.0,0.25,0.0,0,0.0,0.03,0,0.0,4,0.2,0.0,0.0,0.0,0.15,0.0,0.1,0.0,0.0,0.0,0.05,0.30000000000000004,83.33,0.86,58.82,0.86,0.91,0.0,28.71,0.51,0.2,42.56,88.32,18.37,79.28,2.69,94.34,35.87,94.06,6.54,58.91,20.39,31.99,0.01,0.1,0.0,0.0,0.0,0.0,0.05,3.7,71.23,0.25,40.0,0.25,20.0,0.05,0.05,6.44,67.72,95.81,18.16,0,,0,,0,0.0,0.0,0.0,,,1.88,,2.59,0.0,0.0,0.0,0.0,0,0
D. Matijaš,Davor Matijaš,427643,Gorica,Gorica,https://cdn5.wyscout.com/photos/team/public/3706_120x120.png,Superleague,GK,GK,100,,0,,0,26,1999-08-23,800000,2028-06-30,18,1773,0,0.0,0,0.0,0.66,69.23,Croatia,['Croatia'],right,188,75,False,1.98,0.0,0.0,0.46,77.78,0.0,0.0,0.0,1.98,2.49,0.0,2,0.1,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.1,100.0,0.0,0.0,0.0,11.27,0.15,0.15,18.48,85.16,8.58,69.23,0.0,0.0,12.49,96.75,5.99,61.02,32.01,46.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,41.18,0.25,0.0,0.1,0.0,0.0,0.0,4.47,75.0,98.91,9.29,27,1.37,78,3.96,1,65.38,21.55,1.09,-5.45,-0.277,0.0,1.32,0.46,,,,0.0,0,0
M. Malenica,Marko  Malenica,182834,Osijek,Osijek,https://cdn5.wyscout.com/photos/team/public/237_120x120.png,Superleague,GK,GK,100,,0,,0,31,1994-02-08,500000,2029-06-30,18,1772,0,0.0,0,0.0,0.41000000000000003,87.5,Croatia,['Croatia'],right,191,84,False,1.32,0.1,100.0,0.25,80.0,0.05,0.07,0.0,1.17,1.6,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.51,0.30000000000000004,0.05,20.11,87.88,8.94,77.27,0.0,0.0,13.61,98.51,6.45,66.14,30.17,46.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,54.17,0.1,50.0,0.0,0.0,0.05,0.0,4.72,73.12,97.06,10.36,26,1.32,82,4.16,6,68.29,22.44,1.1400000000000001,-3.56,-0.181,0.0,1.07,0.25,,,,0.0,0,0
J. Filipović,Jakov Filipović,360885,Gorica,Gorica,https://cdn5.wyscout.com/photos/team/public/3706_120x120.png,Superleague,"RCB, CB, LCB",RCB,35,CB,28,LCB,20,33,1992-10-17,350000,2027-06-30,18,1761,1,0.86,0,0.2,11.19,63.47,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Croatia']",right,191,86,False,6.8,3.83,64.0,4.5,62.5,0.31,0.38,0.46,4.04,5.06,0.56,2,0.1,0,0.0,0.15,0.05,1,0.05,0.04,1,0.05,5,0.26,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.56,54.55,0.41000000000000003,0.36,0.0,26.58,0.15,0.77,40.37,87.22,14.82,75.86,2.04,95.0,34.7,92.78,5.67,53.15,20.91,35.26,0.01,0.05,0.0,0.0,0.0,0.0,0.05,3.12,49.18,0.26,40.0,0.15,0.0,0.05,0.0,5.47,61.68,94.56,19.73,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,4.5,0.0,0.0,0.0,0.0,0,0
R. Gonzales,Robin De Jesus Gonzales Ruiz,-359782,Vukovar,Vukovar,https://cdn5.wyscout.com/photos/team/public/3707_120x120.png,Superleague,"AMF, CF, LAMF",AMF,49,CF,21,LAMF,13,27,1998-11-26,0,,18,1721,6,4.66,3,0.89,19.82,43.8,Colombia,['Colombia'],,0,0,False,5.18,4.65,59.55,1.4100000000000001,18.52,0.16,0.19,0.0,2.25,2.66,1.15,4,0.21,0,0.0,2.35,0.31,5,0.26,0.24,0,0.0,30,1.57,40.0,20.0,0.16,0.78,33.33,0.37,42.86,0.31,33.33,0.1,2.8200000000000003,50.0,11.35,42.86,1.9300000000000002,1.52,0.42,16.63,1.62,2.41,23.95,80.79,7.9,78.15,3.5,91.04,21.39,84.6,1.83,54.29,17.23,34.18,0.05,0.58,0.16,0.0,0.21,25.0,0.26,3.35,81.25,1.73,48.48,0.58,27.27,0.73,0.37,4.08,76.92,83.8,7.43,0,,0,,0,0.0,0.0,0.0,,,0.1,,1.4100000000000001,0.31,0.1,50.0,0.26,2,50
A. Jagušić,Adriano Jagušić,-244261,Slaven Belupo,Slaven Belupo,https://cdn5.wyscout.com/photos/team/public/234_120x120.png,Superleague,"RCMF, AMF, RAMF",RCMF,30,AMF,27,RAMF,19,20,2005-09-06,0,2028-06-30,18,1673,6,1.8599999999999999,4,3.07,22.65,44.42,Croatia,['Croatia'],left,174,70,False,6.89,5.59,65.38,2.04,23.68,0.54,0.73,0.05,2.69,3.63,0.75,0,0.0,0,0.0,3.93,0.32,6,0.32,0.1,0,0.0,46,2.47,43.48,13.043,0.22,1.34,32.0,0.38,42.86,0.97,27.78,0.16,4.25,53.16,13.18,39.59,1.56,3.12,0.59,22.33,0.97,2.37,33.73,79.59,8.55,66.04,8.61,91.25,29.96,82.23,2.42,73.33,17.99,33.33,0.17,1.29,0.0,0.0,0.32,50.0,0.7000000000000001,4.3,76.25,2.31,53.49,0.7000000000000001,38.46,1.08,0.43,5.27,73.47,85.49,10.38,0,,0,,0,0.0,0.0,0.0,,,0.43,,2.04,2.04,0.32,50.0,1.99,0,0
F. Kolić,Franko Kolić,-134685,Istra 1961,Istra 1961,https://cdn5.wyscout.com/photos/team/public/1950_120x120.png,Superleague,GK,GK,100,,0,,0,22,2003-02-07,450000,2027-06-30,17,1666,0,0.0,0,0.0,0.76,92.86,Croatia,['Croatia'],right,190,0,False,1.08,0.16,66.67,0.49,100.0,0.0,0.0,0.0,0.97,1.24,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,10.91,0.11,0.11,17.18,81.76,9.08,71.43,0.0,0.0,10.97,97.54,6.16,54.39,27.28,45.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,25.0,0.11,0.0,0.05,0.0,0.0,0.0,4.75,54.55,93.86,6.16,21,1.13,79,4.27,3,73.42,25.38,1.37,4.38,0.23700000000000002,0.0,1.51,0.49,,,,0.0,0,0
J. Radošević,Josip Radošević,156255,Istra 1961,Istra 1961,https://cdn5.wyscout.com/photos/team/public/1950_120x120.png,Superleague,"RDMF, DMF, RCMF",RDMF,33,DMF,30,RCMF,26,31,1994-04-03,1500000,2027-06-30,17,1666,0,0.89,0,0.87,13.4,54.03,Croatia,['Croatia'],right,180,74,False,8.97,6.48,69.17,1.35,44.0,0.27,0.35000000000000003,0.38,4.21,5.39,0.65,1,0.05,0,0.0,0.86,0.0,0,0.0,0.05,0,0.0,8,0.43,50.0,0.0,0.0,0.7000000000000001,61.54,0.27,40.0,0.43,75.0,0.05,0.59,36.36,3.19,35.59,0.27,1.08,0.0,24.96,0.38,0.65,37.98,85.35,11.56,73.36,7.02,94.62,34.14,88.92,3.13,51.72,16.99,33.57,0.05,0.7000000000000001,0.11,0.0,0.0,0.0,0.27,6.0,72.07,1.8900000000000001,57.14,0.65,58.33,0.81,0.38,5.94,70.91,92.46,13.61,0,,0,,0,0.0,0.0,0.0,,,0.16,,1.35,0.43,0.0,0.0,1.03,0,0
S. McKenna,Scott McKenna,318595,Dinamo Zagreb,Dinamo Zagreb,https://cdn5.wyscout.com/photos/team/public/231_120x120.png,Superleague,LCB,LCB,99,,0,,0,29,1996-11-12,9000000,2029-06-30,17,1665,1,1.09,0,0.05,12.59,63.95,Scotland,['Scotland'],left,189,74,False,5.73,3.73,66.67,5.78,71.96,0.11,0.16,0.54,3.14,4.6,0.97,3,0.16,0,0.0,0.11,0.05,1,0.05,0.06,1,0.05,8,0.43,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.46,33.33,0.7000000000000001,1.24,0.16,42.49,0.43,0.32,55.41,92.49,19.19,84.23,3.68,98.53,50.86,95.01,4.54,64.29,20.05,42.31,0.0,0.11,0.0,0.0,0.0,0.0,0.0,6.27,72.41,0.32,83.33,0.38,57.14,0.16,0.0,7.73,85.31,97.6,27.03,0,,0,,0,0.0,0.0,0.0,,,2.9699999999999998,,5.78,0.0,0.0,0.0,0.0,0,0
M. Zlomislić,Martin Zlomislić,478334,Rijeka,Rijeka,https://cdn5.wyscout.com/photos/team/public/233_120x120.png,Superleague,GK,GK,100,,0,,0,27,1998-08-16,150000,2027-06-30,17,1657,0,0.0,0,0.0,0.6000000000000001,100.0,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Croatia']",right,190,85,False,0.92,0.05,100.0,0.43,100.0,0.0,0.0,0.0,0.87,1.23,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,13.47,0.38,0.11,20.21,86.56,9.51,73.14,0.0,0.0,13.69,98.02,6.52,62.5,31.13,48.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,53.57,0.05,0.0,0.16,33.33,0.0,0.0,5.27,72.16,98.92,10.1,19,1.03,60,3.26,5,68.33,15.86,0.86,-3.14,-0.171,0.0,1.52,0.43,,,,0.0,0,0
