Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Perntreou,Kleton Perntreou,334270,Akritas,Akritas,https://cdn5.wyscout.com/photos/team/public/g7563_120x120.png,1. Division,GK,GK,100,,0,,0,31.0,1995-01-08,250000,2026-05-31,17,1695,0,0.0,0,0.0,0.6900000000000001,76.92,Albania,"['Albania', 'Greece']",right,191,74,False,1.22,0.05,100.0,0.27,80.0,0.0,0.0,0.05,1.17,1.42,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,66.67,0.0,0.0,0.05,8.44,0.11,0.27,14.92,81.49,8.28,68.59,0.0,0.0,8.07,98.68,6.8,61.72,34.41,48.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,44.83,0.0,0.0,0.0,0.0,0.0,0.0,4.67,77.27,98.31,6.27,28,1.49,79,4.19,5,64.56,21.96,1.17,-6.04,-0.321,0.0,1.7000000000000002,0.27,,,,0.0,0,0.0
Izuchukwu Anthony,Izuchukwu Jude Anthony,437524,Akritas,Akritas,https://cdn5.wyscout.com/photos/team/public/g7563_120x120.png,1. Division,RCB,RCB,91,,0,,0,28.0,1997-11-03,300000,2026-05-31,17,1679,0,0.45,0,0.48,9.76,61.54,Nigeria,['Nigeria'],both,187,87,False,8.9,3.91,80.82,2.14,50.0,0.0,0.0,0.8,5.74,7.01,0.7000000000000001,2,0.11,0,0.0,0.43,0.0,0,0.0,0.02,0,0.0,1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,70.0,2.04,52.63,0.32,0.48,0.05,19.4,0.32,0.27,32.7,88.69,15.6,80.41,1.6600000000000001,100.0,29.0,92.79,3.7,56.52,21.06,38.66,0.03,0.16,0.05,0.0,0.05,100.0,0.0,3.06,71.93,0.48,55.56,0.16,100.0,0.32,0.0,6.0,67.86,97.94,13.03,0,,0,,0,0.0,0.0,0.0,,,1.13,,2.14,0.0,0.0,0.0,0.0,0,0.0
N. Andereggen,Nicolás Andereggen,428930,Ethnikos Achnas,Ethnikos Achnas,https://cdn5.wyscout.com/photos/team/public/1282_120x120.png,1. Division,CF,CF,98,,0,,0,26.0,1999-09-22,300000,2026-05-31,17,1610,8,8.42,1,0.22,18.08,30.28,Argentina,"['Argentina', 'Switzerland']",right,176,74,False,3.65,2.74,35.42,3.25,21.05,0.17,0.24,0.11,2.51,3.52,1.54,3,0.17,0,0.0,1.65,0.45,8,0.46,0.48,1,0.06,36,2.05,55.56,22.222,0.06,0.5700000000000001,10.0,0.23,0.0,0.34,16.67,0.0,1.03,44.44,6.9,33.88,3.94,0.46,0.17,9.92,2.45,1.37,14.03,76.42,1.43,56.0,5.02,85.23,13.29,78.97,0.17,100.0,13.94,6.67,0.01,0.34,0.06,0.0,0.06,0.0,0.17,0.63,72.73,0.34,50.0,0.06,0.0,0.34,0.06,1.2,42.86,74.6,3.59,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.25,0.0,0.0,0.0,0.0,2,0.0
K. Panagi,Konstantinos Panagi,162560,Anorthosis,Anorthosis,https://cdn5.wyscout.com/photos/team/public/714_120x120.png,1. Division,GK,GK,100,,0,,0,31.0,1994-10-08,200000,2027-05-31,16,1597,0,0.0,0,0.0,0.39,85.71,Cyprus,['Cyprus'],right,188,80,False,1.69,0.0,0.0,0.17,66.67,0.0,0.0,0.0,1.69,2.35,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,7.33,0.11,0.06,12.91,83.84,8.34,76.35,0.0,0.0,6.54,95.69,6.31,72.32,33.53,44.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64,76.0,98.72,4.4,21,1.18,54,3.04,5,61.11,13.13,0.74,-7.87,-0.444,0.0,1.69,0.17,,,,0.0,0,0.0
C. Talichmanidis,Christos Talichmanidis,517484,Olympiakos,Olympiakos,https://cdn5.wyscout.com/photos/team/public/2626_120x120.png,1. Division,GK,GK,100,,0,,0,24.0,2001-03-16,250000,2026-05-31,16,1587,0,0.0,0,0.0,0.45,100.0,Greece,['Greece'],right,187,82,False,1.87,0.06,100.0,0.34,100.0,0.0,0.0,0.0,1.81,2.64,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.37,0.17,0.23,25.58,79.16,13.89,64.9,0.0,0.0,14.18,97.6,11.4,56.22,34.63,49.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7800000000000002,36.73,0.0,0.0,0.17,0.0,0.06,0.0,7.77,67.15,95.85,10.95,21,1.19,77,4.37,5,72.73,19.93,1.13,-1.07,-0.061,0.0,1.42,0.34,,,,0.0,0,0.0
I. Kostić,Ivan Kostić,458897,Omonia Aradippou,Omonia Aradippou,https://cdn5.wyscout.com/photos/team/public/g7627_120x120.png,1. Division,GK,GK,100,,0,,0,30.0,1995-10-24,200000,2026-05-31,16,1585,0,0.0,0,0.0,0.68,91.67,Serbia,['Serbia'],right,191,90,False,1.19,0.06,100.0,0.5700000000000001,100.0,0.0,0.0,0.0,1.1400000000000001,1.42,0.06,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,6.36,0.11,0.23,12.49,80.91,7.27,69.53,0.0,0.0,7.61,98.51,4.88,53.49,33.89,49.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,63.64,0.06,0.0,0.06,0.0,0.0,0.0,3.52,69.35,96.39,4.71,22,1.25,82,4.66,5,73.17,25.01,1.42,3.01,0.171,0.0,1.82,0.5700000000000001,,,,0.0,0,0.0
A. Confais,Aloïs Confais,281670,Ethnikos Achnas,Ethnikos Achnas,https://cdn5.wyscout.com/photos/team/public/1282_120x120.png,1. Division,"RCMF, LDMF, RDMF",RCMF,26,LDMF,25,RDMF,17,29.0,1996-09-07,250000,2026-05-31,16,1565,0,0.07,1,0.8300000000000001,13.63,57.66,France,['France'],right,174,61,False,7.06,5.4,72.73,2.15,45.71,0.43,0.61,0.12,2.7,3.86,0.92,2,0.12,1,0.06,0.92,0.0,0,0.0,0.0,0,0.0,5,0.31,0.0,0.0,0.06,0.92,60.0,0.25,75.0,0.68,54.55,0.0,0.55,66.67,3.93,48.44,0.25,0.55,0.06,32.72,0.18,1.23,46.6,87.75,14.0,75.0,7.98,95.38,41.99,91.52,3.74,50.82,17.12,28.41,0.05,0.74,0.0,0.0,0.0,0.0,0.37,5.83,77.89,1.96,56.25,0.37,33.33,0.43,0.55,6.8100000000000005,70.27,93.54,18.05,0,,0,,0,0.0,0.0,0.0,,,0.18,,2.15,0.06,0.0,0.0,0.25,0,0.0
J. van Mullem,Jeremy van Mullem,506324,Omonia Aradippou,Omonia Aradippou,https://cdn5.wyscout.com/photos/team/public/g7627_120x120.png,1. Division,"RCB, LCB3, LCB",RCB,25,LCB3,25,LCB,21,26.0,1999-03-18,300000,2027-05-31,16,1564,0,0.15,1,0.56,12.66,55.0,Netherlands,['Netherlands'],right,184,80,False,9.49,6.5,66.37,2.99,46.15,0.29,0.36,0.46,4.89,6.12,1.04,3,0.17,0,0.0,0.23,0.0,0,0.0,0.01,0,0.0,5,0.29,20.0,0.0,0.06,0.4,28.57,0.12,0.0,0.29,40.0,0.0,0.23,25.0,1.27,27.27,0.12,1.27,0.0,23.48,0.29,0.35000000000000003,37.29,83.18,19.22,76.65,1.96,91.18,31.94,88.11,4.95,55.81,20.85,39.5,0.03,0.29,0.06,0.12,0.12,0.0,0.23,6.5600000000000005,71.93,0.92,37.5,0.52,44.44,0.29,0.12,8.23,70.63,94.71,13.06,0,,0,,0,0.0,0.0,0.0,,,0.81,,2.99,0.06,0.06,0.0,0.0,0,0.0
K. Stafylidis,Konstantinos Stafylidis,159063,APOEL,APOEL,https://cdn5.wyscout.com/photos/team/public/1197_120x120.png,1. Division,LB,LB,92,,0,,0,32.0,1993-12-02,600000,2027-05-31,16,1560,0,0.51,5,3.01,15.12,64.89,Greece,['Greece'],left,178,74,False,9.46,6.17,70.09,1.38,66.67,0.6900000000000001,1.1400000000000001,0.12,4.44,7.31,0.98,2,0.12,0,0.0,2.83,0.0,0,0.0,0.03,0,0.0,22,1.27,27.27,0.0,0.29,4.04,30.0,4.04,30.0,0.0,0.0,0.35000000000000003,1.67,75.86,5.13,65.17,0.4,1.15,0.06,35.83,1.9,2.48,47.13,76.74,20.77,67.78,6.52,96.46,34.15,87.33,9.12,57.59,21.54,38.5,0.17,1.73,0.12,0.0,0.0,0.0,0.35000000000000003,8.65,63.33,4.44,37.66,0.35000000000000003,66.67,0.35000000000000003,1.1,12.12,78.57,79.76,14.25,0,,0,,0,0.0,0.0,0.0,,,1.04,,1.38,2.42,0.23,0.0,2.54,0,0.0
F. Brorsson,Franz Brorsson,377441,APOEL,APOEL,https://cdn5.wyscout.com/photos/team/public/1197_120x120.png,1. Division,RCB,RCB,94,,0,,0,29.0,1996-01-30,750000,2026-05-31,16,1557,0,1.3900000000000001,1,0.16,11.85,58.54,Sweden,['Sweden'],right,186,83,False,5.78,4.8,65.06,4.16,54.17,0.06,0.1,0.12,2.6,4.29,0.92,2,0.12,0,0.0,0.35000000000000003,0.0,0,0.0,0.08,0,0.0,7,0.4,42.86,0.0,0.06,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.17,66.67,0.98,58.82,0.87,0.6900000000000001,0.0,31.97,0.29,0.64,44.34,89.57,18.73,81.17,2.49,93.02,39.19,93.36,5.03,62.07,20.0,34.38,0.01,0.06,0.0,0.06,0.06,100.0,0.0,4.91,75.29,0.4,14.29,0.17,66.67,0.06,0.0,7.4,69.53,97.28,19.13,0,,0,,0,0.0,0.0,0.0,,,1.73,,4.16,0.0,0.0,0.0,0.0,0,0.0
