Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. El Houasli,Abderahmane El Houasli,432149,UTS Rabat,UTS Rabat,https://cdn5.wyscout.com/photos/team/public/g3475_120x120.png,Botola Pro,GK,GK,100,,0,,0,40.0,1984-12-20,0,2026-06-30,7,726,0,0.0,0,0.0,0.5,75.0,Morocco,['Morocco'],right,185,0,False,1.98,0.0,0.0,0.5,75.0,0.0,0.0,0.0,1.98,3.04,0.0,1,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.66,0.37,0.12,16.98,84.67,9.05,76.71,0.0,0.0,9.17,100.0,7.8100000000000005,66.67,35.26,48.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,56.25,0.37,0.0,0.0,0.0,0.0,0.0,5.45,72.73,93.75,7.93,10,1.24,28,3.47,0,64.29,10.07,1.25,0.07,0.009000000000000001,0.0,0.87,0.5,,,,0.0,0,0
A. Benaadi,Ayoub Benaadi,-577493,Olympique Dcheïra,Olympique Dcheïra,https://cdn5.wyscout.com/photos/team/public/g30949_120x120.png,Botola Pro,"CF, AMF, LW",CF,62,AMF,15,LW,12,32.0,1992-12-29,0,,7,723,3,2.81,0,1.69,18.3,42.18,Morocco,['Morocco'],unknown,0,0,False,3.36,2.24,61.11,0.87,28.57,0.12,0.18,0.0,1.87,2.63,0.5,1,0.12,0,0.0,5.1,0.37,1,0.12,0.35000000000000003,0,0.0,16,1.99,50.0,18.75,0.0,5.35,44.19,4.23,44.12,1.12,44.44,0.75,3.11,52.0,13.57,41.28,1.87,2.49,0.0,26.51,2.49,2.49,39.21,71.75,15.93,65.63,5.48,90.91,28.38,81.58,5.48,47.73,20.38,36.2,0.21,1.74,0.0,0.0,0.25,50.0,1.12,8.71,65.71,7.22,46.55,1.99,37.5,0.87,2.24,10.83,80.46,67.74,11.58,0,,0,,0,0.0,0.0,0.0,,,0.12,,0.87,2.49,0.12,100.0,2.24,2,100
M. Idar,Mohamed Idar,-577491,Olympique Dcheïra,Olympique Dcheïra,https://cdn5.wyscout.com/photos/team/public/g30949_120x120.png,Botola Pro,GK,GK,100,,0,,0,39.0,1986-01-24,0,,7,723,0,0.0,0,0.0,1.0,100.0,Morocco,['Morocco'],right,0,0,False,1.49,0.37,100.0,0.25,100.0,0.0,0.0,0.0,1.12,1.58,0.0,1,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,100.0,0.0,0.0,0.0,8.22,0.25,0.62,15.19,79.51,10.21,73.17,0.0,0.0,8.22,95.45,6.97,60.71,35.96,47.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,63.16,0.0,0.0,0.12,0.0,0.0,0.0,5.98,70.83,92.31,4.85,9,1.12,30,3.73,1,70.0,7.0,0.87,-2.0,-0.249,0.0,1.49,0.25,,,,0.0,0,0
A. Zine,Achraf Zine,-738927,Yacoub El Mansour,Yacoub El Mansour,https://cdn5.wyscout.com/photos/team/public/g-24365_120x120.png,Botola Pro,RCB,RCB,100,,0,,0,25.0,2000-03-15,0,,7,714,0,0.9,0,0.01,12.1,61.46,Morocco,['Morocco'],right,0,0,False,8.82,5.17,70.73,4.16,51.52,1.01,1.63,0.5,4.16,6.73,0.38,1,0.13,0,0.0,0.13,0.0,0,0.0,0.11,0,0.0,4,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,50.0,1.3900000000000001,63.64,0.88,2.27,0.25,27.35,0.76,0.63,40.21,80.56,17.14,68.38,3.4,92.59,33.15,88.21,6.8100000000000005,46.3,23.04,43.95,0.0,0.13,0.0,0.0,0.0,0.0,0.0,7.82,62.9,1.01,62.5,0.5,75.0,0.88,0.0,9.2,63.01,92.25,16.26,0,,0,,0,0.0,0.0,0.0,,,2.14,,4.16,0.0,0.0,0.0,0.0,0,0
Z. Marour,Zouhair Marour,-167236,Yacoub El Mansour,Yacoub El Mansour,https://cdn5.wyscout.com/photos/team/public/g-24365_120x120.png,Botola Pro,LCB,LCB,100,,0,,0,30.0,1995-03-19,650000,,7,714,0,0.0,1,0.32,12.61,57.0,Morocco,['Morocco'],left,182,0,False,7.82,3.7800000000000002,70.0,4.79,57.89,0.25,0.41000000000000003,0.88,4.92,7.96,0.25,0,0.0,0,0.0,0.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.13,0.38,66.67,0.25,50.0,0.13,100.0,0.0,0.38,66.67,2.9,43.48,0.25,2.77,0.25,25.46,0.63,0.88,39.96,84.54,18.53,76.87,2.52,90.0,34.16,90.41,5.42,48.84,21.1,35.38,0.04,0.5,0.0,0.0,0.13,0.0,0.13,6.55,71.15,1.13,55.56,0.38,66.67,0.5,0.38,9.08,80.56,93.22,14.87,0,,0,,0,0.0,0.0,0.0,,,1.51,,4.79,0.13,0.0,0.0,0.0,0,0
N. Azzoubairi,Nassim Azzoubairi,-738939,Yacoub El Mansour,Yacoub El Mansour,https://cdn5.wyscout.com/photos/team/public/g-24365_120x120.png,Botola Pro,LB,LB,100,,0,,0,30.0,1995-11-04,0,,7,697,0,0.1,0,0.13,18.08,54.29,Morocco,['Morocco'],unknown,0,0,False,9.68,8.91,52.17,3.87,56.67,0.77,1.27,0.13,4.26,6.97,2.45,3,0.39,0,0.0,1.55,0.0,0,0.0,0.01,0,0.0,4,0.52,0.0,0.0,0.0,3.87,26.67,3.87,26.67,0.0,0.0,0.52,0.65,80.0,4.0,51.61,0.77,0.9,0.0,21.82,3.62,1.81,33.06,68.36,13.3,62.14,5.68,95.45,25.57,78.28,3.62,42.86,20.53,33.69,0.02,0.13,0.0,0.0,0.0,0.0,0.0,4.39,55.88,3.1,37.5,0.65,40.0,0.26,1.29,7.49,56.9,70.59,8.78,0,,0,,0,0.0,0.0,0.0,,,0.65,,3.87,0.39,0.13,0.0,0.0,0,0
K. Cheick,Keita Cheick,-577502,Olympique Dcheïra,Olympique Dcheïra,https://cdn5.wyscout.com/photos/team/public/g30949_120x120.png,Botola Pro,LCB,LCB,100,,0,,0,25.0,1999-11-23,0,,7,677,0,0.05,0,0.01,11.43,68.6,Morocco,['Morocco'],unknown,0,0,False,5.85,3.99,63.33,6.12,73.91,0.0,0.0,0.93,3.32,4.78,0.93,2,0.27,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.13,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.4,0.27,0.0,15.69,0.27,0.27,26.99,79.8,11.57,66.67,1.8599999999999999,100.0,21.0,87.97,5.85,52.27,24.46,39.51,0.0,0.13,0.0,0.0,0.0,0.0,0.0,4.92,51.35,0.8,16.67,0.13,0.0,0.13,0.0,5.72,65.12,89.13,12.23,0,,0,,0,0.0,0.0,0.0,,,1.46,,6.12,0.0,0.0,0.0,0.0,0,0
R. Lamkadem,Redouan Ait Lamkadem,-371066,UTS Rabat,UTS Rabat,https://cdn5.wyscout.com/photos/team/public/g3475_120x120.png,Botola Pro,"LB, LW, LCMF",LB,44,LW,28,LCMF,15,28.0,1997-10-06,0,,7,658,0,0.15,0,0.27,14.77,46.3,Morocco,['Morocco'],both,175,0,False,5.74,5.88,51.16,1.6400000000000001,25.0,0.41000000000000003,0.63,0.0,2.33,3.54,1.37,2,0.27,0,0.0,2.05,0.0,0,0.0,0.02,0,0.0,2,0.27,100.0,0.0,0.0,1.5,45.45,1.09,62.5,0.41000000000000003,0.0,0.14,1.9100000000000001,57.14,5.33,46.15,0.14,1.5,0.27,16.28,1.37,1.5,25.85,77.78,9.85,65.28,4.51,96.97,20.38,85.23,4.1,53.33,19.32,32.07,0.04,0.41000000000000003,0.0,0.0,0.14,0.0,0.27,4.92,61.11,2.05,40.0,0.14,0.0,0.41000000000000003,0.55,4.65,67.65,79.31,7.93,0,,0,,0,0.0,0.0,0.0,,,0.68,,1.6400000000000001,0.14,0.0,0.0,0.27,0,0
Y. Dahmani,Youness Dahmani,-672884,UTS Rabat,UTS Rabat,https://cdn5.wyscout.com/photos/team/public/g3475_120x120.png,Botola Pro,"LW, RW, LAMF",LW,48,RW,34,LAMF,11,24.0,2000-12-18,0,,7,648,3,2.0,0,0.26,15.83,35.96,Morocco,['Morocco'],,0,0,False,4.03,4.31,35.48,1.67,8.33,0.0,0.0,0.0,2.5,3.8,1.11,1,0.14,0,0.0,2.64,0.42,1,0.14,0.28,0,0.0,13,1.81,30.77,23.077,0.0,1.11,37.5,0.97,28.57,0.14,100.0,0.56,3.06,54.55,8.61,40.32,1.94,1.94,0.0,11.94,2.22,1.25,16.53,68.91,4.44,43.75,4.44,93.75,13.61,74.49,1.81,46.15,18.35,32.07,0.04,0.6900000000000001,0.0,0.0,0.14,0.0,0.42,1.67,50.0,1.94,50.0,0.28,0.0,0.97,0.28,2.64,73.68,66.67,5.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.67,0.28,0.0,0.0,0.8300000000000001,2,100
R. Oubidar,Redouane Oubidar,-739026,Olympique Dcheïra,Olympique Dcheïra,https://cdn5.wyscout.com/photos/team/public/g30949_120x120.png,Botola Pro,"LCMF, RCMF",LCMF,84,RCMF,15,,0,27.0,1998-04-11,0,,7,637,0,0.17,0,0.05,14.69,57.69,Morocco,['Morocco'],unknown,0,0,False,6.78,6.36,68.89,1.4100000000000001,50.0,0.28,0.39,0.14,2.12,2.92,0.99,0,0.0,0,0.0,0.71,0.0,0,0.0,0.02,0,0.0,4,0.5700000000000001,25.0,0.0,0.0,0.28,50.0,0.14,100.0,0.14,0.0,0.0,0.85,50.0,4.95,54.29,0.42,0.28,0.0,16.95,0.0,2.26,30.09,75.12,11.73,62.65,3.67,96.15,27.83,78.17,1.98,35.71,16.92,36.78,0.01,0.14,0.0,0.0,0.14,0.0,0.0,5.09,61.11,1.27,44.44,0.14,0.0,0.28,0.14,5.09,63.89,85.51,9.75,0,,0,,0,0.0,0.0,0.0,,,0.14,,1.4100000000000001,0.0,0.0,0.0,0.0,0,0
