Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Ruiz,Luis Ernesto Ruiz Bustillos,-87699,Dorados,Dorados,https://cdn5.wyscout.com/photos/team/public/3253_120x120.png,Liga de Expansión MX,"RCB, CB, LCB",RCB,48,CB,24,LCB,15,23.0,2002-05-21,0,,10,1029,0,0.36,0,0.0,11.52,63.03,Mexico,['Mexico'],right,172,70,False,9.77,4.94,64.71,4.35,66.67,0.58,0.7000000000000001,1.06,6.0,7.21,0.97,1,0.09,0,0.0,0.1,0.0,0,0.0,0.04,0,0.0,3,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.39,50.0,0.39,0.77,0.19,25.26,0.29,0.77,37.74,88.21,11.32,74.36,4.06,92.86,34.45,91.85,3.29,50.0,20.45,34.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,62.07,0.1,0.0,0.1,100.0,0.0,0.0,5.52,52.63,97.35,18.29,0,,0,,0,0.0,0.0,0.0,,,3.0,,4.35,0.0,0.0,0.0,0.0,0,0
S. Zamora,Saúl Zamora Romero,-88524,Tapatío,Tapatío,https://cdn5.wyscout.com/photos/team/public/g-12736_120x120.png,Liga de Expansión MX,"LCMF, DMF, RCMF",LCMF,37,DMF,34,RCMF,28,22.0,2003-03-26,800000,,10,1021,0,0.28,1,0.64,9.96,57.52,Mexico,['Mexico'],left,172,67,False,7.4,5.02,71.93,1.4100000000000001,56.25,0.44,0.59,0.26,3.35,4.47,0.79,2,0.18,0,0.0,0.44,0.0,0,0.0,0.02,0,0.0,4,0.35000000000000003,50.0,0.0,0.09,0.26,66.67,0.26,66.67,0.0,0.0,0.18,0.35000000000000003,25.0,2.64,36.67,0.35000000000000003,0.71,0.0,25.74,0.18,0.88,36.67,91.35,8.37,81.05,6.26,95.77,33.32,93.92,3.09,65.71,19.81,35.7,0.06,0.35000000000000003,0.0,0.09,0.0,0.0,0.26,5.29,76.67,0.71,37.5,0.09,100.0,0.18,0.18,5.2,77.97,94.44,17.45,0,,0,,0,0.0,0.0,0.0,,,1.94,,1.4100000000000001,0.0,0.0,0.0,0.18,0,0
D. Cisneros,Daniel Cisneros González,160355,Correcaminos UAT,Correcaminos UAT,https://cdn5.wyscout.com/photos/team/public/3254_120x120.png,Liga de Expansión MX,"LCMF, RCMF",LCMF,74,RCMF,10,,0,33.0,1992-01-27,300000,,10,1002,0,0.29,0,0.44,15.81,44.89,Mexico,['Mexico'],left,170,68,False,7.37,5.48,62.3,1.71,36.84,0.63,0.7000000000000001,0.0,3.32,3.69,1.08,3,0.27,0,0.0,0.9,0.0,0,0.0,0.03,0,0.0,5,0.45,40.0,0.0,0.0,1.44,25.0,1.08,25.0,0.27,33.33,0.09,0.81,44.44,6.2,33.33,0.54,0.72,0.27,24.52,0.99,0.99,33.86,83.55,12.93,81.25,3.68,82.93,28.92,89.13,3.59,60.0,17.54,28.23,0.04,0.9,0.0,0.0,0.18,0.0,0.0,6.5600000000000005,78.08,1.62,33.33,0.18,50.0,0.27,0.36,6.29,75.71,86.05,11.59,0,,0,,0,0.0,0.0,0.0,,,0.36,,1.71,0.36,0.0,0.0,0.81,0,0
R. Castellanos,Rubèn Darìo Castellanos Garza,-88979,Correcaminos UAT,Correcaminos UAT,https://cdn5.wyscout.com/photos/team/public/3254_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,24.0,2001-01-19,150000,,10,975,0,0.0,0,0.0,0.65,71.43,Mexico,['Mexico'],left,186,79,False,2.03,0.09,0.0,0.28,100.0,0.0,0.0,0.0,2.03,2.2800000000000002,0.09,2,0.18,1,0.09,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.0,6.37,0.18,0.09,14.58,84.18,8.58,73.12,0.0,0.0,9.05,96.94,5.54,63.33,35.94,50.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,69.57,0.09,0.0,0.18,50.0,0.09,0.0,4.71,70.59,100.0,5.45,26,2.4,64,5.91,1,59.38,19.71,1.82,-6.29,-0.581,0.0,1.02,0.28,,,,0.0,0,0
J. Venegas,Jesús Alejandro Venegas Vergara,331512,Tepatitlán de Morelos,Tepatitlán de Morelos,https://cdn5.wyscout.com/photos/team/public/g34012_120x120.png,Liga de Expansión MX,"RCMF, RDMF, DMF",RCMF,46,RDMF,21,DMF,15,30.0,1995-03-30,700000,,10,971,0,0.2,1,0.1,11.12,60.83,Mexico,['Mexico'],right,176,68,False,10.1,5.93,68.75,2.41,42.31,0.65,0.89,0.65,5.38,7.37,0.74,2,0.19,0,0.0,0.37,0.0,0,0.0,0.02,0,0.0,6,0.56,0.0,0.0,0.09,0.65,28.57,0.09,0.0,0.56,33.33,0.0,0.19,100.0,1.02,63.64,0.09,0.46,0.09,24.1,0.09,0.19,40.13,81.06,16.96,71.58,3.89,90.48,33.74,87.64,5.84,47.62,21.38,43.16,0.01,0.37,0.09,0.0,0.0,0.0,0.09,7.6,62.2,1.3900000000000001,26.67,0.37,0.0,0.09,0.09,8.25,75.28,89.66,16.13,0,,0,,0,0.0,0.0,0.0,,,0.74,,2.41,0.0,0.0,0.0,0.19,0,0
A. Ledesma,Arturo Javier Ledesma Pérez,17197,Universidad Guadalajara,Universidad Guadalajara,https://cdn5.wyscout.com/photos/team/public/g1494_120x120.png,Liga de Expansión MX,"RCB, CB",RCB,87,CB,12,,0,37.0,1988-05-25,200000,,9,937,0,0.0,0,0.0,11.06,63.11,Mexico,['Mexico'],right,182,77,False,8.38,5.69,79.25,3.22,60.0,0.11,0.14,0.32,3.76,4.86,0.43,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,25.0,0.32,1.4,0.11,23.41,0.11,0.21,34.9,87.38,14.71,79.56,3.22,100.0,29.86,92.45,5.05,57.45,21.55,39.62,0.0,0.0,0.11,0.0,0.0,0.0,0.0,4.62,69.77,0.43,50.0,0.54,40.0,0.21,0.0,6.87,70.31,93.02,13.85,0,,0,,0,0.0,0.0,0.0,,,2.68,,3.22,0.0,0.0,0.0,0.0,0,0
J. Sánchez,Jonathan Alejandro Sánchez Hernández,284815,Universidad Guadalajara,Universidad Guadalajara,https://cdn5.wyscout.com/photos/team/public/g1494_120x120.png,Liga de Expansión MX,"LCB, LCB3",LCB,87,LCB3,12,,0,31.0,1994-03-13,750000,,9,937,0,0.24,0,0.03,8.38,50.0,Mexico,['Mexico'],right,183,82,False,6.01,4.19,58.97,3.01,35.71,0.0,0.0,0.43,3.54,4.58,0.97,4,0.38,0,0.0,0.11,0.0,0,0.0,0.03,0,0.0,3,0.32,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,66.67,0.21,1.29,0.0,24.06,0.54,0.43,35.55,81.87,16.97,66.46,2.26,85.71,28.03,91.57,7.52,45.71,25.64,46.42,0.0,0.11,0.0,0.0,0.0,0.0,0.0,6.44,58.33,0.75,28.57,0.97,33.33,0.0,0.0,8.81,70.73,97.08,14.71,0,,0,,0,0.0,0.0,0.0,,,1.83,,3.01,0.0,0.0,0.0,0.0,0,0
F. López,Felipe López Gutiérrez,310456,Universidad Guadalajara,Universidad Guadalajara,https://cdn5.wyscout.com/photos/team/public/g1494_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,29.0,1995-12-30,300000,,9,937,0,0.0,0,0.0,0.21,50.0,Mexico,['Mexico'],right,178,72,False,1.07,0.0,0.0,0.21,50.0,0.0,0.0,0.0,1.07,1.3900000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28,0.0,0.11,20.19,84.57,11.17,75.0,0.0,0.0,13.96,96.92,6.23,56.9,32.31,46.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,40.0,0.21,0.0,0.11,0.0,0.0,0.0,5.26,59.18,97.5,8.59,12,1.29,43,4.62,0,72.09,10.5,1.13,-1.5,-0.161,0.0,1.18,0.21,,,,0.0,0,0
U. Torres,Ulises Torres Méndez,417770,Universidad Guadalajara,Universidad Guadalajara,https://cdn5.wyscout.com/photos/team/public/g1494_120x120.png,Liga de Expansión MX,LB,LB,87,,0,,0,27.0,1998-02-17,600000,,9,937,0,0.02,0,0.47000000000000003,18.79,63.43,Mexico,['Mexico'],left,179,71,False,13.53,10.31,75.0,2.15,65.0,0.43,0.56,0.11,5.37,6.94,1.29,4,0.38,0,0.0,1.29,0.0,0,0.0,0.0,0,0.0,1,0.11,0.0,0.0,0.0,2.9,18.52,2.79,19.23,0.11,0.0,0.43,1.18,63.64,4.4,48.78,0.75,1.5,0.11,25.13,0.97,1.4,37.91,71.39,17.61,68.9,5.16,95.83,28.68,84.27,6.44,38.33,22.09,36.73,0.05,0.64,0.0,0.0,0.21,0.0,0.0,8.27,67.53,3.01,35.71,1.07,30.0,0.43,0.54,9.99,78.49,68.89,9.67,0,,0,,0,0.0,0.0,0.0,,,1.4,,2.15,0.11,0.0,0.0,0.0,0,0
C. Andrade,Christopher Josué Andrade Martín,-87314,Cancún,Cancún,https://cdn5.wyscout.com/photos/team/public/g-12734_120x120.png,Liga de Expansión MX,GK,GK,100,,0,,0,24.0,2001-07-02,0,,9,932,0,0.0,0,0.0,0.77,100.0,Mexico,['Mexico'],right,192,90,False,0.97,0.1,100.0,0.68,100.0,0.0,0.0,0.0,0.87,1.0,0.0,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,7.63,0.1,0.0,14.1,74.66,8.11,57.14,0.1,100.0,8.3,97.67,5.7,42.37,35.75,55.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,25.0,0.87,11.11,0.29,66.67,0.19,0.0,3.38,65.71,97.96,4.73,4,0.39,37,3.5700000000000003,7,89.19,8.27,0.8,4.27,0.41200000000000003,0.1,1.83,0.68,,,,0.0,0,0
