Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Schulz,Kwabe Schulz,483452,Sandhausen,Sandhausen,https://cdn5.wyscout.com/photos/team/public/1130_120x120.png,Regionalliga Südwest,"LCB, CB, LCB3",LCB,51,CB,32,LCB3,12,27.0,1998-10-06,75000,2027-06-30,32,3130,1,0.6000000000000001,1,0.34,14.98,57.39,Germany,"['Germany', 'Ghana']",left,189,80,False,9.32,6.7,65.67,3.5700000000000003,60.48,0.23,0.29,0.66,4.69,5.95,1.21,7,0.2,0,0.0,0.37,0.03,1,0.03,0.02,0,0.0,5,0.14,40.0,20.0,0.03,0.29,60.0,0.14,60.0,0.12,50.0,0.0,0.35000000000000003,41.67,2.1,26.03,0.32,0.72,0.0,36.03,0.14,0.17,49.83,87.02,20.7,76.81,2.42,98.81,43.02,93.05,6.53,48.46,20.73,42.38,0.01,0.2,0.0,0.03,0.03,0.0,0.09,5.61,56.92,0.98,41.18,0.49,29.41,0.32,0.14,7.88,70.07,94.52,20.47,0,,0,,0,0.0,0.0,0.0,,,1.78,,3.5700000000000003,0.03,0.0,0.0,0.0,0,0.0
M. Reule,Maximilian Reule,242845,Sonnenhof Großaspach,Sonnenhof Großaspach,https://cdn5.wyscout.com/photos/team/public/g5882_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,32.0,1994-02-01,0,2027-06-30,32,3123,0,0.0,0,0.0,0.72,84.0,Germany,['Germany'],right,188,84,False,1.21,0.06,0.0,0.37,100.0,0.0,0.0,0.0,1.21,1.71,0.0,2,0.06,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.17,100.0,0.0,0.03,0.0,17.78,0.37,0.26,27.06,88.82,14.55,80.79,0.0,0.0,18.18,98.42,8.82,69.61,27.81,44.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,54.55,0.06,0.0,0.09,0.0,0.03,0.0,6.22,74.07,98.67,10.81,39,1.12,135,3.89,7,71.11,40.7,1.17,1.7000000000000002,0.049,0.0,1.01,0.37,,,,0.0,0,0.0
J. Weyand,Jonas Weyand,468041,Hessen Kassel,Hessen Kassel,https://cdn5.wyscout.com/photos/team/public/g5863_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,25.0,2000-12-03,25000,2026-06-30,32,3116,0,0.0,0,0.0,1.1,81.58,Germany,['Germany'],right,191,84,False,1.85,0.26,55.56,0.55,94.74,0.03,0.04,0.0,1.6800000000000002,2.35,0.0,3,0.09,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.17,66.67,0.0,0.0,0.0,14.99,0.14,0.35000000000000003,25.85,88.83,12.68,78.82,0.0,0.0,17.27,98.83,8.52,69.15,29.67,45.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500000000000001,36.36,0.12,0.0,0.09,66.67,0.0,0.0,7.37,75.69,99.52,12.04,50,1.44,152,4.39,5,67.11,54.65,1.58,4.65,0.134,0.0,1.82,0.55,,,,0.0,0,0.0
A. Sanchez,Adrian Bravo-Sanchez,452584,Hessen Kassel,Hessen Kassel,https://cdn5.wyscout.com/photos/team/public/g5863_120x120.png,Regionalliga Südwest,"CF, RCMF, AMF",CF,24,RCMF,21,AMF,20,32.0,1993-10-28,125000,2027-06-30,31,3020,4,3.9699999999999998,11,10.08,8.52,41.26,Germany,['Germany'],left,178,0,False,2.83,2.74,60.87,1.1,27.03,0.09,0.13,0.03,1.07,1.51,0.63,7,0.21,0,0.0,1.88,0.12,4,0.12,0.12,0,0.0,31,0.92,41.94,12.903,0.33,2.18,39.73,0.66,22.73,1.49,46.0,0.48,0.92,35.48,3.31,31.53,1.82,1.28,0.06,37.79,1.19,0.54,49.2,82.31,16.57,73.02,10.1,94.4,42.05,87.81,5.19,54.02,18.34,33.11,0.30000000000000004,2.89,0.12,0.06,0.48,62.5,0.72,8.31,67.74,4.62,56.13,1.1,51.35,1.97,0.77,8.7,81.85,84.2,15.47,0,,0,,0,0.0,0.0,0.0,,,0.36,,1.1,1.43,0.15,40.0,5.36,0,0.0
J. Brinkies,Johannes Brinkies,164775,Kickers Offenbach,Kickers Offenbach,https://cdn5.wyscout.com/photos/team/public/345_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,32.0,1993-06-20,175000,2026-06-30,31,3017,0,0.0,0,0.0,0.66,77.27,Germany,['Germany'],both,188,87,False,1.16,0.21,57.14,0.36,83.33,0.03,0.04,0.0,1.01,1.25,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.06,0.0,0.0,11.07,0.18,0.12,19.27,87.46,10.32,78.32,0.03,100.0,11.13,98.93,8.14,71.79,31.66,45.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,56.41,0.0,0.0,0.03,0.0,0.0,0.0,6.29,83.41,98.11,7.88,52,1.55,171,5.1,6,69.59,55.27,1.65,3.27,0.098,0.0,1.34,0.36,,,,0.0,0,0.0
M. Gelt,Michael Gelt,-76405,Homburg,Homburg,https://cdn5.wyscout.com/photos/team/public/g2374_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,24.0,2002-02-05,75000,2027-06-30,31,3000,0,0.0,0,0.05,0.42,71.43,Germany,['Germany'],right,182,77,False,1.53,0.15,40.0,0.18,83.33,0.0,0.0,0.0,1.47,2.05,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,23.73,0.30000000000000004,0.06,34.74,83.07,17.28,68.92,0.03,100.0,21.57,98.19,13.14,58.45,31.92,46.83,0.0,0.03,0.0,0.0,0.0,0.0,0.03,2.85,44.21,0.30000000000000004,20.0,0.42,28.57,0.03,0.0,8.67,66.44,97.08,16.44,38,1.1400000000000001,123,3.69,6,69.11,38.59,1.16,0.59,0.018000000000000002,0.0,0.9,0.18,,,,0.0,0,0.0
R. Novakovic,Radomir Novakovic,468572,Eintracht Trier,Eintracht Trier,https://cdn5.wyscout.com/photos/team/public/2687_120x120.png,Regionalliga Südwest,GK,GK,100,,0,,0,26.0,2000-01-24,0,2027-06-30,31,2994,0,0.45,0,0.01,0.72,66.67,Germany,"['Germany', 'Serbia']",right,192,80,False,1.5899999999999999,0.24,25.0,0.39,92.31,0.0,0.0,0.0,1.53,1.9,0.03,3,0.09,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.03,0.0,0.0,19.54,0.30000000000000004,0.09,28.68,88.26,11.48,73.04,0.0,0.0,20.62,98.69,8.06,61.57,28.87,43.98,0.0,0.03,0.0,0.0,0.0,0.0,0.03,2.13,50.7,0.24,25.0,0.18,33.33,0.06,0.0,6.25,74.04,98.47,15.72,47,1.4100000000000001,127,3.8200000000000003,7,62.99,39.44,1.19,-7.5600000000000005,-0.227,0.0,1.23,0.39,,,,0.0,0,0.0
T. Weißmann,Tim Weißmann,375687,FSV Frankfurt,FSV Frankfurt,https://cdn5.wyscout.com/photos/team/public/1117_120x120.png,Regionalliga Südwest,"LCB, LCB3, CB",LCB,44,LCB3,41,CB,11,28.0,1997-06-02,75000,2026-06-30,31,2993,1,2.24,0,0.02,9.8,61.96,Germany,['Germany'],,0,0,False,8.6,4.48,71.14,2.83,57.45,0.27,0.36,0.5700000000000001,5.14,6.78,0.54,3,0.09,0,0.0,0.30000000000000004,0.03,1,0.03,0.07,1,0.03,14,0.42,28.57,7.143,0.0,0.12,50.0,0.12,50.0,0.0,0.0,0.0,0.18,66.67,1.05,54.29,0.81,0.39,0.0,30.1,0.18,0.6000000000000001,43.39,86.76,18.97,75.91,2.74,96.7,37.62,92.33,5.65,50.53,20.69,35.16,0.0,0.06,0.03,0.0,0.03,0.0,0.0,4.6,62.09,0.42,21.43,0.45,13.33,0.12,0.06,7.85,70.88,96.32,17.14,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,2.83,0.0,0.0,0.0,0.0,0,0.0
L. Kolbe,Louis Kolbe,-150101,Sandhausen,Sandhausen,https://cdn5.wyscout.com/photos/team/public/1130_120x120.png,Regionalliga Südwest,"RB, RWB, RB5",RB,52,RWB,25,RB5,14,22.0,2004-03-11,100000,2027-06-30,32,2983,4,3.03,6,6.0,18.37,52.22,Germany,['Germany'],right,174,67,False,8.18,6.4,58.02,1.75,43.1,0.21,0.27,0.15,4.25,5.34,0.91,6,0.18,0,0.0,5.04,0.12,4,0.12,0.09,0,0.0,32,0.97,25.0,12.5,0.18,4.95,43.9,0.09,66.67,4.8,42.77,0.48,4.1,63.97,8.54,52.65,1.72,2.9,0.6000000000000001,16.53,1.51,1.6600000000000001,26.73,70.2,7.69,56.08,5.28,92.0,19.61,81.08,2.41,35.0,20.06,33.76,0.18,1.21,0.09,0.0,0.03,0.0,0.6900000000000001,2.08,50.72,3.89,50.39,0.15,40.0,0.45,2.14,6.34,61.9,68.33,9.05,0,,0,,0,0.0,0.0,0.0,,,0.66,,1.75,0.0,0.0,0.0,0.0,0,0.0
T. Steinmetz,Tim Steinmetz,-34213,Homburg,Homburg,https://cdn5.wyscout.com/photos/team/public/g2374_120x120.png,Regionalliga Südwest,RB,RB,100,,0,,0,26.0,1999-09-15,100000,2027-06-30,32,2979,1,0.88,3,3.79,12.87,59.86,Germany,['Germany'],left,170,59,False,8.07,6.65,70.91,1.63,44.44,0.06,0.08,0.39,3.29,4.57,0.33,1,0.03,0,0.0,2.27,0.03,1,0.03,0.03,0,0.0,14,0.42,28.57,7.143,0.09,2.96,36.73,0.0,0.0,2.9,37.5,0.33,1.6600000000000001,58.18,3.23,49.53,0.79,1.78,0.21,34.83,2.11,0.21,48.82,81.13,21.48,73.84,8.01,98.87,39.12,88.57,6.83,57.52,20.07,34.49,0.11,0.8200000000000001,0.0,0.06,0.15,60.0,0.30000000000000004,7.07,73.93,3.5,49.14,0.45,33.33,0.73,1.06,11.72,76.29,82.01,12.93,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,1.63,0.0,0.0,0.0,0.0,0,0.0
