Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Jungwirth,Lukas Jungwirth,-153264,LASK,LASK,https://cdn5.wyscout.com/photos/team/public/421_120x120.png,Bundesliga,GK,GK,100,,0,,0,21,2004-04-30,200000,2029-06-30,24,2376,0,0.0,0,0.0,0.72,68.42,Austria,['Austria'],right,177,78,False,1.48,0.11,66.67,0.45,75.0,0.0,0.0,0.0,1.4,2.0,0.08,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,12.16,0.19,0.04,18.98,86.23,8.75,71.86,0.0,0.0,13.98,98.1,4.92,53.85,29.45,42.59,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.98,19.23,0.15,0.0,0.11,0.0,0.0,0.0,4.02,66.04,99.18,9.2,34,1.29,108,4.09,8,68.52,30.96,1.17,-3.04,-0.115,0.0,1.1,0.45,,,,0.0,0,0.0
S. Şahin-Radlinger,Samuel Şahin-Radlinger,124874,Austria Wien,Austria Wien,https://cdn5.wyscout.com/photos/team/public/422_120x120.png,Bundesliga,GK,GK,100,,0,,0,33,1992-11-07,400000,2027-06-30,24,2360,0,0.08,0,0.0,0.8,80.95,Austria,['Austria'],right,198,85,False,1.72,0.15,50.0,0.38,90.0,0.0,0.0,0.0,1.6400000000000001,2.37,0.0,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,1,0.04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.04,0.0,0.0,13.65,0.6900000000000001,0.15,20.06,90.68,10.22,83.96,0.04,100.0,14.68,98.18,5.38,70.21,28.91,47.61,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.37,55.56,0.04,0.0,0.11,0.0,0.04,0.0,5.0,76.34,97.9,9.08,35,1.33,93,3.55,7,62.37,30.08,1.15,-4.92,-0.188,0.0,1.4100000000000001,0.38,,,,0.0,0,0.0
B. Markuš,Benjamin Markuš,-136692,Hartberg,Hartberg,https://cdn5.wyscout.com/photos/team/public/2105_120x120.png,Bundesliga,"DMF, RCMF",DMF,86,RCMF,10,,0,25,2001-01-30,400000,2027-06-30,24,2294,0,1.06,1,0.74,14.52,57.84,Slovenia,['Slovenia'],right,185,75,False,9.06,6.83,66.67,2.63,47.76,0.0,0.0,0.67,4.51,4.8,1.18,2,0.08,0,0.0,0.47000000000000003,0.0,0,0.0,0.04,0,0.0,17,0.67,17.65,0.0,0.04,0.16,50.0,0.08,0.0,0.08,100.0,0.0,0.43,54.55,2.63,44.78,0.47000000000000003,0.24,0.04,19.15,0.12,0.8200000000000001,30.41,78.45,11.81,60.13,2.98,94.74,26.56,82.87,3.69,47.87,19.18,34.72,0.03,0.24,0.0,0.0,0.04,100.0,0.12,4.28,60.55,0.55,42.86,0.55,14.29,0.16,0.08,6.16,54.78,92.88,11.57,0,,0,,0,0.0,0.0,0.0,,,0.16,,2.63,0.04,0.0,0.0,0.04,0,0.0
R. Ranftl,Reinhold Ranftl,141187,Austria Wien,Austria Wien,https://cdn5.wyscout.com/photos/team/public/422_120x120.png,Bundesliga,"RWB, RB5",RWB,58,RB5,26,,0,34,1992-01-24,500000,2026-06-30,24,2270,2,2.01,0,2.07,14.39,53.17,Austria,['Austria'],right,180,77,False,8.25,5.31,58.96,3.05,57.14,0.2,0.29,0.08,4.92,7.07,0.79,3,0.12,0,0.0,2.22,0.08,2,0.08,0.08,0,0.0,25,0.99,36.0,8.0,0.0,4.24,24.3,0.0,0.0,4.2,23.58,0.4,1.27,65.63,3.85,47.42,1.31,2.62,0.48,29.66,1.35,1.43,40.72,67.28,16.73,58.29,6.7,89.94,30.25,76.93,6.34,49.38,21.26,37.3,0.08,0.71,0.2,0.04,0.08,0.0,0.48,7.73,54.36,4.48,44.25,0.44,18.18,1.07,0.9500000000000001,9.75,72.36,68.75,10.78,0,,0,,0,0.0,0.0,0.0,,,0.59,,3.05,0.0,0.0,0.0,0.0,0,0.0
A. Leitner,Andreas Leitner,144047,Ried,Ried,https://cdn5.wyscout.com/photos/team/public/425_120x120.png,Bundesliga,GK,GK,100,,0,,0,31,1994-03-25,300000,2028-06-30,23,2268,0,0.0,0,0.0,0.6000000000000001,73.33,Austria,['Austria'],both,184,79,False,2.26,0.2,80.0,0.28,71.43,0.04,0.06,0.0,2.06,3.2800000000000002,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,50.0,0.0,0.0,0.0,12.02,0.24,0.12,19.72,83.9,12.38,76.6,0.08,0.0,10.52,96.6,9.13,70.0,34.38,48.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,73.33,0.24,33.33,0.08,50.0,0.08,0.0,7.9,80.9,97.58,6.55,31,1.23,105,4.17,5,70.48,29.62,1.18,-1.38,-0.055,0.0,0.91,0.28,,,,0.0,0,0.0
O. Steurer,Oliver Steurer,260525,Ried,Ried,https://cdn5.wyscout.com/photos/team/public/425_120x120.png,Bundesliga,LCB3,LCB3,92,,0,,0,31,1995-01-06,275000,2027-06-30,23,2268,2,1.74,0,1.32,10.04,58.5,Germany,['Germany'],left,191,87,False,7.54,3.89,65.31,3.89,54.08,0.12,0.19,0.36,4.88,7.75,0.48,1,0.04,0,0.0,0.28,0.08,2,0.08,0.07,0,0.0,9,0.36,33.33,22.222,0.0,0.24,50.0,0.24,50.0,0.0,0.0,0.0,0.08,50.0,0.56,71.43,0.67,0.79,0.04,22.54,0.28,0.52,34.72,80.34,17.78,73.21,2.66,91.04,28.49,86.49,6.07,52.29,21.5,43.64,0.05,0.28,0.0,0.0,0.0,0.0,0.16,5.48,60.87,0.71,38.89,0.12,66.67,0.44,0.12,8.33,66.19,88.26,9.8,0,,0,,0,0.0,0.0,0.0,,,1.27,,3.89,0.0,0.0,0.0,0.0,0,0.0
J. Lawrence,Jamie Lawrence,-91837,WSG Swarovski Tirol,WSG Swarovski Tirol,https://cdn5.wyscout.com/photos/team/public/g2930_120x120.png,Bundesliga,CB,CB,93,,0,,0,23,2002-11-10,500000,2026-06-30,23,2250,2,4.43,0,0.12,14.88,65.05,Germany,"['Germany', 'Nigeria']",right,201,86,False,8.6,4.52,73.45,6.36,64.78,0.08,0.1,0.52,5.2,6.61,0.64,2,0.08,0,0.0,0.36,0.08,2,0.08,0.18,0,0.0,18,0.72,27.78,11.111,0.0,0.04,100.0,0.0,0.0,0.0,0.0,0.0,0.12,33.33,1.0,44.0,1.24,0.08,0.04,18.92,0.16,0.32,34.44,85.95,12.12,72.28,2.08,88.46,31.12,88.43,3.2800000000000002,62.2,22.48,36.52,0.0,0.08,0.08,0.0,0.08,100.0,0.04,1.96,51.02,0.24,16.67,0.12,66.67,0.12,0.04,5.12,57.03,95.8,18.08,0,,0,,0,0.0,0.0,0.0,,,1.44,,6.36,0.0,0.0,0.0,0.0,0,0.0
F. Wilfinger,Fabian Wilfinger,-267250,Hartberg,Hartberg,https://cdn5.wyscout.com/photos/team/public/2105_120x120.png,Bundesliga,"LCB3, CB",LCB3,79,CB,12,,0,22,2003-08-27,0,2029-06-30,23,2244,2,1.9100000000000001,0,0.78,11.07,60.14,Austria,['Austria'],,178,68,False,9.63,5.21,71.54,2.69,50.75,0.16,0.17,0.72,5.74,6.02,0.44,1,0.04,0,0.0,0.64,0.08,2,0.08,0.08,1,0.04,6,0.24,100.0,33.333,0.0,0.2,80.0,0.12,66.67,0.08,100.0,0.04,0.28,71.43,1.72,55.81,0.44,0.32,0.08,23.54,0.52,0.68,35.53,84.54,15.16,75.66,1.9300000000000002,89.58,30.92,89.23,4.41,51.82,21.48,40.68,0.03,0.12,0.0,0.0,0.04,100.0,0.08,3.21,66.25,0.48,41.67,0.32,37.5,0.08,0.16,7.5,60.96,93.52,15.48,0,,0,,0,0.0,0.0,0.0,,,1.2,,2.69,0.0,0.0,0.0,0.0,0,0.0
A. Schlager,Alexander Schlager,245446,Salzburg,Salzburg,https://cdn5.wyscout.com/photos/team/public/420_120x120.png,Bundesliga,GK,GK,100,,0,,0,30,1996-02-01,3000000,2027-06-30,23,2242,0,0.0,0,0.0,0.28,57.14,Austria,['Austria'],right,184,77,False,0.72,0.04,0.0,0.16,50.0,0.0,0.0,0.0,0.72,1.24,0.0,4,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,14.81,0.04,0.08,24.09,86.67,11.0,73.72,0.0,0.0,17.02,97.88,7.07,59.66,30.65,49.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,49.06,0.08,50.0,0.08,50.0,0.04,0.0,5.78,70.14,98.34,12.08,27,1.08,93,3.73,5,70.97,29.75,1.19,2.75,0.11,0.0,0.84,0.16,,,,0.0,0,0.0
K. Jørgensen,Kasper Poul Mølgaard Jørgensen,520839,LASK,LASK,https://cdn5.wyscout.com/photos/team/public/421_120x120.png,Bundesliga,"RWB, RB, RB5",RWB,48,RB,34,RB5,16,26,1999-11-07,700000,2028-06-30,24,2237,5,4.8,2,1.32,9.05,47.11,Denmark,['Denmark'],right,185,80,False,5.27,3.26,59.26,2.09,44.23,0.2,0.29,0.4,3.14,4.47,0.44,3,0.12,0,0.0,2.05,0.2,5,0.2,0.19,2,0.08,40,1.6099999999999999,37.5,12.5,0.08,3.1,31.17,0.28,42.86,2.8200000000000003,30.0,0.4,0.84,57.14,2.86,39.44,2.21,1.01,0.16,26.67,1.65,0.6000000000000001,33.27,76.42,10.78,64.93,6.28,95.51,25.55,86.46,4.67,50.86,22.12,38.53,0.05,0.4,0.0,0.0,0.0,0.0,0.2,4.35,62.96,2.41,46.67,0.2,100.0,0.6000000000000001,0.84,6.5600000000000005,73.62,78.03,10.62,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,2.09,0.12,0.12,0.0,0.0,0,0.0
