Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Bürgy,Nicolas Bürgy,350335,OB,OB,https://cdn5.wyscout.com/photos/team/public/287_120x120.png,Superliga,RCB3,RCB3,92,,0,,0,30.0,1995-08-07,850000,,10,1001,2,0.67,0,0.08,11.87,56.82,Switzerland,['Switzerland'],right,185,80,False,6.47,6.5600000000000005,58.9,2.43,62.96,0.09,0.11,0.36,2.52,3.07,1.62,0,0.0,0,0.0,0.63,0.18,2,0.18,0.06,1,0.09,6,0.54,33.33,33.333,0.0,0.45,60.0,0.09,0.0,0.36,75.0,0.0,0.18,100.0,1.17,53.85,0.63,0.36,0.0,41.27,0.27,0.54,54.31,88.25,22.57,79.28,4.05,97.78,47.56,92.63,6.29,57.14,19.02,39.21,0.01,0.09,0.0,0.0,0.0,0.0,0.09,6.2,69.57,0.63,71.43,0.36,50.0,0.27,0.27,9.35,71.15,94.71,20.41,0,,0,,0,0.0,0.0,0.0,,,1.35,,2.43,0.0,0.0,0.0,0.0,0,0.0
F. Tingager,Frederik Tingager,323150,AGF,AGF,https://cdn5.wyscout.com/photos/team/public/292_120x120.png,Superliga,CB,CB,91,,0,,0,32.0,1993-02-22,350000,2028-06-30,10,998,0,0.4,0,0.32,14.88,62.42,Denmark,['Denmark'],right,198,94,False,8.39,6.31,68.57,4.51,58.0,0.09,0.12,0.45,3.9699999999999998,5.41,0.36,1,0.09,0,0.0,0.36,0.0,0,0.0,0.04,0,0.0,3,0.27,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,40.0,1.71,42.11,0.54,1.8,0.0,50.23,0.18,0.18,64.39,91.46,22.91,83.46,2.43,96.3,57.72,93.44,6.67,74.32,21.52,43.31,0.03,0.09,0.0,0.0,0.0,0.0,0.18,8.93,80.81,0.36,75.0,0.36,50.0,0.54,0.0,11.09,78.05,97.05,33.64,0,,0,,0,0.0,0.0,0.0,,,1.62,,4.51,0.0,0.0,0.0,0.0,0,0.0
C. Yirenkyi,Caleb Marfo Yirenkyi,-566119,Nordsjælland,Nordsjælland,https://cdn5.wyscout.com/photos/team/public/289_120x120.png,Superliga,"DMF, RCMF3, RW",DMF,44,RCMF3,33,RW,10,19.0,2006-01-15,0,,10,997,1,0.66,2,0.87,18.42,46.57,Denmark,['Denmark'],,0,0,False,6.95,6.14,61.76,2.35,19.23,0.0,0.0,0.0,3.16,4.07,1.9,3,0.27,0,0.0,1.35,0.09,1,0.09,0.06,0,0.0,7,0.63,28.57,14.286,0.18,0.45,40.0,0.09,0.0,0.36,50.0,0.0,1.44,68.75,7.4,43.9,1.44,1.81,0.54,46.58,0.54,1.26,61.75,92.54,13.72,82.89,10.02,100.0,58.31,95.36,2.98,45.45,16.9,42.15,0.08,0.72,0.0,0.0,0.0,0.0,0.27,8.21,80.22,1.44,62.5,0.18,50.0,0.9,0.18,5.69,79.37,95.67,25.01,0,,0,,0,0.0,0.0,0.0,,,1.81,,2.35,0.0,0.0,0.0,0.0,0,0.0
W. Dammers,Wessel Dammers,322326,Randers,Randers,https://cdn5.wyscout.com/photos/team/public/288_120x120.png,Superliga,LCB,LCB,93,,0,,0,30.0,1995-03-01,650000,2026-06-30,10,996,0,0.28,0,0.0,9.22,58.82,Netherlands,['Netherlands'],right,185,81,False,8.49,3.07,64.71,3.43,55.26,0.09,0.11,1.17,6.42,7.5,0.54,0,0.0,0,0.0,0.18,0.0,0,0.0,0.03,0,0.0,1,0.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,1.45,31.25,0.18,0.72,0.0,55.21,0.18,0.54,70.75,92.98,26.75,86.49,3.52,92.31,60.72,95.98,10.03,74.77,22.31,41.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22,78.43,0.54,33.33,0.63,28.57,0.18,0.0,12.11,83.58,97.73,35.87,0,,0,,0,0.0,0.0,0.0,,,2.5300000000000002,,3.43,0.0,0.0,0.0,0.0,0,0.0
L. Lund,Lucas Lund Pedersen,511606,Viborg,Viborg,https://cdn5.wyscout.com/photos/team/public/2504_120x120.png,Superliga,GK,GK,100,,0,,0,25.0,2000-03-19,1500000,2025-12-31,10,995,0,0.0,0,0.0,1.3599999999999999,86.67,Denmark,['Denmark'],right,195,85,False,1.3599999999999999,0.0,0.0,0.72,100.0,0.0,0.0,0.0,1.3599999999999999,1.58,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,50.0,0.0,0.0,0.0,17.28,0.0,0.18,26.14,93.43,12.3,90.44,0.09,100.0,20.71,96.94,5.43,80.0,24.65,45.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,77.78,95.56,12.21,16,1.45,47,4.25,2,65.96,15.84,1.43,-0.16,-0.014,0.09,1.09,0.72,,,,0.0,0,0.0
S. Radić,Stipe Radić,482584,Viborg,Viborg,https://cdn5.wyscout.com/photos/team/public/2504_120x120.png,Superliga,"LCB, RCB",LCB,54,RCB,44,,0,25.0,2000-06-10,800000,2027-06-30,10,995,0,0.11,0,0.5700000000000001,8.68,66.67,Croatia,['Croatia'],right,190,83,False,6.51,2.5300000000000002,67.86,4.34,62.5,0.09,0.11,0.72,4.7,5.47,0.18,1,0.09,0,0.0,0.18,0.0,0,0.0,0.01,0,0.0,2,0.18,50.0,0.0,0.0,0.18,50.0,0.0,0.0,0.18,50.0,0.0,0.0,0.0,0.36,100.0,0.54,0.0,0.0,55.45,0.45,0.45,70.82,94.25,21.71,89.17,3.08,94.12,66.66,95.66,4.07,73.33,21.3,40.49,0.05,0.27,0.0,0.09,0.0,0.0,0.27,7.42,85.37,0.54,66.67,0.27,66.67,0.45,0.09,10.22,84.96,97.16,41.34,0,,0,,0,0.0,0.0,0.0,,,2.26,,4.34,0.0,0.0,0.0,0.0,0,0.0
D. Kotarski,Dominik Kotarski,440090,København,København,https://cdn5.wyscout.com/photos/team/public/284_120x120.png,Superliga,GK,GK,100,,0,,0,25.0,2000-02-10,0,,10,994,0,0.0,0,0.0,1.18,53.85,Croatia,['Croatia'],right,189,80,False,0.54,0.0,0.0,0.63,71.43,0.0,0.0,0.0,0.54,0.78,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.45,20.0,0.0,0.0,0.0,21.64,0.45,0.09,29.25,86.69,14.03,75.48,0.0,0.0,21.1,98.71,7.97,56.82,28.58,49.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,51.35,0.09,0.0,0.45,40.0,0.0,0.0,4.8,67.92,98.03,13.76,14,1.27,35,3.17,2,60.0,12.31,1.11,-1.69,-0.153,0.0,1.27,0.63,,,,0.0,0,0.0
P. Hatzidiakos,Pantelis Hatzidiakos,334852,København,København,https://cdn5.wyscout.com/photos/team/public/284_120x120.png,Superliga,LCB,LCB,89,,0,,0,28.0,1997-01-18,2500000,2027-06-30,10,994,1,0.37,0,0.15,7.88,52.87,Greece,"['Greece', 'Netherlands']",right,185,75,False,5.34,3.08,64.71,2.54,39.29,0.18,0.26,0.27,3.17,4.53,0.81,2,0.18,0,0.0,0.09,0.09,1,0.09,0.03,0,0.0,2,0.18,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,28.57,0.54,1.72,0.0,69.99,0.27,0.09,84.3,93.02,27.89,84.74,2.81,96.77,77.41,95.91,6.88,60.53,20.54,37.44,0.01,0.18,0.0,0.0,0.09,0.0,0.09,11.32,78.4,0.63,42.86,0.63,28.57,0.36,0.0,10.68,83.05,98.04,46.09,0,,0,,0,0.0,0.0,0.0,,,2.08,,2.54,0.0,0.0,0.0,0.0,0,0.0
J. Björkengren,John Björkengren,475248,Randers,Randers,https://cdn5.wyscout.com/photos/team/public/288_120x120.png,Superliga,"LCMF, LDMF",LCMF,41,LDMF,40,,0,26.0,1998-12-09,750000,2027-06-30,10,989,0,0.17,0,0.12,13.1,56.94,Sweden,['Sweden'],left,180,78,False,6.92,5.46,70.0,2.73,56.67,0.18,0.21,0.46,2.91,3.39,0.8200000000000001,3,0.27,0,0.0,0.27,0.0,0,0.0,0.02,0,0.0,2,0.18,0.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.18,100.0,2.2800000000000002,48.0,0.0,1.27,0.18,31.85,0.27,1.09,42.86,88.32,13.1,75.69,9.37,100.0,40.4,91.89,2.18,33.33,16.43,31.56,0.01,0.18,0.18,0.0,0.09,100.0,0.0,5.73,76.19,0.46,60.0,0.09,0.0,0.27,0.0,6.55,73.61,92.67,13.65,0,,0,,0,0.0,0.0,0.0,,,1.09,,2.73,0.0,0.0,0.0,0.0,0,0.0
L. Nielsen,Lasse Nielsen,121420,Vejle,Vejle,https://cdn5.wyscout.com/photos/team/public/g623_120x120.png,Superliga,LCB,LCB,92,,0,,0,37.0,1988-01-08,75000,,10,988,0,0.6900000000000001,0,0.0,12.39,61.76,Denmark,['Denmark'],right,185,82,False,8.47,4.37,62.5,5.19,61.4,0.27,0.34,0.8200000000000001,5.47,6.77,0.64,3,0.27,0,0.0,0.18,0.0,0,0.0,0.06,0,0.0,2,0.18,100.0,0.0,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.0,0.8200000000000001,33.33,0.36,0.8200000000000001,0.0,27.6,0.09,0.36,41.9,88.26,16.67,77.6,2.1,95.65,37.62,92.74,4.19,50.0,20.5,38.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,55.32,0.46,20.0,0.09,0.0,0.09,0.0,5.65,66.13,97.47,18.04,0,,0,,0,0.0,0.0,0.0,,,1.9100000000000001,,5.19,0.0,0.0,0.0,0.0,0,0.0
