Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Lucão,Lucas Cavalcante Silva Afonso,288073,América Mineiro,América Mineiro,https://cdn5.wyscout.com/photos/team/public/1729_120x120.png,Serie B,LCB,LCB,79,,0,,0,29.0,1996-03-23,400000,2025-12-31,28,2838,0,1.31,0,0.05,8.88,64.64,Brazil,['Brazil'],right,187,80,False,6.28,2.89,63.74,4.22,66.17,0.1,0.15,0.41000000000000003,4.34,6.72,0.25,2,0.06,0,0.0,0.25,0.0,0,0.0,0.04,0,0.0,13,0.41000000000000003,38.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,75.0,0.54,64.71,0.6000000000000001,1.3599999999999999,0.0,35.11,0.35000000000000003,0.41000000000000003,52.36,88.98,20.58,79.35,2.66,95.24,46.24,94.03,6.12,50.78,21.21,42.18,0.0,0.03,0.0,0.0,0.06,0.0,0.03,6.72,72.17,0.54,5.88,0.41000000000000003,23.08,0.13,0.0,8.15,71.6,96.36,24.39,0,,0,,0,0.0,0.0,0.0,,,1.71,,4.22,0.0,0.0,0.0,0.0,0,0.0
Marcelo Rangel,Marcelo Rangel Rosa,125297,Remo,Remo,https://cdn5.wyscout.com/photos/team/public/1642_120x120.png,Serie B,GK,GK,100,,0,,0,37.0,1988-05-17,0,,28,2803,0,0.0,0,0.0,0.61,89.47,Brazil,['Brazil'],right,186,81,False,1.19,0.06,100.0,0.42,100.0,0.0,0.0,0.0,1.12,1.5,0.03,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.67,0.0,0.0,0.0,7.74,0.03,0.06,14.13,82.95,8.41,73.66,0.0,0.0,8.0,97.19,6.1,64.74,35.45,50.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,46.81,0.13,0.0,0.1,33.33,0.0,0.0,4.17,80.0,97.02,5.39,25,0.8,161,5.17,7,84.47,37.71,1.21,12.71,0.40800000000000003,0.0,1.38,0.42,,,,0.0,0,0.0
Dênis Júnior,Dênis De Oliveira Aguiar Júnior,368951,Ferroviária,Ferroviária,https://cdn5.wyscout.com/photos/team/public/g7944_120x120.png,Paulista A2,GK,GK,100,,0,,0,27.0,1998-08-10,1000000,2026-12-31,28,2802,0,0.0,0,0.0,0.67,85.71,Brazil,['Brazil'],right,188,87,False,1.51,0.19,83.33,0.35000000000000003,90.91,0.0,0.0,0.0,1.35,1.81,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,75.0,0.0,0.0,0.0,8.58,0.13,0.16,15.29,83.82,8.77,72.53,0.0,0.0,9.28,98.62,6.01,60.96,33.41,50.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,51.16,0.06,0.0,0.03,0.0,0.0,0.0,4.24,76.52,99.47,6.04,35,1.12,132,4.24,6,73.48,39.29,1.26,4.29,0.138,0.0,1.67,0.35000000000000003,,,,0.0,0,0.0
W. Clar,Walter David Clar Fritz,300336,Chapecoense,Chapecoense,https://cdn5.wyscout.com/photos/team/public/2375_120x120.png,Serie B,"LWB, LB, LB5",LWB,64,LB,20,LB5,14,30.0,1994-09-27,500000,,28,2787,6,4.34,1,3.34,10.82,54.03,Paraguay,['Paraguay'],left,177,72,False,7.85,4.49,61.87,2.42,52.0,0.0,0.0,0.52,5.07,6.61,0.55,1,0.03,0,0.0,2.1,0.19,4,0.13,0.14,0,0.0,21,0.68,47.62,28.571,0.03,2.9699999999999998,34.78,2.87,34.83,0.06,0.0,0.36,1.45,51.11,2.58,45.0,1.26,1.07,0.23,21.57,2.55,0.29,30.61,74.37,11.72,66.39,5.65,89.71,23.15,85.63,4.65,42.36,20.84,36.54,0.11,1.3599999999999999,0.03,0.0,0.06,0.0,0.42,3.84,59.66,2.74,47.06,0.39,0.0,0.55,0.9,6.78,70.0,78.4,9.27,0,,0,,0,0.0,0.0,0.0,,,0.45,,2.42,0.1,0.0,0.0,0.52,2,100.0
Tadeu,Tadeu Antonio Ferreira,282406,Goiás,Goiás,https://cdn5.wyscout.com/photos/team/public/260_120x120.png,Serie B,GK,GK,100,,0,,0,33.0,1992-02-04,0,,27,2749,2,3.04,2,0.23,0.9500000000000001,79.31,Brazil,['Brazil'],right,184,80,False,2.29,0.13,75.0,0.39,91.67,0.03,0.05,0.0,2.16,3.24,0.07,3,0.1,0,0.0,0.13,0.07,0,0.0,0.1,0,0.0,4,0.13,100.0,50.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.39,75.0,0.0,0.03,0.0,13.88,0.23,0.29,23.74,83.17,14.73,75.33,0.0,0.0,12.47,98.43,11.2,66.67,37.03,52.01,0.01,0.03,0.0,0.0,0.0,0.0,0.07,5.37,63.41,0.43,23.08,0.26,37.5,0.16,0.0,8.05,80.49,97.0,8.74,26,0.85,90,2.95,9,71.11,23.46,0.77,-2.54,-0.083,0.0,1.51,0.39,,,,0.0,4,50.0
Rodrigo,Rodrigo Fagundes,135992,Criciúma,Criciúma,https://cdn5.wyscout.com/photos/team/public/494_120x120.png,Serie B,"CB, RCB, RCB3",CB,65,RCB,17,RCB3,10,38.0,1987-03-10,150000,,27,2698,5,3.37,1,0.14,13.34,60.0,Brazil,['Brazil'],right,187,80,False,8.11,3.37,59.41,6.5,65.13,0.1,0.14,1.0,6.0,8.53,1.03,5,0.17,0,0.0,0.43,0.17,5,0.17,0.11,2,0.07,19,0.63,36.84,26.316,0.03,0.07,0.0,0.0,0.0,0.07,0.0,0.0,0.43,46.15,1.67,44.0,0.8,0.73,0.03,21.78,0.2,0.2,38.03,85.18,13.48,72.28,2.17,89.23,32.12,89.93,5.84,60.0,21.93,40.18,0.0,0.17,0.0,0.03,0.03,0.0,0.03,5.17,64.52,0.67,20.0,0.43,7.69,0.2,0.0,6.4,66.67,94.0,18.91,0,,0,,0,0.0,0.0,0.0,,,1.0,,6.5,0.0,0.0,0.0,0.0,0,0.0
Henri,Henri Marinho dos Santos,-64336,CRB,CRB,https://cdn5.wyscout.com/photos/team/public/502_120x120.png,Serie B,RCB,RCB,93,,0,,0,23.0,2002-02-19,1500000,2025-12-31,27,2696,0,2.1,1,0.29,9.88,61.82,Brazil,['Brazil'],right,187,73,False,6.38,3.61,59.26,4.01,67.5,0.13,0.2,0.5,4.11,6.08,0.7000000000000001,5,0.17,0,0.0,0.4,0.0,0,0.0,0.07,0,0.0,18,0.6000000000000001,33.33,0.0,0.03,0.33,30.0,0.0,0.0,0.33,30.0,0.03,0.17,60.0,0.7000000000000001,47.62,0.77,2.24,0.0,43.16,0.37,0.37,58.75,88.3,21.97,75.99,2.67,97.5,50.17,94.28,8.28,54.44,24.61,43.16,0.01,0.23,0.0,0.03,0.0,0.0,0.07,8.85,67.55,1.1,33.33,0.9,29.63,0.30000000000000004,0.1,10.28,75.65,96.76,30.91,0,,0,,0,0.0,0.0,0.0,,,2.14,,4.01,0.0,0.0,0.0,0.0,0,0.0
Eduardo Brock,Eduardo Schroeder Brock,195341,Avaí,Avaí,https://cdn5.wyscout.com/photos/team/public/495_120x120.png,Serie B,LCB,LCB,91,,0,,0,34.0,1991-05-06,250000,,27,2672,1,0.9500000000000001,0,0.89,11.49,68.04,Brazil,"['Brazil', 'Italy']",left,186,89,False,9.6,5.73,71.76,2.96,69.32,0.0,0.0,0.54,5.49,7.01,0.67,3,0.1,0,0.0,0.34,0.03,1,0.03,0.03,1,0.03,11,0.37,18.18,9.091,0.0,0.30000000000000004,22.22,0.27,12.5,0.03,100.0,0.0,0.24,71.43,0.64,68.42,0.4,0.67,0.0,33.58,0.67,0.2,48.77,81.56,23.78,71.25,1.75,88.46,36.55,91.34,11.92,53.11,25.62,42.21,0.03,0.24,0.0,0.0,0.03,100.0,0.1,11.12,64.55,1.31,33.33,0.61,22.22,0.34,0.07,13.0,78.5,93.08,20.45,0,,0,,0,0.0,0.0,0.0,,,1.28,,2.96,0.13,0.13,0.0,0.0,0,0.0
Halls,Hedhe Halls Rocha da Silva,-79016,Vila Nova,Vila Nova,https://cdn5.wyscout.com/photos/team/public/503_120x120.png,Serie B,GK,GK,100,,0,,0,26.0,1999-06-17,300000,,26,2645,0,0.0,0,0.0,0.75,72.73,Brazil,['Brazil'],right,198,88,False,1.19,0.0,0.0,0.54,81.25,0.0,0.0,0.0,1.19,1.63,0.03,3,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.17,60.0,0.0,0.0,0.0,4.76,0.34,0.17,12.22,71.03,9.05,62.78,0.0,0.0,6.16,92.82,6.06,48.88,41.35,56.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,37.66,0.27,0.0,0.14,50.0,0.0,0.0,4.53,67.67,94.05,2.86,28,0.9500000000000001,99,3.37,9,71.72,29.95,1.02,1.9500000000000002,0.066,0.0,2.52,0.54,,,,0.0,0,0.0
Sidimar,Sidimar Fernando Cigolini,102694,Athletic Club,Athletic Club,https://cdn5.wyscout.com/photos/team/public/g-13504_120x120.png,Serie B,"LCB, RCB",LCB,66,RCB,23,,0,33.0,1992-07-09,300000,,27,2607,1,0.28,0,0.0,9.94,61.81,Brazil,['Brazil'],right,186,88,False,6.84,3.94,68.42,3.9,64.6,0.14,0.2,0.9,4.0,5.71,0.86,5,0.17,0,0.0,0.1,0.03,1,0.03,0.01,1,0.03,6,0.21,16.67,16.667,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.07,100.0,0.62,50.0,0.45,0.48,0.0,28.1,0.35000000000000003,0.52,39.32,90.34,13.46,80.26,2.24,96.92,35.21,94.12,4.07,58.47,20.58,31.36,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2.9,71.43,0.14,50.0,0.1,66.67,0.07,0.0,5.94,69.19,97.11,20.33,0,,0,,0,0.0,0.0,0.0,,,1.76,,3.9,0.0,0.0,0.0,0.0,0,0.0
