Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Goicoechea,Mauro Daniel Goicoechea Furia,23530,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,GK,GK,100,,0,,0,37.0,1988-03-27,100000,2026-12-31,32,3149,0,0.0,0,0.0,0.77,92.31,Uruguay,"['Uruguay', 'Italy']",right,186,82,False,1.6,0.12,75.0,0.47000000000000003,100.0,0.0,0.0,0.0,1.51,2.07,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,75.0,0.0,0.03,0.0,7.0,0.06,0.24,15.24,87.4,9.51,81.06,0.0,0.0,8.39,97.89,6.82,74.89,35.61,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,70.59,0.09,0.0,0.0,0.0,0.0,0.0,5.26,78.65,98.36,5.41,38,1.12,136,4.02,7,72.06,36.01,1.06,-1.99,-0.059000000000000004,0.0,1.54,0.47000000000000003,,,,0.0,0,0.0
L. Amadé,Lautaro Amadé,-223800,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,GK,GK,100,,0,,0,25.0,1999-12-21,25000,2025-12-31,32,3149,0,0.0,0,0.0,0.63,77.27,Argentina,['Argentina'],right,193,87,True,1.4,0.0,0.0,0.51,77.78,0.0,0.0,0.0,1.4,2.16,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.09,100.0,0.0,0.0,0.0,6.29,0.17,0.14,13.69,80.79,8.66,71.62,0.0,0.0,6.54,97.82,7.15,65.2,38.69,52.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7199999999999998,61.05,0.11,0.0,0.14,0.0,0.0,0.0,5.12,82.12,97.53,4.63,32,0.91,108,3.09,12,70.37,30.21,0.86,-1.79,-0.051000000000000004,0.0,1.83,0.51,,,,0.0,0,0.0
J. Millán,Julián Camilo Millán Díaz,433088,Nacional,Nacional,https://cdn5.wyscout.com/photos/team/public/554_120x120.png,Primera División,LCB,LCB,98,,0,,0,27.0,1998-03-27,0,,32,3126,2,2.03,0,0.56,16.35,63.38,Colombia,['Colombia'],left,186,75,False,8.87,6.1,74.53,4.89,63.53,0.29,0.45,0.49,4.03,6.27,0.8300000000000001,6,0.17,0,0.0,0.55,0.06,2,0.06,0.06,2,0.06,16,0.46,31.25,12.5,0.0,0.14,40.0,0.14,40.0,0.0,0.0,0.03,0.52,66.67,2.42,51.19,0.49,1.35,0.2,25.22,0.6000000000000001,0.46,42.7,85.77,18.97,77.09,1.87,90.77,35.01,91.86,7.57,58.17,21.87,37.27,0.02,0.12,0.03,0.06,0.03,0.0,0.03,5.21,65.19,0.37,38.46,0.23,25.0,0.14,0.06,8.9,70.23,94.31,18.22,0,,0,,0,0.0,0.0,0.0,,,1.07,,4.89,0.0,0.0,0.0,0.0,0,0.0
C. Almeida,Christian Andrés Almeida Rodríguez,195142,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/976_120x120.png,Primera División,LCB,LCB,87,,0,,0,35.0,1989-12-25,100000,,31,3060,4,2.18,0,0.79,14.94,58.07,Uruguay,['Uruguay'],left,170,65,False,9.56,5.15,68.57,5.29,48.33,0.29,0.4,0.53,5.74,7.76,0.59,9,0.26,0,0.0,0.65,0.12,4,0.12,0.06,1,0.03,15,0.44,46.67,26.667,0.0,0.32,45.45,0.29,40.0,0.03,100.0,0.03,0.47000000000000003,62.5,2.18,52.7,0.65,1.0,0.03,18.38,0.26,1.03,36.03,78.61,18.88,66.2,1.53,98.08,26.35,88.84,9.35,50.94,24.5,38.09,0.02,0.29,0.03,0.0,0.0,0.0,0.09,7.06,57.92,0.91,32.26,0.62,28.57,0.32,0.15,8.82,68.0,93.92,13.06,0,,0,,0,0.0,0.0,0.0,,,1.15,,5.29,0.09,0.06,0.0,0.03,0,0.0
G. Santilli,Gino Santilli Rusconi,-252780,Cerro Largo,Cerro Largo,https://cdn5.wyscout.com/photos/team/public/1319_120x120.png,Primera División,GK,GK,100,,0,,0,23.0,2001-10-26,0,,31,3055,0,0.0,0,0.0,0.41000000000000003,85.71,Argentina,['Argentina'],right,191,74,False,1.74,0.03,0.0,0.27,100.0,0.03,0.04,0.03,1.71,2.41,0.03,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,6.42,0.27,0.06,14.14,79.17,9.1,70.23,0.0,0.0,7.13,95.87,6.95,62.71,37.99,51.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,64.8,0.21,28.57,0.09,66.67,0.03,0.0,5.54,77.13,97.35,4.45,33,0.97,129,3.8,10,74.42,38.07,1.12,5.07,0.149,0.0,1.53,0.27,,,,0.0,0,0.0
K. Dawson,Kevin Emiliano Dawson Blanco,180998,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,GK,GK,100,,0,,0,33.0,1992-02-08,700000,,31,3048,0,0.0,0,0.01,0.86,79.31,Uruguay,['Uruguay'],right,178,81,False,1.06,0.12,100.0,0.5,82.35,0.03,0.04,0.0,0.92,1.37,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,60.0,0.0,0.0,0.0,8.0,0.15,0.24,13.97,87.32,7.59,78.21,0.0,0.0,9.36,98.42,4.55,64.94,30.06,45.35,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.86,62.07,0.03,0.0,0.0,0.0,0.0,0.0,3.6,70.49,98.49,5.88,30,0.89,143,4.22,13,79.02,38.34,1.13,8.34,0.246,0.0,1.42,0.5,,,,0.0,0,0.0
G. de los Santos,Guillermo Gabriel De Los Santos Viana,175650,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,RCB,RCB,91,,0,,0,34.0,1991-02-15,300000,,31,3048,4,4.06,1,0.58,12.84,65.98,Uruguay,['Uruguay'],right,181,75,False,8.65,4.34,72.79,4.43,63.33,0.18,0.26,0.44,5.31,7.93,0.56,4,0.12,0,0.0,0.41000000000000003,0.12,4,0.12,0.12,3,0.09,20,0.59,40.0,20.0,0.03,0.06,50.0,0.06,50.0,0.0,0.0,0.0,0.15,100.0,1.65,58.93,0.74,0.56,0.03,31.0,0.35000000000000003,1.12,46.39,87.33,21.08,78.15,2.21,94.67,37.5,93.15,8.83,62.88,22.79,38.58,0.02,0.18,0.0,0.0,0.0,0.0,0.06,5.82,70.05,1.06,47.22,0.44,40.0,0.5,0.03,10.19,72.17,96.48,20.14,0,,0,,0,0.0,0.0,0.0,,,1.62,,4.43,0.03,0.0,0.0,0.0,0,0.0
Y. Calleros,Yvo Nahuel Calleros Rébori,-76593,Plaza Colonia,Plaza Colonia,https://cdn5.wyscout.com/photos/team/public/1748_120x120.png,Primera División,"RCMF, DMF",RCMF,62,DMF,10,,0,27.0,1998-03-14,600000,,31,3020,0,0.35000000000000003,0,0.55,17.2,59.27,Uruguay,['Uruguay'],right,181,77,False,13.35,8.82,68.92,4.44,46.98,0.54,0.7000000000000001,0.63,6.74,8.82,1.31,6,0.18,0,0.0,0.45,0.0,0,0.0,0.01,0,0.0,20,0.6000000000000001,5.0,0.0,0.0,0.45,33.33,0.12,0.0,0.33,45.45,0.06,0.36,75.0,1.97,56.06,0.21,0.33,0.0,16.93,0.24,0.77,32.36,79.28,12.34,68.84,3.99,89.55,27.8,85.1,4.14,44.6,18.67,31.36,0.02,0.27,0.03,0.03,0.06,0.0,0.15,5.25,61.93,1.04,31.43,0.27,11.11,0.21,0.18,6.02,63.37,86.05,11.32,0,,0,,0,0.0,0.0,0.0,,,0.33,,4.44,0.0,0.0,0.0,0.0,0,0.0
G. Kagelmacher,Gary Christofer Kagelmacher Pérez,23535,Torque,Torque,https://cdn5.wyscout.com/photos/team/public/g22285_120x120.png,Primera División,LCB,LCB,89,,0,,0,37.0,1988-04-21,300000,,30,2958,3,2.84,1,0.2,10.01,64.13,Uruguay,"['Uruguay', 'Germany']",right,183,79,False,7.7,4.29,77.3,3.59,52.54,0.03,0.05,0.49,4.35,6.57,0.46,5,0.15,0,0.0,0.15,0.09,3,0.09,0.09,1,0.03,11,0.33,27.27,27.273,0.03,0.06,50.0,0.03,0.0,0.0,0.0,0.0,0.06,50.0,0.49,31.25,0.43,0.30000000000000004,0.03,24.92,0.33,0.27,38.76,88.3,14.82,76.59,1.9500000000000002,96.88,33.44,93.45,5.26,56.07,21.88,34.9,0.01,0.03,0.03,0.0,0.0,0.0,0.03,3.16,71.15,0.24,50.0,0.06,50.0,0.18,0.03,7.09,63.95,96.13,18.86,0,,0,,0,0.0,0.0,0.0,,,1.52,,3.59,0.0,0.0,0.0,0.0,0,0.0
M. Ferreira,Martín Robinson Ferreira García,193600,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,"LCB3, LWB, LB",LCB3,60,LWB,15,LB,12,33.0,1992-03-07,350000,,31,2873,1,2.52,0,3.25,16.98,53.51,Uruguay,['Uruguay'],left,177,74,False,9.52,5.33,69.41,4.79,54.9,0.41000000000000003,0.63,0.44,5.42,8.44,1.0,5,0.16,0,0.0,3.04,0.03,1,0.03,0.08,0,0.0,22,0.6900000000000001,45.45,4.545,0.0,3.88,45.97,3.88,45.97,0.0,0.0,0.22,1.6600000000000001,56.6,4.73,37.75,1.19,1.94,0.25,22.27,0.97,0.38,41.29,72.61,21.52,66.52,3.16,88.12,26.82,82.48,10.74,57.14,23.19,37.77,0.1,1.32,0.03,0.0,0.0,0.0,0.56,9.52,63.49,4.6,48.98,0.63,50.0,0.91,1.82,14.1,74.89,79.03,12.25,0,,0,,0,0.0,0.0,0.0,,,0.53,,4.79,0.31,0.0,0.0,0.47000000000000003,0,0.0
