Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Xavier Cavaco,Xavier Teixeira Mendes Cavaco,-551694,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LCMF, RCMF, CF",LCMF,47,RCMF,26,CF,16,19.0,2006-02-06,0,,16,1562,3,0.9400000000000001,0,0.8300000000000001,16.88,56.31,Portugal,['Portugal'],both,179,65,False,11.18,7.84,69.12,2.88,42.0,0.92,1.25,0.4,4.84,6.58,1.21,1,0.06,0,0.0,0.81,0.17,3,0.17,0.05,0,0.0,12,0.6900000000000001,50.0,25.0,0.0,0.29,20.0,0.12,50.0,0.17,0.0,0.0,0.98,35.29,3.86,49.25,1.04,0.58,0.06,19.24,0.6900000000000001,1.6099999999999999,31.23,83.76,9.68,69.64,5.24,94.51,28.75,86.17,2.19,60.53,17.64,31.45,0.05,0.4,0.0,0.0,0.23,25.0,0.23,3.63,71.43,0.98,35.29,0.52,11.11,0.35000000000000003,0.12,4.38,57.89,92.93,11.41,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,2.88,0.0,0.0,0.0,0.0,0,0.0
Sebastião Leandro,Sebastião Sebastião Leandro,-551921,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LB, RB, LWB",LB,39,RB,33,LWB,21,19.0,2006-10-16,0,,16,1545,1,1.3900000000000001,1,0.6900000000000001,19.63,52.23,Portugal,['Portugal'],unknown,0,0,False,10.72,8.5,64.38,2.62,40.0,0.58,0.8,0.17,4.66,6.37,1.11,1,0.06,0,0.0,1.98,0.06,1,0.06,0.08,0,0.0,11,0.64,45.45,9.091,0.06,1.28,45.45,0.93,56.25,0.35000000000000003,16.67,0.29,2.45,45.24,6.29,39.81,1.17,1.4,0.06,17.59,1.4,1.22,28.31,75.93,12.7,67.89,5.07,93.1,24.64,81.09,2.45,40.48,17.74,29.38,0.04,0.41000000000000003,0.0,0.12,0.06,0.0,0.12,3.79,61.54,1.57,51.85,0.35000000000000003,16.67,0.29,0.47000000000000003,6.41,60.0,83.48,6.7,0,,0,,0,0.0,0.0,0.0,,,0.23,,2.62,0.17,0.0,0.0,0.29,0,0.0
R. Barrett,Ronaldo Barrett,-410498,UD Leiria U23,UD Leiria U23,https://cdn5.wyscout.com/photos/team/public/g-24289_120x120.png,Liga Revelação Sub 23,"LCB, LCB3",LCB,74,LCB3,18,,0,19.0,2006-07-04,0,,16,1490,0,0.5,0,0.59,8.46,57.14,Jamaica,['Jamaica'],unknown,0,0,False,7.19,3.32,81.82,1.87,48.39,0.06,0.08,0.85,4.41,5.98,0.18,0,0.0,0,0.0,0.24,0.0,0,0.0,0.03,0,0.0,8,0.48,0.0,0.0,0.0,0.30000000000000004,0.0,0.24,0.0,0.06,0.0,0.0,0.36,66.67,2.05,20.59,0.97,1.15,0.0,27.97,0.30000000000000004,0.12,44.52,81.14,20.3,66.37,3.02,92.0,36.54,89.09,7.73,46.09,23.39,39.65,0.04,0.18,0.0,0.06,0.06,0.0,0.12,5.5600000000000005,44.57,1.09,27.78,0.72,33.33,0.30000000000000004,0.0,9.72,55.28,95.15,18.66,0,,0,,0,0.0,0.0,0.0,,,2.05,,1.87,0.0,0.0,0.0,0.0,0,0.0
Rodrigo Guerreiro,Rodrigo Balbina Guerreiro,-473525,Torreense U23,Torreense U23,https://cdn5.wyscout.com/photos/team/public/g-19193_120x120.png,Liga Revelação Sub 23,"LB5, LWB",LB5,46,LWB,36,,0,19.0,2006-06-18,0,,15,1473,1,0.8,3,2.35,16.44,50.19,Portugal,['Portugal'],left,180,76,False,7.15,6.72,62.73,1.53,44.0,0.24,0.36,0.0,2.69,3.91,1.22,3,0.18,0,0.0,1.22,0.06,1,0.06,0.05,0,0.0,12,0.73,16.67,8.333,0.18,2.14,37.14,1.8900000000000001,38.71,0.24,25.0,0.49,1.34,22.73,6.54,40.19,1.4100000000000001,1.5899999999999999,0.12,24.93,1.77,2.2,34.4,76.2,12.95,66.98,6.66,93.58,28.78,82.8,3.54,44.83,19.08,35.6,0.14,1.34,0.0,0.0,0.0,0.0,0.73,5.8,57.89,2.63,41.86,0.31,0.0,0.49,0.86,7.27,69.75,76.25,9.78,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.53,0.43,0.06,0.0,0.49,0,0.0
Italo Cabelinho,Italo de Jesus Barbosa,-164649,Santa Clara U23,Santa Clara U23,https://cdn5.wyscout.com/photos/team/public/g-19194_120x120.png,Liga Revelação Sub 23,"RCB3, LCB",RCB3,56,LCB,20,,0,21.0,2004-02-27,0,2026-06-30,15,1419,2,0.7000000000000001,0,0.08,11.35,59.78,Brazil,['Brazil'],,0,0,False,7.93,4.88,74.03,3.17,60.0,0.32,0.47000000000000003,0.5700000000000001,4.0,5.96,1.1400000000000001,7,0.44,0,0.0,0.38,0.13,2,0.13,0.04,2,0.13,5,0.32,40.0,40.0,0.0,0.32,40.0,0.06,0.0,0.25,50.0,0.06,0.25,50.0,1.46,26.09,1.01,0.13,0.0,29.05,0.06,0.25,41.67,87.67,17.06,76.95,1.9,93.33,35.71,93.07,5.64,56.18,21.68,40.37,0.0,0.19,0.0,0.0,0.0,0.0,0.06,4.12,63.08,0.44,57.14,0.25,50.0,0.32,0.13,6.34,76.0,96.72,19.34,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,3.17,0.0,0.0,0.0,0.0,0,0.0
Martim Almeida,Martim Rafael Silva Almeida,-397284,Famalicão U23,Famalicão U23,https://cdn5.wyscout.com/photos/team/public/g-10861_120x120.png,Liga Revelação Sub 23,"LCMF, RCMF, LDMF",LCMF,28,RCMF,15,LDMF,15,20.0,2005-03-19,0,,14,1366,0,1.46,1,1.13,13.9,45.5,Portugal,['Portugal'],right,182,72,False,5.47,4.74,48.61,0.99,53.33,0.07,0.1,0.0,3.1,4.52,1.45,3,0.2,0,0.0,1.98,0.0,0,0.0,0.1,0,0.0,13,0.86,23.08,0.0,0.07,1.12,47.06,0.72,45.45,0.4,50.0,0.2,1.9100000000000001,62.07,6.72,42.16,1.19,0.72,0.07,22.34,0.53,1.05,33.73,87.11,9.03,75.91,7.91,97.5,29.45,91.5,3.29,58.0,18.83,36.44,0.07,0.79,0.07,0.0,0.07,100.0,0.53,5.27,71.25,1.45,50.0,0.26,75.0,0.4,0.59,4.48,85.29,90.5,11.79,0,,0,,0,0.0,0.0,0.0,,,0.66,,0.99,0.07,0.07,100.0,0.4,1,0.0
Tiago Pinto,Tiago Henrique Botelho Pinto,-329935,Estrela Amadora U23,Estrela Amadora U23,https://cdn5.wyscout.com/photos/team/public/g-16613_120x120.png,Liga Revelação Sub 23,"RCMF, LCMF",RCMF,36,LCMF,29,,0,19.0,2006-02-24,0,,16,1354,3,2.88,1,2.27,21.27,49.06,Brazil,"['Brazil', 'Portugal']",right,182,69,False,9.84,9.44,58.45,1.53,26.09,0.13,0.17,0.27,4.19,5.34,1.53,3,0.2,0,0.0,1.99,0.2,2,0.13,0.19,0,0.0,27,1.79,44.44,11.111,0.07,0.53,37.5,0.2,0.0,0.33,60.0,0.07,1.26,57.89,7.64,44.35,1.13,1.9300000000000002,0.53,18.35,0.53,1.33,29.38,76.7,9.84,69.59,3.92,86.44,26.06,79.85,2.79,54.76,19.39,37.8,0.15,1.26,0.0,0.0,0.4,66.67,0.47000000000000003,5.18,79.49,1.53,56.52,0.6000000000000001,55.56,0.66,0.27,7.05,65.09,81.44,11.1,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.53,1.26,0.13,0.0,1.4,2,50.0
S. Pedro,Simão Pedro,-655115,Estrela Amadora U23,Estrela Amadora U23,https://cdn5.wyscout.com/photos/team/public/g-16613_120x120.png,Liga Revelação Sub 23,"LW, LWF",LW,65,LWF,22,,0,19.0,2006-08-31,0,,16,1341,4,2.67,1,1.6400000000000001,18.12,41.11,Angola,['Angola'],,0,0,False,2.55,2.35,54.29,1.54,13.04,0.07,0.08,0.07,1.21,1.53,0.13,0,0.0,0,0.0,5.64,0.27,4,0.27,0.18,0,0.0,27,1.81,51.85,14.815,0.07,3.69,30.91,3.02,33.33,0.6000000000000001,22.22,0.54,5.23,67.95,11.88,44.63,3.09,3.15,0.87,10.94,2.15,1.28,14.56,66.82,2.01,53.33,3.69,87.27,10.07,81.33,1.1400000000000001,41.18,19.6,24.6,0.11,0.9400000000000001,0.0,0.0,0.0,0.0,0.34,1.01,66.67,2.75,43.9,0.07,100.0,0.54,1.07,1.81,81.48,63.22,5.84,0,,0,,0,0.0,0.0,0.0,,,0.2,,1.54,0.81,0.2,66.67,1.01,0,0.0
Caio Amaral,Caio Leão do Amaral,-176151,Torreense U23,Torreense U23,https://cdn5.wyscout.com/photos/team/public/g-19193_120x120.png,Liga Revelação Sub 23,CB,CB,84,,0,,0,22.0,2003-09-22,0,2027-06-30,14,1335,2,1.8900000000000001,0,0.17,13.01,67.88,Brazil,['Brazil'],,0,0,False,8.22,5.12,77.63,3.51,71.15,0.2,0.29,0.74,4.04,5.8100000000000005,1.42,3,0.2,1,0.07,0.4,0.13,2,0.13,0.13,1,0.07,9,0.61,44.44,22.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,50.0,1.82,51.85,0.81,0.34,0.0,23.26,0.07,0.61,40.04,87.71,15.64,76.29,2.56,97.37,35.8,92.47,4.25,47.62,22.8,42.47,0.01,0.13,0.0,0.0,0.0,0.0,0.07,3.51,51.92,0.13,0.0,0.27,25.0,0.07,0.0,6.34,61.7,95.17,19.55,0,,0,,0,0.0,0.0,0.0,,,1.82,,3.51,0.0,0.0,0.0,0.0,0,0.0
Matheus Gonçalves,Matheus Rodrigues Gonçalves,-279824,Farense U23,Farense U23,https://cdn5.wyscout.com/photos/team/public/g-14458_120x120.png,Liga Revelação Sub 23,"LCB, RCB, RCB3",LCB,40,RCB,17,RCB3,17,21.0,2004-05-22,0,2026-06-30,14,1328,0,0.31,0,0.0,13.42,62.63,Brazil,['Brazil'],unknown,0,0,False,8.95,6.57,75.26,2.51,67.57,0.14,0.18,0.41000000000000003,3.86,5.0,1.02,1,0.07,0,0.0,0.27,0.0,0,0.0,0.02,0,0.0,4,0.27,50.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.27,50.0,2.24,39.39,0.75,0.34,0.0,29.41,0.07,0.54,44.12,84.95,16.47,70.37,2.44,88.89,39.04,89.93,5.02,47.3,21.64,35.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,54.76,0.14,0.0,0.2,33.33,0.07,0.0,5.83,53.49,95.9,21.48,0,,0,,0,0.0,0.0,0.0,,,1.56,,2.51,0.0,0.0,0.0,0.0,0,0.0
