Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Muslija,Gentrit Muslija,-301935,Wil,Wil,https://cdn5.wyscout.com/photos/team/public/1149_120x120.png,Challenge League,GK,GK,100,,0,,0,20.0,2006-01-19,0,2028-06-30,27,2616,0,0.0,0,0.0,0.34,80.0,Switzerland,"['Switzerland', 'Serbia']",right,186,0,False,0.79,0.03,0.0,0.17,80.0,0.0,0.0,0.0,0.79,0.99,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,22.64,0.28,0.14,34.82,90.61,12.73,76.49,0.0,0.0,25.67,98.93,9.08,67.8,28.76,45.38,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.24,58.46,0.28,12.5,0.24,28.57,0.07,0.0,7.4,76.74,98.84,20.71,41,1.4100000000000001,138,4.75,10,70.29,37.53,1.29,-3.47,-0.11900000000000001,0.0,0.48,0.17,,,,0.0,0,0.0
M. Mastil,Melvin Mastil,-274272,Stade Nyonnais,Stade Nyonnais,https://cdn5.wyscout.com/photos/team/public/1156_120x120.png,Challenge League,GK,GK,100,,0,,0,26.0,2000-02-19,100000,2029-06-30,27,2603,0,0.0,0,0.1,0.76,95.45,France,"['France', 'Algeria']",right,194,0,True,1.8,0.0,0.0,0.55,93.75,0.0,0.0,0.0,1.8,2.01,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.03,15.11,0.17,0.31,24.51,84.06,11.06,66.88,0.0,0.0,15.94,98.26,8.57,57.66,33.4,51.4,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.73,44.3,0.17,20.0,0.31,22.22,0.07,0.0,5.88,68.82,98.08,12.62,34,1.18,164,5.67,5,79.27,44.97,1.55,10.97,0.379,0.0,1.63,0.55,,,,0.0,0,0.0
L. Schaffran,Leon Schaffran,412125,Vaduz,Vaduz,https://cdn5.wyscout.com/photos/team/public/1142_120x120.png,Challenge League,GK,GK,100,,0,,0,27.0,1998-07-31,200000,2027-06-30,27,2592,0,0.0,0,0.0,0.63,72.22,Germany,['Germany'],right,186,81,False,1.3900000000000001,0.1,0.0,0.38,90.91,0.0,0.0,0.0,1.3900000000000001,1.98,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.0,0.0,0.0,15.52,0.17,0.17,23.78,89.34,11.25,80.25,0.0,0.0,18.33,98.11,5.42,60.26,27.17,45.75,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.18,38.24,0.0,0.0,0.07,50.0,0.03,0.0,4.51,65.38,97.52,11.18,28,0.97,88,3.06,11,68.18,29.73,1.03,1.73,0.06,0.0,1.46,0.38,,,,0.0,0,0.0
D. Da Silva,Dany Roger  Bornand Da Silva,85705,Stade Lausanne-Ouchy,Stade Lausanne-Ouchy,https://cdn5.wyscout.com/photos/team/public/g9787_120x120.png,Challenge League,GK,GK,100,,0,,0,33.0,1993-03-02,300000,2027-06-30,26,2505,0,0.0,0,0.0,0.65,100.0,Switzerland,"['Switzerland', 'Portugal']",right,188,78,False,1.51,0.25,100.0,0.32,100.0,0.0,0.0,0.0,1.26,1.92,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.04,16.46,0.65,0.11,25.01,86.21,14.77,80.05,0.0,0.0,15.84,97.51,9.16,66.67,30.37,44.9,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.65,47.83,0.14,0.0,0.25,28.57,0.0,0.0,6.14,67.25,95.45,9.49,33,1.19,105,3.77,7,68.57,35.12,1.26,2.12,0.076,0.0,0.72,0.32,,,,0.0,0,0.0
A. Sauthier,Anthony Sauthier,37408,Yverdon Sport,Yverdon Sport,https://cdn5.wyscout.com/photos/team/public/1145_120x120.png,Challenge League,RB,RB,93,,0,,0,35.0,1991-02-05,100000,2026-06-30,25,2421,0,0.36,4,3.29,13.64,61.31,Switzerland,['Switzerland'],right,185,75,False,9.14,6.84,64.13,3.05,52.44,0.33,0.49,0.30000000000000004,4.42,6.42,0.52,4,0.15,0,0.0,0.93,0.0,0,0.0,0.01,0,0.0,15,0.56,26.67,0.0,0.15,1.23,45.45,0.07,100.0,1.12,43.33,0.07,0.26,57.14,2.16,74.14,0.26,1.0,0.04,45.17,3.46,2.01,57.14,87.31,24.13,81.2,5.91,97.48,47.21,91.5,8.74,70.21,20.92,36.66,0.12,0.78,0.04,0.0,0.07,100.0,0.26,9.55,78.6,2.42,50.77,0.63,47.06,0.67,0.63,13.61,80.6,92.45,20.67,0,,0,,0,0.0,0.0,0.0,,,1.45,,3.05,0.15,0.0,0.0,0.15,0,0.0
M. Hübel,Marvin Hübel,-106542,Aarau,Aarau,https://cdn5.wyscout.com/photos/team/public/583_120x120.png,Challenge League,GK,GK,100,,0,,0,23.0,2003-03-01,400000,2027-06-30,25,2416,0,0.0,0,0.01,0.45,100.0,Switzerland,['Switzerland'],right,187,80,False,1.45,0.0,0.0,0.37,100.0,0.0,0.0,0.0,1.45,1.76,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,16.35,0.19,0.04,27.42,86.55,16.32,78.31,0.0,0.0,15.38,97.58,12.03,72.45,35.11,48.35,0.0,0.04,0.0,0.0,0.0,0.0,0.0,4.58,70.73,0.22,0.0,0.19,20.0,0.0,0.0,9.57,84.05,98.92,10.39,33,1.23,99,3.69,8,66.67,34.9,1.3,1.9,0.07100000000000001,0.0,1.49,0.37,,,,0.0,0,0.0
M. Thaler,Marco Thaler,314654,Aarau,Aarau,https://cdn5.wyscout.com/photos/team/public/583_120x120.png,Challenge League,LCB3,LCB3,80,,0,,0,31.0,1994-06-28,150000,2027-06-30,25,2416,0,0.29,1,0.9500000000000001,11.29,61.72,Switzerland,['Switzerland'],right,185,80,False,8.83,6.82,68.31,1.9,49.02,0.11,0.13,0.37,4.06,4.9,1.04,4,0.15,0,0.0,0.19,0.0,0,0.0,0.01,0,0.0,5,0.19,20.0,0.0,0.04,0.30000000000000004,0.0,0.11,0.0,0.19,0.0,0.11,0.22,66.67,1.12,53.33,0.6000000000000001,0.93,0.04,22.84,0.37,0.63,34.16,82.55,18.22,76.28,2.42,95.38,28.76,88.6,5.1,53.28,20.77,34.1,0.04,0.19,0.0,0.11,0.04,0.0,0.04,6.67,70.95,0.45,16.67,0.34,55.56,0.30000000000000004,0.04,9.13,73.47,91.04,9.98,0,,0,,0,0.0,0.0,0.0,,,1.27,,1.9,0.0,0.0,0.0,0.0,0,0.0
E. Omeragic,Edin Omeragic,-188464,Neuchâtel Xamax,Neuchâtel Xamax,https://cdn5.wyscout.com/photos/team/public/586_120x120.png,Challenge League,GK,GK,100,,0,,0,24.0,2002-03-20,400000,,25,2415,0,0.0,0,0.0,1.16,80.65,Switzerland,['Switzerland'],right,196,82,False,1.94,0.11,33.33,0.75,90.0,0.04,0.05,0.0,1.8599999999999999,2.26,0.04,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.22,100.0,0.04,0.04,0.0,14.31,0.30000000000000004,0.26,22.17,87.23,9.06,72.43,0.0,0.0,15.88,97.42,6.19,62.65,29.67,46.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,46.88,0.04,100.0,0.11,66.67,0.04,0.0,4.43,63.03,98.48,12.22,29,1.08,102,3.8,5,71.57,33.78,1.26,4.78,0.178,0.0,1.71,0.75,,,,0.0,0,0.0
R. Correia,Ruben Machado Correia,-103152,Stade Nyonnais,Stade Nyonnais,https://cdn5.wyscout.com/photos/team/public/1156_120x120.png,Challenge League,"LB, LB5",LB,70,LB5,18,,0,26.0,2000-01-06,50000,2026-06-30,25,2404,0,0.73,1,2.48,18.64,49.6,Switzerland,"['Switzerland', 'Portugal']",left,181,73,False,9.25,7.64,59.31,2.43,46.15,0.07,0.08,0.26,4.64,5.12,0.97,4,0.15,0,0.0,2.02,0.0,0,0.0,0.03,0,0.0,13,0.49,23.08,0.0,0.04,2.17,36.21,2.06,36.36,0.11,33.33,0.26,2.17,51.72,6.96,40.32,0.75,2.1,0.11,27.44,1.5,1.05,40.84,77.27,19.21,70.57,6.78,95.58,32.65,84.86,6.1,50.92,19.84,36.05,0.09,0.8200000000000001,0.04,0.04,0.04,0.0,0.30000000000000004,6.06,61.73,2.1,48.21,0.41000000000000003,27.27,0.45,0.79,10.63,67.96,78.43,9.55,0,,0,,0,0.0,0.0,0.0,,,0.26,,2.43,0.75,0.0,0.0,0.86,0,0.0
N. Sutter,Nicola Sutter,329224,Stade Lausanne-Ouchy,Stade Lausanne-Ouchy,https://cdn5.wyscout.com/photos/team/public/g9787_120x120.png,Challenge League,"RCB, LCB",RCB,70,LCB,22,,0,30.0,1995-05-08,250000,2027-06-30,26,2391,3,1.98,3,1.3599999999999999,16.94,63.56,Switzerland,['Switzerland'],left,183,73,False,10.16,6.74,69.83,5.35,61.97,0.68,1.04,0.41000000000000003,4.78,7.31,1.09,3,0.11,0,0.0,0.19,0.11,3,0.11,0.07,1,0.04,12,0.45,33.33,25.0,0.11,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.11,33.33,1.58,50.0,0.87,1.28,0.04,29.62,0.45,1.32,48.11,89.36,23.0,83.31,2.26,95.0,42.57,92.84,5.46,63.45,21.4,39.8,0.05,0.26,0.0,0.08,0.0,0.0,0.23,7.75,71.84,0.9,45.83,0.87,60.87,0.49,0.0,10.54,83.57,96.76,18.59,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,5.35,0.0,0.0,0.0,0.0,0,0.0
