Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
G. Pickford,George Pickford,-386660,Everton U21,Everton U21,https://cdn5.wyscout.com/photos/team/public/g22507_120x120.png,Premier League 2,GK,GK,100,,0,,0,18.0,2007-02-06,0,2026-06-30,9,893,0,0.0,0,0.0,0.4,75.0,England,['England'],right,0,0,False,1.51,0.1,100.0,0.1,100.0,0.0,0.0,0.0,1.4100000000000001,1.55,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,0.0,0.0,0.0,12.6,0.1,0.1,20.86,85.51,9.37,72.04,0.0,0.0,13.4,96.24,7.46,66.22,27.26,41.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,36.36,0.1,0.0,0.0,0.0,0.0,0.0,4.94,69.39,95.88,9.78,15,1.51,46,4.64,4,67.39,13.99,1.4100000000000001,-1.01,-0.10200000000000001,0.0,0.81,0.1,,,,0.0,0,0
B. Graham,Braiden Graham,-338380,Everton U21,Everton U21,https://cdn5.wyscout.com/photos/team/public/g22507_120x120.png,Premier League 2,"AMF, CF, LW",AMF,44,CF,21,LW,16,18.0,2007-11-07,0,2027-06-30,9,884,4,3.93,0,0.78,13.13,42.64,Northern Ireland,['Northern Ireland'],unknown,175,0,False,3.56,3.36,48.48,1.53,60.0,0.2,0.23,0.0,1.73,1.92,1.22,3,0.31,0,0.0,2.75,0.41000000000000003,4,0.41000000000000003,0.4,0,0.0,25,2.55,44.0,16.0,0.0,0.71,0.0,0.2,0.0,0.41000000000000003,0.0,0.41000000000000003,2.24,68.18,6.41,39.68,2.75,1.73,0.71,14.25,0.71,0.81,20.97,76.21,6.92,67.65,4.89,93.75,18.83,81.08,1.53,46.67,18.14,33.17,0.08,0.51,0.1,0.0,0.31,33.33,0.2,2.75,59.26,1.73,70.59,0.31,33.33,1.12,0.0,3.67,77.78,70.49,6.21,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,1.53,0.0,0.0,0.0,0.0,1,0
B. Middlemas,Ben Middlemas,-279274,Sunderland U21,Sunderland U21,https://cdn5.wyscout.com/photos/team/public/g22517_120x120.png,Premier League 2,"LDMF, LCMF",LDMF,45,LCMF,33,,0,20.0,2004-12-13,0,,9,876,1,1.45,0,1.54,21.27,55.07,England,['England'],right,182,74,False,9.04,9.14,59.55,0.8200000000000001,37.5,0.62,0.73,0.0,2.98,3.51,1.75,3,0.31,0,0.0,2.88,0.1,1,0.1,0.15,0,0.0,14,1.44,50.0,7.143,0.0,0.41000000000000003,0.0,0.41000000000000003,0.0,0.0,0.0,0.1,2.47,70.83,9.14,55.06,1.85,2.36,0.41000000000000003,31.13,0.1,2.5700000000000003,43.25,74.35,19.62,61.26,5.65,94.55,37.81,80.43,5.14,34.0,18.34,42.88,0.16,1.44,0.0,0.1,0.41000000000000003,100.0,0.8200000000000001,9.25,55.56,3.8,62.16,0.72,42.86,2.98,0.0,8.32,69.14,87.16,11.2,0,,0,,0,0.0,0.0,0.0,,,0.31,,0.8200000000000001,0.21,0.0,0.0,0.41000000000000003,0,0
A. Harrison,Alfie  Harrison,-360200,Newcastle United,Newcastle United U21,https://cdn5.wyscout.com/photos/team/public/36_120x120.png,Premier League,"RAMF, AMF",RAMF,58,AMF,20,,0,19.0,2005-11-28,0,,9,864,0,1.21,3,1.29,12.5,40.0,England,['England'],right,185,85,False,3.33,3.23,70.97,0.8300000000000001,12.5,0.1,0.15,0.0,0.9400000000000001,1.32,0.63,2,0.21,0,0.0,1.98,0.0,0,0.0,0.13,0,0.0,14,1.46,28.57,0.0,0.31,1.35,15.38,0.63,16.67,0.73,14.29,0.1,2.81,44.44,7.29,32.86,1.98,1.67,0.31,30.94,1.25,0.63,36.56,83.19,10.21,79.59,7.6,91.78,33.65,86.69,1.67,62.5,16.81,36.53,0.13,1.04,0.0,0.0,0.21,50.0,0.42,4.06,82.05,3.02,58.62,0.31,0.0,1.35,0.42,5.94,73.68,81.97,12.71,0,,0,,0,0.0,0.0,0.0,,,0.1,,0.8300000000000001,0.52,0.0,0.0,1.56,0,0
W. Tamen,William Tamen,-402907,Everton U21,Everton U21,https://cdn5.wyscout.com/photos/team/public/g22507_120x120.png,Premier League 2,"RCB, CB",RCB,69,CB,18,,0,19.0,2006-05-12,0,2027-06-30,9,844,0,0.55,0,0.0,13.01,63.11,England,['England'],,0,0,False,9.06,5.65,69.81,3.2,76.67,0.85,0.9400000000000001,0.32,4.27,4.71,0.64,1,0.11,0,0.0,0.53,0.0,0,0.0,0.06,0,0.0,5,0.53,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,66.67,2.67,32.0,0.75,0.11,0.11,24.95,0.0,0.85,36.79,88.12,17.91,80.95,1.49,100.0,31.99,93.33,4.8,53.33,21.58,39.99,0.0,0.0,0.11,0.0,0.0,0.0,0.0,3.31,61.29,0.11,0.0,0.32,0.0,0.0,0.0,7.36,75.36,94.81,14.4,0,,0,,0,0.0,0.0,0.0,,,1.28,,3.2,0.0,0.0,0.0,0.0,0,0
M. Laffey,Michael Laffey,-133370,Liverpool U19,Liverpool U21,https://cdn5.wyscout.com/photos/team/public/g20371_120x120.png,,"AMF, LDMF, RDMF",AMF,33,LDMF,30,RDMF,20,20.0,2005-10-11,0,,9,838,2,0.68,0,1.8900000000000001,9.34,56.32,England,['England'],right,0,0,False,5.37,4.3,55.0,1.18,63.64,0.54,0.68,0.11,2.47,3.15,1.18,4,0.43,0,0.0,0.54,0.21,2,0.21,0.07,1,0.11,5,0.54,60.0,40.0,0.0,0.64,33.33,0.54,40.0,0.0,0.0,0.0,0.0,0.0,2.36,63.64,1.72,0.21,0.0,21.26,0.32,1.29,30.39,84.81,9.02,72.62,6.87,95.31,27.71,89.53,2.15,35.0,18.56,36.23,0.2,0.86,0.21,0.0,0.0,0.0,0.43,4.83,68.89,0.75,57.14,0.0,0.0,0.64,0.32,3.65,76.47,92.86,9.02,0,,0,,0,0.0,0.0,0.0,,,0.43,,1.18,0.11,0.0,0.0,1.9300000000000002,0,0
F. Gomez,Francis Gomez,-673167,Everton U21,Everton U21,https://cdn5.wyscout.com/photos/team/public/g22507_120x120.png,Premier League 2,"RCMF, RDMF, LCMF",RCMF,43,RDMF,31,LCMF,10,19.0,2006-02-28,0,,9,825,1,0.67,0,0.24,17.13,55.41,Gambia,['Gambia'],right,175,0,False,9.05,8.84,69.14,1.31,50.0,0.22,0.24,0.11,2.73,2.96,0.76,2,0.22,0,0.0,1.09,0.11,1,0.11,0.07,0,0.0,8,0.87,75.0,12.5,0.0,0.44,0.0,0.22,0.0,0.22,0.0,0.0,1.09,40.0,5.78,33.96,0.11,0.87,0.0,22.36,0.11,0.98,34.8,82.45,9.93,68.13,4.58,92.86,30.55,87.86,3.8200000000000003,48.57,19.91,35.73,0.03,0.22,0.0,0.0,0.0,0.0,0.0,6.55,65.0,0.98,44.44,0.33,0.0,0.33,0.0,5.13,72.34,87.32,15.49,0,,0,,0,0.0,0.0,0.0,,,0.76,,1.31,0.22,0.0,0.0,0.33,0,0
C. Heffernan,Cathal Heffernan,-158939,Newcastle United U21,Newcastle United U21,https://cdn5.wyscout.com/photos/team/public/g22514_120x120.png,Premier League 2,"LCB, RCB",LCB,49,RCB,46,,0,20.0,2005-04-27,0,,9,820,1,0.48,0,0.44,15.15,71.01,Republic of Ireland,['Republic of Ireland'],right,0,0,False,10.32,7.35,76.12,3.29,66.67,0.22,0.30000000000000004,0.44,4.5,6.24,0.55,0,0.0,0,0.0,0.66,0.11,1,0.11,0.05,1,0.11,3,0.33,100.0,33.333,0.0,0.33,66.67,0.0,0.0,0.33,66.67,0.0,0.11,100.0,1.65,46.67,0.88,0.33,0.11,44.23,0.33,0.33,63.66,90.52,18.88,74.42,2.2,100.0,58.28,94.92,5.05,41.3,21.65,39.41,0.05,0.11,0.0,0.0,0.0,0.0,0.11,4.5,68.29,0.55,40.0,0.0,0.0,0.0,0.22,8.45,68.83,98.54,37.65,0,,0,,0,0.0,0.0,0.0,,,1.65,,3.29,0.0,0.0,0.0,0.0,0,0
A. Borland,Aidan Borland,-372150,Aston Villa U21,Aston Villa U21,https://cdn5.wyscout.com/photos/team/public/g22512_120x120.png,Premier League 2,"RCMF, RDMF, DMF",RCMF,38,RDMF,23,DMF,11,18.0,2007-04-25,0,,8,803,0,0.41000000000000003,1,1.17,9.64,50.0,Scotland,['Scotland'],right,0,0,False,6.16,4.93,50.0,0.9,50.0,0.45,0.59,0.0,3.25,4.31,1.34,2,0.22,0,0.0,1.46,0.0,0,0.0,0.05,0,0.0,5,0.56,40.0,0.0,0.11,1.34,41.67,0.67,50.0,0.67,33.33,0.0,0.67,83.33,2.47,50.0,0.45,0.78,0.11,41.02,0.22,0.78,53.69,86.64,17.48,77.56,9.19,100.0,47.75,91.31,4.71,50.0,17.93,36.5,0.13,0.9,0.0,0.0,0.11,100.0,0.67,8.63,70.13,3.36,46.67,0.45,25.0,1.23,0.67,9.08,80.25,88.17,18.94,0,,0,,0,0.0,0.0,0.0,,,1.01,,0.9,0.34,0.11,100.0,1.01,0,0
K. Wilson,Kaiden Wilson,-289548,Chelsea U21,Chelsea U21,https://cdn5.wyscout.com/photos/team/public/g22520_120x120.png,Premier League 2,"LCB, RB",LCB,78,RB,20,,0,20.0,2005-09-02,0,2026-06-30,8,796,0,0.02,1,0.74,16.62,57.14,England,['England'],right,0,0,False,7.91,6.78,60.0,2.04,61.11,0.11,0.18,0.68,3.73,5.79,1.24,3,0.34,0,0.0,0.5700000000000001,0.0,0,0.0,0.0,0,0.0,1,0.11,100.0,0.0,0.11,0.23,50.0,0.11,100.0,0.11,0.0,0.11,0.23,100.0,4.07,44.44,0.45,1.02,0.11,47.94,0.34,0.9,62.98,89.95,21.14,83.42,3.96,97.14,59.02,93.49,3.84,38.24,18.75,38.48,0.08,0.23,0.11,0.0,0.11,100.0,0.23,6.44,87.72,0.23,50.0,0.23,100.0,0.45,0.0,8.71,68.83,93.87,29.51,0,,0,,0,0.0,0.0,0.0,,,1.47,,2.04,0.0,0.0,0.0,0.0,0,0
