Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Zadorsky,Shelina Zadorsky,111382,West Ham United,West Ham United,https://cdn5.wyscout.com/photos/team/public/g5260_120x120.png,Barclays Women's Super League,"LCB, LCB3",LCB,70,LCB3,29,,0,32,1992-10-24,0,,6,617,0,0.33,0,0.08,9.34,57.81,Canada,['Canada'],left,172,0,False,8.17,5.83,65.0,1.6,54.55,0.15,0.18,0.73,4.23,5.15,0.58,1,0.15,0,0.0,0.44,0.0,0,0.0,0.05,0,0.0,2,0.29,0.0,0.0,0.0,0.58,75.0,0.58,75.0,0.0,0.0,0.0,0.15,0.0,0.73,0.0,0.88,0.58,0.0,26.84,0.29,0.0,38.51,79.17,21.73,70.47,2.33,100.0,27.71,92.11,10.21,44.29,24.09,39.38,0.01,0.29,0.0,0.0,0.0,0.0,0.0,7.0,50.0,1.46,50.0,0.44,0.0,1.02,0.44,10.65,68.49,86.25,11.67,0,,0,,0,0.0,0.0,0.0,,,1.9,,1.6,0.0,0.0,0.0,0.0,0,0.0
D. van Domselaar,Daphne van Domselaar,427228,Arsenal,Arsenal,https://cdn5.wyscout.com/photos/team/public/g5241_120x120.png,Barclays Women's Super League,GK,GK,100,,0,,0,25,2000-03-06,0,,6,609,0,0.0,0,0.0,0.59,100.0,Netherlands,['Netherlands'],,0,0,False,1.77,0.0,0.0,0.44,100.0,0.0,0.0,0.0,1.77,2.79,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,22.76,0.30000000000000004,0.15,31.33,89.15,12.27,79.52,0.0,0.0,24.09,96.32,7.24,65.31,24.13,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,50.0,0.15,100.0,0.15,100.0,0.15,0.0,6.21,57.14,96.4,16.4,6,0.89,24,3.55,2,75.0,6.76,1.0,0.76,0.112,0.0,0.74,0.44,,,,0.0,0,0.0
E. Fox,Emily Ann Fox,467991,Arsenal,Arsenal,https://cdn5.wyscout.com/photos/team/public/g5241_120x120.png,Barclays Women's Super League,RB,RB,100,,0,,0,27,1998-07-05,0,,6,609,0,0.27,1,0.51,12.41,54.76,United States,['United States'],right,167,0,False,5.91,4.29,72.41,1.63,45.45,0.0,0.0,0.0,2.81,4.42,0.59,1,0.15,0,0.0,0.89,0.0,0,0.0,0.04,0,0.0,2,0.30000000000000004,0.0,0.0,0.15,1.18,0.0,0.0,0.0,1.18,0.0,0.30000000000000004,1.33,55.56,3.99,40.74,0.74,1.92,0.15,39.61,0.59,0.74,51.43,84.77,19.21,81.54,10.79,91.78,48.33,88.69,1.92,38.46,15.8,37.98,0.08,0.30000000000000004,0.15,0.0,0.59,25.0,0.30000000000000004,8.28,75.0,3.55,41.67,0.74,20.0,0.89,0.0,7.54,80.39,79.22,11.38,0,,0,,0,0.0,0.0,0.0,,,1.48,,1.63,0.0,0.0,0.0,0.0,0,0.0
Y. Hasegawa,Yui Hasegawa,268300,Manchester City,Manchester City,https://cdn5.wyscout.com/photos/team/public/g5266_120x120.png,Barclays Women's Super League,"DMF, RDMF, LCMF3",DMF,49,RDMF,33,LCMF3,13,28,1997-01-29,0,2026-01-31,6,607,1,0.55,0,1.13,15.72,49.06,Japan,['Japan'],,154,0,False,10.23,6.08,75.61,0.44,33.33,0.0,0.0,0.0,5.63,7.5,0.15,0,0.0,0,0.0,1.9300000000000002,0.15,1,0.15,0.08,0,0.0,5,0.74,40.0,20.0,0.0,0.59,50.0,0.44,66.67,0.15,0.0,0.15,2.22,53.33,7.41,36.0,0.89,0.0,0.0,30.54,0.44,0.30000000000000004,46.56,86.62,16.31,72.73,8.6,100.0,42.55,90.59,3.41,43.48,14.34,31.18,0.17,0.74,0.0,0.0,0.44,33.33,0.15,6.38,60.47,2.67,55.56,1.33,33.33,1.33,0.30000000000000004,5.34,77.78,88.16,11.27,0,,0,,0,0.0,0.0,0.0,,,0.74,,0.44,0.15,0.0,0.0,2.22,0,0.0
K. Casparij,Kerstin Yasmijn Casparij,428866,Manchester City,Manchester City,https://cdn5.wyscout.com/photos/team/public/g5266_120x120.png,Barclays Women's Super League,RB,RB,95,,0,,0,25,2000-08-19,0,,6,607,2,1.35,2,1.4100000000000001,12.6,69.41,Netherlands,['Netherlands'],,0,0,False,11.27,7.86,84.91,1.04,42.86,0.15,0.2,0.44,4.45,5.92,0.30000000000000004,0,0.0,0,0.0,2.8200000000000003,0.30000000000000004,2,0.30000000000000004,0.2,1,0.15,7,1.04,42.86,28.571,0.30000000000000004,4.0,44.44,0.0,0.0,4.0,44.44,1.19,1.04,57.14,2.67,50.0,1.78,1.33,0.30000000000000004,30.4,1.48,0.30000000000000004,42.11,77.82,16.61,67.86,10.08,95.59,35.44,86.19,2.8200000000000003,15.79,17.42,29.64,0.21,0.89,0.15,0.0,0.0,0.0,0.44,4.6,67.74,4.74,50.0,0.59,0.0,0.74,1.78,10.08,66.18,79.41,10.08,0,,0,,0,0.0,0.0,0.0,,,0.44,,1.04,0.0,0.0,0.0,0.0,0,0.0
V. Asseyi,Viviane Asseyi,113263,West Ham United,West Ham United,https://cdn5.wyscout.com/photos/team/public/g5260_120x120.png,Barclays Women's Super League,"LAMF, LCMF3, LCMF",LAMF,47,LCMF3,23,LCMF,19,31,1993-11-20,0,,6,605,1,1.97,0,2.03,20.83,42.86,France,['France'],right,161,57,False,8.18,5.8,61.54,2.5300000000000002,29.41,0.45,0.55,0.15,4.17,5.09,2.23,1,0.15,0,0.0,2.83,0.15,0,0.0,0.29,0,0.0,15,2.23,33.33,6.667,0.0,1.34,33.33,1.19,37.5,0.15,0.0,0.30000000000000004,2.23,66.67,8.63,39.66,2.08,1.19,0.45,13.54,1.04,2.23,18.45,70.16,5.21,51.43,5.5,94.59,15.02,79.21,2.08,28.57,19.22,31.8,0.30000000000000004,1.79,0.0,0.0,0.15,100.0,0.30000000000000004,2.23,60.0,1.9300000000000002,46.15,0.74,20.0,0.6000000000000001,0.45,4.31,55.17,75.76,4.91,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.5300000000000002,1.79,0.15,100.0,2.98,1,100.0
I. Goodwin,Isobel Goodwin,-214560,London City Lionesses,London City Lionesses,https://cdn5.wyscout.com/photos/team/public/g5255_120x120.png,Barclays Women's Super League,CF,CF,100,,0,,0,22,2002-12-21,0,,6,604,2,1.52,0,0.41000000000000003,19.52,37.4,England,['England'],,0,0,False,3.13,2.68,66.67,3.73,56.0,0.0,0.0,0.15,1.34,1.7000000000000002,0.6000000000000001,0,0.0,0,0.0,1.94,0.30000000000000004,2,0.30000000000000004,0.23,0,0.0,10,1.49,60.0,20.0,0.0,0.75,20.0,0.15,100.0,0.6000000000000001,0.0,0.0,2.24,33.33,9.54,17.19,2.83,1.04,0.15,7.3,1.19,0.15,12.07,74.07,2.24,60.0,3.73,92.0,11.18,78.67,0.15,0.0,17.56,5.9,0.06,0.45,0.15,0.0,0.30000000000000004,50.0,0.30000000000000004,0.75,80.0,1.04,28.57,0.30000000000000004,50.0,0.45,0.15,2.09,64.29,88.89,2.68,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.73,0.0,0.0,0.0,0.0,0,0.0
Elene Lete,Elene Lete Para,-143321,London City Lionesses,London City Lionesses,https://cdn5.wyscout.com/photos/team/public/g5255_120x120.png,Barclays Women's Super League,GK,GK,100,,0,,0,23,2002-05-07,0,,6,604,0,0.0,0,0.0,0.45,33.33,Spain,['Spain'],,173,66,False,1.34,0.15,0.0,0.30000000000000004,50.0,0.0,0.0,0.0,1.34,1.7000000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78,0.30000000000000004,0.0,32.04,89.3,14.3,82.29,0.15,100.0,24.74,96.99,7.3,63.27,23.68,41.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,60.0,95.1,15.2,14,2.09,38,5.66,2,63.16,13.52,2.01,-0.48,-0.07200000000000001,0.15,0.89,0.30000000000000004,,,,0.0,0,0.0
K. Gorry,Katrina Gorry,99343,West Ham United,West Ham United,https://cdn5.wyscout.com/photos/team/public/g5260_120x120.png,Barclays Women's Super League,"LDMF, DMF, RCMF",LDMF,49,DMF,27,RCMF,15,33,1992-08-13,0,,6,602,0,0.38,0,1.45,16.0,47.66,Australia,"['Australia', 'Republic of Ireland']",right,154,0,False,9.72,5.83,66.67,1.05,28.57,0.9,1.1,0.30000000000000004,4.93,6.04,1.35,2,0.30000000000000004,0,0.0,1.6400000000000001,0.0,0,0.0,0.06,0,0.0,8,1.2,25.0,0.0,0.0,0.15,100.0,0.15,100.0,0.0,0.0,0.15,2.09,50.0,6.73,37.78,1.35,1.5,0.45,19.44,0.75,0.75,30.8,74.27,12.26,57.32,5.53,91.89,26.16,77.14,4.49,56.67,19.6,34.49,0.22,0.75,0.0,0.0,0.15,100.0,0.30000000000000004,5.68,52.63,1.94,46.15,0.9,50.0,1.2,0.15,6.43,60.47,84.13,9.42,0,,0,,0,0.0,0.0,0.0,,,1.2,,1.05,0.0,0.0,0.0,0.0,0,0.0
S. Catley,Steph Catley,99342,Arsenal,Arsenal,https://cdn5.wyscout.com/photos/team/public/g5241_120x120.png,Barclays Women's Super League,LCB,LCB,100,,0,,0,31,1994-01-26,0,,6,601,0,0.02,1,0.18,7.94,64.15,Australia,['Australia'],left,171,0,False,7.04,4.19,82.14,1.5,20.0,0.15,0.23,0.6000000000000001,3.44,5.39,0.15,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,1,0.15,0.0,0.0,0.15,0.45,33.33,0.45,33.33,0.0,0.0,0.0,0.15,100.0,1.35,55.56,0.45,0.6000000000000001,0.0,40.13,0.15,0.30000000000000004,53.91,89.17,24.71,81.21,4.19,96.43,49.42,93.03,4.04,48.15,16.62,36.54,0.03,0.45,0.0,0.15,0.0,0.0,0.15,8.09,74.07,1.05,71.43,0.30000000000000004,100.0,0.30000000000000004,0.15,7.49,82.0,98.36,18.27,0,,0,,0,0.0,0.0,0.0,,,1.9500000000000002,,1.5,0.0,0.0,0.0,0.0,0,0.0
