Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
L. Nikolić,Lazar Nikolić,444192,Vojvodina,Vojvodina,https://cdn5.wyscout.com/photos/team/public/700_120x120.png,Super Liga,RB,RB,100,,0,,0,26.0,1999-08-01,500000,,15,1504,1,0.13,1,1.8900000000000001,15.02,56.57,Serbia,['Serbia'],right,177,71,False,8.62,8.2,61.31,1.56,53.85,0.36,0.5,0.36,3.23,4.5,1.1400000000000001,3,0.18,0,0.0,2.75,0.06,1,0.06,0.01,0,0.0,7,0.42,14.29,14.286,0.06,2.93,40.82,0.06,0.0,2.87,41.67,0.36,1.8,80.0,3.95,54.55,0.36,2.27,0.06,28.13,1.9100000000000001,0.78,39.73,77.71,18.43,69.81,4.73,94.94,29.92,87.0,7.0,53.85,20.71,35.15,0.11,0.96,0.06,0.0,0.12,50.0,0.36,6.82,71.05,4.01,53.73,0.30000000000000004,60.0,0.96,1.1400000000000001,10.89,76.37,81.96,11.61,0,,0,,0,0.0,0.0,0.0,,,0.18,,1.56,0.18,0.0,0.0,0.06,0,0.0
D. Rosić,Dragan Rosić,451214,Vojvodina,Vojvodina,https://cdn5.wyscout.com/photos/team/public/700_120x120.png,Super Liga,GK,GK,100,,0,,0,29.0,1996-09-22,0,2026-12-31,15,1504,0,0.0,0,0.0,0.18,66.67,Serbia,['Serbia'],left,194,86,False,1.08,0.0,0.0,0.12,100.0,0.0,0.0,0.0,1.08,1.5,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,6.64,0.12,0.0,13.22,82.35,8.2,72.26,0.06,100.0,7.0,98.29,6.22,64.42,34.99,48.52,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.6800000000000002,50.0,0.18,0.0,0.06,0.0,0.0,0.0,4.25,81.69,98.67,4.49,15,0.9,68,4.07,4,77.94,18.52,1.11,3.52,0.211,0.0,0.9,0.12,,,,0.0,0,0.0
S. Ranđelović,Stefan Ranđelović,217860,Radnik Surdulica,Radnik Surdulica,https://cdn5.wyscout.com/photos/team/public/g6756_120x120.png,Super Liga,GK,GK,100,,0,,0,26.0,1999-01-27,800000,,15,1490,0,0.0,0,0.0,0.66,63.64,Serbia,['Serbia'],right,188,84,False,1.27,0.12,50.0,0.42,71.43,0.0,0.0,0.0,1.21,1.73,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,10.87,0.36,0.12,17.34,86.41,9.97,79.39,0.0,0.0,10.57,96.57,6.64,71.82,33.0,46.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,61.9,0.0,0.0,0.06,100.0,0.0,0.0,5.44,76.67,97.46,7.13,22,1.33,69,4.17,4,68.12,22.16,1.34,0.16,0.01,0.0,2.17,0.42,,,,0.0,0,0.0
D. Skoko,Djordje Skoko,-409218,Javor Ivanjica,Javor Ivanjica,https://cdn5.wyscout.com/photos/team/public/1255_120x120.png,Super Liga,"LCB, LCB3",LCB,58,LCB3,37,,0,22.0,2003-06-03,0,2027-01-15,15,1473,0,2.09,0,0.52,12.16,62.31,Serbia,['Serbia'],left,194,80,False,9.29,5.68,66.67,3.48,66.67,0.06,0.07,1.04,5.44,6.45,1.34,3,0.18,0,0.0,0.49,0.0,0,0.0,0.13,0,0.0,9,0.55,22.22,0.0,0.0,0.24,50.0,0.24,50.0,0.0,0.0,0.0,0.37,50.0,1.71,28.57,1.04,0.98,0.12,21.02,0.31,0.37,33.54,83.97,14.91,70.08,1.5899999999999999,100.0,26.82,91.12,6.48,55.66,22.9,38.29,0.03,0.12,0.0,0.0,0.06,100.0,0.06,3.6,62.71,0.55,33.33,0.24,50.0,0.24,0.12,7.21,62.71,95.9,14.91,0,,0,,0,0.0,0.0,0.0,,,1.1,,3.48,0.0,0.0,0.0,0.0,0,0.0
N. Vasiljević,Nikola Vasiljević,294630,Javor Ivanjica,Javor Ivanjica,https://cdn5.wyscout.com/photos/team/public/1255_120x120.png,Super Liga,GK,GK,100,,0,,0,29.0,1996-06-24,200000,2026-06-30,15,1473,0,0.0,0,0.0,0.24,100.0,Serbia,['Serbia'],right,202,88,False,0.98,0.0,0.0,0.12,100.0,0.0,0.0,0.0,0.98,1.16,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.21,0.12,0.06,11.85,76.29,7.52,63.41,0.0,0.0,5.25,100.0,6.6,57.41,37.41,49.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,41.67,0.0,0.0,0.06,100.0,0.0,0.0,4.7,70.13,98.53,4.15,24,1.47,66,4.03,2,63.64,21.49,1.31,-2.51,-0.153,0.0,1.4100000000000001,0.12,,,,0.0,0,0.0
N. Simić,Nikola Simić,-339770,Partizan,Partizan,https://cdn5.wyscout.com/photos/team/public/699_120x120.png,Super Liga,"LCB, RCB",LCB,86,RCB,13,,0,18.0,2007-03-30,0,2029-06-30,15,1468,1,1.19,0,0.0,10.18,69.28,Serbia,['Serbia'],right,185,0,False,6.62,4.35,78.87,3.0,67.35,0.18,0.30000000000000004,0.43,3.0,4.93,0.74,0,0.0,0,0.0,0.12,0.06,1,0.06,0.07,1,0.06,6,0.37,33.33,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,55.0,0.61,1.16,0.0,44.39,0.49,0.67,57.87,91.84,24.95,86.24,3.19,96.15,53.4,94.83,4.48,56.16,19.8,31.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66,77.6,0.37,33.33,0.25,25.0,0.18,0.0,9.07,81.76,97.42,23.73,0,,0,,0,0.0,0.0,0.0,,,2.5700000000000003,,3.0,0.0,0.0,0.0,0.0,0,0.0
O. Douglas,Owusu Douglas,-617770,Radnik Surdulica,Radnik Surdulica,https://cdn5.wyscout.com/photos/team/public/g6756_120x120.png,Super Liga,"RAMF, RW",RAMF,48,RW,40,,0,19.0,2006-04-10,0,,15,1466,4,4.13,0,2.18,22.53,48.77,Ghana,['Ghana'],,0,0,False,6.75,6.94,65.49,2.03,27.27,0.18,0.26,0.0,2.03,2.88,1.29,2,0.12,0,0.0,4.48,0.25,2,0.12,0.25,0,0.0,43,2.64,32.56,9.302,0.0,1.17,36.84,0.25,50.0,0.8,38.46,0.06,5.53,55.56,11.42,44.62,3.32,2.89,0.37,16.15,2.15,1.78,22.35,74.45,5.89,67.71,6.2,88.12,18.54,80.13,2.64,51.16,18.41,29.98,0.13,1.29,0.0,0.0,0.18,66.67,0.74,2.03,66.67,1.72,67.86,0.25,25.0,1.04,0.43,3.74,67.21,76.92,6.38,0,,0,,0,0.0,0.0,0.0,,,0.06,,2.03,0.0,0.0,0.0,0.0,2,100.0
Z. Popović,Zoran Popović,258594,Železničar Pancevo,Železničar Pancevo,https://cdn5.wyscout.com/photos/team/public/g34577_120x120.png,Super Liga,GK,GK,100,,0,,0,37.0,1988-05-28,50000,2026-06-30,15,1466,0,0.0,0,0.0,0.43,85.71,Serbia,"['Serbia', 'Croatia']",right,188,81,False,2.33,0.06,0.0,0.18,100.0,0.0,0.0,0.0,2.33,3.3,0.0,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.18,100.0,0.0,0.0,0.0,17.01,0.25,0.18,25.42,86.47,12.09,76.14,0.0,0.0,15.84,95.35,9.58,71.79,29.17,43.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,52.38,0.06,0.0,0.12,100.0,0.0,0.0,6.2,68.32,96.92,11.97,19,1.17,70,4.3,5,72.86,22.28,1.37,3.2800000000000002,0.201,0.0,2.03,0.18,,,,0.0,0,0.0
A. Hadzimujović,Ahmed  Hadzimujović,-570804,Novi Pazar,Novi Pazar,https://cdn5.wyscout.com/photos/team/public/3838_120x120.png,Super Liga,"LCB, RCB",LCB,75,RCB,23,,0,18.0,2007-08-17,0,,15,1461,0,0.59,0,0.17,12.75,64.25,Serbia,['Serbia'],,0,0,False,9.18,6.28,73.53,4.5,57.53,0.25,0.33,0.62,4.31,5.85,0.92,2,0.12,0,0.0,0.18,0.0,0,0.0,0.04,0,0.0,4,0.25,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.25,50.0,0.8,53.85,0.37,0.55,0.0,22.42,0.12,0.55,36.53,81.28,16.26,68.56,2.16,91.43,29.63,88.77,6.84,49.55,23.3,37.47,0.01,0.37,0.0,0.0,0.12,50.0,0.06,4.74,58.44,0.74,50.0,0.37,33.33,0.37,0.0,7.82,59.84,93.6,15.4,0,,0,,0,0.0,0.0,0.0,,,1.6600000000000001,,4.5,0.0,0.0,0.0,0.0,0,0.0
N. Đuričić,Nikola Đuričić,-186512,Železničar Pancevo,Železničar Pancevo,https://cdn5.wyscout.com/photos/team/public/g34577_120x120.png,Super Liga,LB,LB,99,,0,,0,25.0,1999-12-12,0,,15,1439,1,0.8,0,0.46,13.38,57.01,Serbia,['Serbia'],left,180,73,False,8.32,5.44,59.77,3.13,78.0,0.38,0.53,0.31,4.69,6.62,1.13,3,0.19,0,0.0,1.06,0.06,1,0.06,0.05,0,0.0,5,0.31,60.0,20.0,0.0,1.25,45.0,1.25,45.0,0.0,0.0,0.19,0.5,62.5,3.38,38.89,0.88,1.13,0.0,41.28,1.44,0.88,52.66,89.43,19.95,83.7,7.51,98.33,47.35,93.39,4.13,57.58,19.4,38.9,0.03,0.44,0.0,0.0,0.06,0.0,0.25,6.13,76.53,1.63,69.23,0.44,42.86,0.63,0.5,9.51,76.97,93.56,18.45,0,,0,,0,0.0,0.0,0.0,,,0.63,,3.13,0.0,0.0,0.0,0.06,0,0.0
