Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Družiņins,Dāvids Družiņins,-349834,Grobiņa,Grobiņa,https://cdn5.wyscout.com/photos/team/public/g18856_120x120.png,Virsliga,"CB, RCB3, RCB",CB,68,RCB3,13,RCB,12,22.0,2003-09-18,0,,34,3315,1,2.3,0,0.45,15.48,60.7,Latvia,['Latvia'],,0,0,False,9.86,5.8100000000000005,73.36,6.68,51.22,0.11,0.13,0.92,5.48,6.71,1.28,3,0.08,0,0.0,0.24,0.03,1,0.03,0.06,0,0.0,13,0.35000000000000003,38.46,7.692,0.0,0.16,16.67,0.0,0.0,0.16,16.67,0.0,0.16,50.0,0.9,60.61,0.81,0.27,0.05,21.15,0.14,0.65,34.45,81.01,15.31,67.73,1.3599999999999999,88.0,28.05,89.06,6.27,46.32,23.63,43.27,0.01,0.05,0.0,0.0,0.03,0.0,0.0,4.05,46.98,0.5700000000000001,19.05,0.27,60.0,0.08,0.03,6.46,54.2,95.08,15.45,0,,0,,0,0.0,0.0,0.0,,,0.81,,6.68,0.0,0.0,0.0,0.0,0,0.0
A. Dvořák,Adam Dvořák,-127682,FS Jelgava,FS Jelgava,https://cdn5.wyscout.com/photos/team/public/g-15586_120x120.png,Virsliga,GK,GK,100,,0,,0,21.0,2004-07-28,0,,34,3284,0,0.34,1,0.19,1.43,90.38,Czech Republic,['Czech Republic'],left,189,78,False,1.9500000000000002,0.25,55.56,0.93,97.06,0.03,0.03,0.0,1.78,2.12,0.0,1,0.03,0,0.0,0.08,0.0,0,0.0,0.01,0,0.0,1,0.03,100.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.05,100.0,0.16,100.0,0.03,0.0,0.0,13.68,0.33,0.36,22.64,80.99,12.03,67.65,0.0,0.0,13.68,97.6,8.85,56.35,33.5,48.15,0.01,0.05,0.0,0.0,0.0,0.0,0.05,2.49,42.86,0.22,25.0,0.16,33.33,0.05,0.0,5.78,66.82,97.28,10.09,43,1.18,165,4.52,5,73.94,46.72,1.28,3.7199999999999998,0.10200000000000001,0.0,2.74,0.93,,,,0.0,0,0.0
V. Sorokins,Vladislavs Sorokins,288229,FK Liepāja,FK Liepāja,https://cdn5.wyscout.com/photos/team/public/g27840_120x120.png,Virsliga,RB,RB,85,,0,,0,28.0,1997-05-10,225000,,34,3249,1,0.6000000000000001,2,2.61,13.6,59.47,Latvia,['Latvia'],both,180,79,False,8.84,7.04,65.75,2.13,59.74,0.22,0.30000000000000004,0.25,3.99,5.43,0.66,3,0.08,0,0.0,1.94,0.03,1,0.03,0.02,0,0.0,22,0.61,36.36,4.545,0.06,2.83,24.51,0.06,0.0,2.77,25.0,0.30000000000000004,1.52,65.45,3.49,51.59,0.9400000000000001,1.94,0.30000000000000004,35.98,2.41,0.61,46.9,79.5,16.43,73.19,8.34,94.02,39.7,85.42,4.54,59.76,19.36,32.84,0.07,0.8,0.06,0.0,0.06,50.0,0.28,5.24,75.13,2.91,43.81,0.25,44.44,0.75,0.78,10.11,72.05,80.17,15.93,0,,0,,0,0.0,0.0,0.0,,,0.8,,2.13,0.11,0.0,0.0,0.64,0,0.0
A. Yuzvak,Andriy Yuzvak,-180801,FS Jelgava,FS Jelgava,https://cdn5.wyscout.com/photos/team/public/g-15586_120x120.png,Virsliga,"LB, LCB3, LCB",LB,27,LCB3,20,LCB,12,24.0,2001-02-19,0,,34,3205,2,1.7000000000000002,3,3.87,12.86,53.06,Czech Republic,['Czech Republic'],,0,0,False,7.78,5.08,64.64,2.7,37.5,0.28,0.33,0.39,4.21,4.98,0.67,4,0.11,0,0.0,2.02,0.06,2,0.06,0.05,0,0.0,18,0.51,38.89,11.111,0.08,1.99,35.21,1.4,38.0,0.59,28.57,0.17,1.6600000000000001,67.8,3.85,49.64,1.1,1.15,0.42,23.64,1.15,0.79,35.86,78.86,13.68,66.53,5.95,93.4,29.12,86.98,4.8,46.78,19.32,32.17,0.11,0.87,0.0,0.0,0.0,0.0,0.34,3.93,61.43,1.77,46.03,0.25,33.33,0.31,0.7000000000000001,7.19,62.89,84.11,10.25,0,,0,,0,0.0,0.0,0.0,,,1.1,,2.7,0.28,0.06,50.0,0.9500000000000001,0,0.0
K. Zviedris,Krišjānis Zviedris,447699,Riga FC,Riga FC,https://cdn5.wyscout.com/photos/team/public/g33093_120x120.png,Virsliga,GK,GK,100,,0,,0,28.0,1997-01-25,150000,,33,3177,0,0.0,0,0.0,0.42,93.33,Latvia,['Latvia'],right,188,78,False,1.02,0.0,0.0,0.31,100.0,0.0,0.0,0.0,1.02,1.8,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.31,0.17,0.11,11.84,91.15,5.78,82.84,0.0,0.0,9.35,98.79,2.49,62.5,26.98,40.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,61.11,0.0,0.0,0.06,100.0,0.0,0.0,1.87,66.67,98.97,5.52,20,0.5700000000000001,85,2.41,20,76.47,23.46,0.66,3.46,0.098,0.0,1.47,0.31,,,,0.0,0,0.0
D. Petković,Danijel Petković,192417,FK Liepāja,FK Liepāja,https://cdn5.wyscout.com/photos/team/public/g27840_120x120.png,Virsliga,GK,GK,100,,0,,0,32.0,1993-05-25,250000,,32,3109,0,0.0,0,0.0,0.64,81.82,Montenegro,['Montenegro'],right,196,86,False,1.3900000000000001,0.03,0.0,0.55,89.47,0.0,0.0,0.03,1.3900000000000001,1.9300000000000002,0.03,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38,0.2,0.03,17.57,86.82,7.73,76.03,0.0,0.0,12.19,96.91,5.38,63.98,29.7,44.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,48.72,0.03,0.0,0.12,50.0,0.0,0.0,4.11,68.31,95.56,9.12,48,1.3900000000000001,149,4.31,9,67.79,45.82,1.33,-2.18,-0.063,0.0,1.56,0.55,,,,0.0,0,0.0
S. Panić,Stefan Panić,203004,RFS,RFS,https://cdn5.wyscout.com/photos/team/public/g6676_120x120.png,Virsliga,"RCMF, DMF, LCMF",RCMF,29,DMF,19,LCMF,17,33.0,1992-09-20,400000,2026-12-15,33,3026,8,7.09,4,1.81,16.54,59.17,Serbia,['Serbia'],both,193,85,False,8.8,6.39,57.67,5.95,70.5,0.15,0.25,0.33,4.97,8.29,1.67,7,0.21,0,0.0,0.98,0.24,4,0.12,0.21,1,0.03,39,1.16,43.59,20.513,0.12,0.36,50.0,0.15,40.0,0.18,66.67,0.06,0.30000000000000004,70.0,2.38,47.5,1.4,0.9500000000000001,0.0,59.75,0.36,1.16,77.45,92.63,24.54,85.82,10.02,95.25,71.77,94.78,5.32,66.48,18.38,34.2,0.05,0.62,0.15,0.09,0.15,60.0,0.21,12.85,87.04,1.9,68.75,0.92,51.61,1.22,0.18,11.87,85.71,97.15,32.39,0,,0,,0,0.0,0.0,0.0,,,0.71,,5.95,0.15,0.15,60.0,0.0,4,100.0
K. Vilnis,Kārlis Vilnis,-129350,FK Metta,FK Metta,https://cdn5.wyscout.com/photos/team/public/g8385_120x120.png,Virsliga,RCB3,RCB3,86,,0,,0,22.0,2003-07-03,75000,,32,2959,0,0.12,0,0.19,11.28,52.83,Latvia,['Latvia'],right,188,78,False,7.91,5.17,64.12,3.32,39.45,0.18,0.19,0.67,4.41,4.65,0.85,6,0.18,1,0.03,0.4,0.0,0,0.0,0.0,0,0.0,3,0.09,33.33,0.0,0.0,0.33,45.45,0.06,50.0,0.27,44.44,0.03,0.33,63.64,1.4,52.17,0.27,1.6400000000000001,0.15,28.8,0.73,0.36,41.37,79.56,20.56,66.42,2.34,94.81,29.81,90.61,11.22,51.22,25.34,40.13,0.01,0.09,0.0,0.0,0.03,0.0,0.03,9.06,58.05,1.73,42.11,0.85,35.71,0.64,0.15,10.52,67.63,93.46,15.82,0,,0,,0,0.0,0.0,0.0,,,0.97,,3.32,0.0,0.0,0.0,0.0,0,0.0
K. Penkevics,Kristers Penkevics,-129362,FS Jelgava,FS Jelgava,https://cdn5.wyscout.com/photos/team/public/g-15586_120x120.png,Virsliga,"RCMF, RDMF, LCB3",RCMF,40,RDMF,14,LCB3,11,22.0,2003-01-28,75000,,31,2942,2,1.3599999999999999,3,2.95,14.32,50.21,Latvia,['Latvia'],right,0,0,False,7.62,5.45,58.99,3.0,46.94,0.4,0.48,0.46,4.01,4.8,1.5899999999999999,14,0.43,0,0.0,1.25,0.06,2,0.06,0.04,1,0.03,35,1.07,14.29,5.714,0.09,1.44,31.91,0.37,58.33,1.04,23.53,0.12,1.35,45.45,3.95,41.86,0.76,1.19,0.21,26.71,0.43,1.4100000000000001,40.44,79.65,15.42,68.25,3.95,94.57,33.53,86.31,5.57,51.65,21.63,39.23,0.09,0.64,0.06,0.03,0.12,25.0,0.34,7.43,66.67,2.36,46.75,0.58,42.11,0.67,0.46,8.01,68.7,88.17,16.55,0,,0,,0,0.0,0.0,0.0,,,0.89,,3.0,0.52,0.03,0.0,0.73,0,0.0
N. Dusalijevs,Niks Dusalijevs,-127395,FK Tukums 2000/Telms,FK Tukums 2000/Telms,https://cdn5.wyscout.com/photos/team/public/g4147_120x120.png,Virsliga,"RW, RAMF",RW,44,RAMF,28,,0,24.0,2001-01-17,125000,,33,2931,5,6.94,9,6.91,19.41,41.77,Latvia,['Latvia'],right,184,80,False,6.2,5.04,58.54,3.1,36.63,0.09,0.12,0.06,3.16,3.99,1.26,5,0.15,0,0.0,4.15,0.15,5,0.15,0.21,0,0.0,68,2.09,30.88,7.353,0.28,2.67,42.53,0.68,45.45,1.97,42.19,0.34,4.58,49.66,9.09,36.49,3.07,2.8200000000000003,0.34,18.79,2.4,0.71,26.78,68.23,8.47,59.42,4.67,84.21,21.95,73.01,2.24,53.42,18.54,35.99,0.21,1.44,0.06,0.03,0.12,75.0,0.77,3.19,57.69,3.44,43.75,0.43,64.29,0.98,1.04,5.68,70.81,70.82,9.37,0,,0,,0,0.0,0.0,0.0,,,0.12,,3.1,0.92,0.03,100.0,1.38,0,0.0
