Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ali Al Hosani,Ali Mohamed Ali Mohamed Al Hosani,114374,Ajman,Ajman,https://cdn5.wyscout.com/photos/team/public/3721_120x120.png,UAE Pro League,GK,GK,100,,0,,0,37.0,1988-05-26,75000,,18,1793,0,0.0,0,0.0,1.56,77.42,United Arab Emirates,['United Arab Emirates'],right,172,68,False,1.51,0.25,80.0,0.75,86.67,0.15,0.22,0.0,1.15,1.65,0.05,2,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,8.73,0.25,0.35000000000000003,13.15,82.82,7.93,72.78,0.05,100.0,7.48,97.99,5.62,63.39,33.38,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,33.33,0.05,0.0,0.0,0.0,0.0,0.0,4.07,70.37,97.87,4.72,23,1.15,68,3.41,5,66.18,20.03,1.01,-2.9699999999999998,-0.149,0.0,1.25,0.75,,,,0.0,0,0
Gjoko Zajkov,Gjoko Zajkov,194667,Ajman,Ajman,https://cdn5.wyscout.com/photos/team/public/3721_120x120.png,UAE Pro League,"RCB, LCB",RCB,77,LCB,21,,0,31.0,1995-02-10,750000,,18,1793,0,0.84,0,0.0,8.23,59.76,North Macedonia,['North Macedonia'],right,187,79,False,5.62,3.87,66.23,3.21,48.44,0.05,0.07,0.55,3.01,4.31,0.6000000000000001,2,0.1,0,0.0,0.15,0.0,0,0.0,0.04,0,0.0,6,0.30000000000000004,16.67,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.1,100.0,0.4,50.0,0.5,0.35000000000000003,0.05,21.83,0.35000000000000003,0.2,33.23,88.22,15.21,80.53,1.56,96.77,30.12,92.17,3.06,50.82,21.01,36.47,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2.86,70.18,0.2,25.0,0.15,33.33,0.05,0.0,6.12,67.21,96.45,14.16,0,,0,,0,0.0,0.0,0.0,,,1.31,,3.21,0.0,0.0,0.0,0.0,0,0
A. Alsayed,Amjad Nizar Alsayed,-398845,Al Dhafra,Al Dhafra,https://cdn5.wyscout.com/photos/team/public/2892_120x120.png,UAE Pro League,GK,GK,100,,0,,0,35.0,1990-06-06,0,,18,1790,0,0.0,0,0.0,1.21,79.17,Syria,['Syria'],unknown,0,0,False,1.56,0.2,75.0,0.8,87.5,0.05,0.07,0.0,1.3599999999999999,1.85,0.15,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.05,0.0,9.25,0.15,0.15,15.08,82.0,8.75,71.26,0.0,0.0,8.7,97.11,6.39,61.42,34.52,53.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,38.46,0.2,0.0,0.1,0.0,0.0,0.0,4.17,77.11,96.26,5.38,37,1.8599999999999999,91,4.58,1,59.34,28.71,1.44,-8.29,-0.417,0.0,2.16,0.8,,,,0.0,0,0
Khalid Eisa,Khalid Eisa Mohamed Bilal Saeed,115627,Al Ain,Al Ain,https://cdn5.wyscout.com/photos/team/public/2886_120x120.png,UAE Pro League,GK,GK,100,,0,,0,36.0,1989-09-15,400000,,18,1785,0,0.0,0,0.19,0.4,87.5,United Arab Emirates,['United Arab Emirates'],right,178,74,False,0.66,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,0.66,1.09,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,11.6,0.25,0.1,17.09,83.19,9.28,70.65,0.0,0.0,10.49,99.52,6.61,57.25,31.76,49.37,0.01,0.1,0.0,0.0,0.0,0.0,0.05,2.22,63.64,0.35000000000000003,57.14,0.4,75.0,0.25,0.0,4.59,67.03,97.96,7.41,16,0.81,50,2.52,7,68.0,17.52,0.88,1.52,0.077,0.0,1.21,0.35000000000000003,,,,0.0,0,0
J. Flemmings,Junior Flemmings,173449,Ajman,Ajman,https://cdn5.wyscout.com/photos/team/public/3721_120x120.png,UAE Pro League,"LW, RW, CF",LW,41,RW,28,CF,10,30.0,1996-01-16,700000,,18,1741,2,4.1,2,3.5300000000000002,21.25,44.53,Jamaica,['Jamaica'],right,180,77,False,5.01,4.08,59.49,3.21,45.16,0.0,0.0,0.0,2.58,3.7,1.6,2,0.1,0,0.0,2.84,0.1,2,0.1,0.21,1,0.05,31,1.6,38.71,6.452,0.1,2.22,23.26,0.67,38.46,1.5,17.24,0.36,3.62,47.14,11.53,41.26,3.05,1.6,0.31,13.13,1.76,2.22,20.42,67.09,6.93,63.43,3.21,93.55,16.59,74.45,1.65,50.0,17.87,28.45,0.18,1.1400000000000001,0.0,0.0,0.16,0.0,0.93,3.67,61.97,1.81,40.0,0.21,25.0,1.09,0.52,3.83,77.03,65.22,5.94,0,,0,,0,0.0,0.0,0.0,,,0.05,,3.21,0.0,0.0,0.0,0.0,0,0
Diney Borges,Edilson Alberto Monteiro Sanches Borges,380767,Al Bataeh,Al Bataeh,https://cdn5.wyscout.com/photos/team/public/g-11512_120x120.png,UAE Pro League,"CB, RCB, RCB3",CB,39,RCB,26,RCB3,25,31.0,1995-01-17,1000000,,17,1734,1,1.5,0,0.27,14.84,60.49,Cape Verde Islands,"['Cape Verde Islands', 'Portugal']",right,185,78,False,9.08,5.45,66.67,6.64,58.59,0.47000000000000003,0.66,0.42,4.98,6.99,1.09,5,0.26,0,0.0,0.16,0.05,1,0.05,0.08,0,0.0,10,0.52,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,47.83,0.88,0.5700000000000001,0.05,19.62,0.05,0.31,32.96,83.46,14.79,71.93,2.44,95.74,27.87,88.83,5.09,54.08,22.82,40.43,0.01,0.05,0.0,0.1,0.05,0.0,0.05,5.09,65.31,0.52,10.0,0.26,20.0,0.16,0.0,6.38,69.11,94.44,13.08,0,,0,,0,0.0,0.0,0.0,,,1.82,,6.64,0.0,0.0,0.0,0.0,0,0
M. Palacios,Matías Damián Palacios,-64290,Al Ain,Al Ain,https://cdn5.wyscout.com/photos/team/public/2886_120x120.png,UAE Pro League,"LCMF3, LCMF",LCMF3,70,LCMF,17,,0,23.0,2002-05-10,1200000,2029-06-30,18,1730,5,3.26,6,3.86,11.29,45.16,Argentina,"['Argentina', 'Italy']",right,171,0,False,4.21,3.64,50.0,1.98,52.63,0.1,0.17,0.16,2.29,3.8200000000000003,1.04,4,0.21,0,0.0,1.98,0.26,5,0.26,0.17,0,0.0,33,1.72,42.42,15.152,0.31,1.25,45.83,0.8300000000000001,37.5,0.36,71.43,0.1,0.99,52.63,4.32,38.55,1.6099999999999999,1.46,0.16,38.71,1.35,0.99,48.12,88.43,13.84,78.2,9.99,97.4,41.57,92.24,5.36,67.96,18.98,36.69,0.2,1.92,0.16,0.16,0.31,50.0,0.62,7.44,77.62,2.91,57.14,0.78,46.67,1.1400000000000001,0.62,6.03,88.79,94.43,16.8,0,,0,,0,0.0,0.0,0.0,,,0.31,,1.98,0.9400000000000001,0.21,50.0,3.07,1,0
Ali Khaseif,Ali Khaseif Humaid Housani,64137,Al Jazira,Al Jazira,https://cdn5.wyscout.com/photos/team/public/2891_120x120.png,UAE Pro League,GK,GK,100,,0,,0,38.0,1987-06-09,100000,2026-06-30,17,1724,0,0.0,0,0.01,1.25,95.83,United Arab Emirates,['United Arab Emirates'],right,187,94,False,1.3599999999999999,0.21,75.0,0.84,100.0,0.05,0.09,0.0,1.15,1.92,0.0,3,0.16,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.21,100.0,0.0,0.0,0.0,11.28,0.16,0.37,19.42,87.63,11.28,81.02,0.0,0.0,12.74,98.36,6.63,67.72,28.15,43.06,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,54.55,0.0,0.0,0.05,100.0,0.0,0.0,5.9,69.91,97.04,7.05,16,0.84,45,2.35,6,64.44,13.17,0.6900000000000001,-2.83,-0.148,0.0,1.9300000000000002,0.84,,,,0.0,0,0
Gláuber,Gláuber Siqueira dos Santos Lima,-70265,Al Nasr,Al Nasr,https://cdn5.wyscout.com/photos/team/public/2894_120x120.png,UAE Pro League,"LCB, RCB",LCB,53,RCB,35,,0,25.0,2000-05-22,4500000,2029-06-30,17,1722,2,1.62,0,0.23,8.62,64.24,Brazil,['Brazil'],left,191,0,False,7.32,3.45,69.7,3.14,68.33,0.21,0.33,0.5700000000000001,4.7,7.5,0.73,3,0.16,0,0.0,0.16,0.1,2,0.1,0.08,1,0.05,6,0.31,33.33,33.333,0.0,0.1,50.0,0.05,0.0,0.05,100.0,0.05,0.0,0.0,0.5700000000000001,45.45,0.42,1.4100000000000001,0.0,35.96,0.21,0.31,50.7,88.56,19.65,77.66,1.9300000000000002,97.3,44.43,93.29,6.17,55.08,21.34,40.56,0.01,0.05,0.05,0.0,0.16,0.0,0.0,6.53,68.0,0.52,20.0,0.5700000000000001,9.09,0.1,0.05,7.79,71.81,96.3,23.99,0,,0,,0,0.0,0.0,0.0,,,1.31,,3.14,0.0,0.0,0.0,0.0,0,0
Serafim,Vinicius Lima Serafim,-176315,Al Dhafra,Al Dhafra,https://cdn5.wyscout.com/photos/team/public/2892_120x120.png,UAE Pro League,"RCB, LCB, RB",RCB,69,LCB,16,RB,12,21.0,2004-05-16,0,,18,1711,0,0.12,0,0.08,9.1,50.29,Brazil,['Brazil'],right,182,73,False,5.73,4.47,50.59,2.05,35.9,0.21,0.29,0.53,3.26,4.46,1.0,2,0.11,0,0.0,0.26,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.0,0.32,33.33,0.0,0.0,0.32,33.33,0.11,0.32,50.0,1.32,64.0,0.16,0.53,0.0,23.25,0.37,0.68,32.93,87.38,11.62,74.21,2.74,94.23,29.09,94.03,3.52,37.31,20.52,41.27,0.0,0.11,0.0,0.0,0.05,0.0,0.0,2.37,46.67,0.63,33.33,0.26,0.0,0.11,0.11,4.37,57.83,95.36,14.73,0,,0,,0,0.0,0.0,0.0,,,1.37,,2.05,0.0,0.0,0.0,0.0,0,0
