Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Sun Guowen,Guowen Sun,184854,Zhejiang Professional,Zhejiang Professional,https://cdn5.wyscout.com/photos/team/public/2448_120x120.png,CSL,"LWB, RWB, LB5",LWB,30,RWB,27,LB5,14,31,1993-09-30,200000,2025-12-31,23,2349,0,1.07,1,1.99,12.76,45.95,China PR,['China PR'],right,182,73,False,6.02,4.75,54.03,1.34,40.0,0.0,0.0,0.11,3.45,4.49,0.46,0,0.0,0,0.0,1.92,0.0,0,0.0,0.04,0,0.0,14,0.54,21.43,0.0,0.04,1.76,41.3,0.88,39.13,0.88,43.48,0.23,2.26,45.76,5.21,38.24,1.42,2.76,0.42,26.28,2.64,0.65,35.9,81.75,12.61,71.12,7.82,93.63,31.07,88.16,3.18,40.96,17.35,34.4,0.08,0.84,0.08,0.04,0.04,100.0,0.38,4.33,77.88,2.26,57.63,0.23,33.33,0.92,0.61,7.47,66.67,82.05,8.97,0,,0,,0,0.0,0.0,0.0,,,0.15,,1.34,0.0,0.0,0.0,0.0,0,0.0
Li Tixiang,Tixiang Li,115673,Zhejiang Professional,Zhejiang Professional,https://cdn5.wyscout.com/photos/team/public/2448_120x120.png,CSL,"RCMF, DMF, LCMF",RCMF,56,DMF,18,LCMF,17,35,1989-09-01,50000,,23,2333,0,0.07,2,1.85,14.23,55.83,China PR,['China PR'],left,182,72,False,7.45,6.79,64.2,2.2,47.37,0.12,0.15,0.12,2.9699999999999998,3.88,1.12,2,0.08,0,0.0,0.54,0.0,0,0.0,0.0,0,0.0,5,0.19,0.0,0.0,0.08,0.5,23.08,0.31,25.0,0.19,20.0,0.0,0.81,52.38,3.66,51.58,0.15,1.2,0.31,30.78,0.12,1.54,42.51,85.84,12.38,72.59,5.75,97.32,35.11,91.65,6.91,60.89,20.4,35.78,0.07,0.73,0.04,0.04,0.04,0.0,0.12,7.25,70.74,2.01,36.54,0.96,36.0,0.5,0.19,6.13,73.58,91.21,18.44,0,,0,,0,0.0,0.0,0.0,,,0.15,,2.2,1.0,0.04,0.0,1.35,0,0.0
Juan Antonio,Juan Antonio Ros Martínez,317048,Tianjin Tigers,Tianjin Tigers,https://cdn5.wyscout.com/photos/team/public/2454_120x120.png,CSL,"CB, RCB, LCB",CB,36,RCB,28,LCB,24,29,1996-03-15,300000,,22,2303,1,2.37,0,0.18,12.08,56.96,Spain,['Spain'],right,188,82,False,8.01,4.57,65.81,5.12,50.38,0.16,0.21,0.8200000000000001,4.85,6.48,1.13,7,0.27,0,0.0,0.43,0.04,1,0.04,0.09,0,0.0,15,0.59,40.0,6.667,0.0,0.08,100.0,0.04,100.0,0.04,100.0,0.0,0.2,60.0,0.86,45.45,0.86,0.63,0.0,33.37,0.12,0.43,47.95,88.02,19.34,75.56,2.03,100.0,40.37,93.42,7.5,58.85,20.76,33.84,0.01,0.12,0.04,0.0,0.0,0.0,0.04,4.03,60.19,0.39,70.0,0.23,33.33,0.27,0.08,7.66,64.8,97.79,22.98,0,,0,,0,0.0,0.0,0.0,,,1.4100000000000001,,5.12,0.0,0.0,0.0,0.0,0,0.0
Lucas Possignolo,Lucas Possignolo,329955,Zhejiang Professional,Zhejiang Professional,https://cdn5.wyscout.com/photos/team/public/2448_120x120.png,CSL,"CB, LCB",CB,79,LCB,13,,0,31,1994-05-11,1000000,,22,2302,2,2.63,0,0.0,10.99,62.63,Brazil,['Brazil'],right,188,81,False,8.09,4.26,72.48,4.89,53.6,0.04,0.05,0.7000000000000001,4.97,6.44,0.66,1,0.04,0,0.0,0.27,0.08,2,0.08,0.1,2,0.08,14,0.55,50.0,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,70.0,0.55,0.27,0.0,27.99,0.35000000000000003,0.63,40.93,93.98,9.19,84.26,1.21,96.77,37.85,96.18,3.09,67.09,20.5,36.65,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.4100000000000001,77.78,0.04,0.0,0.08,50.0,0.04,0.0,4.07,58.65,98.56,27.13,0,,0,,0,0.0,0.0,0.0,,,0.66,,4.89,0.0,0.0,0.0,0.0,1,0.0
Alberto Quiles,Alberto Quiles Piosa,305875,Tianjin Tigers,Tianjin Tigers,https://cdn5.wyscout.com/photos/team/public/2454_120x120.png,CSL,CF,CF,94,,0,,0,30,1995-04-27,1000000,,23,2296,14,10.44,2,0.8200000000000001,21.64,36.78,Spain,['Spain'],left,188,74,False,3.61,2.7800000000000002,57.75,5.06,43.41,0.0,0.0,0.16,2.0,2.7,1.1,3,0.12,0,0.0,2.27,0.55,14,0.55,0.41000000000000003,1,0.04,54,2.12,42.59,25.926,0.08,0.12,33.33,0.12,33.33,0.0,0.0,0.04,2.43,54.84,10.07,31.13,2.47,1.18,0.31,9.72,1.69,1.8,13.37,75.95,3.45,55.68,3.14,86.25,12.74,76.31,0.55,71.43,14.34,18.78,0.03,0.55,0.08,0.0,0.0,0.0,0.12,1.49,71.05,0.39,60.0,0.04,0.0,0.27,0.04,2.16,56.36,89.22,4.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.06,0.0,0.0,0.0,0.08,1,0.0
Zhao Bo,Bo Zhao,-53076,Zhejiang Professional,Zhejiang Professional,https://cdn5.wyscout.com/photos/team/public/2448_120x120.png,CSL,GK,GK,100,,0,,0,31,1993-09-17,225000,2026-12-31,22,2278,0,0.0,1,0.15,0.47000000000000003,75.0,China PR,['China PR'],,186,75,False,0.87,0.04,100.0,0.32,87.5,0.0,0.0,0.0,0.8300000000000001,1.08,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,0.0,0.16,11.14,78.37,6.95,68.18,0.0,0.0,6.16,98.72,4.9,54.03,32.93,50.03,0.01,0.04,0.04,0.0,0.0,0.0,0.04,0.9500000000000001,29.17,0.04,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,63.86,96.74,3.63,33,1.3,107,4.23,5,69.16,34.5,1.3599999999999999,1.5,0.059000000000000004,0.0,1.94,0.32,,,,0.0,0,0.0
Li Hao,Hao Li,-298685,Qingdao West Coast,Qingdao West Coast,https://cdn5.wyscout.com/photos/team/public/g-14023_120x120.png,CSL,GK,GK,100,,0,,0,21,2004-03-06,0,,22,2259,0,0.0,0,0.0,0.76,73.68,China PR,['China PR'],right,188,78,False,1.43,0.2,60.0,0.4,80.0,0.0,0.0,0.0,1.31,1.8399999999999999,0.04,3,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.12,66.67,0.0,0.0,0.0,6.89,0.04,0.12,11.35,72.98,8.76,67.27,0.0,0.0,3.86,94.85,7.49,61.7,39.63,46.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9100000000000001,33.33,0.08,0.0,0.08,0.0,0.0,0.0,4.86,77.87,92.86,2.23,34,1.35,94,3.75,6,63.83,29.53,1.18,-4.47,-0.178,0.0,1.24,0.4,,,,0.0,0,0.0
Liu Haofan,Haofan  Liu,-343828,Zhejiang Professional,Zhejiang Professional,https://cdn5.wyscout.com/photos/team/public/2448_120x120.png,CSL,"RCB3, LCB3, RCB",RCB3,53,LCB3,30,RCB,12,21,2003-10-23,0,,22,2255,0,0.05,0,0.19,13.29,55.86,China PR,['China PR'],,0,0,False,7.98,7.02,64.2,2.12,35.85,0.08,0.1,0.16,3.39,4.37,1.08,5,0.2,0,0.0,0.32,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,80.0,2.31,53.45,0.16,0.96,0.08,33.84,0.88,0.52,46.74,86.93,20.39,78.08,1.92,93.75,38.79,92.9,7.94,57.79,21.83,37.85,0.01,0.04,0.0,0.04,0.0,0.0,0.04,5.67,71.13,0.56,35.71,0.6000000000000001,20.0,0.24,0.0,9.18,66.09,94.58,19.88,0,,0,,0,0.0,0.0,0.0,,,0.68,,2.12,0.0,0.0,0.0,0.0,0,0.0
Bruno Xadas,Bruno Alexandre Vieira Almeida,440937,Tianjin Tigers,Tianjin Tigers,https://cdn5.wyscout.com/photos/team/public/2454_120x120.png,CSL,"RW, CF, LCMF",RW,25,CF,19,LCMF,15,27,1997-12-02,1200000,,23,2230,5,5.6,5,6.84,11.78,44.52,Portugal,['Portugal'],left,179,72,False,4.96,4.04,61.0,0.73,33.33,0.08,0.11,0.16,2.42,3.29,0.5700000000000001,2,0.08,0,0.0,2.34,0.2,2,0.08,0.23,1,0.04,53,2.14,41.51,9.434,0.2,2.14,37.74,1.4100000000000001,37.14,0.73,38.89,0.44,1.33,45.45,5.45,34.81,1.09,0.93,0.2,25.18,1.21,0.93,33.9,79.64,11.06,68.25,6.17,97.39,27.48,86.49,4.36,55.56,19.44,35.31,0.28,2.06,0.0,0.0,0.12,33.33,0.65,6.26,71.61,3.23,48.75,0.6900000000000001,47.06,1.17,0.89,7.39,81.42,80.56,11.62,0,,0,,0,0.0,0.0,0.0,,,0.12,,0.73,2.02,0.32,62.5,2.7800000000000002,4,75.0
Guo Quanbo,Quanbo Guo,476566,Meizhou Hakka,Meizhou Hakka,https://cdn5.wyscout.com/photos/team/public/g27908_120x120.png,CSL,GK,GK,100,,0,,0,27,1997-08-31,100000,2026-12-31,21,2196,0,0.0,0,0.0,0.5700000000000001,64.29,China PR,['China PR'],right,183,80,False,1.23,0.2,40.0,0.25,66.67,0.08,0.12,0.0,1.07,1.51,0.08,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,5.25,0.04,0.08,9.22,80.89,5.61,73.72,0.04,100.0,5.74,95.0,3.48,57.65,31.19,45.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,57.14,0.0,0.0,0.04,0.0,0.0,0.0,2.79,63.24,93.75,3.2800000000000002,43,1.76,103,4.22,1,58.25,40.2,1.65,-2.8,-0.115,0.04,0.9400000000000001,0.25,,,,0.0,0,0.0
