Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Nordin,Jennie Nordin,125843,AIK,AIK,https://cdn5.wyscout.com/photos/team/public/g4428_120x120.png,Women's Play-offs 1/2,"RCB, RCB3",RCB,74,RCB3,25,,0,32.0,1993-05-15,0,,17,1667,0,2.45,0,0.04,13.34,63.56,Sweden,['Sweden'],,0,0,False,11.23,6.59,76.23,3.35,62.9,0.05,0.06,0.81,6.15,6.73,0.76,0,0.0,0,0.0,0.27,0.0,0,0.0,0.13,0,0.0,11,0.59,36.36,0.0,0.0,0.27,0.0,0.11,0.0,0.11,0.0,0.05,0.22,25.0,1.19,36.36,0.81,0.92,0.05,22.46,0.59,0.54,34.55,79.06,14.47,61.94,2.59,91.67,28.45,87.29,5.88,42.2,20.99,33.39,0.0,0.16,0.0,0.0,0.05,0.0,0.0,4.91,58.24,1.13,28.57,0.49,0.0,0.22,0.0,7.88,53.42,94.01,14.42,0,,0,,0,0.0,0.0,0.0,,,1.8399999999999999,,3.35,0.22,0.0,0.0,0.0,0,0.0
L. Brzykcy,Lauren Brzykcy,-239668,Piteå,Piteå,https://cdn5.wyscout.com/photos/team/public/g6109_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,25.0,1999-11-08,0,,17,1665,0,0.01,0,0.0,1.4100000000000001,76.92,Hungary,"['Hungary', 'United States']",unknown,177,0,False,2.9699999999999998,0.16,33.33,0.92,88.24,0.05,0.06,0.0,2.86,3.35,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,6.86,0.11,0.11,18.11,75.22,10.65,58.38,0.0,0.0,8.97,100.0,9.08,50.6,34.0,47.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,29.41,0.05,100.0,0.05,0.0,0.0,0.0,4.92,71.43,99.22,6.97,32,1.73,87,4.7,2,63.22,33.74,1.82,1.74,0.094,0.0,2.59,0.92,,,,0.0,0,0.0
M. Antoine,Maya Aliyah Antoine,-106797,Norrköping,Norrköping,https://cdn5.wyscout.com/photos/team/public/g13261_120x120.png,Damallsvenskan,"RCB, CB, LCB",RCB,50,CB,25,LCB,23,24.0,2001-08-08,0,,17,1663,0,0.0,0,0.0,13.21,66.8,Canada,['Canada'],,174,0,False,10.39,6.87,80.31,1.9500000000000002,61.11,0.11,0.14,0.54,4.76,6.32,0.11,1,0.05,0,0.0,0.16,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.11,50.0,0.11,50.0,0.0,0.0,0.0,0.27,40.0,2.98,41.82,0.05,0.76,0.05,25.0,0.16,0.65,43.73,84.41,19.21,72.96,3.46,96.88,37.94,89.59,5.68,50.48,18.56,31.7,0.0,0.0,0.0,0.0,0.05,0.0,0.05,4.92,69.23,0.38,57.14,0.32,50.0,0.16,0.05,8.28,59.48,94.7,16.34,0,,0,,0,0.0,0.0,0.0,,,2.44,,1.9500000000000002,0.0,0.0,0.0,0.0,0,0.0
A. Blom,Alexandra Blom,-687076,Alingsås,Alingsås,https://cdn5.wyscout.com/photos/team/public/g-12570_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,25.0,1999-09-23,0,,17,1658,0,0.0,0,0.0,1.6800000000000002,70.97,Sweden,['Sweden'],,0,0,False,2.8200000000000003,0.16,0.0,0.98,83.33,0.0,0.0,0.0,2.8200000000000003,3.13,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,100.0,0.0,0.0,0.0,8.47,0.05,0.54,18.51,76.25,10.21,60.11,0.0,0.0,10.42,94.79,8.09,52.35,31.11,43.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,26.32,0.0,0.0,0.0,0.0,0.0,0.0,5.37,61.62,96.5,7.76,49,2.66,128,6.95,2,61.72,44.73,2.43,-4.27,-0.232,0.0,2.06,0.98,,,,0.0,0,0.0
M. Olsson,Moa Olsson,402501,Kristianstad,Kristianstad,https://cdn5.wyscout.com/photos/team/public/g5219_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,26.0,1998-09-21,0,,17,1651,0,0.0,0,0.0,1.1400000000000001,85.71,Sweden,['Sweden'],,0,0,False,1.96,0.11,50.0,0.76,92.86,0.0,0.0,0.05,1.9100000000000001,2.64,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,15.54,0.11,0.22,25.78,87.1,9.92,71.98,0.05,100.0,19.62,97.5,6.16,53.98,24.33,41.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,27.27,0.0,0.0,0.0,0.0,0.0,0.0,4.85,50.56,95.8,12.97,22,1.2,88,4.8,3,75.0,22.36,1.22,0.36,0.02,0.0,1.47,0.76,,,,0.0,0,0.0
M. Öhman,Moa Öhman,319803,Malmö FF,Malmö FF,https://cdn5.wyscout.com/photos/team/public/g-20851_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,27.0,1998-06-25,0,,17,1651,0,0.0,0,0.0,0.65,83.33,Sweden,['Sweden'],,0,0,False,1.85,0.0,0.0,0.6000000000000001,90.91,0.0,0.0,0.0,1.85,2.5,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,11.88,0.0,0.0,21.48,89.09,9.98,79.23,0.0,0.0,17.12,98.09,4.31,54.43,23.23,37.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3.16,43.1,98.27,9.43,17,0.93,58,3.16,7,70.69,17.39,0.9500000000000001,0.39,0.021,0.0,1.8,0.6000000000000001,,,,0.0,0,0.0
A. Koivunen,Anna Koivunen,518295,Djurgården,Djurgården,https://cdn5.wyscout.com/photos/team/public/g4429_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,23.0,2001-11-06,0,,17,1637,0,0.0,0,0.0,1.15,66.67,Finland,['Finland'],,0,0,False,2.5300000000000002,0.05,0.0,0.6000000000000001,81.82,0.0,0.0,0.0,2.5300000000000002,3.43,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,15.67,0.0,0.22,27.6,84.26,12.32,67.41,0.0,0.0,18.69,97.35,8.91,56.79,26.68,40.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,15.38,0.05,0.0,0.0,0.0,0.0,0.0,5.55,55.45,97.92,13.19,24,1.32,83,4.5600000000000005,3,71.08,25.8,1.42,1.8,0.099,0.0,2.75,0.6000000000000001,,,,0.0,0,0.0
L. Russell,Larkin Katherine Russell,-439783,Växjö,Växjö,https://cdn5.wyscout.com/photos/team/public/g34780_120x120.png,Damallsvenskan,"RW, RAMF, RWF",RW,36,RAMF,19,RWF,16,27.0,1998-05-28,0,,17,1636,8,8.33,3,1.31,23.49,49.41,United States,['United States'],,0,0,False,9.57,8.58,66.67,3.3,38.33,0.0,0.0,0.0,3.85,4.54,1.16,1,0.06,0,0.0,4.24,0.44,6,0.33,0.46,0,0.0,48,2.64,41.67,16.667,0.17,3.03,29.09,0.33,50.0,2.64,27.08,0.5,4.18,53.95,8.97,40.49,5.17,2.92,0.39,17.99,2.64,0.77,28.33,65.44,8.97,54.6,5.5,87.0,23.44,72.77,2.09,34.21,17.2,33.63,0.07,0.88,0.0,0.0,0.06,0.0,0.44,2.81,56.86,2.59,42.55,0.11,0.0,0.8300000000000001,0.8300000000000001,6.16,57.14,67.42,7.26,0,,0,,0,0.0,0.0,0.0,,,0.22,,3.3,0.0,0.0,0.0,0.0,2,100.0
M. Bay Østergaard,Maja Bay Østergaard,441645,Växjö,Växjö,https://cdn5.wyscout.com/photos/team/public/g34780_120x120.png,Damallsvenskan,GK,GK,100,,0,,0,27.0,1998-03-28,0,,17,1636,0,0.0,0,0.0,0.66,83.33,Denmark,['Denmark'],,171,0,False,1.43,0.06,100.0,0.39,85.71,0.0,0.0,0.0,1.38,1.62,0.0,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.17,66.67,0.06,0.0,0.0,24.59,0.06,0.06,34.88,84.38,14.25,66.8,0.06,100.0,23.6,98.14,11.28,55.61,27.73,42.2,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.82,18.18,0.17,0.0,0.22,0.0,0.0,0.0,7.37,61.19,96.53,17.44,35,1.9300000000000002,111,6.11,3,68.47,35.61,1.96,0.61,0.034,0.0,2.42,0.39,,,,0.0,0,0.0
E. Nilsson,Elin Nilsson,457748,Växjö,Växjö,https://cdn5.wyscout.com/photos/team/public/g34780_120x120.png,Damallsvenskan,"LCMF, RCMF, LDMF",LCMF,38,RCMF,25,LDMF,15,25.0,2000-03-21,0,,17,1636,2,1.8900000000000001,1,0.65,19.64,52.38,Sweden,['Sweden'],,0,0,False,9.63,5.39,62.24,5.28,54.17,0.06,0.06,0.44,6.22,7.32,0.9400000000000001,2,0.11,0,0.0,0.99,0.11,2,0.11,0.1,0,0.0,16,0.88,43.75,12.5,0.06,0.39,14.29,0.17,33.33,0.22,0.0,0.06,0.66,83.33,4.95,48.89,2.5300000000000002,0.28,0.0,22.61,0.99,1.21,38.73,81.68,12.05,69.41,8.31,89.4,36.69,84.11,1.65,43.33,15.87,32.33,0.04,0.55,0.0,0.06,0.11,0.0,0.11,4.51,69.51,0.99,44.44,0.28,20.0,0.44,0.06,5.01,54.95,88.67,11.17,0,,0,,0,0.0,0.0,0.0,,,0.72,,5.28,0.0,0.0,0.0,0.0,0,0.0
