Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
O. Casey,Oliver Casey,-132691,Blackpool,Blackpool,https://cdn5.wyscout.com/photos/team/public/322_120x120.png,League One,LCB,LCB,83,,0,,0,24.0,2000-12-19,300000,2026-06-30,13,1318,0,0.26,1,0.07,13.52,65.15,England,['England'],right,188,78,False,8.26,4.64,76.47,5.33,66.67,0.2,0.25,0.75,4.51,5.58,0.96,1,0.07,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,3,0.2,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,36.36,0.55,0.07,0.0,22.81,0.34,0.41000000000000003,37.49,89.07,11.75,74.42,1.98,93.1,34.35,93.04,3.14,45.65,19.84,33.31,0.01,0.07,0.0,0.0,0.0,0.0,0.07,1.78,50.0,0.2,33.33,0.0,0.0,0.14,0.0,3.96,53.45,97.96,20.08,0,,0,,0,0.0,0.0,0.0,,,1.5,,5.33,0.0,0.0,0.0,0.0,0,0.0
M. Ihiekwe,Michael Ihiekwe,269092,Blackpool,Blackpool,https://cdn5.wyscout.com/photos/team/public/322_120x120.png,League One,"RCB, LCB",RCB,79,LCB,11,,0,32.0,1992-11-20,300000,,13,1311,0,1.03,0,0.01,15.1,65.45,England,"['England', 'Nigeria']",right,185,80,False,7.55,3.64,73.58,6.59,67.71,0.14,0.17,0.48,4.74,5.86,0.27,1,0.07,0,0.0,0.14,0.0,0,0.0,0.07,0,0.0,8,0.55,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,50.0,1.37,65.0,0.89,0.41000000000000003,0.07,25.33,0.21,1.1,41.88,85.08,15.79,68.7,2.68,97.44,36.86,90.32,5.01,46.58,20.47,40.01,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.7800000000000002,60.0,0.21,0.0,0.14,0.0,0.27,0.0,7.35,55.14,94.95,19.02,0,,0,,0,0.0,0.0,0.0,,,1.65,,6.59,0.0,0.0,0.0,0.0,0,0.0
J. Whitworth,Joe Whitworth,-160695,Exeter City,Exeter City,https://cdn5.wyscout.com/photos/team/public/1179_120x120.png,League One,GK,GK,100,,0,,0,21.0,2004-02-29,1000000,2027-06-30,13,1306,0,0.0,0,0.0,0.48,85.71,England,['England'],right,179,70,True,2.34,0.0,0.0,0.34,80.0,0.0,0.0,0.0,2.34,3.2800000000000002,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,24.95,0.14,0.28,37.49,86.76,16.81,72.54,0.0,0.0,25.43,98.64,12.06,61.71,30.05,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,57.58,0.62,33.33,0.21,33.33,0.21,0.0,9.17,72.93,98.8,17.3,14,0.96,42,2.89,3,66.67,14.29,0.98,0.29,0.02,0.0,1.45,0.34,,,,0.0,0,0.0
I. Niskanen,Ilmari Niskanen,295512,Exeter City,Exeter City,https://cdn5.wyscout.com/photos/team/public/1179_120x120.png,League One,"RW, RWB, LWB",RW,28,RWB,27,LWB,19,27.0,1997-10-27,325000,,13,1306,0,1.42,3,1.6600000000000001,14.13,46.34,Finland,['Finland'],right,177,78,False,7.86,5.58,62.96,2.96,25.58,0.48,0.68,0.21,3.86,5.4,0.96,2,0.14,0,0.0,2.83,0.0,0,0.0,0.1,0,0.0,10,0.6900000000000001,30.0,0.0,0.21,3.58,32.69,1.24,44.44,2.34,26.47,0.62,2.14,67.74,3.93,43.86,1.8599999999999999,1.45,0.34,15.23,2.14,0.34,22.67,72.64,5.17,66.67,5.38,91.03,18.19,81.44,1.1,56.25,17.86,27.39,0.11,0.6900000000000001,0.07,0.0,0.0,0.0,0.41000000000000003,1.31,78.95,2.62,42.11,0.0,0.0,0.34,1.1,3.7199999999999998,74.07,69.61,7.03,0,,0,,0,0.0,0.0,0.0,,,0.62,,2.96,0.0,0.0,0.0,0.0,0,0.0
J. Fitzwater,Jack Fitzwater,419639,Exeter City,Exeter City,https://cdn5.wyscout.com/photos/team/public/1179_120x120.png,League One,"CB, RCB",CB,58,RCB,36,,0,28.0,1997-09-23,375000,,13,1306,1,0.24,1,0.6000000000000001,14.89,63.89,England,['England'],right,188,78,False,11.37,5.51,73.75,5.31,55.84,0.14,0.19,0.96,7.17,10.03,0.55,4,0.28,0,0.0,0.21,0.07,1,0.07,0.02,1,0.07,5,0.34,20.0,20.0,0.07,0.21,33.33,0.0,0.0,0.14,50.0,0.14,0.14,50.0,0.96,50.0,0.76,0.21,0.0,33.01,0.0,0.6900000000000001,49.55,87.62,20.12,75.68,3.45,98.0,42.73,92.42,6.68,57.73,20.39,38.32,0.04,0.21,0.0,0.0,0.07,0.0,0.21,4.0,68.97,0.55,62.5,0.55,37.5,0.48,0.07,7.92,61.74,96.55,19.98,0,,0,,0,0.0,0.0,0.0,,,2.89,,5.31,0.0,0.0,0.0,0.0,0,0.0
T. Sharman-Lowe,Teddy Sharman-Lowe,-161831,Bolton Wanderers,Bolton Wanderers,https://cdn5.wyscout.com/photos/team/public/28_120x120.png,League One,GK,GK,100,,0,,0,22.0,2003-03-30,300000,,13,1301,0,0.0,0,0.0,0.9,76.92,England,['England'],right,189,78,True,3.94,0.14,50.0,0.35000000000000003,100.0,0.0,0.0,0.0,3.87,6.64,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,66.67,0.0,0.0,0.0,22.41,0.14,0.42,35.0,87.94,17.36,77.69,0.0,0.0,24.21,99.43,10.72,62.58,30.63,54.19,0.0,0.0,0.0,0.07,0.0,0.0,0.0,5.12,60.81,0.35000000000000003,0.0,0.07,0.0,0.0,0.0,7.96,80.0,98.28,16.12,15,1.04,29,2.01,2,48.28,10.97,0.76,-4.03,-0.279,0.0,1.6600000000000001,0.35000000000000003,,,,0.0,0,0.0
I. Ogundere,Isaac Ogundere,-269080,AFC Wimbledon,AFC Wimbledon,https://cdn5.wyscout.com/photos/team/public/2750_120x120.png,League One,RCB3,RCB3,97,,0,,0,22.0,2002-11-06,0,2027-06-30,13,1295,0,0.05,0,0.63,15.85,59.21,England,"['England', 'Nigeria']",right,177,69,False,9.17,6.95,71.0,4.24,52.46,0.07,0.09,0.8300000000000001,4.17,5.11,1.25,3,0.21,0,0.0,0.42,0.0,0,0.0,0.0,0,0.0,1,0.07,0.0,0.0,0.0,0.9,23.08,0.0,0.0,0.9,23.08,0.14,0.35000000000000003,60.0,1.9500000000000002,32.14,0.0,0.6900000000000001,0.0,17.72,0.42,0.8300000000000001,32.11,75.54,16.89,63.37,4.8,97.1,24.25,86.53,6.95,44.0,21.07,37.29,0.04,0.35000000000000003,0.07,0.0,0.0,0.0,0.07,5.42,57.69,1.04,40.0,0.49,42.86,0.21,0.35000000000000003,8.34,57.5,86.05,5.98,0,,0,,0,0.0,0.0,0.0,,,1.74,,4.24,0.0,0.0,0.0,0.0,0,0.0
N. Bishop,Nathan Bishop,477494,AFC Wimbledon,AFC Wimbledon,https://cdn5.wyscout.com/photos/team/public/2750_120x120.png,League One,GK,GK,100,,0,,0,26.0,1999-10-15,300000,2026-06-30,13,1295,0,0.0,0,0.0,0.76,90.91,England,['England'],right,185,72,False,2.22,0.07,100.0,0.49,85.71,0.0,0.0,0.0,2.15,2.64,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,11.05,0.07,0.42,19.6,75.89,16.12,71.12,0.0,0.0,4.86,97.14,14.59,69.05,45.89,54.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,61.9,0.56,0.0,0.28,0.0,0.0,0.0,11.05,88.05,100.0,3.2,14,0.97,43,2.99,3,67.44,14.07,0.98,0.07,0.005,0.0,1.81,0.49,,,,0.0,0,0.0
E. Pye,Ethan Pye,-256855,Stockport County,Stockport County,https://cdn5.wyscout.com/photos/team/public/1160_120x120.png,League One,"LCB3, LCB",LCB3,76,LCB,22,,0,22.0,2003-01-27,450000,2027-06-30,13,1294,0,0.75,0,0.0,18.29,60.84,England,['England'],left,183,75,False,10.99,6.4,77.17,5.5600000000000005,61.25,0.35000000000000003,0.47000000000000003,0.28,5.7,7.64,0.7000000000000001,1,0.07,0,0.0,0.28,0.0,0,0.0,0.05,0,0.0,4,0.28,0.0,0.0,0.0,0.63,22.22,0.63,22.22,0.0,0.0,0.0,0.28,50.0,2.5,22.22,0.42,1.3900000000000001,0.07,27.82,0.21,0.42,42.64,86.62,19.96,78.75,3.96,94.74,36.93,91.71,5.22,57.33,19.02,34.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,69.88,0.8300000000000001,16.67,0.28,0.0,0.07,0.07,8.07,81.9,91.06,12.45,0,,0,,0,0.0,0.0,0.0,,,1.74,,5.5600000000000005,0.0,0.0,0.0,0.0,0,0.0
O. Bailey,Owen Bailey,453352,Doncaster Rovers,Doncaster Rovers,https://cdn5.wyscout.com/photos/team/public/790_120x120.png,League One,"RDMF, RCMF3, RB",RDMF,50,RCMF3,21,RB,18,26.0,1999-01-22,300000,,13,1287,5,2.67,1,0.41000000000000003,20.14,48.61,England,['England'],right,180,77,False,7.76,4.97,66.2,9.02,48.06,0.35000000000000003,0.58,0.49,4.13,6.86,1.05,1,0.07,0,0.0,0.84,0.35000000000000003,5,0.35000000000000003,0.19,3,0.21,14,0.98,42.86,35.714,0.07,0.49,57.14,0.07,0.0,0.42,66.67,0.0,0.35000000000000003,40.0,2.45,34.29,1.8900000000000001,0.7000000000000001,0.07,20.21,0.84,0.84,32.1,80.39,10.84,65.81,4.62,92.42,27.69,85.35,3.99,47.37,19.03,39.74,0.03,0.56,0.0,0.0,0.0,0.0,0.28,5.59,57.5,1.4,45.0,0.42,0.0,0.56,0.28,5.45,76.92,89.02,11.47,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,9.02,0.0,0.0,0.0,0.0,0,0.0
