Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Carabantes,Kévin Edenilson Carabantes Rivera,430337,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,GK,GK,100,,0,,0,30.0,1995-03-20,175000,,27,2603,0,0.0,0,0.0,0.66,89.47,El Salvador,['El Salvador'],left,185,75,False,1.07,0.14,75.0,0.48,92.86,0.07,0.12,0.0,0.9,1.54,0.03,8,0.28,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.03,100.0,0.0,0.0,0.03,6.36,0.17,0.03,13.14,83.16,6.74,71.79,0.0,0.0,8.89,96.5,4.18,56.2,31.37,47.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,54.55,0.0,0.0,0.0,0.0,0.0,0.0,3.2800000000000002,66.32,96.32,5.64,29,1.0,110,3.8,9,73.64,31.58,1.09,2.58,0.089,0.0,1.18,0.48,,,,0.0,0,0
F. Amaya,Felipe Enrique Amaya,306752,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,GK,GK,100,,0,,0,37.0,1988-11-03,0,,26,2567,0,0.0,0,0.0,0.67,84.21,El Salvador,['El Salvador'],right,190,91,False,1.33,0.11,33.33,0.39,100.0,0.0,0.0,0.0,1.3,1.96,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,4.14,0.07,0.21,9.64,82.55,6.31,76.11,0.0,0.0,5.75,96.95,3.8200000000000003,62.39,33.43,49.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,47.06,0.04,0.0,0.11,33.33,0.04,0.0,2.95,76.19,96.43,2.95,26,0.91,81,2.84,9,67.9,21.53,0.75,-4.47,-0.157,0.0,1.26,0.39,,,,0.0,0,0
J. Portillo,José Isaac Portillo Molina,-208521,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"LDMF, RDMF, DMF",LDMF,29,RDMF,22,DMF,16,26.0,1999-11-14,150000,,28,2492,1,1.27,2,0.52,11.92,54.55,El Salvador,['El Salvador'],right,174,0,False,7.66,5.74,64.15,1.8399999999999999,43.14,0.87,1.48,0.25,3.11,5.29,1.23,6,0.22,0,0.0,0.54,0.04,1,0.04,0.05,1,0.04,22,0.79,22.73,4.545,0.07,0.22,33.33,0.11,33.33,0.11,33.33,0.04,0.43,66.67,2.8200000000000003,46.15,0.4,0.65,0.0,38.9,0.47000000000000003,1.08,51.57,86.9,19.36,77.43,5.89,93.25,44.67,90.54,6.68,64.32,19.59,34.85,0.02,0.51,0.0,0.07,0.04,0.0,0.18,10.44,71.97,1.12,48.39,0.29,75.0,0.47000000000000003,0.07,9.57,80.38,93.24,20.3,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.8399999999999999,0.11,0.0,0.0,0.0,0,0
M. Jacobo,Mario Alberto Jacobo Segovia,279422,Alianza,Alianza,https://cdn5.wyscout.com/photos/team/public/3042_120x120.png,Primera Division,"RCB, LCB",RCB,60,LCB,39,,0,29.0,1996-08-02,150000,2026-06-30,26,2477,3,1.8900000000000001,0,0.04,10.65,57.68,El Salvador,['El Salvador'],,0,0,False,7.34,4.58,72.22,4.51,48.39,0.15,0.23,0.62,3.89,6.26,1.16,5,0.18,0,0.0,0.15,0.11,3,0.11,0.07,1,0.04,6,0.22,66.67,50.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.47000000000000003,15.38,0.25,0.04,0.0,19.0,0.51,0.22,32.59,85.73,15.01,75.79,1.13,90.32,27.43,91.13,5.12,57.45,21.63,35.78,0.0,0.04,0.04,0.0,0.0,0.0,0.0,2.22,63.93,0.18,20.0,0.25,0.0,0.04,0.0,6.1,58.33,96.37,14.03,0,,0,,0,0.0,0.0,0.0,,,0.8,,4.51,0.0,0.0,0.0,0.0,0,0
Yan,Yan Dos Santos Maciel,474832,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"AMF, CF, RDMF",AMF,29,CF,18,RDMF,17,28.0,1997-03-24,0,,28,2406,9,5.33,7,6.1,19.11,53.42,Brazil,['Brazil'],left,186,75,False,6.25,6.17,62.42,1.76,51.06,0.04,0.06,0.04,2.36,4.01,1.23,1,0.04,0,0.0,2.96,0.34,9,0.34,0.2,0,0.0,45,1.6800000000000002,46.67,20.0,0.26,1.6800000000000002,42.22,1.05,35.71,0.64,52.94,0.34,1.83,63.27,9.05,49.59,1.76,2.47,0.07,33.89,1.8,1.8,46.87,86.59,16.27,80.69,8.72,96.57,42.12,89.7,3.18,65.88,17.77,29.48,0.23,1.87,0.22,0.15,0.45,66.67,0.97,8.38,80.8,3.14,59.52,0.64,47.06,1.46,0.75,9.39,90.44,89.32,13.65,0,,0,,0,0.0,0.0,0.0,,,0.11,,1.76,0.79,0.15,50.0,2.43,0,0
L. Claros,Lizandro Enmanuel Claros Saravia,-169588,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,"RCB, LCB",RCB,54,LCB,33,,0,28.0,1998-01-25,150000,,25,2305,0,1.1400000000000001,0,0.14,14.37,64.95,El Salvador,['El Salvador'],right,182,0,False,8.51,6.13,77.07,5.54,53.52,0.23,0.36,0.51,3.55,5.42,0.86,7,0.27,2,0.08,0.51,0.0,0,0.0,0.04,0,0.0,15,0.59,33.33,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.31,100.0,1.52,61.54,0.39,1.05,0.0,22.37,0.51,0.51,37.17,81.2,20.5,74.1,1.44,97.3,30.77,88.58,6.29,46.58,21.74,39.55,0.01,0.12,0.0,0.08,0.0,0.0,0.08,5.93,57.24,0.62,12.5,0.47000000000000003,16.67,0.12,0.0,9.02,70.13,91.17,11.05,0,,0,,0,0.0,0.0,0.0,,,0.8200000000000001,,5.54,0.23,0.23,50.0,0.0,0,0
M. Murillo,Miguel Ángel Murillo Valencia,-473755,FAS,FAS,https://cdn5.wyscout.com/photos/team/public/3127_120x120.png,Primera Division,"LB, RCB, RB",LB,46,RCB,28,RB,19,28.0,1997-12-03,0,,26,2302,1,2.08,0,0.47000000000000003,18.45,59.75,Colombia,['Colombia'],,0,0,False,10.79,8.72,70.85,3.87,59.6,0.98,1.63,0.39,3.64,6.08,2.03,12,0.47000000000000003,1,0.04,0.55,0.04,1,0.04,0.08,1,0.04,14,0.55,21.43,7.143,0.0,0.35000000000000003,44.44,0.23,50.0,0.12,33.33,0.04,0.7000000000000001,38.89,3.52,38.89,0.9,0.47000000000000003,0.08,24.59,0.66,1.09,35.85,85.5,16.73,77.34,2.93,93.33,30.69,89.94,4.8100000000000005,60.16,20.14,39.28,0.02,0.27,0.04,0.04,0.0,0.0,0.12,4.77,68.85,0.9400000000000001,54.17,0.27,42.86,0.43,0.16,7.66,75.0,94.04,11.81,0,,0,,0,0.0,0.0,0.0,,,0.86,,3.87,0.0,0.0,0.0,0.04,0,0
Julián Grueso,Julián Andrés Grueso Bravo,-83588,Internacional Formando Atletas,Internacional Formando Atletas,https://cdn5.wyscout.com/photos/team/public/g-24194_120x120.png,Primera Division,"LCB, RCB",LCB,57,RCB,42,,0,26.0,1999-04-12,0,,23,2252,0,0.24,0,0.0,11.87,59.93,Colombia,['Colombia'],right,0,0,False,7.11,5.28,66.67,3.84,59.38,0.28,0.45,0.32,3.32,5.31,1.12,9,0.36,1,0.04,0.12,0.0,0,0.0,0.01,0,0.0,4,0.16,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,66.67,1.2,33.33,0.32,0.76,0.04,26.7,1.0,0.32,40.28,89.48,17.54,82.46,2.64,93.94,34.73,94.36,5.5600000000000005,58.99,21.29,37.58,0.0,0.04,0.04,0.0,0.04,0.0,0.0,3.8,76.84,0.2,20.0,0.08,0.0,0.08,0.0,7.27,73.08,95.93,15.71,0,,0,,0,0.0,0.0,0.0,,,2.08,,3.84,0.0,0.0,0.0,0.0,0,0
T. Benítez,Tereso Alexi Benítez,-473843,Águila,Águila,https://cdn5.wyscout.com/photos/team/public/3410_120x120.png,Primera Division,RB,RB,80,,0,,0,23.0,2002-03-15,0,,25,2241,4,0.75,2,0.63,15.38,53.79,El Salvador,['El Salvador'],,0,0,False,8.39,7.11,68.93,1.57,38.46,0.0,0.0,0.08,3.49,5.52,1.4100000000000001,6,0.24,2,0.08,2.01,0.16,4,0.16,0.03,0,0.0,20,0.8,35.0,20.0,0.08,2.33,27.59,0.08,0.0,2.25,28.57,0.36,1.8900000000000001,55.32,5.3,40.15,0.96,1.4100000000000001,0.28,23.17,1.2,0.96,35.46,77.01,15.66,74.36,4.7,88.03,29.36,83.17,3.8200000000000003,58.95,18.56,31.7,0.03,0.44,0.08,0.0,0.04,100.0,0.16,6.31,73.89,2.29,40.35,0.12,33.33,0.32,0.8,9.0,73.66,76.82,9.36,0,,0,,0,0.0,0.0,0.0,,,0.4,,1.57,0.0,0.0,0.0,0.08,0,0
H. Rodriguez,Herson Enrique Rodriguez Mejía,-541150,Firpo,Firpo,https://cdn5.wyscout.com/photos/team/public/3043_120x120.png,Primera Division,"LB, RB",LB,56,RB,38,,0,21.0,2004-04-14,0,,25,2212,1,0.65,0,0.5,16.6,52.7,El Salvador,['El Salvador'],,0,0,False,10.38,9.93,59.02,2.89,45.07,0.65,0.98,0.24,3.87,5.82,1.75,2,0.08,0,0.0,0.6900000000000001,0.04,1,0.04,0.03,1,0.04,9,0.37,22.22,11.111,0.0,0.85,42.86,0.41000000000000003,60.0,0.45,27.27,0.08,0.53,46.15,1.99,36.73,0.45,0.28,0.0,13.92,1.02,0.37,24.33,78.6,11.19,72.0,3.38,95.18,21.12,82.66,2.4,54.24,17.25,30.11,0.02,0.2,0.04,0.0,0.0,0.0,0.2,3.21,70.89,0.85,52.38,0.12,33.33,0.2,0.45,4.88,67.5,78.63,5.33,0,,0,,0,0.0,0.0,0.0,,,0.08,,2.89,0.04,0.0,0.0,0.0,0,0
