Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
B. Rennie,Beth Rennie,-364406,Boroughmuir Thistle,Boroughmuir Thistle,https://cdn5.wyscout.com/photos/team/public/g11461_120x120.png,SWPL 2,GK,GK,100,,0,,0,19.0,2006-03-27,0,,17,1609,0,0.0,1,0.11,0.56,60.0,Scotland,['Scotland'],unknown,0,0,False,1.4,0.06,0.0,0.22,75.0,0.0,0.0,0.0,1.4,2.17,0.11,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.22,50.0,0.0,0.06,0.0,6.82,0.0,0.17,14.21,83.86,6.1,66.97,0.0,0.0,8.56,98.04,5.65,62.38,27.11,37.12,0.01,0.06,0.0,0.0,0.0,0.0,0.06,0.22,25.0,0.0,0.0,0.0,0.0,0.06,0.0,3.8,50.0,96.77,6.94,12,0.67,55,3.08,10,78.18,13.35,0.75,1.35,0.076,0.0,0.56,0.22,,,,0.0,0,0
C. Michie,Cailin Michie,383583,Boroughmuir Thistle,Boroughmuir Thistle,https://cdn5.wyscout.com/photos/team/public/g11461_120x120.png,SWPL 2,"RAMF, DMF",RAMF,35,DMF,34,,0,28.0,1998-02-02,0,,17,1575,1,1.07,0,0.98,24.63,53.13,Scotland,['Scotland'],,0,0,False,12.06,8.8,68.18,4.57,62.5,0.23,0.36,0.11,5.83,9.05,1.09,0,0.0,0,0.0,2.17,0.06,1,0.06,0.06,0,0.0,25,1.43,36.0,4.0,0.0,1.77,51.61,0.34,50.0,1.37,54.17,0.17,1.09,63.16,7.71,37.78,0.97,0.6900000000000001,0.06,19.26,0.8,1.6600000000000001,43.94,70.87,18.91,61.63,6.34,92.79,38.06,75.08,4.11,40.28,17.55,31.99,0.06,0.8,0.06,0.06,0.17,33.33,0.4,8.4,66.67,3.43,50.0,0.63,36.36,0.86,0.86,10.06,76.7,81.19,11.54,0,,0,,0,0.0,0.0,0.0,,,0.29,,4.57,0.06,0.0,0.0,0.11,0,0
Rob. McCafferty,Robyn McCafferty,-74827,Spartans,Spartans,https://cdn5.wyscout.com/photos/team/public/g7114_120x120.png,SWPL 2,"CB, RCB, LCB",CB,59,RCB,24,LCB,15,22.0,2003-06-30,0,,17,1572,0,2.47,1,0.65,11.34,71.72,Scotland,['Scotland'],,0,0,False,8.36,5.21,83.52,3.09,72.22,0.17,0.27,0.4,3.84,6.11,0.29,2,0.11,0,0.0,0.23,0.0,0,0.0,0.14,0,0.0,19,1.09,5.26,0.0,0.06,0.4,14.29,0.29,20.0,0.06,0.0,0.11,0.17,66.67,1.9500000000000002,44.12,1.32,0.5700000000000001,0.0,30.52,0.0,0.52,52.84,76.71,29.48,65.83,3.89,98.53,40.19,88.6,12.25,39.72,24.38,41.08,0.04,0.23,0.0,0.06,0.0,0.0,0.06,10.48,42.62,1.6600000000000001,17.24,0.8,14.29,0.29,0.06,13.0,66.52,91.72,16.6,0,,0,,0,0.0,0.0,0.0,,,3.21,,3.09,0.06,0.0,0.0,0.0,0,0
L. Sidey,Leah Sidey,-364450,Boroughmuir Thistle,Boroughmuir Thistle,https://cdn5.wyscout.com/photos/team/public/g11461_120x120.png,SWPL 2,LB,LB,97,,0,,0,20.0,2005-07-03,0,,17,1564,3,0.92,3,2.9699999999999998,23.82,64.49,Scotland,['Scotland'],unknown,0,0,False,12.89,9.84,76.02,3.4,67.8,0.12,0.18,0.12,5.29,8.19,0.23,0,0.0,0,0.0,4.89,0.17,3,0.17,0.05,1,0.06,19,1.09,52.63,15.789,0.17,4.95,40.7,4.89,41.18,0.06,0.0,0.6900000000000001,2.88,78.0,8.63,53.33,0.63,2.88,0.17,23.08,1.15,0.6900000000000001,42.7,57.14,24.92,50.58,4.03,91.43,27.22,69.34,10.7,34.41,25.04,37.77,0.17,1.67,0.06,0.0,0.12,50.0,0.58,12.43,43.52,6.21,31.48,1.21,28.57,0.35000000000000003,1.8399999999999999,13.87,72.61,61.05,9.9,0,,0,,0,0.0,0.0,0.0,,,0.86,,3.4,0.6900000000000001,0.12,50.0,1.27,0,0
Z. Mooney,Zoe Mooney,-740877,Stirling University,Stirling University,https://cdn5.wyscout.com/photos/team/public/g32791_120x120.png,SWPL 2,"RCB, RCB3",RCB,72,RCB3,27,,0,17.0,2008-04-25,0,,17,1546,0,0.0,0,0.0,13.39,61.3,Scotland,['Scotland'],unknown,0,0,False,12.92,9.55,71.34,0.35000000000000003,33.33,0.12,0.14,0.76,6.0,7.22,1.05,2,0.12,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,33.33,1.92,27.27,0.06,0.17,0.0,17.23,0.06,0.12,34.99,73.71,18.28,59.87,2.1,86.11,27.77,79.66,7.22,50.81,20.22,29.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,43.48,0.17,0.0,0.17,0.0,0.0,0.0,9.08,25.64,91.43,12.23,0,,0,,0,0.0,0.0,0.0,,,1.57,,0.35000000000000003,0.0,0.0,0.0,0.0,0,0
D. Findlay,Danni  Findlay,-737323,Dundee United,Dundee United,https://cdn5.wyscout.com/photos/team/public/g11460_120x120.png,SWPL 2,"CF, AMF",CF,56,AMF,22,,0,31.0,1994-12-23,0,,16,1516,9,6.8,1,1.23,26.72,39.11,Scotland,['Scotland'],unknown,0,0,False,6.41,5.05,65.88,4.45,40.0,0.0,0.0,0.18,3.09,4.7,1.13,0,0.0,0,0.0,3.8,0.53,8,0.47000000000000003,0.4,4,0.24,54,3.21,44.44,16.667,0.06,1.25,4.76,0.42,14.29,0.77,0.0,0.18,4.1,53.62,15.02,30.43,3.44,1.01,0.06,13.3,1.72,1.19,29.56,65.86,10.09,44.12,7.12,92.5,25.29,72.54,3.03,35.29,17.36,37.5,0.07,0.89,0.0,0.0,0.30000000000000004,40.0,0.30000000000000004,5.64,42.11,2.55,30.23,0.8300000000000001,50.0,0.9500000000000001,0.06,4.16,68.57,65.42,6.35,0,,0,,0,0.0,0.0,0.0,,,0.06,,4.45,0.36,0.30000000000000004,40.0,0.30000000000000004,1,100
E. Black,Emma Black,356817,Stirling University,Stirling University,https://cdn5.wyscout.com/photos/team/public/g32791_120x120.png,SWPL 2,"LDMF, RCMF, LCMF",LDMF,34,RCMF,18,LCMF,14,38.0,1987-03-12,0,,18,1510,0,0.08,0,0.0,18.36,50.0,Scotland,['Scotland'],,0,0,False,10.79,8.7,68.49,1.6099999999999999,33.33,0.12,0.15,0.36,4.71,5.77,0.48,0,0.0,0,0.0,0.30000000000000004,0.0,0,0.0,0.0,0,0.0,4,0.24,25.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.72,33.33,5.66,30.53,0.24,0.48,0.24,12.4,0.54,0.24,27.66,70.91,10.07,57.4,3.87,92.31,25.15,75.12,2.44,29.27,17.23,31.86,0.0,0.0,0.0,0.0,0.06,0.0,0.06,3.46,43.1,0.72,8.33,0.30000000000000004,20.0,0.12,0.0,5.01,36.9,74.13,8.52,0,,0,,0,0.0,0.0,0.0,,,0.6000000000000001,,1.6099999999999999,0.0,0.0,0.0,0.0,0,0
T. Skivington,Teri Skivington,-367546,East Fife,East Fife,https://cdn5.wyscout.com/photos/team/public/g23931_120x120.png,SWPL 2,"CF, LCMF, RCMF",CF,45,LCMF,16,RCMF,16,31.0,1995-03-01,0,,16,1493,7,4.67,0,0.36,32.01,43.88,Scotland,['Scotland'],unknown,0,0,False,7.96,6.75,62.5,7.29,43.8,0.0,0.0,0.24,3.74,4.38,1.09,2,0.12,0,0.0,2.71,0.42,6,0.36,0.28,3,0.18,32,1.9300000000000002,40.63,21.875,0.0,0.84,14.29,0.06,0.0,0.78,15.38,0.06,2.89,62.5,13.38,35.14,2.17,0.96,0.06,12.12,2.5300000000000002,2.17,23.51,58.97,9.16,46.71,4.46,82.43,20.13,64.37,2.5300000000000002,30.95,18.12,33.63,0.02,0.24,0.12,0.0,0.0,0.0,0.06,4.22,38.57,1.09,33.33,0.12,50.0,0.42,0.12,4.46,56.76,59.3,5.18,0,,0,,0,0.0,0.0,0.0,,,0.06,,7.29,0.0,0.0,0.0,0.0,1,100
R. Cochran,Roberta-Leigh Cochran,-421561,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/g27408_120x120.png,SWPL 2,GK,GK,100,,0,,0,33.0,1992-06-25,0,,15,1448,0,0.03,0,0.0,1.9300000000000002,74.19,Scotland,['Scotland'],,0,0,False,7.09,0.62,50.0,0.68,90.91,0.06,0.08,0.0,6.71,9.0,0.0,0,0.0,0,0.0,0.06,0.0,0,0.0,0.0,0,0.0,1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.37,83.33,0.06,0.0,0.0,10.38,0.0,0.44,27.22,74.66,16.91,64.34,0.06,100.0,13.36,95.35,13.74,55.2,30.97,40.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,33.33,0.12,0.0,0.06,0.0,0.0,0.0,8.83,54.93,92.05,9.39,47,2.92,122,7.58,0,61.48,35.63,2.21,-11.37,-0.707,0.0,1.49,0.68,,,,0.0,0,0
R. McMillan,Rebecca McMillan,-366341,St. Johnstone,St. Johnstone,https://cdn5.wyscout.com/photos/team/public/g27408_120x120.png,SWPL 2,"LCB, RCB",LCB,65,RCB,27,,0,25.0,2000-03-01,0,,15,1448,1,1.42,0,0.0,10.07,57.41,Scotland,['Scotland'],right,0,0,False,9.82,5.9,67.37,1.74,53.57,0.25,0.33,1.06,5.59,7.5,0.68,3,0.19,0,0.0,0.12,0.06,1,0.06,0.09,0,0.0,6,0.37,16.67,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,50.0,0.93,13.33,0.5,0.0,0.0,12.87,0.12,0.0,29.52,74.74,14.92,64.58,2.55,92.68,25.42,78.97,4.1,48.48,19.92,30.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,51.43,0.0,0.0,0.0,0.0,0.0,0.0,6.4,39.81,85.28,10.13,0,,0,,0,0.0,0.0,0.0,,,2.11,,1.74,0.0,0.0,0.0,0.0,0,0
