Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Liagas,Panagiotis Liagas,-95459,Levadiakos,Levadiakos,https://cdn5.wyscout.com/photos/team/public/440_120x120.png,Stoiximan Super League,RCB,RCB,97,,0,,0,26.0,1999-11-05,450000,2028-06-30,13,1301,0,0.45,0,0.29,7.61,59.09,Greece,['Greece'],right,189,79,False,6.3,2.7,66.67,3.04,56.82,0.35000000000000003,0.58,0.62,4.15,6.98,0.21,1,0.07,0,0.0,0.07,0.0,0,0.0,0.03,0,0.0,3,0.21,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.0,0.07,0.21,33.33,0.6900000000000001,50.0,0.6900000000000001,0.42,0.0,37.84,0.62,0.6900000000000001,51.47,88.98,20.48,79.05,2.49,100.0,45.24,94.65,6.16,48.31,22.67,39.26,0.02,0.14,0.0,0.07,0.0,0.0,0.07,5.47,79.75,0.14,0.0,0.28,25.0,0.28,0.0,10.38,68.67,95.65,25.46,0,,0,,0,0.0,0.0,0.0,,,2.01,,3.04,0.0,0.0,0.0,0.0,0,0.0
Y. Lodygin,Yuri Lodygin,203528,Levadiakos,Levadiakos,https://cdn5.wyscout.com/photos/team/public/440_120x120.png,Stoiximan Super League,GK,GK,100,,0,,0,35.0,1990-05-26,400000,2026-06-30,13,1301,0,0.0,0,0.0,0.28,100.0,Russia,"['Russia', 'Greece']",right,187,83,False,0.8300000000000001,0.0,0.0,0.14,100.0,0.0,0.0,0.0,0.8300000000000001,1.4,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,13.9,0.42,0.14,19.23,88.49,9.13,77.27,0.0,0.0,14.67,99.06,4.5,55.38,29.08,47.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,20.0,0.42,0.0,0.14,0.0,0.0,0.0,2.7,66.67,99.31,9.96,17,1.18,53,3.67,3,67.92,14.53,1.01,-2.47,-0.171,0.0,1.11,0.14,,,,0.0,0,0.0
L. Cháves,Lucas Abraham Cháves,396391,Panetolikos FC,Panetolikos FC,https://cdn5.wyscout.com/photos/team/public/2346_120x120.png,Stoiximan Super League,GK,GK,100,,0,,0,30.0,1995-08-09,1200000,2027-12-31,13,1301,0,0.0,1,0.0,1.87,77.78,Argentina,['Argentina'],right,178,75,True,1.73,0.07,100.0,1.11,75.0,0.0,0.0,0.0,1.6600000000000001,1.96,0.07,1,0.07,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.55,75.0,0.0,0.0,0.0,17.64,0.21,0.42,28.22,79.17,15.77,65.35,0.0,0.0,17.5,96.84,10.65,50.65,33.78,50.51,0.0,0.0,0.0,0.0,0.0,0.0,0.07,4.57,30.3,0.48,14.29,0.35000000000000003,60.0,0.07,0.0,6.85,71.72,97.67,11.9,18,1.25,61,4.22,4,70.49,19.5,1.35,1.5,0.10400000000000001,0.0,2.91,1.11,,,,0.0,0,0.0
T. Tsapras,Triantafyllos Tsapras,-147196,Levadiakos,Levadiakos,https://cdn5.wyscout.com/photos/team/public/440_120x120.png,Stoiximan Super League,RB,RB,96,,0,,0,24.0,2001-10-22,0,2027-06-30,13,1296,0,0.76,5,2.69,10.69,49.35,Greece,['Greece'],right,186,80,False,7.57,4.58,57.58,1.3900000000000001,45.0,0.21,0.35000000000000003,0.42,4.72,7.94,0.49,0,0.0,0,0.0,1.6,0.0,0,0.0,0.05,0,0.0,11,0.76,18.18,0.0,0.35000000000000003,3.96,24.56,0.07,0.0,3.8200000000000003,23.64,0.6900000000000001,1.18,41.18,3.06,36.36,1.88,1.32,0.28,35.83,3.96,0.56,47.71,77.0,16.39,72.88,6.32,93.41,39.86,85.54,3.89,42.86,19.3,39.26,0.19,0.9,0.07,0.14,0.0,0.0,0.56,6.6,71.58,3.89,53.57,0.28,75.0,1.04,1.18,10.42,72.67,79.41,16.53,0,,0,,0,0.0,0.0,0.0,,,0.42,,1.3900000000000001,0.14,0.07,0.0,0.0,0,0.0
S. Chakla,Soufiane Chakla,349005,Larissa,Larissa,https://cdn5.wyscout.com/photos/team/public/435_120x120.png,Stoiximan Super League,"RCB, LCB, RCB3",RCB,46,LCB,32,RCB3,10,32.0,1993-09-02,550000,2026-06-30,13,1294,1,0.58,0,0.0,13.28,60.21,Morocco,"['Morocco', 'Spain']",right,188,77,False,7.79,4.8,63.77,4.94,57.75,0.21,0.28,0.8300000000000001,4.52,5.98,1.53,4,0.28,0,0.0,0.28,0.07,1,0.07,0.04,1,0.07,4,0.28,25.0,25.0,0.0,0.28,50.0,0.0,0.0,0.28,50.0,0.0,0.07,100.0,1.11,68.75,0.8300000000000001,0.7000000000000001,0.0,21.42,0.28,1.04,33.45,86.28,16.55,78.99,1.46,100.0,28.17,90.62,5.01,63.89,22.5,40.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,62.67,0.63,33.33,0.21,33.33,0.21,0.14,7.37,83.96,96.32,13.21,0,,0,,0,0.0,0.0,0.0,,,0.97,,4.94,0.0,0.0,0.0,0.0,0,0.0
M. Vichos,Marios Vichos,-95457,Levadiakos,Levadiakos,https://cdn5.wyscout.com/photos/team/public/440_120x120.png,Stoiximan Super League,LB,LB,98,,0,,0,25.0,2000-01-14,400000,2027-06-30,13,1293,0,0.4,1,1.02,13.02,55.61,Greece,['Greece'],left,180,75,False,6.89,4.25,65.57,4.11,47.46,0.07,0.12,0.21,4.04,6.8,0.63,0,0.0,0,0.0,2.16,0.0,0,0.0,0.03,0,0.0,12,0.84,33.33,0.0,0.07,3.69,22.64,3.48,20.0,0.21,66.67,0.49,1.6,60.87,3.48,54.0,0.77,0.9,0.07,27.91,2.37,1.18,35.43,74.66,12.04,63.58,6.61,97.89,28.4,86.03,3.41,36.73,20.77,32.69,0.07,0.63,0.0,0.0,0.07,100.0,0.14,3.83,61.82,3.41,36.73,0.28,25.0,0.42,0.84,7.03,71.29,78.65,12.39,0,,0,,0,0.0,0.0,0.0,,,0.35000000000000003,,4.11,0.56,0.14,0.0,1.18,0,0.0
David Simón,David Simón Rodríguez Santana,205818,Kifissia,Kifissia,https://cdn5.wyscout.com/photos/team/public/g25467_120x120.png,Stoiximan Super League,RB,RB,96,,0,,0,36.0,1988-12-16,100000,2026-06-30,13,1293,0,0.54,1,0.92,13.36,57.81,Spain,['Spain'],right,179,68,False,8.42,6.54,67.02,2.51,58.33,0.21,0.31,0.14,3.83,5.65,0.97,4,0.28,0,0.0,1.46,0.0,0,0.0,0.04,0,0.0,7,0.49,42.86,0.0,0.07,2.51,27.78,0.0,0.0,2.51,27.78,0.14,0.63,88.89,2.7800000000000002,47.5,0.84,0.63,0.0,15.17,1.25,0.49,26.1,73.33,11.76,68.05,4.04,98.28,17.68,86.22,5.92,54.12,23.06,37.97,0.06,0.21,0.0,0.0,0.0,0.0,0.07,4.66,64.18,2.09,40.0,0.35000000000000003,40.0,0.35000000000000003,0.7000000000000001,7.03,71.29,69.47,6.61,0,,0,,0,0.0,0.0,0.0,,,0.49,,2.51,0.07,0.0,0.0,0.07,0,0.0
K. Tzolakis,Konstantinos  Tzolakis,-110815,Olympiacos Piraeus,Olympiacos Piraeus,https://cdn5.wyscout.com/photos/team/public/429_120x120.png,Stoiximan Super League,GK,GK,100,,0,,0,23.0,2002-11-08,0,2027-06-30,13,1287,0,0.0,0,0.0,0.98,85.71,Greece,['Greece'],right,193,85,False,1.75,0.14,50.0,0.28,100.0,0.0,0.0,0.0,1.6800000000000002,3.13,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,83.33,0.0,0.0,0.0,10.14,0.28,0.42,15.87,79.74,9.72,69.06,0.0,0.0,10.14,97.93,5.66,48.15,34.52,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,50.0,0.21,0.0,0.35000000000000003,0.0,0.0,0.0,3.99,71.93,98.81,5.87,7,0.49,31,2.17,8,77.42,9.79,0.68,2.79,0.195,0.0,1.12,0.28,,,,0.0,0,0.0
Álvaro Tejero,Álvaro Tejero Sacristán,372363,Aris,Aris,https://cdn5.wyscout.com/photos/team/public/432_120x120.png,Stoiximan Super League,"RB, LB",RB,81,LB,12,,0,29.0,1996-07-20,2000000,2027-06-30,13,1286,0,0.25,2,1.17,13.09,55.08,Spain,['Spain'],right,172,65,False,7.77,5.88,64.29,1.8900000000000001,44.44,0.49,0.76,0.07,3.5,5.43,1.33,2,0.14,0,0.0,2.52,0.0,0,0.0,0.02,0,0.0,12,0.84,33.33,0.0,0.14,4.27,31.15,0.49,42.86,3.7800000000000002,29.63,0.42,1.54,54.55,4.2,50.0,0.98,1.4,0.07,34.36,1.54,1.54,44.93,78.97,17.15,72.24,6.16,97.73,35.83,88.48,5.04,50.0,19.7,35.93,0.08,0.84,0.0,0.0,0.07,100.0,0.35000000000000003,4.83,71.01,3.85,41.82,0.35000000000000003,40.0,0.63,1.26,8.61,69.11,81.31,14.98,0,,0,,0,0.0,0.0,0.0,,,0.98,,1.8900000000000001,0.07,0.0,0.0,0.07,0,0.0
T. Strakosha,Thomas Strakosha,235328,AEK Athens,AEK Athens,https://cdn5.wyscout.com/photos/team/public/430_120x120.png,Stoiximan Super League,GK,GK,100,,0,,0,30.0,1995-03-19,3000000,2029-06-30,13,1282,0,0.0,0,0.0,0.35000000000000003,40.0,Greece,"['Greece', 'Albania']",right,186,78,False,1.19,0.14,0.0,0.14,50.0,0.0,0.0,0.0,1.19,2.02,0.07,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.29,0.28,0.07,16.5,82.98,9.62,73.72,0.0,0.0,8.78,98.4,7.65,66.06,32.33,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,55.56,0.0,0.0,0.07,100.0,0.0,0.0,5.83,74.7,96.2,5.55,10,0.7000000000000001,40,2.81,7,75.0,12.82,0.9,2.8200000000000003,0.198,0.0,0.77,0.14,,,,0.0,0,0.0
