Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Hussain Al Shuwaish,Hussain Al Shuwaish,174704,Al Orubah,Al Orubah,https://cdn5.wyscout.com/photos/team/public/4522_120x120.png,Division 1,LCB,LCB,98,,0,,0,37.0,1988-11-07,0,,30,3137,0,0.43,0,0.54,6.05,58.77,Saudi Arabia,['Saudi Arabia'],left,185,84,False,5.77,2.18,73.68,2.09,47.95,0.06,0.09,0.17,4.1,6.58,0.2,2,0.06,0,0.0,0.17,0.0,0,0.0,0.01,0,0.0,5,0.14,20.0,0.0,0.0,0.2,42.86,0.03,100.0,0.17,33.33,0.03,0.11,25.0,0.6900000000000001,41.67,0.34,1.2,0.0,27.6,0.37,0.32,41.74,87.15,19.42,79.03,1.58,98.18,34.69,91.73,6.86,65.27,23.02,39.56,0.02,0.2,0.0,0.0,0.03,100.0,0.14,5.36,75.4,0.6000000000000001,47.62,0.46,37.5,0.23,0.11,9.84,77.26,94.91,17.47,0,,0,,0,0.0,0.0,0.0,,,1.0,,2.09,0.0,0.0,0.0,0.0,0,0.0
Saad Al Saleh,Saad Al Saleh,385219,Al Zulfi,Al Zulfi,https://cdn5.wyscout.com/photos/team/public/g25430_120x120.png,Division 1,GK,GK,100,,0,,0,33.0,1992-05-19,50000,,30,3113,0,0.0,0,0.0,0.9500000000000001,84.85,Saudi Arabia,['Saudi Arabia'],right,178,70,False,1.24,0.14,60.0,0.4,85.71,0.0,0.0,0.0,1.16,1.63,0.06,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,90.0,0.0,0.0,0.0,7.23,0.09,0.46,13.27,82.14,7.98,73.19,0.06,50.0,8.59,97.31,4.68,54.32,33.75,49.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,37.1,0.23,12.5,0.26,11.11,0.03,0.0,2.95,70.59,95.76,4.77,36,1.04,116,3.35,7,68.97,39.13,1.13,3.13,0.09,0.0,1.3,0.4,,,,0.0,0,0.0
A. Lakhdar,Ayoub  Lakhdar,-220456,Al Jandal,Al Jandal,https://cdn5.wyscout.com/photos/team/public/g-19214_120x120.png,Division 1,"LAMF, LW",LAMF,59,LW,20,,0,28.0,1997-08-08,0,,30,3087,3,5.15,4,5.26,17.49,47.17,Morocco,['Morocco'],right,174,63,False,3.8200000000000003,3.8200000000000003,61.07,1.1400000000000001,20.51,0.03,0.04,0.03,1.46,1.94,1.1400000000000001,3,0.09,0,0.0,4.78,0.09,2,0.06,0.15,0,0.0,56,1.63,48.21,5.357,0.12,3.03,25.96,2.3,25.32,0.73,28.0,0.5,5.16,58.19,10.52,47.09,1.72,3.5,0.64,19.04,1.57,1.69,27.14,73.04,7.99,65.33,4.96,94.12,21.52,82.93,2.8,45.83,19.4,37.85,0.15,1.08,0.03,0.0,0.29,70.0,0.35000000000000003,3.91,57.46,3.5,40.0,0.99,44.12,1.11,0.76,5.07,77.59,67.01,8.4,0,,0,,0,0.0,0.0,0.0,,,0.03,,1.1400000000000001,1.43,0.38,69.23,1.57,1,100.0
Darwin González,Darwin Jesús González Mendoza,403741,Al Orubah,Al Orubah,https://cdn5.wyscout.com/photos/team/public/4522_120x120.png,Division 1,"LW, LAMF",LW,50,LAMF,33,,0,31.0,1994-05-20,750000,2026-06-30,30,3071,8,6.59,5,3.68,15.85,42.33,Venezuela,['Venezuela'],right,178,68,False,4.72,3.22,60.0,1.99,39.71,0.06,0.09,0.09,2.73,4.39,0.62,2,0.06,0,0.0,3.31,0.23,7,0.21,0.19,0,0.0,58,1.7000000000000002,41.38,13.793,0.15,2.14,30.14,1.85,25.4,0.23,75.0,0.26,3.58,54.1,9.2,37.26,2.99,3.22,0.5,22.24,1.82,0.97,29.57,76.41,7.77,70.19,5.86,86.5,26.46,80.95,1.06,52.78,16.33,24.75,0.11,1.03,0.0,0.06,0.23,12.5,0.56,2.7800000000000002,73.68,2.64,51.11,0.29,30.0,1.32,0.7000000000000001,5.33,75.82,76.52,9.61,0,,0,,0,0.0,0.0,0.0,,,0.03,,1.99,0.29,0.09,0.0,0.9400000000000001,1,100.0
H. Faik,Hicham Faik,255123,Al Bukayriyah,Al Bukayriyah,https://cdn5.wyscout.com/photos/team/public/g-9478_120x120.png,Division 1,"LCMF3, LCMF, DMF",LCMF3,40,LCMF,17,DMF,11,34.0,1992-03-19,700000,2026-06-30,30,3067,0,1.21,8,6.29,9.74,53.92,Netherlands,"['Netherlands', 'Morocco']",left,189,82,False,5.6,4.31,64.63,1.32,44.44,0.18,0.27,0.18,2.64,4.04,0.7000000000000001,3,0.09,0,0.0,1.29,0.0,0,0.0,0.04,0,0.0,36,1.06,19.44,0.0,0.23,1.2,56.1,0.79,51.85,0.41000000000000003,64.29,0.18,0.79,51.85,3.52,46.67,0.62,0.67,0.03,36.3,0.76,0.91,46.28,83.26,16.32,72.3,7.45,95.67,38.65,88.38,6.49,57.92,19.61,36.81,0.18,1.67,0.0,0.06,0.12,0.0,0.26,9.48,68.42,2.49,50.59,1.0,41.18,0.5,0.67,8.89,81.85,88.25,15.73,0,,0,,0,0.0,0.0,0.0,,,0.21,,1.32,2.2,0.29,30.0,2.61,0,0.0
Mohammed Al Owais,Mohammed Khalil Al Owais,279673,Al Ula,Al Ula,https://cdn5.wyscout.com/photos/team/public/g-19669_120x120.png,Division 1,GK,GK,100,,0,,0,34.0,1991-10-10,500000,,29,3035,0,0.0,0,0.0,0.59,80.0,Saudi Arabia,['Saudi Arabia'],left,185,79,False,1.13,0.03,0.0,0.42,85.71,0.0,0.0,0.0,1.13,1.8399999999999999,0.06,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.03,0.03,0.0,8.63,0.12,0.18,13.4,82.08,6.64,68.3,0.06,50.0,9.1,97.07,4.3,50.34,31.26,51.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3599999999999999,43.48,0.09,33.33,0.15,60.0,0.03,0.0,2.7,60.44,95.54,5.99,25,0.74,96,2.85,11,73.96,28.25,0.84,3.25,0.096,0.03,1.33,0.42,,,,0.0,0,0.0
S. Sow,Sylla Sow,452064,Abha,Abha,https://cdn5.wyscout.com/photos/team/public/3377_120x120.png,Division 1,CF,CF,98,,0,,0,29.0,1996-08-08,700000,2026-06-30,30,3028,25,18.69,6,2.77,14.59,34.01,Netherlands,"['Netherlands', 'Senegal']",right,182,74,False,1.69,1.49,60.0,2.5,28.57,0.0,0.0,0.06,0.8,1.4100000000000001,0.8300000000000001,1,0.03,0,0.0,2.56,0.74,16,0.48,0.56,0,0.0,84,2.5,48.81,29.762,0.18,0.74,20.0,0.24,0.0,0.45,26.67,0.12,2.7,42.86,8.71,32.08,4.34,1.96,0.36,12.93,2.11,0.59,18.16,79.54,3.06,68.93,6.15,95.17,16.97,82.49,0.54,61.11,15.53,16.81,0.08,1.13,0.03,0.03,0.15,20.0,0.59,1.69,82.46,1.25,66.67,0.18,33.33,1.22,0.09,1.78,76.67,73.33,5.35,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.5,0.0,0.0,0.0,0.0,9,100.0
Mohammed Al Waked,Mohammed Al Waked,309813,Al Jabalain,Al Jabalain,https://cdn5.wyscout.com/photos/team/public/g9286_120x120.png,Division 1,GK,GK,100,,0,,0,34.0,1991-12-31,100000,,29,3021,0,0.0,0,0.0,0.63,76.19,Saudi Arabia,['Saudi Arabia'],right,182,65,False,1.6400000000000001,0.06,0.0,0.36,83.33,0.0,0.0,0.0,1.6400000000000001,2.76,0.06,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,80.0,0.03,0.0,0.0,10.46,0.21,0.27,17.16,79.69,10.81,70.8,0.03,100.0,9.59,96.27,7.57,58.66,35.28,48.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,38.46,0.09,0.0,0.15,40.0,0.0,0.0,5.66,67.37,95.38,5.8100000000000005,31,0.92,108,3.22,9,71.3,34.89,1.04,3.89,0.116,0.0,1.25,0.36,,,,0.0,0,0.0
Roberto Dias,Roberto Dias Correia Filho,112227,Al Jubail,Al Jubail,https://cdn5.wyscout.com/photos/team/public/g39927_120x120.png,Division 1,"RCB, LCB, CB",RCB,59,LCB,23,CB,14,37.0,1988-08-08,150000,2026-06-30,30,3011,4,2.55,0,0.13,7.8,65.13,Brazil,"['Brazil', 'Portugal']",right,188,86,False,7.02,2.48,69.88,4.07,65.44,0.09,0.12,0.78,5.2,7.04,0.42,2,0.06,0,0.0,0.36,0.12,4,0.12,0.08,0,0.0,18,0.54,44.44,22.222,0.0,0.03,100.0,0.0,0.0,0.03,100.0,0.0,0.18,50.0,0.5700000000000001,52.63,0.63,0.09,0.0,19.07,0.36,0.48,29.41,85.47,15.3,79.1,0.63,95.24,22.78,91.73,6.61,63.8,22.91,38.63,0.0,0.03,0.0,0.0,0.0,0.0,0.03,3.62,69.42,0.24,37.5,0.15,40.0,0.06,0.03,6.9,68.4,93.65,11.3,0,,0,,0,0.0,0.0,0.0,,,0.27,,4.07,0.0,0.0,0.0,0.0,0,0.0
G. Laborde,Gaëtan  Laborde,182902,Al Draih,Al Draih,https://cdn5.wyscout.com/photos/team/public/g12555_120x120.png,Division 1,CF,CF,91,,0,,0,31.0,1994-05-03,10000000,2028-06-30,29,2986,24,22.87,4,6.03,15.31,42.32,France,['France'],left,181,78,False,2.59,2.05,63.24,2.89,34.38,0.09,0.16,0.03,1.21,2.09,1.27,4,0.12,0,0.0,4.79,0.72,21,0.63,0.6900000000000001,3,0.09,128,3.86,44.53,18.75,0.12,2.11,40.0,1.02,38.24,1.02,44.12,0.51,3.89,52.71,7.99,41.51,5.73,1.63,0.15,18.33,2.2,0.5700000000000001,21.58,70.95,5.73,62.63,4.55,89.4,17.87,76.05,1.69,55.36,17.73,34.57,0.18,1.33,0.03,0.09,0.36,50.0,0.81,3.07,58.82,2.83,61.7,0.66,50.0,1.63,0.72,2.83,88.3,65.74,6.51,0,,0,,0,0.0,0.0,0.0,,,0.03,,2.89,0.18,0.06,0.0,0.6000000000000001,3,100.0
