Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Torres,Denovan Galileo Torres Pérez,261505,Juticalpa,Juticalpa,https://cdn5.wyscout.com/photos/team/public/g33741_120x120.png,Liga Nacional,GK,GK,100,,0,,0,36.0,1989-10-04,50000,,15,1477,1,0.76,0,0.29,1.04,82.35,Honduras,['Honduras'],,0,0,False,1.58,0.24,75.0,0.61,90.0,0.0,0.0,0.0,1.4,1.96,0.0,2,0.12,0,0.0,0.06,0.06,0,0.0,0.05,0,0.0,1,0.06,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.17,0.24,0.18,14.5,74.37,11.64,69.63,0.0,0.0,5.97,93.88,8.47,60.43,42.29,53.65,0.02,0.06,0.0,0.0,0.0,0.0,0.0,3.29,48.15,0.30000000000000004,0.0,0.12,0.0,0.0,0.0,6.46,76.42,93.33,2.74,25,1.52,92,5.61,4,72.83,27.23,1.6600000000000001,2.23,0.136,0.0,2.13,0.61,,,,0.0,1,100.0
C. Samudio,Cesar Jair Samudio Murillo,309245,Marathón,Marathón,https://cdn5.wyscout.com/photos/team/public/3651_120x120.png,Liga Nacional,GK,GK,100,,0,,0,31.0,1994-02-23,225000,,14,1363,0,0.0,0,0.0,1.19,88.89,Panama,['Panama'],left,187,75,False,1.3900000000000001,0.13,50.0,0.86,100.0,0.0,0.0,0.0,1.32,1.8599999999999999,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,13.47,0.4,0.46,24.23,87.19,11.36,75.58,0.0,0.0,17.83,98.52,6.4,55.67,29.26,44.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,37.04,0.13,50.0,0.07,0.0,0.07,0.0,3.96,61.67,97.77,11.82,11,0.73,39,2.58,7,71.79,9.77,0.65,-1.23,-0.081,0.0,1.85,0.86,,,,0.0,0,0.0
B. Santos,Brandon  Santos,-724871,Platense,Platense,https://cdn5.wyscout.com/photos/team/public/3535_120x120.png,Liga Nacional,"LCB, LB, RCB3",LCB,57,LB,11,RCB3,11,31.0,1994-08-05,0,,14,1357,0,0.11,0,0.0,11.01,59.64,Honduras,['Honduras'],,0,0,False,9.62,4.78,66.67,4.18,60.32,0.46,0.59,0.66,5.97,7.63,0.86,1,0.07,0,0.0,0.13,0.0,0,0.0,0.01,0,0.0,1,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.93,42.86,0.13,0.33,0.07,12.93,0.33,0.53,26.73,76.43,15.12,64.47,1.53,82.61,21.75,83.23,4.97,46.67,23.95,38.73,0.0,0.07,0.0,0.0,0.0,0.0,0.0,4.38,60.61,0.4,0.0,0.4,16.67,0.0,0.0,7.43,61.61,94.7,8.75,0,,0,,0,0.0,0.0,0.0,,,0.8,,4.18,0.0,0.0,0.0,0.0,0,0.0
J. Orobio,Javier Alexis Orobio Rincón,433673,Platense,Platense,https://cdn5.wyscout.com/photos/team/public/3535_120x120.png,Liga Nacional,GK,GK,100,,0,,0,29.0,1996-07-03,0,,14,1357,0,0.27,0,0.0,1.19,83.33,Colombia,['Colombia'],,179,73,False,2.25,0.27,75.0,0.53,100.0,0.07,0.08,0.0,1.99,2.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,4,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,75.0,0.0,0.13,0.0,3.85,0.2,0.4,10.01,70.86,7.63,64.35,0.0,0.0,4.78,94.44,5.24,49.37,42.93,56.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,48.94,0.46,0.0,0.27,25.0,0.0,0.0,3.7800000000000002,80.7,90.91,2.19,16,1.06,72,4.78,3,77.78,17.85,1.18,1.85,0.123,0.0,1.8599999999999999,0.53,,,,0.0,0,0.0
M. Salinas,Manuel Alberto Salinas,-462756,Platense,Platense,https://cdn5.wyscout.com/photos/team/public/3535_120x120.png,Liga Nacional,"RCMF, LCMF",RCMF,42,LCMF,30,,0,30.0,1995-02-16,0,,14,1273,0,1.06,0,1.3900000000000001,13.57,54.69,Honduras,['Honduras'],unknown,0,0,False,8.2,6.72,70.53,2.33,39.39,0.21,0.27,0.28,3.25,4.12,1.63,1,0.07,0,0.0,0.71,0.0,0,0.0,0.07,0,0.0,29,2.05,13.79,0.0,0.0,0.35000000000000003,40.0,0.0,0.0,0.28,50.0,0.0,0.28,75.0,2.9699999999999998,42.86,0.49,0.14,0.0,19.37,0.28,1.48,30.9,80.55,12.87,67.58,3.5300000000000002,94.0,25.38,84.96,5.3,61.33,19.92,34.12,0.1,0.92,0.0,0.0,0.07,100.0,0.35000000000000003,6.5,73.91,1.48,57.14,0.35000000000000003,80.0,0.78,0.14,6.43,80.22,91.03,10.25,0,,0,,0,0.0,0.0,0.0,,,0.07,,2.33,0.85,0.0,0.0,0.07,0,0.0
E. Maldonado Duarte,Edwin Eduardo Maldonado Duarte,-681711,Genesis Policia Nacional FC,Genesis Policia Nacional FC,https://cdn5.wyscout.com/photos/team/public/g-24203_120x120.png,Liga Nacional,"RCMF, LCMF",RCMF,30,LCMF,18,,0,31.0,1994-06-04,0,,14,1273,1,0.4,1,0.48,15.62,51.13,Honduras,['Honduras'],,174,0,False,6.79,5.37,64.47,3.11,50.0,0.14,0.21,0.35000000000000003,3.18,4.67,1.34,2,0.14,0,0.0,0.85,0.07,1,0.07,0.03,0,0.0,11,0.78,27.27,9.091,0.07,1.13,37.5,0.14,100.0,0.78,18.18,0.07,0.42,50.0,4.67,37.88,0.42,0.5700000000000001,0.0,21.85,0.21,0.78,37.05,83.78,12.94,74.86,6.86,95.88,29.69,90.0,6.29,62.92,20.73,29.62,0.03,0.49,0.21,0.0,0.0,0.0,0.07,7.49,68.87,2.12,50.0,0.49,57.14,0.78,0.35000000000000003,7.5600000000000005,81.31,88.95,12.16,0,,0,,0,0.0,0.0,0.0,,,0.64,,3.11,0.49,0.07,100.0,0.14,0,0.0
Á. Tejeda,Ángel Gabriel Tejeda Escobar,259206,Genesis Policia Nacional FC,Genesis Policia Nacional FC,https://cdn5.wyscout.com/photos/team/public/g-24203_120x120.png,Liga Nacional,CF,CF,92,,0,,0,34.0,1991-06-01,125000,,13,1268,6,5.4,4,1.27,16.11,31.28,Honduras,['Honduras'],right,186,80,False,2.27,1.35,57.89,5.54,25.64,0.07,0.1,0.07,1.42,2.08,1.21,1,0.07,1,0.07,1.99,0.43,4,0.28,0.38,0,0.0,32,2.27,46.88,18.75,0.28,0.85,25.0,0.5700000000000001,37.5,0.28,0.0,0.14,1.28,44.44,7.17,27.72,2.7,1.06,0.07,14.41,2.7,1.28,19.8,70.97,5.11,59.72,5.32,88.0,17.32,75.82,1.85,38.46,16.67,38.08,0.09,0.99,0.0,0.07,0.21,66.67,0.64,3.55,40.0,1.85,46.15,0.35000000000000003,60.0,1.1400000000000001,0.14,2.13,83.33,59.72,5.11,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.54,0.35000000000000003,0.14,50.0,0.0,2,100.0
J. Rivera,Javier Enrique Rivera Castillo,440541,Marathón,Marathón,https://cdn5.wyscout.com/photos/team/public/3651_120x120.png,Liga Nacional,"RCB, RCB3",RCB,75,RCB3,23,,0,27.0,1998-03-17,200000,,13,1265,0,0.11,2,0.24,11.88,67.07,Panama,['Panama'],,187,0,False,7.19,4.84,76.47,4.62,64.62,0.0,0.0,0.36,3.49,5.02,1.0,4,0.28,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,6,0.43,0.0,0.0,0.14,0.14,0.0,0.07,0.0,0.07,0.0,0.07,0.14,0.0,1.35,57.89,0.36,0.5700000000000001,0.0,33.08,0.78,1.1400000000000001,46.39,82.06,24.05,69.82,2.99,92.86,35.36,92.76,10.89,48.37,24.41,42.37,0.02,0.21,0.0,0.0,0.0,0.0,0.14,8.75,54.47,1.1400000000000001,12.5,1.21,29.41,0.14,0.07,11.67,73.78,96.46,16.08,0,,0,,0,0.0,0.0,0.0,,,1.57,,4.62,0.0,0.0,0.0,0.0,0,0.0
O. Almendárez,Oscar Santiago Almendárez Martínez,-101266,Olancho,Olancho,https://cdn5.wyscout.com/photos/team/public/g-16454_120x120.png,Liga Nacional,"RB, RW, RCMF3",RB,30,RW,26,RCMF3,24,33.0,1992-07-13,0,,14,1231,3,1.5,1,1.27,12.72,55.17,Honduras,['Honduras'],right,0,0,False,7.31,4.97,61.76,3.44,46.81,0.07,0.11,0.37,4.17,6.53,1.1,2,0.15,0,0.0,2.27,0.22,3,0.22,0.11,1,0.07,26,1.9,19.23,11.538,0.07,3.66,24.0,0.07,0.0,3.58,24.49,0.51,1.54,66.67,3.14,53.49,1.9,1.6099999999999999,0.15,31.07,2.7800000000000002,0.66,41.09,78.29,12.94,78.53,6.65,93.41,32.61,86.77,5.26,61.11,20.75,43.13,0.09,1.1,0.0,0.07,0.07,0.0,0.51,8.26,71.68,4.09,41.07,0.88,50.0,1.1,0.8,8.63,84.75,69.84,13.82,0,,0,,0,0.0,0.0,0.0,,,0.66,,3.44,0.29,0.07,0.0,0.07,0,0.0
G. Rodas,Geremy Jahir Rodas Andino,-328755,UPNFM,UPNFM,https://cdn5.wyscout.com/photos/team/public/g40001_120x120.png,Liga Nacional,"LCMF, LCB, RCB",LCMF,34,LCB,15,RCB,14,21.0,2004-03-19,0,,13,1227,1,0.24,1,0.38,10.34,56.03,Honduras,['Honduras'],right,189,82,False,7.41,3.52,72.92,2.79,60.53,0.15,0.21,0.59,4.69,6.8100000000000005,0.73,0,0.0,0,0.0,0.9500000000000001,0.07,1,0.07,0.02,0,0.0,11,0.81,18.18,9.091,0.07,0.37,60.0,0.22,33.33,0.15,100.0,0.0,0.73,80.0,2.71,37.84,0.37,0.44,0.0,19.95,0.29,0.22,33.01,81.78,15.26,71.15,3.08,92.86,26.41,89.44,6.38,51.72,22.49,42.41,0.03,0.37,0.0,0.07,0.07,0.0,0.22,6.67,67.03,1.17,43.75,0.59,62.5,0.37,0.15,7.92,80.56,91.33,11.0,0,,0,,0,0.0,0.0,0.0,,,0.29,,2.79,0.0,0.0,0.0,0.0,0,0.0
