Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Bertašius,Mantas Bertašius,-82775,Banga,Banga,https://cdn5.wyscout.com/photos/team/public/2003_120x120.png,A Lyga,GK,GK,100,,0,,0,25.0,2000-05-03,250000,,27,2647,0,0.0,0,0.0,0.68,70.0,Lithuania,['Lithuania'],right,191,76,False,1.9,0.07,0.0,0.31,100.0,0.0,0.0,0.0,1.9,2.34,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,25.0,0.0,0.0,0.0,6.9,0.14,0.24,15.78,79.74,10.2,72.0,0.0,0.0,8.7,96.09,7.04,59.42,33.66,48.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,43.08,0.2,16.67,0.07,50.0,0.0,0.0,5.07,70.47,95.92,5.0,27,0.92,118,4.01,9,77.12,35.78,1.22,8.78,0.299,0.0,1.94,0.31,,,,0.0,0,0.0
V. Černiauskas,Vytautas Černiauskas,27377,Panevėžys,Panevėžys,https://cdn5.wyscout.com/photos/team/public/g33092_120x120.png,A Lyga,GK,GK,100,,0,,0,36.0,1989-03-12,175000,2025-12-31,27,2631,0,0.0,0,0.0,0.75,81.82,Lithuania,['Lithuania'],left,190,90,False,1.71,0.14,50.0,0.51,93.33,0.03,0.04,0.03,1.6099999999999999,2.04,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96,0.17,0.07,15.32,85.04,7.49,72.15,0.0,0.0,10.4,97.04,4.89,60.14,30.36,45.28,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.33,46.15,0.07,0.0,0.07,0.0,0.0,0.0,3.69,68.52,98.1,7.18,35,1.2,113,3.87,9,69.03,32.77,1.12,-2.23,-0.076,0.0,1.74,0.51,,,,0.0,0,0.0
Bruno Tavares,Bruno Miguel Costa Monteiro Tavares,-103409,Žalgiris,Žalgiris,https://cdn5.wyscout.com/photos/team/public/2904_120x120.png,1 Lyga,"LB, LB5",LB,79,LB5,10,,0,23.0,2002-04-16,250000,,27,2610,3,0.78,4,3.68,12.38,53.48,Portugal,['Portugal'],left,175,72,False,9.1,6.31,59.56,1.9300000000000002,46.43,0.45,0.63,0.24,4.9,6.85,0.93,4,0.14,0,0.0,2.7199999999999998,0.1,3,0.1,0.03,0,0.0,25,0.86,32.0,12.0,0.14,3.83,45.05,3.69,44.86,0.1,33.33,0.62,0.93,70.37,2.48,47.22,0.9,1.0,0.17,37.14,3.45,0.45,51.41,77.67,19.86,67.53,6.62,94.79,40.48,84.75,7.59,55.0,21.63,39.3,0.13,1.21,0.0,0.03,0.1,66.67,0.41000000000000003,7.03,64.22,4.41,50.78,0.93,55.56,1.07,1.38,13.17,74.08,82.62,18.66,0,,0,,0,0.0,0.0,0.0,,,0.79,,1.9300000000000002,0.59,0.14,25.0,1.79,0,0.0
G. Baliutavičius,Gustas Baliutavičius,488292,Šiauliai,Šiauliai,https://cdn5.wyscout.com/photos/team/public/g-14115_120x120.png,A Lyga,GK,GK,100,,0,,0,25.0,2000-08-27,0,,27,2607,0,0.0,0,0.0,0.55,93.75,Lithuania,['Lithuania'],right,193,84,False,1.83,0.03,100.0,0.38,100.0,0.0,0.0,0.0,1.8,2.25,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.1,66.67,0.0,0.0,0.0,11.22,0.17,0.17,19.16,81.98,10.6,70.03,0.0,0.0,11.81,97.95,7.32,56.6,33.38,49.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,27.5,0.03,0.0,0.0,0.0,0.0,0.0,5.21,66.89,97.35,7.8,37,1.28,149,5.14,6,75.17,36.41,1.26,-0.59,-0.02,0.0,1.8,0.38,,,,0.0,0,0.0
M. Paukštė,Marius Paukštė,476655,Džiugas Telšiai,Džiugas Telšiai,https://cdn5.wyscout.com/photos/team/public/g30669_120x120.png,A Lyga,GK,GK,100,,0,,0,30.0,1994-12-15,200000,2025-12-31,27,2601,0,0.0,0,0.0,0.62,88.89,Lithuania,['Lithuania'],left,192,80,False,1.73,0.07,100.0,0.42,100.0,0.0,0.0,0.0,1.6600000000000001,2.14,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,17.02,0.35000000000000003,0.03,26.3,83.42,14.22,73.24,0.03,0.0,17.4,95.23,8.86,60.55,31.52,46.62,0.0,0.0,0.0,0.07,0.0,0.0,0.0,2.25,41.54,0.1,33.33,0.21,0.0,0.03,0.0,6.68,67.36,96.74,11.66,29,1.0,117,4.05,9,75.21,29.95,1.04,0.9500000000000001,0.033,0.0,1.45,0.42,,,,0.0,0,0.0
M. Ramanauskas,Matas Ramanauskas,461907,Banga,Banga,https://cdn5.wyscout.com/photos/team/public/2003_120x120.png,A Lyga,"LCMF, LDMF, DMF",LCMF,28,LDMF,27,DMF,22,25.0,2000-06-28,350000,,26,2549,1,1.2,1,2.44,17.19,52.16,Lithuania,['Lithuania'],right,175,69,False,9.14,7.84,60.36,2.61,40.54,0.46,0.56,0.18,3.95,4.86,1.48,5,0.18,0,0.0,1.24,0.04,1,0.04,0.04,0,0.0,33,1.17,18.18,3.03,0.04,0.71,45.0,0.49,42.86,0.21,50.0,0.04,0.99,64.29,4.55,53.49,0.25,0.74,0.07,26.69,0.14,1.48,42.44,83.11,17.44,74.09,3.99,92.04,35.73,87.15,6.0,63.53,19.79,38.12,0.09,0.88,0.04,0.04,0.11,66.67,0.11,9.78,75.09,1.9100000000000001,53.7,0.53,40.0,0.64,0.28,9.67,79.93,90.54,15.68,0,,0,,0,0.0,0.0,0.0,,,0.14,,2.61,1.6600000000000001,0.21,33.33,2.44,0,0.0
D. Malžinskas,Deividas Malžinskas,505501,Banga,Banga,https://cdn5.wyscout.com/photos/team/public/2003_120x120.png,A Lyga,RCB,RCB,98,,0,,0,26.0,1999-05-01,175000,2025-12-31,26,2530,2,1.49,1,1.09,14.66,56.8,Lithuania,['Lithuania'],left,184,72,False,10.14,6.33,71.91,4.94,51.8,0.5700000000000001,0.7000000000000001,0.64,5.02,6.17,1.21,5,0.18,0,0.0,0.75,0.07,2,0.07,0.05,2,0.07,16,0.5700000000000001,56.25,12.5,0.04,0.32,33.33,0.0,0.0,0.32,33.33,0.0,0.53,60.0,1.6400000000000001,34.78,0.89,1.0,0.18,22.73,0.25,0.36,40.62,80.74,19.28,72.14,2.49,88.57,31.77,86.9,8.54,59.58,23.02,39.65,0.04,0.18,0.0,0.0,0.0,0.0,0.07,6.12,63.95,1.1,38.71,0.43,25.0,0.46,0.07,10.14,70.88,91.53,15.55,0,,0,,0,0.0,0.0,0.0,,,1.42,,4.94,0.0,0.0,0.0,0.0,0,0.0
E. Stočkūnas,Ernestas Stočkūnas,387345,Dainava,Dainava,https://cdn5.wyscout.com/photos/team/public/3917_120x120.png,A Lyga,"RB, RB5, RCB3",RB,46,RB5,24,RCB3,17,27.0,1998-04-26,225000,,26,2464,0,0.51,1,2.22,11.18,54.08,Lithuania,['Lithuania'],right,178,69,False,6.69,5.86,59.09,1.8599999999999999,48.98,0.04,0.05,0.34,3.2,3.85,0.53,6,0.22,0,0.0,1.75,0.0,0,0.0,0.02,0,0.0,18,0.68,5.5600000000000005,0.0,0.04,2.81,41.89,0.11,33.33,2.7,42.25,0.49,0.68,61.11,1.8599999999999999,48.98,0.61,1.45,0.38,30.96,0.99,0.53,42.6,79.55,17.19,71.02,5.97,94.9,32.64,88.0,7.42,56.41,21.15,34.86,0.08,0.91,0.0,0.0,0.11,100.0,0.27,5.74,65.56,3.35,44.32,0.84,40.91,0.84,1.07,10.12,72.18,83.33,14.15,0,,0,,0,0.0,0.0,0.0,,,1.29,,1.8599999999999999,0.65,0.04,0.0,0.8,0,0.0
Y. Kendysh,Yuriy Kendysh,85197,Žalgiris,Žalgiris,https://cdn5.wyscout.com/photos/team/public/2904_120x120.png,1 Lyga,"LCB, RCMF, CB",LCB,36,RCMF,16,CB,15,35.0,1990-06-10,350000,,26,2463,2,3.96,0,1.58,18.42,60.52,Belarus,['Belarus'],right,187,77,False,9.65,5.77,68.99,7.89,62.5,0.37,0.53,0.48,5.3,7.66,0.99,4,0.15,0,0.0,0.84,0.07,2,0.07,0.14,1,0.04,49,1.79,22.45,4.082,0.0,0.33,44.44,0.07,0.0,0.26,57.14,0.0,0.58,43.75,2.45,44.78,1.43,0.8,0.07,35.55,0.66,0.91,53.5,86.89,21.96,79.37,4.53,93.55,45.79,90.74,7.38,64.85,20.3,37.4,0.06,0.55,0.0,0.0,0.07,50.0,0.22,8.99,71.54,2.34,53.13,1.28,42.86,1.13,0.15,10.52,80.9,92.91,21.12,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,7.89,0.84,0.22,33.33,0.0,0,0.0
L. Estevez Fernandez,Leif Estevez Fernandez,-205054,Riteriai,Riteriai,https://cdn5.wyscout.com/photos/team/public/g17673_120x120.png,A Lyga,"RW, RB5, LW",RW,22,RB5,18,LW,16,28.0,1997-04-04,200000,,26,2439,2,2.4,4,2.06,14.1,42.41,Germany,['Germany'],right,175,69,False,5.57,4.8,53.08,1.88,31.37,0.33,0.39,0.18,2.69,3.16,0.7000000000000001,6,0.22,0,0.0,2.84,0.07,2,0.07,0.09,0,0.0,31,1.1400000000000001,25.81,6.452,0.15,3.03,25.61,0.96,11.54,2.03,32.73,0.33,2.99,58.02,6.13,42.77,1.81,2.07,0.22,18.63,1.96,0.44,25.79,69.81,8.89,65.98,4.76,84.5,20.48,79.1,2.4,46.15,19.2,27.56,0.08,0.85,0.04,0.0,0.11,33.33,0.37,2.73,55.41,2.8,44.74,0.26,28.57,0.7000000000000001,0.74,6.2,67.86,68.16,6.61,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.88,0.04,0.04,100.0,0.11,0,0.0
