Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ngô Tùng Quốc,Tùng Quốc Ngô,435763,Binh Duong,Binh Duong,https://cdn5.wyscout.com/photos/team/public/g3653_120x120.png,V.League 1,RB,RB,100,,0,,0,27.0,1998-01-27,200000,,11,1118,1,0.34,0,0.16,13.04,52.47,Vietnam,['Vietnam'],,170,62,False,7.25,5.64,64.29,2.17,29.63,0.48,0.7000000000000001,0.48,3.14,4.57,0.64,2,0.16,0,0.0,1.53,0.08,1,0.08,0.03,0,0.0,4,0.32,50.0,25.0,0.0,1.53,42.11,0.0,0.0,1.45,38.89,0.16,1.37,52.94,3.46,46.51,0.64,0.48,0.08,18.84,1.05,0.64,29.3,76.65,14.97,74.73,3.22,90.0,23.1,82.93,4.75,55.93,19.3,34.89,0.01,0.4,0.0,0.08,0.0,0.0,0.08,5.55,72.46,1.77,59.09,0.08,100.0,0.72,0.64,8.77,76.15,75.64,6.28,0,,0,,0,0.0,0.0,0.0,,,0.32,,2.17,0.32,0.0,0.0,0.0,0,0
Đặng Văn Lâm,Văn Lâm Đặng,200638,Ninh Binh,Ninh Binh,https://cdn5.wyscout.com/photos/team/public/g35351_120x120.png,V.League 1,GK,GK,100,,0,,0,32.0,1993-08-13,300000,2028-06-30,11,1106,0,0.0,0,0.0,0.5700000000000001,71.43,Russia,"['Russia', 'Vietnam']",left,189,78,False,1.1400000000000001,0.16,0.0,0.33,100.0,0.0,0.0,0.08,1.1400000000000001,1.88,0.08,1,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,5.21,0.16,0.08,10.58,81.54,6.18,71.05,0.0,0.0,7.0,97.67,3.5,51.16,31.25,46.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,30.77,0.0,0.0,0.0,0.0,0.0,0.0,2.52,67.74,97.78,3.66,11,0.9,46,3.74,3,76.09,12.34,1.0,1.34,0.109,0.0,1.3,0.33,,,,0.0,0,0
P. Le Giang,Patrik Le Giang,134393,Hồ Chí Minh City,Hồ Chí Minh City,https://cdn5.wyscout.com/photos/team/public/g13063_120x120.png,V.League 1,GK,GK,100,,0,,0,33.0,1992-09-08,200000,2027-06-30,11,1104,0,0.0,0,0.0,1.47,66.67,Slovakia,"['Slovakia', 'Vietnam']",both,185,85,False,1.71,0.41000000000000003,40.0,0.5700000000000001,100.0,0.08,0.12,0.08,1.47,2.08,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,50.0,0.0,0.0,0.0,6.93,0.16,0.33,12.07,81.76,7.42,74.73,0.0,0.0,9.05,94.59,3.02,43.24,33.67,50.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,33.33,0.08,0.0,0.0,0.0,0.0,0.0,1.96,75.0,94.23,4.24,14,1.1400000000000001,53,4.32,4,73.58,15.53,1.27,1.53,0.125,0.0,1.1400000000000001,0.5700000000000001,,,,0.0,0,0
Nguyen Dinh Trieu,Dinh Trieu Nguyen,393724,Hai Phong,Hai Phong,https://cdn5.wyscout.com/photos/team/public/g3658_120x120.png,V.League 1,GK,GK,100,,0,,0,34.0,1991-11-04,0,,11,1103,0,0.0,0,0.0,1.88,69.57,Vietnam,['Vietnam'],right,180,77,False,1.71,0.24,100.0,0.98,100.0,0.0,0.0,0.0,1.47,2.17,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,25.0,0.0,0.0,0.0,9.22,0.41000000000000003,0.16,16.07,82.74,9.22,73.45,0.0,0.0,10.53,96.12,5.55,57.35,30.6,42.26,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.9,36.36,0.16,0.0,0.08,0.0,0.0,0.0,4.32,62.26,94.59,6.04,14,1.1400000000000001,56,4.57,2,75.0,15.05,1.23,1.05,0.08600000000000001,0.0,2.45,0.98,,,,0.0,0,0
H. Nguyen,Hoang Duc Nguyen,-734195,Ninh Binh,Ninh Binh,https://cdn5.wyscout.com/photos/team/public/g35351_120x120.png,V.League 1,"LCMF, RCMF",LCMF,63,RCMF,14,,0,27.0,1998-01-11,0,,11,1093,5,3.1,3,1.9500000000000002,12.68,57.79,Vietnam,['Vietnam'],left,184,0,False,6.67,4.94,60.0,1.81,54.55,0.25,0.41000000000000003,0.08,3.46,5.75,1.15,0,0.0,0,0.0,2.22,0.41000000000000003,3,0.25,0.26,1,0.08,22,1.81,40.91,22.727,0.25,0.99,50.0,0.41000000000000003,40.0,0.49,50.0,0.16,1.4,70.59,4.69,52.63,1.07,1.8900000000000001,0.08,30.14,0.41000000000000003,0.66,43.23,88.76,15.07,81.97,6.34,97.4,39.44,91.02,2.8,70.59,17.4,34.44,0.16,1.81,0.0,0.0,0.08,0.0,0.41000000000000003,7.0,78.82,1.8900000000000001,56.52,0.49,50.0,0.91,0.41000000000000003,8.56,89.42,90.26,12.68,0,,0,,0,0.0,0.0,0.0,,,0.25,,1.81,1.07,0.25,33.33,3.05,2,100
Nhat Minh Nguyen,Nhat Minh Nguyen,-533003,Hai Phong,Hai Phong,https://cdn5.wyscout.com/photos/team/public/g3658_120x120.png,V.League 1,LCB,LCB,100,,0,,0,22.0,2003-07-27,0,,11,1081,0,0.33,0,0.0,8.41,51.49,Vietnam,['Vietnam'],unknown,178,0,False,8.16,4.58,63.64,1.83,22.73,0.08,0.12,1.0,5.16,7.62,0.8300000000000001,1,0.08,0,0.0,0.5,0.0,0,0.0,0.03,0,0.0,4,0.33,50.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.08,0.33,100.0,1.08,46.15,0.17,0.17,0.0,29.97,0.42,0.25,42.96,90.7,20.23,85.6,3.16,94.74,39.05,95.1,3.83,47.83,20.58,31.72,0.0,0.0,0.08,0.0,0.0,0.0,0.0,4.58,83.64,0.25,0.0,0.08,0.0,0.0,0.0,8.16,74.49,96.83,15.74,0,,0,,0,0.0,0.0,0.0,,,2.08,,1.83,0.0,0.0,0.0,0.0,0,0
Nguyễn Tiến Linh,Tiến Linh Nguyễn,422482,Hồ Chí Minh City,Hồ Chí Minh City,https://cdn5.wyscout.com/photos/team/public/g13063_120x120.png,V.League 1,CF,CF,100,,0,,0,28.0,1997-10-20,0,,11,1069,3,2.19,0,0.34,9.35,46.85,Vietnam,['Vietnam'],right,180,72,False,2.7800000000000002,1.43,64.71,3.2800000000000002,61.54,0.0,0.0,0.25,1.85,2.61,0.17,0,0.0,0,0.0,1.26,0.25,3,0.25,0.18,3,0.25,19,1.6,42.11,15.789,0.0,0.25,66.67,0.17,50.0,0.08,100.0,0.0,0.59,57.14,3.79,33.33,2.69,0.42,0.17,15.49,1.77,0.42,21.47,83.14,3.12,64.86,6.99,91.57,19.95,84.81,1.35,62.5,16.8,33.51,0.03,0.59,0.0,0.0,0.25,33.33,0.17,1.43,64.71,0.93,63.64,0.25,66.67,0.59,0.08,1.77,76.19,81.32,7.66,0,,0,,0,0.0,0.0,0.0,,,0.0,,3.2800000000000002,0.0,0.0,0.0,0.0,0,0
Luiz Antônio,Luiz Antônio de Souza Soares,193049,Hai Phong,Hai Phong,https://cdn5.wyscout.com/photos/team/public/g3658_120x120.png,V.League 1,"LCMF, DMF, CF",LCMF,55,DMF,15,CF,15,34.0,1991-03-11,275000,,11,1062,3,1.3,1,1.6400000000000001,11.19,40.15,Brazil,['Brazil'],right,179,77,False,3.73,3.73,47.73,1.53,33.33,0.17,0.25,0.08,1.78,2.64,1.19,1,0.08,0,0.0,1.9500000000000002,0.25,3,0.25,0.11,1,0.08,22,1.8599999999999999,31.82,13.636,0.08,0.93,27.27,0.68,25.0,0.25,33.33,0.08,1.69,65.0,5.08,36.67,1.19,1.19,0.25,22.29,0.93,0.59,30.76,85.4,9.66,77.19,5.34,95.24,27.12,89.69,2.71,62.5,19.62,37.92,0.14,0.93,0.08,0.0,0.0,0.0,0.08,5.17,75.41,1.69,60.0,0.17,100.0,0.85,0.25,6.36,84.0,87.31,11.36,0,,0,,0,0.0,0.0,0.0,,,0.08,,1.53,1.27,0.34,25.0,1.8599999999999999,0,0
Patrick,Patrick Marcelino,336503,Ninh Binh,Ninh Binh,https://cdn5.wyscout.com/photos/team/public/g35351_120x120.png,V.League 1,"RCB, LCB",RCB,52,LCB,39,,0,31.0,1994-03-04,0,,11,1061,0,0.6000000000000001,0,0.0,11.28,63.16,Brazil,['Brazil'],right,189,78,False,8.82,4.92,68.97,4.67,60.0,0.17,0.28,1.02,5.26,8.61,0.51,2,0.17,0,0.0,0.17,0.0,0,0.0,0.05,0,0.0,4,0.34,0.0,0.0,0.0,0.08,100.0,0.08,100.0,0.0,0.0,0.0,0.08,100.0,0.59,57.14,0.34,0.42,0.17,24.01,0.08,0.17,37.07,84.44,15.61,70.65,0.76,88.89,31.89,90.43,5.09,46.67,22.57,43.37,0.0,0.0,0.08,0.0,0.0,0.0,0.0,4.92,53.45,0.85,20.0,0.08,0.0,0.0,0.08,7.21,67.06,96.36,18.66,0,,0,,0,0.0,0.0,0.0,,,0.68,,4.67,0.0,0.0,0.0,0.0,0,0
Trần Minh Toàn,Minh Toàn Trần,352939,Binh Duong,Binh Duong,https://cdn5.wyscout.com/photos/team/public/g3653_120x120.png,V.League 1,GK,GK,100,,0,,0,29.0,1996-01-26,0,,11,1055,0,0.0,0,0.0,1.02,75.0,Vietnam,['Vietnam'],,186,0,False,1.02,0.09,0.0,0.68,87.5,0.09,0.12,0.0,0.9400000000000001,1.34,0.0,1,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.09,7.93,0.17,0.17,14.25,88.02,10.24,83.33,0.0,0.0,8.36,100.0,5.89,71.01,31.82,43.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400000000000001,54.55,0.17,0.0,0.17,0.0,0.0,0.0,4.69,81.82,100.0,3.58,18,1.54,62,5.29,1,70.97,19.16,1.63,1.16,0.099,0.0,2.64,0.68,,,,0.0,0,0
