Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
J. Prior,Jérôme Prior,259268,Livingston,Livingston,https://cdn5.wyscout.com/photos/team/public/1226_120x120.png,Premiership,GK,GK,100,,0,,0,30.0,1995-08-08,400000,,14,1390,0,0.0,0,0.0,0.65,80.0,France,['France'],right,187,85,False,2.98,0.13,50.0,0.19,100.0,0.0,0.0,0.0,2.91,3.73,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,100.0,0.0,0.0,0.0,16.12,0.13,0.13,23.37,85.87,12.63,76.41,0.0,0.0,12.69,97.96,10.68,71.52,33.81,45.2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,1.49,65.22,0.0,0.0,0.0,0.0,0.0,0.0,7.9,71.31,96.89,10.42,26,1.6800000000000002,69,4.47,1,62.32,24.18,1.57,-1.82,-0.11800000000000001,0.0,1.6800000000000002,0.19,,,,0.0,0,0.0
C. Ward,Calum Ward,-129445,Motherwell,Motherwell,https://cdn5.wyscout.com/photos/team/public/300_120x120.png,Premiership,GK,GK,100,,0,,0,25.0,2000-10-17,250000,,14,1374,0,0.0,0,0.0,0.85,92.31,England,['England'],right,188,96,False,1.83,0.2,66.67,0.59,100.0,0.07,0.1,0.0,1.6400000000000001,2.5300000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,100.0,0.0,0.0,0.0,32.49,0.07,0.07,42.18,91.77,19.26,84.35,0.0,0.0,32.49,97.98,9.69,70.95,24.67,45.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,65.22,0.0,0.0,0.0,0.0,0.0,0.0,7.14,68.81,98.14,21.09,15,0.98,56,3.67,5,73.21,17.23,1.13,2.23,0.146,0.0,1.51,0.59,,,,0.0,0,0.0
C. Devlin,Cameron Devlin,522650,Hearts,Hearts,https://cdn5.wyscout.com/photos/team/public/297_120x120.png,Premiership,"LCMF, RCMF, DMF",LCMF,42,RCMF,28,DMF,11,27.0,1998-06-07,1000000,2026-05-31,14,1370,0,0.52,0,0.30000000000000004,19.18,55.82,Australia,['Australia'],right,170,68,False,12.48,9.2,63.57,2.43,40.54,0.99,1.45,0.07,5.65,8.32,1.9100000000000001,4,0.26,0,0.0,1.12,0.0,0,0.0,0.03,0,0.0,10,0.66,20.0,0.0,0.0,0.72,27.27,0.33,0.0,0.39,50.0,0.13,0.53,50.0,4.66,49.3,0.53,0.2,0.0,33.83,0.39,1.9100000000000001,53.8,87.42,17.15,78.16,7.29,99.1,48.88,90.99,4.2,56.25,17.66,34.95,0.02,0.46,0.0,0.07,0.66,80.0,0.07,7.62,76.72,2.23,50.0,0.33,20.0,0.99,0.13,7.36,80.36,92.23,20.3,0,,0,,0,0.0,0.0,0.0,,,1.05,,2.43,0.2,0.0,0.0,0.07,0,0.0
J. McCracken,Jon McCracken,451113,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,GK,GK,100,,0,,0,25.0,2000-05-24,250000,2026-06-30,14,1364,0,0.0,0,0.0,0.73,90.91,Scotland,['Scotland'],right,190,77,False,1.58,0.07,100.0,0.53,100.0,0.0,0.0,0.0,1.52,1.63,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,50.0,0.0,0.0,0.0,16.1,0.2,0.07,21.11,68.75,13.72,54.33,0.0,0.0,9.7,96.6,11.35,44.77,42.11,56.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,31.33,0.66,20.0,0.2,0.0,0.13,0.0,6.2,62.77,96.19,6.93,25,1.65,82,5.41,2,69.51,23.04,1.52,-1.96,-0.129,0.0,1.45,0.53,,,,0.0,0,0.0
L. Henderson,Liam Henderson,362957,Falkirk,Falkirk,https://cdn5.wyscout.com/photos/team/public/303_120x120.png,Premiership,LCB,LCB,100,,0,,0,29.0,1996-08-23,100000,2026-05-31,14,1362,1,0.46,0,0.0,14.41,61.01,Scotland,['Scotland'],left,191,0,False,6.61,4.23,59.38,6.94,62.86,0.4,0.5700000000000001,0.53,3.7,5.28,0.86,2,0.13,0,0.0,0.33,0.07,1,0.07,0.03,1,0.07,4,0.26,75.0,25.0,0.0,0.2,33.33,0.07,0.0,0.13,50.0,0.0,0.13,50.0,1.12,70.59,0.33,0.13,0.07,26.89,0.53,1.12,42.29,86.72,16.39,74.19,3.5,96.23,36.08,92.86,6.08,52.17,21.92,41.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.22,56.96,0.66,20.0,0.66,10.0,0.13,0.07,6.74,67.65,94.51,18.04,0,,0,,0,0.0,0.0,0.0,,,2.58,,6.94,0.0,0.0,0.0,0.0,0,0.0
E. Watt,Elliot Watt,460596,Motherwell,Motherwell,https://cdn5.wyscout.com/photos/team/public/300_120x120.png,Premiership,"LDMF, RDMF, LCMF",LDMF,41,RDMF,20,LCMF,18,25.0,2000-03-11,325000,,14,1352,1,0.23,1,1.3900000000000001,11.45,51.74,England,"['England', 'Scotland']",right,179,72,False,7.99,3.93,62.71,2.26,41.18,0.6000000000000001,0.92,0.4,4.93,7.53,0.8,4,0.27,0,0.0,0.6000000000000001,0.07,1,0.07,0.02,0,0.0,7,0.47000000000000003,14.29,14.286,0.07,0.8,33.33,0.4,33.33,0.4,33.33,0.0,0.27,75.0,3.46,44.23,0.53,0.47000000000000003,0.0,60.91,0.07,1.26,77.49,86.51,25.16,73.02,12.12,95.6,69.16,90.09,7.59,58.77,19.06,38.98,0.09,0.8,0.0,0.0,0.47000000000000003,14.29,0.27,13.58,75.49,3.0,42.22,1.07,37.5,1.07,0.33,12.51,78.72,93.17,29.22,0,,0,,0,0.0,0.0,0.0,,,3.13,,2.26,1.07,0.2,0.0,1.8,0,0.0
R. Astley,Ryan Astley,482939,Dundee,Dundee,https://cdn5.wyscout.com/photos/team/public/1225_120x120.png,Premiership,"RCB3, RB",RCB3,70,RB,19,,0,24.0,2001-10-04,600000,2026-05-31,14,1346,1,0.59,0,0.14,13.04,61.54,Wales,['Wales'],right,184,74,False,8.36,5.28,64.56,4.28,70.31,0.13,0.14,0.6000000000000001,4.8100000000000005,5.18,0.33,0,0.0,0,0.0,0.27,0.07,1,0.07,0.04,1,0.07,5,0.33,40.0,20.0,0.0,0.4,33.33,0.0,0.0,0.4,33.33,0.0,0.13,0.0,1.47,40.91,0.27,0.47000000000000003,0.0,20.06,0.33,0.74,31.63,81.18,15.25,71.93,3.88,98.28,27.48,88.32,3.81,35.09,20.34,38.01,0.01,0.2,0.0,0.0,0.0,0.0,0.07,3.88,50.0,0.4,16.67,0.07,0.0,0.0,0.07,5.48,63.41,90.3,8.96,0,,0,,0,0.0,0.0,0.0,,,1.67,,4.28,0.0,0.0,0.0,0.0,0,0.0
S. Findlay,Stuart Findlay,214785,Hearts,Hearts,https://cdn5.wyscout.com/photos/team/public/297_120x120.png,Premiership,"LCB, LCB3",LCB,77,LCB3,21,,0,30.0,1995-09-14,600000,2026-06-30,14,1346,3,1.47,0,0.19,12.64,66.67,Scotland,['Scotland'],left,191,82,True,5.82,2.88,69.77,6.02,63.33,0.2,0.29,0.33,3.61,5.28,0.2,3,0.2,0,0.0,0.87,0.2,3,0.2,0.1,3,0.2,12,0.8,50.0,25.0,0.0,0.4,50.0,0.27,50.0,0.13,50.0,0.2,0.33,60.0,1.4,66.67,1.1400000000000001,1.1400000000000001,0.0,27.48,0.07,1.0,40.32,89.39,14.58,79.36,2.94,100.0,34.5,94.77,5.42,58.02,22.96,41.45,0.01,0.2,0.0,0.0,0.07,100.0,0.13,5.82,66.67,0.74,45.45,0.2,33.33,0.2,0.2,6.89,80.58,94.59,19.79,0,,0,,0,0.0,0.0,0.0,,,2.07,,6.02,0.0,0.0,0.0,0.0,0,0.0
S. Bain,Scott Bain,134241,Falkirk,Falkirk,https://cdn5.wyscout.com/photos/team/public/303_120x120.png,Premiership,GK,GK,100,,0,,0,34.0,1991-11-22,250000,2026-05-31,14,1340,0,0.0,0,0.0,0.81,100.0,Scotland,['Scotland'],right,183,84,False,1.34,0.07,100.0,0.34,100.0,0.0,0.0,0.0,1.28,1.82,0.0,1,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,18.47,0.07,0.34,25.12,90.11,13.03,83.51,0.07,100.0,16.86,98.41,8.26,73.17,30.18,50.3,0.0,0.0,0.0,0.07,0.0,0.0,0.0,2.75,63.41,0.0,0.0,0.07,0.0,0.0,0.0,5.84,82.76,97.45,10.54,21,1.4100000000000001,76,5.1,2,72.37,23.88,1.6,2.88,0.193,0.07,1.1400000000000001,0.34,,,,0.0,0,0.0
B. Spencer,Brad Spencer,499190,Falkirk,Falkirk,https://cdn5.wyscout.com/photos/team/public/303_120x120.png,Premiership,"LDMF, RDMF",LDMF,63,RDMF,36,,0,29.0,1996-05-16,200000,,14,1338,0,0.97,1,1.82,14.66,57.8,England,"['England', 'Scotland']",right,173,0,False,10.76,7.33,60.55,3.23,52.08,0.4,0.58,0.27,5.92,8.49,1.28,4,0.27,0,0.0,0.87,0.0,0,0.0,0.07,0,0.0,12,0.81,41.67,0.0,0.07,0.74,36.36,0.4,50.0,0.34,20.0,0.07,0.27,100.0,1.75,76.92,0.61,1.01,0.2,30.47,0.27,1.1400000000000001,48.57,82.27,16.88,68.53,6.73,94.0,42.17,87.88,5.65,46.43,20.2,38.28,0.12,1.01,0.0,0.0,0.0,0.0,0.4,7.8,61.21,1.48,50.0,0.47000000000000003,42.86,0.67,0.2,8.41,68.8,90.71,18.83,0,,0,,0,0.0,0.0,0.0,,,1.88,,3.23,0.4,0.0,0.0,0.67,0,0.0
