Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
I.  Diakite,Ibrahim  Diakite,-670754,Ashdod,Ashdod,https://cdn5.wyscout.com/photos/team/public/1605_120x120.png,Ligat ha'Al,"LCB, RCB, CB",LCB,50,RCB,23,CB,10,21.0,2004-04-23,0,,21,2095,2,1.44,0,0.0,8.94,63.94,Côte d'Ivoire,"[""Côte d'Ivoire""]",,185,76,False,7.86,3.5700000000000003,78.31,2.41,50.0,0.30000000000000004,0.37,0.56,4.77,5.89,0.43,4,0.17,0,0.0,0.34,0.09,2,0.09,0.06,2,0.09,12,0.52,41.67,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,75.0,1.8,57.14,0.6000000000000001,0.47000000000000003,0.0,26.63,0.13,0.6000000000000001,38.58,86.53,15.25,75.77,2.75,93.75,34.63,91.81,3.95,40.22,20.25,35.85,0.0,0.09,0.0,0.0,0.0,0.0,0.0,3.91,60.44,0.34,12.5,0.26,16.67,0.04,0.0,6.1,59.15,95.01,16.37,0,,0,,0,0.0,0.0,0.0,,,1.85,,2.41,0.0,0.0,0.0,0.0,0,0.0
I. Rotman,Itay Rotman,-161717,Hapoel Petah Tikva,Hapoel Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1640_120x120.png,Ligat ha'Al,LCB,LCB,91,,0,,0,23.0,2002-08-16,125000,2026-06-30,21,2075,2,2.19,1,0.22,8.63,61.81,Israel,['Israel'],,0,0,False,6.94,3.64,64.29,3.43,63.29,0.0,0.0,1.08,4.6,6.33,0.91,4,0.17,0,0.0,0.22,0.09,2,0.09,0.1,1,0.04,12,0.52,41.67,16.667,0.04,0.17,0.0,0.17,0.0,0.0,0.0,0.04,0.0,0.0,0.61,42.86,0.65,0.78,0.0,38.52,0.17,0.39,53.87,88.0,21.47,75.76,2.99,95.65,45.41,93.51,8.28,59.69,22.78,39.55,0.01,0.13,0.0,0.0,0.04,0.0,0.04,8.72,74.63,0.74,29.41,0.6900000000000001,37.5,0.35000000000000003,0.0,10.89,76.1,96.44,25.59,0,,0,,0,0.0,0.0,0.0,,,2.34,,3.43,0.04,0.04,0.0,0.04,0,0.0
M. Abu Nil,Muhamad Abu Nil,-190195,Bnei Sakhnin,Bnei Sakhnin,https://cdn5.wyscout.com/photos/team/public/1639_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,24.0,2001-05-03,0,2027-06-30,20,2007,0,0.0,0,0.14,0.99,81.82,Israel,['Israel'],right,0,0,False,1.12,0.09,100.0,0.85,78.95,0.0,0.0,0.0,1.03,1.16,0.04,1,0.04,1,0.04,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,100.0,0.0,0.0,0.0,13.32,0.22,0.09,20.04,77.63,9.73,57.14,0.0,0.0,11.97,98.5,8.07,46.67,33.01,49.98,0.01,0.04,0.0,0.0,0.0,0.0,0.0,1.97,22.73,0.18,0.0,0.22,20.0,0.0,0.0,4.57,54.9,97.25,9.78,26,1.17,100,4.48,7,74.0,31.23,1.4,5.23,0.23500000000000001,0.0,2.47,0.85,,,,0.0,0,0.0
O. Nadir,Ofek Nadir,426508,Hapoel Jerusalem,Hapoel Jerusalem,https://cdn5.wyscout.com/photos/team/public/g12536_120x120.png,Ligat ha'Al,LB,LB,92,,0,,0,26.0,1999-05-14,125000,,21,2006,0,0.18,1,1.6400000000000001,10.27,51.53,Israel,['Israel'],left,176,0,False,6.86,5.65,55.56,1.75,46.15,0.04,0.05,0.45,3.68,4.26,0.49,3,0.13,1,0.04,0.9,0.0,0,0.0,0.01,0,0.0,2,0.09,50.0,0.0,0.04,1.7000000000000002,36.84,1.53,38.24,0.18,25.0,0.18,0.54,41.67,1.6600000000000001,48.65,0.85,0.4,0.0,19.07,0.76,0.85,28.09,80.19,12.88,72.47,4.8,94.39,22.57,89.86,3.81,42.35,20.56,37.1,0.07,0.49,0.04,0.0,0.0,0.0,0.31,4.53,73.27,1.62,41.67,0.27,0.0,0.27,0.67,6.64,70.27,83.66,6.86,0,,0,,0,0.0,0.0,0.0,,,0.9,,1.75,0.09,0.0,0.0,0.0,0,0.0
N. Zamir,Nadav Zamir,-193701,Hapoel Jerusalem,Hapoel Jerusalem,https://cdn5.wyscout.com/photos/team/public/g12536_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,24.0,2001-06-07,200000,2028-06-30,20,1998,0,0.0,0,0.0,0.5,90.91,Israel,['Israel'],,0,0,False,1.71,0.09,100.0,0.32,85.71,0.05,0.05,0.0,1.58,1.8399999999999999,0.0,3,0.14,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,14.37,0.09,0.18,21.26,77.75,13.47,65.89,0.0,0.0,12.61,96.79,8.65,50.0,35.68,52.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,52.22,0.54,8.33,0.63,42.86,0.05,0.0,6.17,71.53,98.67,6.76,30,1.35,121,5.45,5,75.21,39.53,1.78,9.53,0.429,0.0,1.53,0.32,,,,0.0,0,0.0
A. Azugi,Alon Azugi,464052,Bnei Sakhnin,Bnei Sakhnin,https://cdn5.wyscout.com/photos/team/public/1639_120x120.png,Ligat ha'Al,"RB, RB5",RB,81,RB5,11,,0,26.0,1999-07-22,175000,,20,1988,1,0.99,3,2.64,12.13,60.45,Israel,['Israel'],right,0,0,False,9.78,6.79,64.0,1.63,33.33,0.14,0.16,0.36,5.3,6.08,0.54,3,0.14,0,0.0,2.13,0.05,1,0.05,0.04,1,0.05,7,0.32,57.14,14.286,0.14,2.99,45.45,0.0,0.0,2.99,45.45,0.45,0.77,76.47,1.9500000000000002,74.42,0.72,0.9500000000000001,0.23,23.45,2.81,1.04,33.09,74.01,15.35,66.96,3.62,93.75,26.44,80.82,3.8,47.62,19.64,37.74,0.12,1.0,0.0,0.0,0.0,0.0,0.36,5.03,65.77,3.44,44.74,0.5,27.27,0.41000000000000003,1.4,9.24,67.16,75.68,10.05,0,,0,,0,0.0,0.0,0.0,,,0.54,,1.63,0.41000000000000003,0.0,0.0,0.36,0,0.0
O. Katz,Omer Katz,442305,Hapoel Petah Tikva,Hapoel Petah Tikva,https://cdn5.wyscout.com/photos/team/public/1640_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,27.0,1998-04-21,150000,2026-06-30,20,1972,0,0.0,0,0.0,1.0,81.82,Israel,['Israel'],right,196,83,False,1.51,0.0,0.0,0.78,88.24,0.0,0.0,0.0,1.51,2.07,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,33.33,0.0,0.0,0.0,17.53,0.41000000000000003,0.14,24.96,87.57,11.96,77.48,0.14,100.0,17.43,97.64,7.53,64.24,26.43,42.7,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.46,43.75,0.09,0.0,0.09,0.0,0.0,0.0,5.11,68.75,96.07,10.45,33,1.51,94,4.29,4,64.89,26.33,1.2,-6.67,-0.304,0.09,1.32,0.78,,,,0.0,0,0.0
K. Niemczycki,Karol Niemczycki,491202,Ashdod,Ashdod,https://cdn5.wyscout.com/photos/team/public/1605_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,26.0,1999-07-05,600000,2028-06-30,20,1944,0,0.0,0,0.0,0.88,84.21,Poland,['Poland'],left,190,84,False,0.97,0.14,0.0,0.46,100.0,0.0,0.0,0.0,0.97,1.21,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.0,10.23,0.09,0.28,15.65,80.18,9.63,69.23,0.0,0.0,8.38,97.79,7.22,60.26,36.61,50.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,38.24,0.09,0.0,0.09,0.0,0.0,0.0,5.19,72.32,98.29,5.42,40,1.85,100,4.63,3,60.0,33.63,1.56,-6.37,-0.295,0.0,1.67,0.46,,,,0.0,0,0.0
Miguel Silva,Miguel Silva,328383,Beitar Jerusalem,Beitar Jerusalem,https://cdn5.wyscout.com/photos/team/public/906_120x120.png,Ligat ha'Al,GK,GK,100,,0,,0,30.0,1995-04-07,250000,2026-06-30,19,1934,0,0.0,0,0.34,0.84,72.22,Portugal,['Portugal'],right,189,78,False,1.63,0.05,0.0,0.51,90.91,0.0,0.0,0.0,1.63,2.96,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,14.29,0.37,0.14,21.27,84.03,11.68,75.7,0.0,0.0,14.61,97.13,6.65,55.24,28.71,45.74,0.02,0.09,0.0,0.0,0.0,0.0,0.09,1.6800000000000002,25.0,0.19,0.0,0.23,0.0,0.05,0.0,4.0,53.49,95.48,8.24,22,1.02,74,3.44,4,70.27,24.03,1.12,2.03,0.094,0.0,1.21,0.51,,,,0.0,0,0.0
D. Biton,Dan Biton,350009,Hapoel Be'er Sheva,Hapoel Be'er Sheva,https://cdn5.wyscout.com/photos/team/public/2230_120x120.png,Ligat ha'Al,"RWF, CF, RW",RWF,59,CF,15,RW,10,30.0,1995-07-20,1000000,2027-06-30,20,1933,15,14.07,2,4.69,12.15,43.68,Israel,['Israel'],left,175,70,False,2.93,2.14,69.57,0.61,23.08,0.0,0.0,0.05,1.44,2.79,0.51,2,0.09,0,0.0,4.05,0.7000000000000001,11,0.51,0.66,0,0.0,80,3.7199999999999998,42.5,18.75,0.09,2.1,28.89,0.23,20.0,1.63,31.43,0.33,3.17,57.35,8.05,41.62,4.7,3.68,0.42,35.62,1.8599999999999999,1.16,40.04,83.02,11.03,74.26,8.19,95.45,36.04,87.34,1.9100000000000001,60.98,15.95,32.83,0.22,1.58,0.09,0.19,0.14,33.33,0.65,4.38,77.66,5.12,61.82,0.56,25.0,3.12,0.7000000000000001,5.63,90.91,84.31,11.87,0,,0,,0,0.0,0.0,0.0,,,0.33,,0.61,1.21,0.42,22.22,3.07,4,100.0
