Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Tonti,Alessandro Tonti,254057,Pineto,Pineto,https://cdn5.wyscout.com/photos/team/public/g37149_120x120.png,Serie C,GK,GK,100,,0,,0,33.0,1992-05-28,300000,2026-06-30,24,2462,0,0.0,0,0.0,0.62,88.24,Italy,['Italy'],left,187,85,False,0.8,0.11,100.0,0.33,100.0,0.04,0.06,0.0,0.66,1.04,0.04,2,0.07,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.95,0.26,0.18,18.83,86.02,12.1,79.46,0.0,0.0,11.73,96.88,7.09,68.04,32.01,48.89,0.0,0.0,0.0,0.0,0.04,100.0,0.0,2.67,57.53,0.04,0.0,0.18,40.0,0.0,0.0,5.3,82.07,98.27,6.32,28,1.02,110,4.02,8,74.55,28.64,1.05,0.64,0.023,0.0,1.32,0.33,,,,0.0,0,0.0
V. De Lucia,Victor De Lucia,229247,Casertana,Casertana,https://cdn5.wyscout.com/photos/team/public/2172_120x120.png,Serie C,GK,GK,100,,0,,0,29.0,1996-05-28,300000,2027-06-30,24,2429,0,0.0,0,0.0,0.59,87.5,Italy,['Italy'],right,185,84,False,1.04,0.04,100.0,0.33,88.89,0.0,0.0,0.0,1.0,1.48,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.0,0.0,0.0,12.56,0.30000000000000004,0.22,19.42,84.92,11.41,75.65,0.0,0.0,11.67,97.14,7.71,66.83,30.66,46.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,41.3,0.07,0.0,0.15,0.0,0.0,0.0,5.89,76.73,98.35,6.74,27,1.0,90,3.33,7,70.0,28.01,1.04,1.01,0.037,0.0,0.85,0.33,,,,0.0,0,0.0
V. Boffelli,Valerio Boffelli,-148532,Cavese,Cavese,https://cdn5.wyscout.com/photos/team/public/206_120x120.png,Serie C,GK,GK,100,,0,,0,21.0,2004-09-04,175000,2027-06-30,24,2423,0,0.0,0,0.05,0.45,75.0,Italy,['Italy'],right,185,76,False,1.23,0.04,0.0,0.22,100.0,0.0,0.0,0.0,1.23,1.7000000000000002,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,8.21,0.41000000000000003,0.15,16.49,77.93,11.11,68.23,0.0,0.0,7.5,96.53,8.99,62.4,36.19,48.18,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.45,54.55,0.07,0.0,0.07,50.0,0.0,0.0,6.95,73.8,98.43,4.72,31,1.15,89,3.31,7,65.17,29.56,1.1,-1.44,-0.053,0.0,1.26,0.22,,,,0.0,0,0.0
L. Gemello,Luca Gemello,477614,Perugia,Perugia,https://cdn5.wyscout.com/photos/team/public/216_120x120.png,Serie C,GK,GK,100,,0,,0,25.0,2000-07-03,300000,2027-06-30,24,2422,0,0.0,0,0.0,0.52,85.71,Italy,['Italy'],right,190,78,False,0.78,0.04,100.0,0.22,83.33,0.0,0.0,0.0,0.74,1.18,0.04,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.15,75.0,0.0,0.0,0.0,11.0,0.04,0.26,16.76,82.71,9.29,69.6,0.04,100.0,10.63,98.95,6.13,54.55,32.45,48.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,52.24,0.11,0.0,0.37,40.0,0.04,0.0,4.42,68.91,98.92,6.91,31,1.15,86,3.2,4,63.95,28.22,1.05,-2.7800000000000002,-0.10300000000000001,0.04,1.11,0.22,,,,0.0,0,0.0
A. Dini,Andrea Dini,278650,Catania,Catania,https://cdn5.wyscout.com/photos/team/public/76_120x120.png,Serie C,GK,GK,100,,0,,0,29.0,1996-02-20,175000,2027-06-30,24,2417,0,0.0,0,0.0,0.34,66.67,Italy,['Italy'],right,184,79,False,0.93,0.07,0.0,0.22,83.33,0.0,0.0,0.0,0.93,1.3,0.04,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,8.34,0.19,0.11,13.59,87.12,6.59,74.58,0.0,0.0,8.75,98.72,4.84,66.15,31.48,50.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,52.38,0.07,0.0,0.07,50.0,0.0,0.0,3.69,78.79,98.83,6.37,14,0.52,54,2.01,16,74.07,19.2,0.71,5.2,0.194,0.0,1.12,0.22,,,,0.0,0,0.0
G. Faticanti,Giacomo Faticanti,-138677,Juventus Next Gen,Juventus Next Gen,https://cdn5.wyscout.com/photos/team/public/g-8929_120x120.png,Serie C,"DMF, RCMF, LCMF",DMF,38,RCMF,26,LCMF,18,21.0,2004-07-31,800000,2028-06-30,24,2416,2,0.45,1,1.45,9.42,59.68,Italy,['Italy'],right,186,76,False,8.12,4.54,66.39,1.49,62.5,0.11,0.17,0.63,4.99,7.39,0.67,1,0.04,0,0.0,0.48,0.07,2,0.07,0.02,0,0.0,11,0.41000000000000003,36.36,18.182,0.04,0.6000000000000001,37.5,0.04,0.0,0.56,40.0,0.11,0.19,40.0,1.8599999999999999,46.0,0.34,1.23,0.11,38.07,0.15,0.78,54.24,87.98,22.65,82.89,5.7,96.08,49.73,91.09,3.95,55.66,17.79,29.0,0.05,0.52,0.07,0.04,0.07,50.0,0.11,10.28,86.59,1.27,58.82,0.22,33.33,0.52,0.19,10.32,79.78,93.77,19.15,0,,0,,0,0.0,0.0,0.0,,,0.56,,1.49,0.37,0.04,100.0,0.48,0,0.0
C. Galeotti,Cesare Galeotti,-107498,Trapani,Trapani,https://cdn5.wyscout.com/photos/team/public/1513_120x120.png,Serie C,GK,GK,100,,0,,0,23.0,2002-11-02,150000,2027-06-30,24,2413,0,0.0,0,0.0,0.30000000000000004,75.0,Italy,['Italy'],right,192,83,False,1.12,0.04,0.0,0.15,75.0,0.0,0.0,0.0,1.12,1.54,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06,0.15,0.04,14.7,86.29,6.42,72.67,0.04,100.0,10.18,98.17,4.44,60.5,30.25,47.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,42.11,0.04,0.0,0.11,0.0,0.0,0.0,3.36,60.0,97.96,7.31,23,0.86,87,3.24,7,73.56,23.82,0.89,0.8200000000000001,0.031,0.04,0.93,0.15,,,,0.0,0,0.0
S. Vitale,Samuele Vitale,-149760,Ascoli,Ascoli,https://cdn5.wyscout.com/photos/team/public/191_120x120.png,Serie C,GK,GK,100,,0,,0,23.0,2002-08-10,75000,2027-06-30,24,2399,0,0.0,0,0.0,0.49,92.31,Italy,['Italy'],right,178,77,False,0.86,0.08,100.0,0.34,100.0,0.0,0.0,0.0,0.79,1.63,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.04,0.0,17.37,0.15,0.11,26.97,91.38,13.43,85.2,0.0,0.0,22.06,96.77,4.88,67.69,22.52,37.67,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.9,54.17,0.0,0.0,0.08,0.0,0.0,0.0,3.49,59.14,98.08,11.74,14,0.53,72,2.7,14,80.56,19.98,0.75,5.98,0.224,0.0,0.75,0.34,,,,0.0,0,0.0
P. Saio,Pietro Saio,-139953,Benevento,Benevento,https://cdn5.wyscout.com/photos/team/public/401_120x120.png,Serie C,"CB, LCB",CB,53,LCB,40,,0,22.0,2003-08-04,100000,2028-06-30,24,2391,1,1.03,0,0.0,10.69,65.14,Italy,['Italy'],right,0,0,False,5.95,3.91,73.08,4.52,61.67,0.04,0.06,0.34,3.05,4.8100000000000005,0.9400000000000001,1,0.04,0,0.0,0.11,0.04,1,0.04,0.04,0,0.0,5,0.19,60.0,20.0,0.0,0.11,0.0,0.08,0.0,0.0,0.0,0.04,0.04,0.0,0.49,23.08,0.26,0.79,0.0,30.34,0.26,0.45,41.44,89.46,15.47,79.56,3.35,97.75,38.17,93.39,3.16,45.24,19.69,32.56,0.0,0.0,0.08,0.0,0.0,0.0,0.0,3.84,69.61,0.26,0.0,0.08,0.0,0.0,0.0,4.86,65.89,95.14,18.59,0,,0,,0,0.0,0.0,0.0,,,2.11,,4.52,0.04,0.0,0.0,0.0,0,0.0
G. Vannucchi,Gianmarco Vannucchi,277551,Benevento,Benevento,https://cdn5.wyscout.com/photos/team/public/401_120x120.png,Serie C,GK,GK,100,,0,,0,30.0,1995-07-30,400000,2027-06-30,24,2391,0,0.0,1,0.0,0.64,64.71,Italy,['Italy'],right,182,77,False,1.13,0.08,0.0,0.34,77.78,0.04,0.06,0.0,1.09,1.72,0.04,2,0.08,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.11,66.67,0.0,0.0,0.0,19.87,0.34,0.23,29.7,87.45,14.3,77.37,0.0,0.0,20.33,98.89,9.3,63.16,29.18,47.61,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.48,62.12,0.04,0.0,0.30000000000000004,75.0,0.04,0.0,6.66,72.32,97.19,13.4,18,0.68,81,3.05,11,77.78,21.92,0.8300000000000001,3.92,0.148,0.0,1.3599999999999999,0.34,,,,0.0,0,0.0
