Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Natalia Ramos,Natalia Ramos Álvarez,427152,Costa Adeje Tenerife,Costa Adeje Tenerife,https://cdn5.wyscout.com/photos/team/public/g25377_120x120.png,Liga F,"DMF, LCMF3, RCMF",DMF,45,LCMF3,20,RCMF,14,27.0,1999-02-10,0,,27,2727,9,4.15,4,5.1,20.96,55.91,Spain,['Spain'],,171,0,False,12.08,9.41,68.77,3.27,49.49,0.03,0.04,0.23,5.58,7.57,1.85,4,0.13,0,0.0,1.62,0.30000000000000004,6,0.2,0.14,0,0.0,36,1.19,44.44,25.0,0.13,0.66,60.0,0.26,62.5,0.4,58.33,0.1,1.06,59.38,5.84,41.81,0.63,0.56,0.07,18.48,0.33,1.25,32.74,77.02,12.01,63.19,4.79,97.24,28.48,81.69,3.6,43.12,17.64,33.28,0.17,1.52,0.13,0.03,0.13,50.0,0.26,5.38,58.9,1.09,48.48,0.26,37.5,0.26,0.43,5.28,60.62,85.47,9.77,0,,0,,0,0.0,0.0,0.0,,,0.53,,3.27,2.21,0.2,50.0,3.0,3,100.0
Lauri Requena,Laura Requena Sánchez,-404801,Granada,Granada,https://cdn5.wyscout.com/photos/team/public/g12783_120x120.png,Liga F,"AMF, RCMF3, CF",AMF,36,RCMF3,22,CF,15,35.0,1990-05-25,0,,27,2683,5,4.83,2,1.99,13.48,44.03,Spain,['Spain'],unknown,0,0,False,5.33,4.16,54.84,2.01,48.33,0.07,0.09,0.34,2.99,4.06,0.81,3,0.1,0,0.0,1.27,0.17,3,0.1,0.16,0,0.0,31,1.04,48.39,16.129,0.07,0.5700000000000001,35.29,0.27,25.0,0.30000000000000004,44.44,0.03,0.87,53.85,5.23,32.05,1.51,1.44,0.13,25.09,0.77,1.21,39.08,75.62,12.48,60.48,8.72,88.46,35.49,78.45,3.02,50.0,17.62,32.84,0.07,0.97,0.13,0.07,0.17,60.0,0.4,5.5,58.54,2.05,57.38,0.30000000000000004,44.44,1.1400000000000001,0.2,6.11,64.29,84.43,11.2,0,,0,,0,0.0,0.0,0.0,,,0.30000000000000004,,2.01,0.0,0.0,0.0,0.0,2,100.0
Esther Sullastres,Esther Sullastres Ayuso,209971,Sevilla,Sevilla,https://cdn5.wyscout.com/photos/team/public/g4335_120x120.png,Liga F,GK,GK,100,,0,,0,33.0,1993-03-20,0,,26,2677,0,0.0,0,0.0,0.9400000000000001,78.57,Spain,['Spain'],,173,58,False,2.22,0.13,50.0,0.37,81.82,0.03,0.05,0.0,2.12,2.92,0.03,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,88.89,0.0,0.0,0.0,10.22,0.03,0.24,16.41,79.51,8.61,64.45,0.0,0.0,10.02,96.64,6.35,52.91,30.39,43.08,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.91,25.93,0.1,0.0,0.0,0.0,0.0,0.0,4.47,53.38,96.57,6.86,43,1.45,136,4.57,9,68.38,49.88,1.6800000000000002,6.88,0.231,0.0,1.4100000000000001,0.37,,,,0.0,0,0.0
Patri Gavira,Patricia Gavira Collado,503433,Costa Adeje Tenerife,Costa Adeje Tenerife,https://cdn5.wyscout.com/photos/team/public/g25377_120x120.png,Liga F,LCB3,LCB3,95,,0,,0,37.0,1989-04-26,0,,27,2669,1,1.53,0,1.5899999999999999,11.26,64.37,Spain,['Spain'],,171,63,False,7.69,4.89,75.17,3.2,63.16,0.30000000000000004,0.41000000000000003,0.17,3.71,4.98,0.74,4,0.13,0,0.0,0.81,0.03,1,0.03,0.05,1,0.03,16,0.54,25.0,6.25,0.0,0.98,58.62,0.9400000000000001,57.14,0.0,0.0,0.07,0.2,50.0,1.05,38.71,0.54,0.61,0.03,20.87,0.74,0.27,33.96,76.66,18.14,67.29,2.9,97.67,25.32,84.82,7.65,51.98,20.65,33.55,0.05,0.30000000000000004,0.03,0.03,0.0,0.0,0.34,6.61,57.65,1.79,60.38,0.67,55.0,0.47000000000000003,0.61,9.21,69.96,87.08,9.14,0,,0,,0,0.0,0.0,0.0,,,1.08,,3.2,0.03,0.0,0.0,0.0,0,0.0
Alba Perez,Alba Pérez Manrique,478970,Granada,Granada,https://cdn5.wyscout.com/photos/team/public/g12783_120x120.png,Liga F,"LCB3, LCB",LCB3,56,LCB,42,,0,25.0,2000-06-18,0,,26,2638,0,0.64,1,0.08,13.82,57.28,Spain,['Spain'],,0,0,False,8.97,7.27,68.54,1.43,47.62,0.55,0.73,0.58,3.45,4.62,0.58,6,0.2,0,0.0,0.61,0.0,0,0.0,0.02,0,0.0,7,0.24,28.57,0.0,0.03,0.38,63.64,0.24,42.86,0.14,100.0,0.03,0.92,33.33,3.51,39.81,0.24,1.54,0.03,29.95,0.24,0.44,43.57,84.96,20.27,77.44,2.9,92.94,37.84,90.98,5.36,43.95,19.66,37.41,0.0,0.07,0.0,0.0,0.0,0.0,0.07,4.37,62.5,0.65,36.84,0.44,38.46,0.07,0.24,7.78,58.77,95.05,15.86,0,,0,,0,0.0,0.0,0.0,,,1.09,,1.43,0.0,0.0,0.0,0.0,0,0.0
Lucia Vallejo,Lucia Vallejo Blazquez,-509590,Espanyol,Espanyol,https://cdn5.wyscout.com/photos/team/public/g4326_120x120.png,Liga F,"LB, LCB3, LCB",LB,60,LCB3,20,LCB,17,22.0,2003-07-10,0,,27,2619,1,0.97,3,2.61,11.82,59.01,Spain,['Spain'],unknown,0,0,False,7.5600000000000005,5.95,67.63,1.8900000000000001,47.27,0.24,0.30000000000000004,0.24,3.3,4.13,0.76,4,0.14,0,0.0,1.1,0.03,1,0.03,0.03,0,0.0,11,0.38,36.36,9.091,0.1,1.2,17.14,1.03,13.33,0.17,40.0,0.24,1.07,61.29,2.8200000000000003,52.44,0.48,0.55,0.1,16.77,0.86,0.89,27.04,70.01,12.71,57.3,3.3,92.71,20.89,80.26,5.05,38.78,21.13,33.27,0.09,0.76,0.0,0.03,0.17,60.0,0.27,4.57,49.62,1.72,30.0,0.72,42.86,0.41000000000000003,0.21,6.36,56.76,81.86,7.39,0,,0,,0,0.0,0.0,0.0,,,0.48,,1.8900000000000001,0.27,0.03,0.0,0.93,0,0.0
Rosa Márquez,Rosa Márquez Baena,478952,Sevilla,Sevilla,https://cdn5.wyscout.com/photos/team/public/g4335_120x120.png,Liga F,"AMF, DMF, RDMF",AMF,27,DMF,15,RDMF,12,25.0,2000-12-22,0,,26,2616,3,2.23,4,2.75,17.86,50.87,Spain,['Spain'],,158,46,False,9.43,7.36,67.29,0.89,26.92,0.52,0.73,0.1,3.96,5.59,0.6900000000000001,2,0.07,0,0.0,1.31,0.1,3,0.1,0.08,0,0.0,19,0.65,31.58,15.789,0.14,0.62,50.0,0.48,42.86,0.14,75.0,0.17,1.17,58.82,7.5,38.99,1.07,1.48,0.17,25.49,0.93,1.62,39.19,79.54,14.21,69.73,6.67,87.11,36.02,81.85,2.58,53.33,15.91,33.17,0.09,1.1400000000000001,0.03,0.07,0.24,42.86,0.62,5.47,64.15,2.34,50.0,0.52,20.0,0.89,0.34,6.61,68.75,86.55,9.98,0,,0,,0,0.0,0.0,0.0,,,0.21,,0.89,0.45,0.07,50.0,1.2,0,0.0
Ainhoa Marin,Ainhoa Marin Martin,513727,Deportivo de La Coruña,Deportivo de La Coruña,https://cdn5.wyscout.com/photos/team/public/g37392_120x120.png,Liga F,"RWF, RW, CF",RWF,22,RW,20,CF,20,25.0,2001-03-21,0,,26,2596,5,5.91,5,3.14,20.0,42.81,Spain,['Spain'],,0,0,False,5.48,3.88,65.18,1.32,18.42,0.03,0.05,0.07,2.91,4.26,0.52,1,0.03,0,0.0,3.7800000000000002,0.17,4,0.14,0.2,0,0.0,46,1.5899999999999999,41.3,10.87,0.17,1.56,26.67,0.49,21.43,1.01,31.03,0.21,4.58,57.58,12.27,39.83,1.98,2.98,0.52,20.11,1.5899999999999999,1.18,28.95,74.61,6.21,62.57,6.73,84.54,26.31,78.66,1.1400000000000001,45.45,15.98,28.11,0.11,0.8300000000000001,0.03,0.0,0.21,33.33,0.45,3.5,60.4,1.8399999999999999,41.51,0.21,16.67,0.76,0.49,4.54,67.94,77.74,9.81,0,,0,,0,0.0,0.0,0.0,,,0.07,,1.32,0.0,0.0,0.0,0.03,1,100.0
Jujuba Cardozo,Jujuba Cardozo,-509641,Granada,Granada,https://cdn5.wyscout.com/photos/team/public/g12783_120x120.png,Liga F,"CB, RCB",CB,57,RCB,41,,0,34.0,1991-09-06,0,,26,2595,0,0.81,0,0.14,13.53,61.03,Brazil,['Brazil'],unknown,0,0,False,9.43,6.31,73.08,3.09,55.06,0.07,0.09,0.8300000000000001,4.75,6.43,0.8300000000000001,5,0.17,1,0.03,0.1,0.0,0,0.0,0.03,0,0.0,8,0.28,12.5,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.21,33.33,2.22,42.19,0.42,0.07,0.0,26.15,0.17,1.01,39.92,86.36,12.83,69.46,2.71,92.31,34.51,92.46,5.38,47.74,21.74,34.88,0.0,0.03,0.03,0.0,0.0,0.0,0.03,2.08,41.67,0.28,37.5,0.21,33.33,0.14,0.0,6.38,48.37,95.97,21.5,0,,0,,0,0.0,0.0,0.0,,,2.22,,3.09,0.0,0.0,0.0,0.0,0,0.0
Elba Vergés,Elba Vergés Prats,495510,Costa Adeje Tenerife,Costa Adeje Tenerife,https://cdn5.wyscout.com/photos/team/public/g25377_120x120.png,Liga F,"CB, RCB3",CB,72,RCB3,21,,0,30.0,1995-10-24,0,,27,2587,3,2.39,3,0.72,8.66,62.25,Spain,['Spain'],,0,0,False,6.78,3.76,71.3,2.96,61.18,0.17,0.23,0.45,3.93,5.18,0.24,2,0.07,0,0.0,0.31,0.1,3,0.1,0.08,1,0.03,15,0.52,33.33,20.0,0.1,0.35000000000000003,20.0,0.14,25.0,0.21,16.67,0.0,0.1,66.67,0.87,44.0,0.8,0.17,0.0,23.17,0.1,0.21,36.32,83.72,15.17,72.02,2.68,94.81,28.56,90.99,7.41,58.69,20.95,31.88,0.03,0.07,0.0,0.0,0.0,0.0,0.1,3.86,64.86,0.52,13.33,0.28,50.0,0.07,0.07,7.31,62.86,92.51,15.79,0,,0,,0,0.0,0.0,0.0,,,1.9100000000000001,,2.96,0.0,0.0,0.0,0.0,0,0.0
