Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Gorodovoy,Aleksey Gorodovoy,239464,Kongsvinger,Kongsvinger,https://cdn5.wyscout.com/photos/team/public/1620_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,32.0,1993-08-10,275000,,24,2368,0,0.0,0,0.0,1.48,79.49,Russia,['Russia'],both,191,82,False,3.5,0.15,0.0,1.06,89.29,0.0,0.0,0.0,3.5,5.18,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,75.0,0.0,0.04,0.0,17.56,0.30000000000000004,0.11,32.38,80.87,18.02,71.31,0.04,100.0,20.07,95.27,12.31,57.41,33.46,48.27,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.93,37.66,0.38,20.0,0.38,30.0,0.04,0.0,8.06,64.62,93.42,13.87,38,1.44,98,3.7199999999999998,3,61.22,29.91,1.1400000000000001,-8.09,-0.307,0.0,2.01,1.06,,,,0.0,0,0.0
S. Nilsen,Simen Vidtun Nilsen,-186764,Ranheim,Ranheim,https://cdn5.wyscout.com/photos/team/public/2484_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,25.0,2000-03-03,175000,,24,2365,0,0.0,0,0.0,0.99,84.62,Norway,['Norway'],right,191,75,False,2.7,0.08,50.0,0.46,100.0,0.08,0.1,0.0,2.59,3.54,0.04,3,0.11,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.23,100.0,0.0,0.04,0.0,20.21,0.38,0.34,34.33,84.7,19.64,76.16,0.04,100.0,18.84,98.38,15.49,68.06,35.76,51.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,54.42,0.49,0.0,0.49,7.69,0.0,0.0,10.81,83.1,96.33,13.47,39,1.48,105,4.0,3,62.86,35.74,1.3599999999999999,-3.26,-0.124,0.04,1.94,0.46,,,,0.0,0,0.0
I. Jönsson,Isak Jönsson,494471,Egersund,Egersund,https://cdn5.wyscout.com/photos/team/public/g18720_120x120.png,Obos Ligaen,"LCB, CB",LCB,69,CB,26,,0,26.0,1999-01-11,200000,,24,2364,1,1.17,0,0.03,13.44,70.54,Sweden,['Sweden'],right,194,85,False,9.14,4.64,72.13,5.37,73.05,0.53,0.68,0.8,5.25,6.68,0.99,3,0.11,0,0.0,0.11,0.04,1,0.04,0.04,1,0.04,5,0.19,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,72.73,0.38,0.15,0.04,37.16,0.04,0.72,51.7,92.49,13.1,80.23,2.25,94.92,49.07,94.96,2.63,46.38,19.7,33.26,0.0,0.04,0.04,0.04,0.0,0.0,0.0,3.77,76.77,0.19,0.0,0.08,50.0,0.08,0.0,4.8,59.52,98.01,32.47,0,,0,,0,0.0,0.0,0.0,,,1.87,,5.37,0.0,0.0,0.0,0.0,0,0.0
J. Pryts,Jacob Pryts Larsen,412956,Start,Start,https://cdn5.wyscout.com/photos/team/public/1571_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,27.0,1998-06-25,150000,2026-12-31,24,2362,0,0.0,0,0.0,0.65,70.59,Denmark,['Denmark'],left,191,88,False,0.9500000000000001,0.11,33.33,0.30000000000000004,87.5,0.04,0.05,0.0,0.88,1.1,0.04,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,15.97,0.34,0.15,24.69,82.1,16.92,75.45,0.0,0.0,9.56,98.41,15.13,71.79,41.49,52.86,0.0,0.0,0.04,0.0,0.0,0.0,0.0,6.36,66.47,0.34,0.0,0.34,44.44,0.0,0.0,11.51,83.77,96.35,7.32,31,1.18,96,3.66,7,67.71,30.98,1.18,-0.02,-0.001,0.0,1.03,0.30000000000000004,,,,0.0,0,0.0
M. Hedenstad,Mads Hedenstad Christiansen,477631,Lillestrøm,Lillestrøm,https://cdn5.wyscout.com/photos/team/public/737_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,24.0,2000-10-21,1000000,,24,2357,0,0.0,0,0.0,0.8,80.95,Norway,['Norway'],right,186,76,False,1.83,0.08,0.0,0.34,100.0,0.0,0.0,0.0,1.83,3.04,0.04,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,17.18,0.19,0.31,27.0,84.44,16.65,77.75,0.0,0.0,17.26,96.68,9.74,62.75,30.65,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,65.33,0.23,16.67,0.08,0.0,0.04,0.0,7.48,68.88,96.81,9.58,15,0.5700000000000001,79,3.02,12,81.01,17.97,0.6900000000000001,2.9699999999999998,0.113,0.0,1.07,0.34,,,,0.0,0,0.0
M. Enger Eriksen,Mathias Enger Eriksen,492110,Moss,Moss,https://cdn5.wyscout.com/photos/team/public/1616_120x120.png,Obos Ligaen,GK,GK,100,,0,,0,29.0,1995-10-16,175000,,24,2355,0,0.0,0,0.0,0.76,90.0,Norway,['Norway'],left,194,86,False,2.06,0.04,100.0,0.5700000000000001,100.0,0.0,0.0,0.0,2.03,2.5700000000000003,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.11,66.67,0.04,0.0,0.0,17.31,0.19,0.19,30.15,77.82,18.38,68.19,0.0,0.0,15.94,96.16,14.18,57.41,35.75,50.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,43.38,0.84,13.64,0.88,30.43,0.04,0.0,8.87,68.97,93.4,11.01,51,1.9500000000000002,126,4.82,3,59.52,39.69,1.52,-11.31,-0.432,0.0,1.72,0.5700000000000001,,,,0.0,0,0.0
A. Pedersen,John Alexander Pedersen Hurlen,248512,Lyn,Lyn,https://cdn5.wyscout.com/photos/team/public/609_120x120.png,Obos Ligaen,GK,GK,99,,0,,0,30.0,1995-07-30,125000,2025-12-31,24,2342,0,0.0,0,0.21,0.73,84.21,Norway,['Norway'],right,190,90,False,1.77,0.12,66.67,0.46,83.33,0.0,0.0,0.0,1.69,2.17,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,14.99,0.12,0.12,22.71,78.51,16.37,72.77,0.0,0.0,9.76,94.09,12.87,67.16,41.11,53.85,0.01,0.04,0.04,0.0,0.0,0.0,0.04,4.61,56.67,0.42,9.09,0.31,62.5,0.04,0.0,10.07,80.92,94.81,5.92,25,0.96,100,3.84,7,75.0,28.56,1.1,3.56,0.137,0.0,2.61,0.46,,,,0.0,0,0.0
E. Blikstad,Eirik Espelid Blikstad,-296092,Hødd,Hødd,https://cdn5.wyscout.com/photos/team/public/1623_120x120.png,Obos Ligaen,CB,CB,93,,0,,0,21.0,2004-05-16,0,,24,2336,0,0.9500000000000001,0,0.12,15.64,56.9,Norway,['Norway'],right,185,77,False,8.9,5.66,76.87,5.12,46.62,0.04,0.05,0.58,4.51,5.37,0.77,3,0.12,0,0.0,0.15,0.0,0,0.0,0.04,0,0.0,9,0.35000000000000003,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.15,75.0,1.46,39.47,0.62,0.5,0.15,30.48,0.12,0.42,45.23,87.39,17.45,75.72,2.23,93.1,39.03,92.89,6.16,52.5,20.38,37.68,0.0,0.08,0.04,0.04,0.0,0.0,0.04,5.36,66.91,0.46,8.33,0.23,0.0,0.08,0.0,7.36,63.35,96.62,20.5,0,,0,,0,0.0,0.0,0.0,,,1.46,,5.12,0.0,0.0,0.0,0.0,0,0.0
H. Urnes,Halvard Kvamme Urnes,-270146,Hødd,Hødd,https://cdn5.wyscout.com/photos/team/public/1623_120x120.png,Obos Ligaen,RCMF,RCMF,75,,0,,0,23.0,2002-07-18,0,,24,2336,2,1.48,2,0.87,15.83,54.5,Norway,['Norway'],unknown,0,0,False,8.32,6.28,69.33,3.12,60.49,0.35000000000000003,0.41000000000000003,0.23,3.62,4.31,1.04,2,0.08,0,0.0,0.65,0.08,2,0.08,0.06,0,0.0,17,0.65,23.53,11.765,0.08,0.27,28.57,0.12,33.33,0.15,25.0,0.04,0.65,58.82,4.24,40.0,0.5,1.08,0.08,26.66,0.23,0.81,39.68,86.8,10.17,70.45,9.32,97.11,37.02,90.22,2.43,39.68,15.8,29.9,0.03,0.35000000000000003,0.0,0.0,0.04,100.0,0.12,4.58,73.95,0.6900000000000001,55.56,0.12,33.33,0.31,0.08,4.12,61.68,92.59,12.48,0,,0,,0,0.0,0.0,0.0,,,0.58,,3.12,0.0,0.0,0.0,0.0,0,0.0
A. Hammer Kjelsen,Aleksander Hammer Kjelsen,-264771,Aalesund,Aalesund,https://cdn5.wyscout.com/photos/team/public/736_120x120.png,Obos Ligaen,"CB, RCB3",CB,83,RCB3,11,,0,19.0,2006-01-03,350000,2025-12-31,24,2290,0,0.11,0,0.12,11.99,60.33,Norway,['Norway'],right,185,72,False,7.23,4.48,66.67,2.44,51.61,0.08,0.1,0.71,4.17,5.21,0.71,2,0.08,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,2,0.08,0.0,0.0,0.0,0.08,50.0,0.04,100.0,0.04,0.0,0.0,0.0,0.0,1.77,77.78,0.04,0.9400000000000001,0.04,30.1,0.24,1.6099999999999999,45.31,90.29,13.68,77.87,2.91,94.59,40.64,93.42,4.6,63.25,21.19,37.48,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4.91,76.8,0.75,47.37,0.28,42.86,0.28,0.04,6.72,65.5,97.2,25.31,0,,0,,0,0.0,0.0,0.0,,,2.12,,2.44,0.08,0.0,0.0,0.0,0,0.0
