Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Kaena,Pakornkiat Kaena,-381254,Sisaket United,Sisaket United,https://cdn5.wyscout.com/photos/team/public/g27108_120x120.png,Thai League 2,RCB,RCB,97,,0,,0,25.0,2000-01-13,0,2026-06-30,9,944,0,0.0,0,0.04,7.53,60.76,Thailand,['Thailand'],unknown,0,0,False,6.96,3.62,68.42,2.48,53.85,0.38,0.6000000000000001,0.48,4.1,6.45,0.38,2,0.19,0,0.0,0.19,0.0,0,0.0,0.0,0,0.0,1,0.1,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.1,100.0,0.0,0.1,100.0,0.5700000000000001,83.33,0.1,0.0,0.0,20.02,0.29,0.38,32.7,90.67,12.39,82.31,2.19,95.65,29.17,95.1,3.43,52.78,21.41,38.61,0.0,0.1,0.0,0.1,0.0,0.0,0.0,2.29,62.5,0.19,50.0,0.1,0.0,0.19,0.0,4.77,66.0,95.45,16.78,0,,0,,0,0.0,0.0,0.0,,,1.1400000000000001,,2.48,0.1,0.1,0.0,0.0,0,0
Washington Brandão,Washington Brandão dos Santos,233557,Pattaya Dolphins,Pattaya Dolphins,https://cdn5.wyscout.com/photos/team/public/g39068_120x120.png,Thai League 2,"RAMF, RW, AMF",RAMF,60,RW,13,AMF,10,35.0,1990-08-18,175000,,9,941,2,2.42,1,1.79,22.0,53.48,Brazil,['Brazil'],right,183,77,False,6.22,5.64,72.88,5.26,56.36,0.1,0.17,0.1,2.01,3.56,1.43,1,0.1,0,0.0,4.5,0.19,2,0.19,0.23,0,0.0,20,1.9100000000000001,40.0,10.0,0.1,3.35,34.29,0.5700000000000001,50.0,2.77,31.03,0.86,4.3,60.0,9.18,44.79,4.11,2.01,0.67,11.0,1.82,1.05,19.51,65.69,5.16,70.37,3.92,82.93,15.59,72.39,0.86,55.56,17.18,23.48,0.17,1.34,0.0,0.0,0.0,0.0,0.77,2.01,80.95,2.3,45.83,0.0,0.0,0.5700000000000001,1.24,3.63,86.84,61.76,6.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.26,0.0,0.0,0.0,0.0,0,0
N. Boonsuk,Narongrit Boonsuk,288457,Pattaya Dolphins,Pattaya Dolphins,https://cdn5.wyscout.com/photos/team/public/g39068_120x120.png,Thai League 2,RCB,RCB,100,,0,,0,33.0,1992-06-04,25000,,9,941,1,0.21,0,0.0,11.38,59.66,Thailand,['Thailand'],left,189,80,False,6.6,3.44,91.67,5.16,53.7,0.38,0.68,0.38,3.06,5.42,0.5700000000000001,1,0.1,0,0.0,0.1,0.1,1,0.1,0.02,1,0.1,2,0.19,50.0,50.0,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,1.05,27.27,0.38,0.1,0.0,10.33,0.1,0.19,21.23,78.38,12.82,73.13,0.96,100.0,15.69,89.02,5.36,50.0,25.09,41.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,51.79,0.77,12.5,0.1,0.0,0.1,0.0,5.83,80.33,89.06,6.12,0,,0,,0,0.0,0.0,0.0,,,0.77,,5.16,0.0,0.0,0.0,0.0,0,0
J. Phupha,Jennarong Phupha,-230909,Nakhon Pathom,Nakhon Pathom,https://cdn5.wyscout.com/photos/team/public/g8070_120x120.png,Thai League 2,"DMF, LCMF, RCMF",DMF,53,LCMF,21,RCMF,19,28.0,1997-05-06,50000,,9,936,0,0.12,0,0.0,13.65,58.45,Thailand,['Thailand'],right,0,0,False,9.33,6.25,60.0,4.52,57.45,0.38,0.67,0.19,5.19,9.1,1.35,2,0.19,0,0.0,0.38,0.0,0,0.0,0.01,0,0.0,3,0.29,0.0,0.0,0.0,0.38,50.0,0.19,50.0,0.19,50.0,0.1,0.19,100.0,1.35,78.57,0.29,0.29,0.1,11.44,0.0,1.25,25.38,72.35,11.63,63.64,2.69,96.43,21.25,78.73,3.85,40.0,18.42,31.55,0.0,0.0,0.0,0.0,0.0,0.0,0.19,3.94,53.66,1.15,16.67,0.1,0.0,0.1,0.1,6.15,50.0,75.0,7.69,0,,0,,0,0.0,0.0,0.0,,,0.19,,4.52,0.1,0.0,0.0,0.19,0,0
K. Chaodon,Kiadtisak Chaodon,-166122,Nakhon Pathom,Nakhon Pathom,https://cdn5.wyscout.com/photos/team/public/g8070_120x120.png,Thai League 2,GK,GK,100,,0,,0,26.0,1999-07-19,75000,,9,936,0,0.0,0,0.0,1.63,82.35,Thailand,['Thailand'],right,185,88,False,2.21,0.19,50.0,0.87,77.78,0.1,0.17,0.0,2.02,3.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,3.56,0.29,0.58,13.37,73.38,9.71,66.34,0.0,0.0,7.79,95.06,5.38,44.64,36.22,52.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,38.1,0.19,50.0,0.1,100.0,0.1,0.0,3.75,71.79,93.1,2.79,11,1.06,42,4.04,2,73.81,10.81,1.04,-0.19,-0.018000000000000002,0.0,2.02,0.87,,,,0.0,0,0
A. Termmee,Anusit Termmee,334022,Nakhon Si United,Nakhon Si United,https://cdn5.wyscout.com/photos/team/public/g27308_120x120.png,Thai League 2,GK,GK,100,,0,,0,30.0,1995-07-19,50000,,9,934,0,0.0,0,0.0,1.16,83.33,Thailand,['Thailand'],right,183,72,False,1.45,0.0,0.0,0.58,83.33,0.0,0.0,0.0,1.45,2.37,0.0,3,0.29,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,100.0,0.0,0.0,0.0,7.03,0.1,0.39,13.01,84.44,8.09,76.19,0.0,0.0,7.9,97.56,5.11,64.15,33.08,43.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,44.44,0.0,0.0,0.0,0.0,0.0,0.0,4.14,74.42,97.83,4.43,18,1.73,47,4.53,2,61.7,12.37,1.19,-5.63,-0.543,0.0,1.83,0.58,,,,0.0,0,0
P. Thuha,Phumniwat Thuha,474375,Chiangmai United,Chiangmai United,https://cdn5.wyscout.com/photos/team/public/g38481_120x120.png,Thai League 2,GK,GK,100,,0,,0,31.0,1994-06-13,0,,9,932,0,0.0,0,0.0,1.16,91.67,Thailand,['Thailand'],right,0,0,False,0.68,0.0,0.0,0.68,85.71,0.0,0.0,0.0,0.68,0.98,0.1,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,100.0,0.0,0.0,0.0,6.37,0.29,0.77,11.11,73.04,8.59,67.42,0.0,0.0,4.15,97.67,6.95,58.33,43.29,54.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.51,42.31,0.29,0.0,0.19,0.0,0.0,0.0,4.54,80.85,90.91,2.12,13,1.26,52,5.02,3,75.0,12.51,1.21,-0.49,-0.047,0.0,2.32,0.68,,,,0.0,0,0
K. Moosawat,Kittisak Moosawat,-186043,Nong Bua Pitchaya FC,Nong Bua Pitchaya FC,https://cdn5.wyscout.com/photos/team/public/g27105_120x120.png,Thai League 2,GK,GK,100,,0,,0,36.0,1989-01-18,0,,9,932,0,0.0,0,0.0,0.87,66.67,Thailand,['Thailand'],,0,0,False,1.55,0.29,33.33,0.48,80.0,0.0,0.0,0.0,1.45,2.33,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46,0.29,0.19,16.42,87.65,10.14,81.9,0.0,0.0,10.14,98.1,6.28,70.77,31.09,43.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,66.67,0.1,0.0,0.1,0.0,0.0,0.0,5.41,75.0,98.36,5.89,14,1.35,45,4.35,1,68.89,11.62,1.12,-2.38,-0.23,0.0,1.45,0.48,,,,0.0,0,0
K. Nagasaki,Kento Nagasaki,285710,Nong Bua Pitchaya FC,Nong Bua Pitchaya FC,https://cdn5.wyscout.com/photos/team/public/g27105_120x120.png,Thai League 2,"LCMF, RCMF",LCMF,74,RCMF,18,,0,35.0,1990-06-05,125000,,9,932,1,0.48,0,1.15,9.66,49.0,Japan,['Japan'],right,170,60,False,4.92,2.99,74.19,0.68,85.71,0.19,0.31,0.19,2.51,4.04,0.29,0,0.0,0,0.0,1.83,0.1,1,0.1,0.05,0,0.0,13,1.26,30.77,7.692,0.0,0.77,75.0,0.39,75.0,0.39,75.0,0.19,2.12,40.91,5.12,33.96,0.29,0.77,0.0,27.52,0.39,0.58,42.39,92.26,13.62,87.23,6.18,95.31,37.76,94.88,3.86,70.0,17.82,34.84,0.11,1.26,0.29,0.0,0.0,0.0,0.19,6.76,84.29,1.83,57.89,0.39,25.0,0.39,0.58,7.15,87.84,95.76,15.93,0,,0,,0,0.0,0.0,0.0,,,0.48,,0.68,1.6400000000000001,0.0,0.0,1.26,0,0
Lee Jong-Cheon,Jong-cheon  Lee,-248008, Mahasarakham SBT, Mahasarakham SBT,https://cdn5.wyscout.com/photos/team/public/g27102_120x120.png,Thai League 2,"LCB, RCB, LCB3",LCB,51,RCB,37,LCB3,11,26.0,1999-08-20,0,,9,927,1,0.67,0,0.0,10.39,62.62,Korea Republic,['Korea Republic'],unknown,190,0,False,6.89,3.5,66.67,3.98,68.29,0.1,0.19,0.87,4.47,8.52,1.07,2,0.19,0,0.0,0.29,0.1,1,0.1,0.07,0,0.0,8,0.78,37.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,27.27,0.87,0.49,0.0,30.49,0.29,0.19,43.59,87.75,18.64,76.56,2.04,100.0,37.38,95.06,6.21,43.75,22.11,40.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,53.97,0.97,30.0,0.49,20.0,0.49,0.0,6.99,76.39,95.96,19.22,0,,0,,0,0.0,0.0,0.0,,,1.26,,3.98,0.0,0.0,0.0,0.0,0,0
