Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
N. Peate,Nathan Peate,283502,Colwyn Bay,Colwyn Bay,https://cdn5.wyscout.com/photos/team/public/g4906_120x120.png,Premier League,"CB, RCB",CB,81,RCB,15,,0,34.0,1991-05-02,75000,,21,2044,4,4.44,0,0.43,16.2,60.6,Wales,['Wales'],,0,0,False,8.98,3.79,76.74,9.07,60.19,0.04,0.06,0.79,6.03,8.47,0.4,2,0.09,0,0.0,0.5700000000000001,0.18,4,0.18,0.2,1,0.04,22,0.97,59.09,18.182,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.79,38.89,1.63,0.04,0.0,11.58,0.22,0.4,26.15,74.92,14.31,63.38,0.66,93.33,20.47,79.14,5.64,60.16,22.91,39.69,0.02,0.13,0.0,0.0,0.0,0.0,0.04,3.43,64.1,0.4,44.44,0.13,33.33,0.44,0.0,7.27,52.73,90.05,8.85,0,,0,,0,0.0,0.0,0.0,,,0.53,,9.07,0.0,0.0,0.0,0.0,0,0.0
R. Abbruzzese,Rhys Abbruzzese,484745,Haverfordwest County,Haverfordwest County,https://cdn5.wyscout.com/photos/team/public/g2317_120x120.png,Premier League,LWB,LWB,75,,0,,0,27.0,1998-03-23,100000,2026-05-31,21,2043,3,0.8200000000000001,1,2.48,14.63,51.51,Wales,['Wales'],left,171,0,False,6.74,4.19,67.37,3.0,33.82,0.04,0.06,0.04,3.88,5.27,0.31,2,0.09,0,0.0,2.69,0.13,3,0.13,0.04,1,0.04,16,0.7000000000000001,56.25,18.75,0.04,3.74,30.59,3.3,32.0,0.44,20.0,0.48,1.98,57.78,5.9,50.75,0.7000000000000001,2.86,0.22,22.33,0.93,1.67,35.11,71.77,13.0,57.29,5.8100000000000005,94.7,25.07,86.12,6.43,39.73,22.82,37.7,0.11,1.1,0.0,0.04,0.04,0.0,0.4,5.37,50.0,3.35,39.47,0.18,0.0,0.26,1.23,7.97,66.3,77.17,11.19,0,,0,,0,0.0,0.0,0.0,,,0.26,,3.0,1.81,0.13,66.67,1.94,0,0.0
K. Margetson,Kit Margetson,-366852,Connah's Quay,Connah's Quay,https://cdn5.wyscout.com/photos/team/public/g2322_120x120.png,Premier League,GK,GK,100,,0,,0,19.0,2006-07-10,0,2026-06-30,21,2043,0,0.0,0,0.0,0.44,90.0,Wales,['Wales'],right,0,0,False,1.37,0.0,0.0,0.31,100.0,0.0,0.0,0.0,1.37,2.15,0.0,4,0.18,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.09,50.0,0.0,0.0,0.0,20.4,0.53,0.18,31.1,80.59,18.63,69.5,0.04,0.0,17.0,98.19,14.05,59.56,36.63,52.96,0.0,0.0,0.04,0.09,0.0,0.0,0.0,6.5600000000000005,46.98,0.62,0.0,0.48,9.09,0.09,0.0,9.12,80.19,97.65,11.23,23,1.01,65,2.86,7,64.62,21.91,0.97,-1.09,-0.048,0.0,1.28,0.31,,,,0.0,0,0.0
K. Jenkins,Kian Jenkins,-172630,Briton Ferry,Briton Ferry,https://cdn5.wyscout.com/photos/team/public/g4997_120x120.png,Premier League,"LWB, LB, LCB",LWB,40,LB,23,LCB,10,21.0,2004-06-04,0,,21,2041,2,2.63,2,1.69,14.46,51.83,Wales,['Wales'],left,0,0,False,8.42,4.67,69.81,4.85,40.0,0.04,0.07,0.26,5.12,7.63,0.31,2,0.09,0,0.0,1.01,0.09,2,0.09,0.12,0,0.0,21,0.93,42.86,9.524000000000001,0.09,1.4100000000000001,25.0,1.1,20.0,0.26,50.0,0.4,0.62,42.86,2.6,52.54,1.01,1.01,0.09,17.9,0.75,0.97,34.26,69.76,16.98,55.84,4.23,85.42,25.49,80.8,7.41,40.48,21.82,34.09,0.07,0.44,0.04,0.0,0.0,0.0,0.18,6.88,55.77,2.07,34.04,0.5700000000000001,38.46,0.5700000000000001,0.31,8.55,60.82,86.16,9.88,0,,0,,0,0.0,0.0,0.0,,,0.84,,4.85,1.23,0.13,66.67,1.85,0,0.0
C. Craven,Chris Craven,-109421,Cardiff MU,Cardiff MU,https://cdn5.wyscout.com/photos/team/public/g2729_120x120.png,Premier League,"RCB3, RB",RCB3,23,RB,22,,0,25.0,2000-10-03,0,2026-05-31,21,2041,2,2.45,2,0.8,15.35,55.46,Wales,['Wales'],right,174,0,False,8.86,4.98,64.6,4.5,56.86,0.22,0.32,0.84,5.42,7.83,0.62,4,0.18,0,0.0,0.71,0.09,0,0.0,0.11,0,0.0,12,0.53,33.33,16.667,0.09,0.93,42.86,0.04,100.0,0.84,42.11,0.22,0.62,21.43,3.26,39.19,0.31,0.66,0.0,18.52,0.4,1.32,38.05,70.68,19.31,59.59,2.69,88.52,27.96,81.39,9.26,40.95,22.57,37.89,0.04,0.35000000000000003,0.04,0.04,0.0,0.0,0.22,9.26,48.57,2.38,35.19,0.49,27.27,0.5700000000000001,0.4,10.45,70.04,81.88,12.17,0,,0,,0,0.0,0.0,0.0,,,0.62,,4.5,0.0,0.0,0.0,0.0,2,100.0
W. Fuller,Will Fuller,438263,Briton Ferry,Briton Ferry,https://cdn5.wyscout.com/photos/team/public/g4997_120x120.png,Premier League,GK,GK,100,,0,,0,32.0,1993-07-07,0,2026-05-31,21,2041,0,0.0,1,0.61,1.01,86.96,England,['England'],,0,0,False,1.72,0.09,50.0,0.75,94.12,0.0,0.0,0.0,1.6800000000000002,2.5,0.04,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,11.33,0.09,0.13,20.55,68.67,16.05,61.26,0.04,100.0,7.76,96.02,12.74,52.25,45.25,56.32,0.03,0.04,0.0,0.0,0.0,0.0,0.04,8.16,47.57,0.71,37.5,0.53,41.67,0.22,0.0,7.94,81.11,95.56,3.9699999999999998,38,1.6800000000000002,118,5.2,4,67.8,39.71,1.75,1.71,0.075,0.0,1.5899999999999999,0.75,,,,0.0,0,0.0
H. Owen,Harry Owen,-267237,Flint Town United,Flint Town United,https://cdn5.wyscout.com/photos/team/public/g4982_120x120.png,Premier League,CB,CB,90,,0,,0,22.0,2003-07-14,0,,21,2036,3,3.19,1,0.58,18.65,56.4,Wales,['Wales'],unknown,0,0,False,11.14,6.67,74.83,7.25,50.0,0.31,0.44,0.93,5.83,8.32,0.88,5,0.22,0,0.0,0.49,0.13,3,0.13,0.14,3,0.13,17,0.75,47.06,17.647,0.04,0.22,40.0,0.04,0.0,0.18,50.0,0.13,0.13,33.33,1.06,37.5,1.37,1.15,0.13,24.18,0.4,0.44,44.16,74.37,20.86,59.53,3.93,94.38,33.95,83.2,9.99,45.13,23.74,38.78,0.03,0.18,0.0,0.0,0.04,0.0,0.09,6.32,47.55,1.33,16.67,0.53,33.33,0.31,0.09,10.65,51.45,89.97,15.87,0,,0,,0,0.0,0.0,0.0,,,3.14,,7.25,0.0,0.0,0.0,0.0,0,0.0
J. Torrance,Joel Torrance,-160129,Bala Town,Bala Town,https://cdn5.wyscout.com/photos/team/public/2772_120x120.png,Premier League,GK,GK,100,,0,,0,23.0,2002-04-02,25000,2026-05-31,21,2027,0,0.0,0,0.0,1.11,92.0,England,['England'],right,195,84,False,2.66,0.09,50.0,0.75,100.0,0.04,0.05,0.0,2.58,2.9,0.04,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.04,100.0,0.0,0.0,0.0,4.93,0.09,0.31,15.9,57.54,14.47,55.21,0.04,100.0,1.9100000000000001,90.7,13.94,53.18,53.64,56.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15,47.57,0.62,7.14,0.27,16.67,0.04,0.0,8.75,82.74,92.0,1.11,30,1.33,122,5.42,6,75.41,36.61,1.63,6.61,0.293,0.0,2.66,0.75,,,,0.0,0,0.0
N. Shepperd,Nathan Shepperd,453057,The New Saints,The New Saints,https://cdn5.wyscout.com/photos/team/public/2673_120x120.png,Premier League,GK,GK,100,,0,,0,25.0,2000-09-10,100000,,21,2015,0,0.0,0,0.0,0.63,85.71,Wales,['Wales'],right,187,71,False,1.52,0.09,50.0,0.36,100.0,0.04,0.08,0.0,1.43,2.64,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.0,0.0,0.0,23.36,0.85,0.13,31.58,89.67,14.43,81.11,0.04,100.0,24.48,97.81,7.06,62.03,27.4,43.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,29.41,0.09,0.0,0.04,0.0,0.0,0.0,5.23,64.1,98.04,15.95,19,0.85,65,2.9,11,70.77,19.68,0.88,0.68,0.03,0.04,1.47,0.36,,,,0.0,0,0.0
M. Davies,Mael Davies,453036,Penybont,Penybont,https://cdn5.wyscout.com/photos/team/public/g25285_120x120.png,Premier League,"RWB, RB, RW",RWB,38,RB,25,RW,18,27.0,1998-10-10,100000,2026-05-31,21,2012,3,2.76,1,2.15,17.49,57.03,Wales,['Wales'],,0,0,False,7.11,4.16,64.52,7.65,58.48,0.18,0.27,0.09,4.25,6.4,0.85,1,0.04,0,0.0,2.2800000000000002,0.13,3,0.13,0.12,0,0.0,18,0.81,33.33,16.667,0.04,3.58,36.25,0.0,0.0,3.5300000000000002,35.44,0.54,1.25,57.14,3.31,54.05,1.48,0.72,0.09,16.28,1.79,1.21,29.75,54.59,14.76,45.76,3.8,89.41,19.28,63.57,7.02,38.85,23.18,37.95,0.1,0.63,0.0,0.0,0.0,0.0,0.36,6.49,42.76,4.61,42.72,0.45,60.0,0.72,1.25,8.95,64.0,52.9,6.93,0,,0,,0,0.0,0.0,0.0,,,0.45,,7.65,0.0,0.0,0.0,0.04,0,0.0
