Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Del Fava,Kate Del Fava,-190023,Utah Royals FC,Utah Royals FC,https://cdn5.wyscout.com/photos/team/public/g-8683_120x120.png,NWSL,RCB,RCB,98,,0,,0,27.0,1998-07-23,0,,21,2149,0,1.6400000000000001,2,0.89,10.09,61.83,United States,['United States'],right,175,0,False,7.92,4.44,69.81,3.35,61.25,0.34,0.54,0.59,4.48,7.28,0.63,4,0.17,0,0.0,0.13,0.0,0,0.0,0.07,0,0.0,9,0.38,0.0,0.0,0.08,0.13,33.33,0.0,0.0,0.13,33.33,0.0,0.25,33.33,1.05,44.0,0.63,0.71,0.08,32.16,0.38,0.5,46.07,86.09,17.92,72.9,3.56,97.65,40.71,91.15,5.23,48.0,19.4,33.6,0.04,0.17,0.0,0.0,0.0,0.0,0.08,4.98,62.18,0.84,25.0,0.63,26.67,0.17,0.04,7.37,65.34,96.07,20.23,0,,0,,0,0.0,0.0,0.0,,,3.27,,3.35,0.0,0.0,0.0,0.0,0,0.0
K. Sharples,Kayla Sharples,-124532,KC Current,KC Current,https://cdn5.wyscout.com/photos/team/public/g-14009_120x120.png,NWSL,LCB,LCB,90,,0,,0,28.0,1997-06-17,0,,21,2142,2,1.12,1,0.47000000000000003,8.61,63.9,United States,['United States'],,0,0,False,6.01,3.87,78.26,2.9,60.87,0.0,0.0,0.55,2.98,3.6,0.5,1,0.04,0,0.0,0.34,0.08,2,0.08,0.05,2,0.08,9,0.38,66.67,22.222,0.04,0.08,100.0,0.08,100.0,0.0,0.0,0.04,0.0,0.0,1.13,33.33,0.67,0.38,0.0,32.82,0.38,0.34,44.29,86.62,19.75,75.96,1.76,85.71,38.24,91.43,5.97,55.63,20.91,32.47,0.02,0.13,0.0,0.04,0.0,0.0,0.08,4.96,76.27,0.25,50.0,0.29,42.86,0.13,0.08,9.83,69.23,97.23,19.71,0,,0,,0,0.0,0.0,0.0,,,0.92,,2.9,0.0,0.0,0.0,0.0,0,0.0
R. Williams,Ryan Williams,-98028,North Carolina Courage,North Carolina Courage,https://cdn5.wyscout.com/photos/team/public/g38335_120x120.png,NWSL,"RWB, RB, RCB3",RWB,51,RB,36,RCB3,10,29.0,1996-02-23,0,,21,2117,1,1.22,2,2.69,12.75,52.0,United States,['United States'],,170,0,False,9.1,6.08,70.63,1.23,34.48,0.04,0.06,0.47000000000000003,4.76,6.52,0.72,1,0.04,0,0.0,1.87,0.04,1,0.04,0.05,0,0.0,12,0.51,41.67,8.333,0.09,2.76,40.0,0.0,0.0,2.76,40.0,0.51,1.3599999999999999,40.63,4.04,28.42,1.57,2.38,0.51,35.29,2.13,0.21,47.57,81.86,15.86,75.07,8.46,91.96,42.34,87.45,2.47,32.76,16.86,30.35,0.11,0.89,0.0,0.0,0.0,0.0,0.64,4.76,71.43,2.34,36.36,0.30000000000000004,28.57,0.21,1.11,7.44,69.71,85.02,13.9,0,,0,,0,0.0,0.0,0.0,,,1.15,,1.23,0.04,0.0,0.0,0.0,0,0.0
K. Kurtz,Kaleigh Kurtz,497105,North Carolina Courage,North Carolina Courage,https://cdn5.wyscout.com/photos/team/public/g38335_120x120.png,NWSL,"CB, RCB",CB,59,RCB,28,,0,31.0,1994-09-09,0,2025-12-31,21,2117,1,0.5700000000000001,0,0.16,8.76,64.08,United States,['United States'],,0,0,False,8.21,3.7800000000000002,74.16,2.76,60.0,0.04,0.06,0.85,5.36,7.34,0.51,1,0.04,0,0.0,0.21,0.04,1,0.04,0.02,0,0.0,8,0.34,25.0,12.5,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.04,0.21,60.0,1.06,48.0,0.30000000000000004,0.17,0.0,37.58,0.0,0.51,52.84,82.94,21.6,67.52,2.68,92.06,43.62,90.84,9.14,46.05,22.42,39.09,0.01,0.13,0.0,0.0,0.0,0.0,0.04,7.44,48.57,0.72,17.65,0.9400000000000001,27.27,0.13,0.0,9.69,58.77,95.17,25.55,0,,0,,0,0.0,0.0,0.0,,,2.0,,2.76,0.04,0.0,0.0,0.0,0,0.0
T. Malham,Taylor Malham,-198847,Chicago Stars,Chicago Stars,https://cdn5.wyscout.com/photos/team/public/g12979_120x120.png,NWSL,LB,LB,85,,0,,0,26.0,1999-05-20,0,,21,2111,0,0.33,1,0.9400000000000001,15.95,54.28,United States,['United States'],,178,0,False,9.76,8.06,66.14,1.45,52.94,0.13,0.16,0.04,4.31,5.48,0.6000000000000001,3,0.13,0,0.0,1.45,0.0,0,0.0,0.01,0,0.0,5,0.21,0.0,0.0,0.04,1.71,30.0,1.62,28.95,0.09,50.0,0.34,1.32,70.97,4.99,40.17,0.68,1.28,0.17,19.01,0.98,0.64,30.57,73.92,11.72,62.18,6.27,94.56,24.64,82.01,4.43,44.23,18.91,30.12,0.04,0.21,0.0,0.0,0.0,0.0,0.26,3.58,57.14,1.53,36.11,0.47000000000000003,27.27,0.30000000000000004,0.43,6.35,56.38,74.47,8.02,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.45,0.0,0.0,0.0,0.0,0,0.0
T. McKeown,Tara Mckeown,-56418,Washington Spirit,Washington Spirit,https://cdn5.wyscout.com/photos/team/public/g24154_120x120.png,NWSL,"RCB, CB, RCB3",RCB,51,CB,18,RCB3,17,26.0,1999-07-02,0,,21,2105,0,0.72,2,1.31,11.84,62.82,United States,['United States'],,174,0,False,9.49,5.3,70.97,2.27,56.6,0.30000000000000004,0.45,0.51,5.43,8.25,0.6000000000000001,2,0.09,0,0.0,0.68,0.0,0,0.0,0.03,0,0.0,9,0.38,0.0,0.0,0.09,0.51,50.0,0.13,66.67,0.34,50.0,0.17,0.73,58.82,3.04,54.93,0.68,1.11,0.17,31.98,0.13,0.81,46.86,81.84,20.22,69.34,1.8,88.1,40.49,88.07,5.86,41.61,18.95,33.72,0.06,0.26,0.0,0.0,0.04,0.0,0.17,6.16,64.58,1.24,37.93,0.64,26.67,0.26,0.26,8.72,57.35,94.88,19.2,0,,0,,0,0.0,0.0,0.0,,,1.15,,2.27,0.04,0.0,0.0,0.0,0,0.0
K. Dali,Kenza Dali,109723,San Diego Wave,San Diego Wave,https://cdn5.wyscout.com/photos/team/public/g-15384_120x120.png,NWSL,"LDMF, AMF",LDMF,51,AMF,10,,0,34.0,1991-07-31,0,,21,2104,3,2.55,1,4.55,11.59,43.91,France,['France'],right,165,62,False,4.71,3.64,60.0,0.68,56.25,0.04,0.07,0.04,2.48,3.96,0.73,1,0.04,0,0.0,2.65,0.13,3,0.13,0.11,0,0.0,43,1.8399999999999999,34.88,6.977,0.04,1.88,56.82,0.47000000000000003,45.45,1.37,59.38,0.43,1.4100000000000001,54.55,6.37,32.89,1.28,3.04,0.9400000000000001,42.09,0.43,0.21,56.98,86.11,16.13,75.86,12.83,96.0,52.14,89.01,2.95,53.62,15.76,28.44,0.19,1.37,0.09,0.0,0.43,40.0,0.30000000000000004,6.16,71.53,3.68,67.44,0.64,46.67,1.75,1.07,7.06,73.33,89.66,17.37,0,,0,,0,0.0,0.0,0.0,,,1.58,,0.68,0.98,0.21,40.0,3.38,0,0.0
C. Dickey,Claudia Dickey,520498,Seattle Reign FC,Seattle Reign FC,https://cdn5.wyscout.com/photos/team/public/g24153_120x120.png,NWSL,GK,GK,100,,0,,0,25.0,2000-01-06,0,,21,2091,0,0.0,0,0.0,0.52,91.67,United States,['United States'],,177,0,False,0.8200000000000001,0.04,100.0,0.34,100.0,0.0,0.0,0.0,0.77,0.9400000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,66.67,0.0,0.0,0.0,18.59,0.09,0.09,26.56,85.25,11.75,68.86,0.0,0.0,18.72,99.77,7.83,50.55,25.61,43.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,33.33,0.13,0.0,0.04,0.0,0.0,0.0,5.34,59.68,98.02,13.04,25,1.08,101,4.35,6,75.25,31.59,1.3599999999999999,6.59,0.28400000000000003,0.0,1.08,0.34,,,,0.0,0,0.0
A. Kingsbury,Aubrey Renee Kingsbury Bledsoe,359435,Washington Spirit,Washington Spirit,https://cdn5.wyscout.com/photos/team/public/g24154_120x120.png,NWSL,GK,GK,100,,0,,0,33.0,1991-11-20,0,,20,2065,0,0.0,0,0.0,0.7000000000000001,100.0,United States,['United States'],right,175,0,False,1.74,0.09,100.0,0.44,100.0,0.0,0.0,0.0,1.6600000000000001,2.51,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,10.72,0.0,0.26,19.66,91.13,6.71,80.52,0.0,0.0,16.3,98.66,3.27,56.0,22.19,37.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,16.67,0.0,0.0,0.0,0.0,0.0,0.0,2.44,48.21,97.0,10.15,23,1.0,92,4.01,7,75.0,29.7,1.29,6.7,0.292,0.0,1.26,0.44,,,,0.0,0,0.0
G. Carle,Gabrielle Carle,333490,Washington Spirit,Washington Spirit,https://cdn5.wyscout.com/photos/team/public/g24154_120x120.png,NWSL,"RB, LB, RWB",RB,36,LB,28,RWB,19,26.0,1998-10-12,0,,21,2065,0,1.22,0,0.88,13.29,59.34,Canada,['Canada'],left,168,0,False,8.02,6.28,73.61,1.6099999999999999,37.84,0.09,0.13,0.13,3.31,4.94,0.7000000000000001,1,0.04,0,0.0,1.3900000000000001,0.0,0,0.0,0.05,0,0.0,7,0.31,0.0,0.0,0.0,1.53,25.71,0.52,25.0,1.0,26.09,0.09,1.53,65.71,4.45,48.04,0.44,1.96,0.22,20.53,1.05,0.87,29.94,72.34,12.12,61.51,5.14,89.83,25.19,80.45,3.27,30.67,17.3,30.69,0.04,0.31,0.13,0.0,0.0,0.0,0.09,3.9699999999999998,62.64,2.14,42.86,0.26,0.0,0.39,0.44,6.8,59.62,75.14,7.54,0,,0,,0,0.0,0.0,0.0,,,0.26,,1.6099999999999999,0.0,0.0,0.0,0.0,0,0.0
