Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Svilar,Mile Svilar,372247,Roma,Roma,https://cdn5.wyscout.com/photos/team/public/87_120x120.png,Serie A,GK,GK,100,,0,,0,26.0,1999-08-27,0,2030-06-30,20,1964,0,0.0,0,0.0,0.6900000000000001,80.0,Belgium,"['Belgium', 'Serbia']",right,189,77,False,0.96,0.05,100.0,0.32,71.43,0.0,0.0,0.0,0.92,1.37,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.23,0.18,23.74,89.58,8.66,76.72,0.05,100.0,17.32,98.41,6.32,66.67,29.16,48.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,57.14,0.0,0.0,0.05,0.0,0.0,0.0,4.99,72.48,97.73,14.11,12,0.55,73,3.35,9,83.56,17.09,0.78,5.09,0.233,0.05,1.01,0.32,,,,0.0,0,0.0
I. Provedel,Ivan Provedel,282888,Lazio,Lazio,https://cdn5.wyscout.com/photos/team/public/81_120x120.png,Serie A,GK,GK,100,,0,,0,31.0,1994-03-17,14000000,2027-06-30,20,1962,0,0.0,0,0.0,0.41000000000000003,100.0,Italy,['Italy'],right,192,84,False,0.8300000000000001,0.0,0.0,0.32,100.0,0.0,0.0,0.0,0.8300000000000001,1.02,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15,0.32,0.09,23.72,85.69,12.11,75.38,0.0,0.0,15.87,98.84,7.84,59.06,31.45,44.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7000000000000002,56.76,0.14,0.0,0.18,25.0,0.0,0.0,5.41,66.1,96.67,11.01,16,0.73,81,3.7199999999999998,10,80.25,20.57,0.9400000000000001,4.57,0.21,0.0,1.33,0.32,,,,0.0,0,0.0
S. Canestrelli,Simone Canestrelli,521940,Pisa,Pisa,https://cdn5.wyscout.com/photos/team/public/189_120x120.png,Serie A,"LCB3, RCB3",LCB3,57,RCB3,30,,0,25.0,2000-09-11,1800000,2028-06-30,20,1959,0,1.0,0,0.12,12.91,59.07,Italy,['Italy'],right,192,85,False,7.95,4.23,70.65,5.6,57.38,0.09,0.11,0.6000000000000001,4.87,5.7,0.8300000000000001,2,0.09,0,0.0,0.28,0.0,0,0.0,0.05,0,0.0,5,0.23,20.0,0.0,0.0,0.23,40.0,0.14,0.0,0.09,100.0,0.0,0.23,60.0,0.8300000000000001,33.33,1.01,0.55,0.14,18.33,0.09,0.51,30.78,81.04,14.01,68.85,1.42,90.32,26.55,86.68,4.0,45.98,19.77,37.39,0.01,0.14,0.0,0.0,0.0,0.0,0.05,2.76,63.33,0.28,33.33,0.14,100.0,0.09,0.09,5.88,53.91,93.93,11.35,0,,0,,0,0.0,0.0,0.0,,,1.06,,5.6,0.0,0.0,0.0,0.0,0,0.0
M. Koné,Kouadio Manu Koné,-114242,Roma,Roma,https://cdn5.wyscout.com/photos/team/public/87_120x120.png,Serie A,"LCMF, RCMF",LCMF,78,RCMF,12,,0,24.0,2001-05-17,0,2029-06-30,20,1951,2,1.65,0,1.45,17.81,48.96,France,"['France', ""Côte d'Ivoire""]",right,185,80,False,7.43,6.37,64.49,1.75,44.74,0.6900000000000001,1.03,0.09,2.63,3.91,1.75,2,0.09,0,0.0,0.97,0.09,2,0.09,0.08,1,0.05,16,0.74,25.0,12.5,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,1.52,48.48,7.7,38.92,1.25,1.94,0.37,33.26,0.55,1.85,43.78,92.52,14.02,88.16,5.9,93.75,42.44,93.48,1.29,64.29,15.97,24.86,0.07,0.78,0.09,0.05,0.14,33.33,0.28,5.49,91.6,1.15,88.0,0.14,33.33,1.29,0.0,5.12,85.59,95.77,16.38,0,,0,,0,0.0,0.0,0.0,,,0.51,,1.75,0.0,0.0,0.0,0.0,0,0.0
M. Carnesecchi,Marco Carnesecchi,467654,Atalanta,Atalanta,https://cdn5.wyscout.com/photos/team/public/74_120x120.png,Serie A,GK,GK,100,,0,,0,25.0,2000-07-01,16000000,2028-06-30,20,1940,0,0.0,1,0.0,0.84,94.44,Italy,['Italy'],right,191,83,False,1.48,0.09,50.0,0.65,100.0,0.0,0.0,0.0,1.44,1.96,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,19.39,0.28,0.23,24.87,88.99,12.43,79.1,0.0,0.0,15.96,98.84,8.86,71.73,31.49,49.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.9500000000000002,61.9,0.0,0.0,0.05,0.0,0.0,0.0,6.96,80.0,99.2,11.64,19,0.88,77,3.5700000000000003,7,75.32,23.65,1.1,4.65,0.216,0.0,1.02,0.65,,,,0.0,0,0.0
J. Karlström,Jesper Karlström,228893,Udinese,Udinese,https://cdn5.wyscout.com/photos/team/public/91_120x120.png,Serie A,DMF,DMF,83,,0,,0,30.0,1995-06-21,1800000,2026-06-30,20,1924,1,1.07,0,0.31,11.65,52.21,Sweden,['Sweden'],right,182,81,False,7.48,4.21,68.89,1.96,47.62,0.37,0.49,0.23,4.21,5.5600000000000005,0.89,4,0.19,0,0.0,0.61,0.05,1,0.05,0.05,0,0.0,10,0.47000000000000003,20.0,10.0,0.0,0.42,33.33,0.09,0.0,0.33,42.86,0.05,0.7000000000000001,53.33,2.95,34.92,0.61,0.75,0.14,20.82,0.14,0.89,34.52,82.25,12.44,68.42,4.3,96.74,29.52,89.22,4.58,41.84,18.64,35.76,0.01,0.28,0.0,0.0,0.0,0.0,0.14,5.47,67.52,0.84,44.44,0.28,16.67,0.28,0.19,5.52,64.41,91.67,11.79,0,,0,,0,0.0,0.0,0.0,,,0.65,,1.96,0.05,0.0,0.0,0.0,0,0.0
David de Gea,David de Gea Quintana,61954,Fiorentina,Fiorentina,https://cdn5.wyscout.com/photos/team/public/78_120x120.png,Serie A,GK,GK,100,,0,,0,35.0,1990-11-07,5000000,2028-06-30,19,1890,0,0.0,0,0.0,0.48,90.0,Spain,['Spain'],right,192,76,False,0.43,0.1,50.0,0.29,100.0,0.0,0.0,0.0,0.38,0.56,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,16.86,0.1,0.14,21.81,82.1,12.86,72.22,0.0,0.0,13.52,97.18,8.29,57.47,32.82,50.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.44,0.29,0.0,0.29,16.67,0.0,0.0,6.19,74.62,96.61,8.43,30,1.43,94,4.48,3,68.09,28.96,1.38,-1.04,-0.05,0.0,0.67,0.29,,,,0.0,0,0.0
J. Vásquez,Johan Felipe Vásquez Ibarra,490114,Genoa,Genoa,https://cdn5.wyscout.com/photos/team/public/92_120x120.png,Serie A,"LCB3, LCB",LCB3,53,LCB,45,,0,27.0,1998-10-22,10000000,2028-06-30,19,1887,0,1.43,0,0.0,11.35,57.14,Mexico,['Mexico'],left,184,72,False,7.54,4.24,67.42,4.15,49.43,0.33,0.47000000000000003,0.76,4.34,6.07,0.72,1,0.05,0,0.0,0.43,0.0,0,0.0,0.07,0,0.0,15,0.72,26.67,0.0,0.0,0.14,33.33,0.14,33.33,0.0,0.0,0.05,0.24,60.0,1.53,53.13,0.76,1.34,0.0,30.38,0.29,0.86,44.26,84.81,15.64,66.46,3.39,92.96,38.01,91.59,6.1,43.75,20.62,35.28,0.0,0.1,0.0,0.0,0.05,100.0,0.05,5.72,65.0,0.48,20.0,0.48,10.0,0.1,0.05,7.44,60.26,97.55,19.46,0,,0,,0,0.0,0.0,0.0,,,1.81,,4.15,0.0,0.0,0.0,0.0,0,0.0
A. Murić,Arijanet Murić,453110,Sassuolo,Sassuolo,https://cdn5.wyscout.com/photos/team/public/196_120x120.png,Serie A,GK,GK,100,,0,,0,27.0,1998-11-07,7000000,2028-06-30,19,1874,0,0.0,0,0.11,0.96,85.0,Switzerland,"['Switzerland', 'Kosovo']",right,197,81,True,1.58,0.05,0.0,0.8200000000000001,94.12,0.0,0.0,0.0,1.58,1.9,0.05,4,0.19,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,13.83,0.1,0.14,22.09,87.83,11.29,77.45,0.0,0.0,13.83,97.92,8.26,70.93,31.1,47.84,0.01,0.05,0.0,0.0,0.0,0.0,0.0,2.11,70.45,0.19,0.0,0.29,33.33,0.0,0.0,6.72,80.71,98.48,9.51,25,1.2,101,4.85,4,75.25,25.67,1.23,0.67,0.032,0.0,3.22,0.8200000000000001,,,,0.0,0,0.0
F. Baschirotto,Federico Baschirotto,393866,Cremonese,Cremonese,https://cdn5.wyscout.com/photos/team/public/197_120x120.png,Serie A,CB,CB,90,,0,,0,29.0,1996-09-20,6000000,2028-06-30,19,1871,2,0.98,0,0.0,13.23,57.82,Italy,['Italy'],right,184,77,False,9.62,6.83,62.68,3.46,48.61,0.19,0.24,1.25,5.15,6.34,1.2,1,0.05,0,0.0,0.24,0.1,2,0.1,0.05,2,0.1,8,0.38,50.0,25.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.38,25.0,0.58,0.29,0.05,23.76,0.1,0.1,37.66,86.08,13.52,72.24,2.93,98.36,32.85,91.36,4.71,51.02,21.41,39.27,0.0,0.0,0.0,0.0,0.05,100.0,0.0,3.61,56.0,0.58,25.0,0.19,25.0,0.05,0.05,5.34,62.16,93.8,17.08,0,,0,,0,0.0,0.0,0.0,,,2.45,,3.46,0.0,0.0,0.0,0.0,0,0.0
