Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Stewart,Ross Stewart,279026,Queen of the South,Queen of the South,https://cdn5.wyscout.com/photos/team/public/1229_120x120.png,League One,GK,GK,100,,0,,0,30.0,1995-04-10,150000,2026-05-31,25,2408,0,0.0,0,0.0,0.86,86.36,Scotland,['Scotland'],right,191,71,False,1.44,0.04,100.0,0.43,90.91,0.0,0.0,0.0,1.4,2.02,0.0,4,0.15,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,75.0,0.0,0.0,0.0,14.1,0.35000000000000003,0.31,23.33,82.8,13.67,72.65,0.0,0.0,11.96,98.05,11.33,67.01,36.85,49.07,0.0,0.0,0.04,0.0,0.0,0.0,0.0,5.06,60.77,0.19,40.0,0.23,33.33,0.04,0.0,7.67,84.26,97.46,9.19,32,1.25,113,4.4,6,71.68,33.68,1.31,1.6800000000000002,0.065,0.0,1.6,0.43,,,,0.0,0,0.0
D. Devine,Daniel Devine,158891,Inverness CT,Inverness CT,https://cdn5.wyscout.com/photos/team/public/304_120x120.png,League One,RCB,RCB,100,,0,,0,33.0,1992-09-07,200000,2027-05-31,25,2385,1,2.36,0,0.52,15.92,59.95,Northern Ireland,['Northern Ireland'],right,183,70,False,8.79,5.62,73.15,6.64,53.98,0.08,0.12,0.42,4.6,7.47,1.25,6,0.23,0,0.0,0.5700000000000001,0.04,1,0.04,0.09,0,0.0,15,0.5700000000000001,26.67,6.667,0.0,0.53,50.0,0.0,0.0,0.49,53.85,0.0,0.15,75.0,1.17,51.61,1.06,1.51,0.0,41.21,0.6000000000000001,0.6000000000000001,63.25,81.5,34.49,73.41,2.3,91.8,50.49,90.06,12.23,47.53,22.45,38.08,0.02,0.30000000000000004,0.0,0.04,0.04,100.0,0.11,10.11,53.73,1.74,34.78,1.09,24.14,0.38,0.26,15.55,70.63,93.73,21.66,0,,0,,0,0.0,0.0,0.0,,,1.3599999999999999,,6.64,0.0,0.0,0.0,0.0,0,0.0
R. Munro,Ross Munro,451119,Inverness CT,Inverness CT,https://cdn5.wyscout.com/photos/team/public/304_120x120.png,League One,GK,GK,100,,0,,0,25.0,2000-04-01,75000,2026-05-31,25,2385,0,0.0,0,0.08,0.8300000000000001,95.45,Scotland,['Scotland'],left,182,83,False,0.98,0.04,100.0,0.5700000000000001,100.0,0.0,0.0,0.0,0.9400000000000001,1.53,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,13.85,0.11,0.26,20.75,88.0,10.04,77.44,0.0,0.0,14.75,98.72,6.0,61.64,29.05,47.9,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.62,41.86,0.15,0.0,0.19,0.0,0.0,0.0,3.7,68.37,98.04,9.62,16,0.6000000000000001,59,2.23,15,72.88,19.34,0.73,3.34,0.126,0.0,1.58,0.5700000000000001,,,,0.0,0,0.0
R. Savage,Remi Savage,506414,Inverness CT,Inverness CT,https://cdn5.wyscout.com/photos/team/public/304_120x120.png,League One,LCB,LCB,99,,0,,0,24.0,2001-10-26,0,2026-05-31,25,2385,0,0.45,1,0.42,17.32,67.1,England,['England'],left,0,0,False,8.57,6.11,78.4,5.51,58.22,0.08,0.12,0.64,3.7,6.0,0.98,6,0.23,1,0.04,0.15,0.0,0,0.0,0.02,0,0.0,2,0.08,0.0,0.0,0.04,0.08,100.0,0.08,100.0,0.0,0.0,0.04,0.23,33.33,2.38,47.62,0.15,1.06,0.0,34.08,0.42,1.02,52.87,87.65,23.85,78.16,3.96,99.05,45.7,92.82,7.09,54.26,22.57,42.06,0.02,0.15,0.0,0.0,0.11,0.0,0.11,7.74,65.85,1.09,37.93,0.72,21.05,0.23,0.08,10.64,76.95,96.25,21.13,0,,0,,0,0.0,0.0,0.0,,,3.13,,5.51,0.0,0.0,0.0,0.0,0,0.0
J. Newman,Jack Newman,475129,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,GK,GK,100,,0,,0,24.0,2002-02-12,150000,2026-05-31,25,2385,0,0.0,0,0.0,0.75,78.95,England,"['England', 'Scotland']",right,192,80,False,1.9300000000000002,0.2,60.0,0.35000000000000003,88.89,0.0,0.0,0.0,1.81,2.75,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,9.56,0.08,0.16,17.23,81.51,10.7,71.32,0.0,0.0,8.42,97.66,8.81,66.07,35.34,47.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,48.94,0.12,0.0,0.2,40.0,0.04,0.0,6.69,76.47,98.08,6.14,45,1.77,103,4.05,2,56.31,34.31,1.35,-10.69,-0.42,0.0,1.3,0.35000000000000003,,,,0.0,0,0.0
D. Jamieson,Darren Jamieson,87738,Stenhousemuir,Stenhousemuir,https://cdn5.wyscout.com/photos/team/public/g1929_120x120.png,League One,GK,GK,100,,0,,0,35.0,1991-02-15,0,2026-05-31,25,2379,0,0.0,0,0.0,0.36,77.78,Scotland,['Scotland'],right,185,71,False,1.18,0.04,0.0,0.12,100.0,0.0,0.0,0.0,1.18,1.6099999999999999,0.04,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,9.0,0.16,0.24,18.43,70.02,14.21,63.06,0.0,0.0,6.24,93.04,12.12,58.63,44.98,53.73,0.0,0.0,0.0,0.04,0.0,0.0,0.0,6.36,54.04,0.59,13.33,0.43,36.36,0.08,0.0,8.53,80.56,94.06,3.99,21,0.8300000000000001,92,3.63,10,77.17,23.62,0.93,2.62,0.10300000000000001,0.0,1.34,0.12,,,,0.0,0,0.0
G. Buchanan,Gregor Buchanan,254599,Stenhousemuir,Stenhousemuir,https://cdn5.wyscout.com/photos/team/public/g1929_120x120.png,League One,"RCB, CB",RCB,77,CB,17,,0,35.0,1990-03-31,0,2027-05-31,25,2364,0,1.03,0,0.1,13.59,65.2,Scotland,['Scotland'],right,191,76,False,6.79,3.14,72.15,7.19,66.3,0.24,0.32,0.32,4.29,5.84,0.91,8,0.30000000000000004,0,0.0,0.12,0.0,0,0.0,0.04,0,0.0,10,0.4,20.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.04,100.0,0.52,53.85,0.6000000000000001,0.2,0.0,10.25,0.2,0.79,25.35,69.44,15.58,57.91,1.5899999999999999,100.0,16.25,83.13,9.06,45.18,27.03,42.19,0.0,0.04,0.0,0.0,0.0,0.0,0.0,6.64,47.9,0.64,18.75,0.36,22.22,0.24,0.04,8.54,62.33,88.55,6.6,0,,0,,0,0.0,0.0,0.0,,,1.31,,7.19,0.08,0.0,0.0,0.0,0,0.0
M. Douglas,Matthew Douglas,361549,Queen of the South,Queen of the South,https://cdn5.wyscout.com/photos/team/public/1229_120x120.png,League One,RCB,RCB,92,,0,,0,28.0,1998-01-17,0,2026-05-31,25,2360,5,2.13,0,0.55,13.47,59.83,England,['England'],,188,79,False,8.45,3.5,61.11,7.05,65.19,0.23,0.34,0.7000000000000001,6.08,8.76,0.58,6,0.23,0,0.0,0.55,0.19,5,0.19,0.08,4,0.16,17,0.66,47.06,29.412,0.0,0.23,50.0,0.04,100.0,0.19,40.0,0.08,0.31,37.5,1.25,37.5,1.09,0.58,0.0,19.67,0.27,0.74,36.06,77.0,19.78,67.32,1.71,90.91,26.72,86.88,9.11,48.72,25.23,41.03,0.02,0.12,0.08,0.0,0.0,0.0,0.04,7.48,54.17,0.66,29.41,0.43,27.27,0.23,0.16,9.46,70.37,89.78,12.19,0,,0,,0,0.0,0.0,0.0,,,1.4,,7.05,0.0,0.0,0.0,0.0,0,0.0
R. Lyon,Reece Lyon,-101433,Queen of the South,Queen of the South,https://cdn5.wyscout.com/photos/team/public/1229_120x120.png,League One,"AMF, RDMF, LDMF",AMF,24,RDMF,23,LDMF,20,25.0,2000-03-13,0,2026-05-31,25,2309,5,3.2800000000000002,3,2.7800000000000002,16.8,47.46,Scotland,['Scotland'],right,183,64,False,5.05,4.48,57.27,3.09,55.26,0.04,0.06,0.28,2.44,3.5,1.34,5,0.19,0,0.0,1.46,0.19,5,0.2,0.13,4,0.16,32,1.3,31.25,15.625,0.12,0.6900000000000001,47.06,0.33,50.0,0.33,50.0,0.08,1.34,48.48,6.27,35.71,2.12,1.75,0.24,26.65,1.22,1.3,40.93,86.98,10.74,75.38,8.14,97.0,37.43,90.0,2.9699999999999998,57.53,19.04,33.64,0.11,0.98,0.0,0.12,0.08,100.0,0.49,5.29,71.54,1.3,50.0,0.16,25.0,0.9,0.24,5.05,70.97,91.75,16.76,0,,0,,0,0.0,0.0,0.0,,,2.32,,3.09,0.0,0.0,0.0,0.0,0,0.0
D. Forrest,Dylan Forrest,-57279,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,"RDMF, DMF",RDMF,40,DMF,29,,0,24.0,2002-01-14,0,2026-05-31,25,2290,2,0.97,0,0.52,19.17,56.53,Scotland,['Scotland'],,0,0,False,9.85,7.55,63.04,3.7800000000000002,48.91,0.33,0.49,0.29,4.76,7.18,1.15,6,0.24,0,0.0,0.7000000000000001,0.08,2,0.08,0.04,0,0.0,17,0.7000000000000001,23.53,11.765,0.0,0.41000000000000003,30.0,0.21,20.0,0.04,100.0,0.08,0.8200000000000001,50.0,4.84,48.31,0.16,0.86,0.0,21.67,0.33,2.3,39.64,75.36,18.59,63.36,3.37,90.24,32.83,81.38,6.4,47.44,18.77,32.81,0.02,0.25,0.0,0.0,0.08,0.0,0.08,8.0,63.08,1.72,35.71,0.37,22.22,0.53,0.16,7.84,73.3,89.27,11.86,0,,0,,0,0.0,0.0,0.0,,,0.45,,3.7800000000000002,0.86,0.04,0.0,0.0,0,0.0
R. Mutch,Robbie Mutch,449231,Cove Rangers,Cove Rangers,https://cdn5.wyscout.com/photos/team/public/g4631_120x120.png,League One,GK,GK,100,,0,,0,27.0,1998-08-20,25000,2027-05-31,24,2285,0,0.0,0,0.0,0.8200000000000001,85.0,Scotland,['Scotland'],right,194,0,False,1.28,0.04,0.0,0.41000000000000003,80.0,0.0,0.0,0.0,1.28,1.65,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,9.76,0.25,0.33,19.06,77.32,11.49,66.31,0.0,0.0,10.95,98.12,8.03,49.74,35.98,50.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,40.51,0.29,0.0,0.25,16.67,0.0,0.0,4.98,70.25,94.32,7.25,30,1.24,117,4.82,5,74.36,39.66,1.63,9.66,0.398,0.0,1.73,0.41000000000000003,,,,0.0,0,0.0
K. Shanks,Kieran  Shanks,-353307,Peterhead,Peterhead,https://cdn5.wyscout.com/photos/team/public/2927_120x120.png,League One,CF,CF,98,,0,,0,23.0,2002-04-30,0,2026-05-31,25,2284,12,13.48,3,1.22,33.88,34.75,Scotland,['Scotland'],right,0,0,False,3.98,3.45,61.9,10.71,28.35,0.16,0.25,0.21,1.6800000000000002,2.5700000000000003,2.38,6,0.24,0,0.0,2.13,0.47000000000000003,8,0.33,0.55,1,0.04,59,2.42,38.98,18.644,0.12,1.3900000000000001,20.59,0.45,27.27,0.9400000000000001,17.39,0.12,1.31,68.75,12.22,35.91,3.81,0.86,0.21,10.21,2.42,2.87,17.11,61.15,4.92,44.17,3.49,81.18,14.93,64.56,0.78,68.42,15.46,17.59,0.05,0.8200000000000001,0.08,0.04,0.08,0.0,0.29,2.46,45.0,1.52,45.95,0.12,33.33,0.74,0.29,2.05,74.0,60.19,4.23,0,,0,,0,0.0,0.0,0.0,,,0.04,,10.71,0.0,0.0,0.0,0.0,4,75.0
