Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
V. Gavriilidis,Vasilios Gavriilidis,170479,Kavala,Kavala,https://cdn5.wyscout.com/photos/team/public/1550_120x120.png,Super League 2,"LDMF, LCMF",LDMF,79,LCMF,18,,0,32.0,1992-10-20,250000,,4,394,0,0.15,0,0.0,16.45,55.56,Greece,['Greece'],right,186,70,False,10.74,7.08,64.52,3.65,56.25,0.23,0.28,0.46,5.94,7.29,1.6,1,0.23,0,0.0,0.46,0.0,0,0.0,0.03,0,0.0,3,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,50.0,2.9699999999999998,46.15,0.91,0.23,0.23,18.73,0.23,1.1400000000000001,34.72,82.89,9.59,61.9,4.57,100.0,31.75,87.77,2.9699999999999998,30.77,17.24,39.34,0.0,0.0,0.23,0.0,0.0,0.0,0.0,3.2,28.57,0.6900000000000001,66.67,0.23,0.0,0.46,0.0,3.65,43.75,92.73,12.56,0,,0,,0,0.0,0.0,0.0,,,0.23,,3.65,0.0,0.0,0.0,0.0,0,0
M. Giannikoglou,Makis Giannikoglou,208624,Kavala,Kavala,https://cdn5.wyscout.com/photos/team/public/1550_120x120.png,Super League 2,GK,GK,100,,0,,0,32.0,1993-03-25,175000,,4,394,0,0.0,0,0.0,0.0,0.0,Greece,['Greece'],right,189,85,False,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,1.6800000000000002,0.0,2,0.46,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.23,0.0,13.93,83.61,8.45,78.38,0.0,0.0,6.62,100.0,7.31,68.75,35.72,49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,66.67,0.0,0.0,0.46,100.0,0.23,0.0,5.71,80.0,91.3,5.25,4,0.91,11,2.51,1,63.64,1.92,0.44,-2.08,-0.47500000000000003,0.0,0.46,0.0,,,,0.0,0,0
M. Sifneos,Mark Sifneos,401970,Kavala,Kavala,https://cdn5.wyscout.com/photos/team/public/1550_120x120.png,Super League 2,CF,CF,100,,0,,0,28.0,1996-11-24,0,,4,394,2,1.25,0,0.15,30.38,39.1,Netherlands,"['Netherlands', 'Greece']",right,192,83,False,2.9699999999999998,3.43,46.67,10.28,42.22,0.0,0.0,0.23,1.37,1.6800000000000002,2.2800000000000002,2,0.46,0,0.0,0.91,0.46,1,0.23,0.29,0,0.0,5,1.1400000000000001,40.0,40.0,0.0,0.46,0.0,0.46,0.0,0.0,0.0,0.23,0.91,50.0,12.11,28.3,2.2800000000000002,0.0,0.0,8.45,2.51,3.88,15.08,75.76,2.2800000000000002,50.0,5.25,100.0,14.16,80.65,0.46,0.0,13.39,11.43,0.03,0.23,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.46,50.0,0.0,0.0,0.6900000000000001,0.0,0.6900000000000001,66.67,52.94,3.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,10.28,0.23,0.23,0.0,0.0,1,100
M. Aliatidis,Manolis Aliatidis,467453,Kavala,Kavala,https://cdn5.wyscout.com/photos/team/public/1550_120x120.png,Super League 2,LCB,LCB,97,,0,,0,30.0,1995-02-05,125000,,4,394,0,0.0,0,0.0,11.42,68.0,Greece,['Greece'],left,185,0,False,7.99,5.48,87.5,2.51,63.64,0.46,0.56,0.0,2.74,3.36,1.1400000000000001,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,50.0,0.0,1.1400000000000001,0.0,21.24,0.0,0.91,30.61,79.1,16.9,66.22,0.6900000000000001,100.0,21.02,86.96,9.59,61.9,27.49,41.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,54.17,0.23,0.0,0.0,0.0,0.23,0.0,7.99,77.14,96.08,11.65,0,,0,,0,0.0,0.0,0.0,,,0.46,,2.51,0.0,0.0,0.0,0.0,0,0
T. Zoulias,Theodoros Zoulias,-640925,Panionios,Panionios,https://cdn5.wyscout.com/photos/team/public/434_120x120.png,Super League 2,RCB,RCB,98,,0,,0,22.0,2003-04-27,0,,4,392,0,0.0,0,0.0,13.32,46.55,Greece,['Greece'],unknown,0,0,False,8.27,5.51,75.0,3.21,35.71,0.0,0.0,0.46,4.13,6.28,1.38,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,2.5300000000000002,18.18,0.0,1.15,0.0,25.94,0.23,0.23,37.42,85.89,12.4,75.93,2.3,100.0,33.75,89.8,3.67,50.0,20.79,36.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,61.54,0.46,50.0,0.0,0.0,0.23,0.0,7.8100000000000005,64.71,93.1,19.97,0,,0,,0,0.0,0.0,0.0,,,1.6099999999999999,,3.21,0.0,0.0,0.0,0.0,0,0
S. Venardos,Spyros  Venardos,-524929,Panionios,Panionios,https://cdn5.wyscout.com/photos/team/public/434_120x120.png,Super League 2,RB,RB,98,,0,,0,26.0,1999-07-14,0,,4,392,0,0.01,0,0.24,18.14,68.35,Greece,['Greece'],unknown,0,0,False,10.33,6.89,73.33,3.44,60.0,0.46,0.7000000000000001,0.6900000000000001,4.82,7.33,1.38,0,0.0,0,0.0,1.38,0.0,0,0.0,0.0,0,0.0,2,0.46,0.0,0.0,0.0,2.5300000000000002,36.36,0.0,0.0,2.5300000000000002,36.36,0.46,0.92,50.0,7.12,64.52,0.46,1.38,0.46,19.29,1.6099999999999999,4.36,30.54,65.41,15.38,55.22,4.36,89.47,23.42,76.47,4.59,25.0,20.63,37.76,0.06,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,4.59,25.0,3.44,33.33,0.0,0.0,0.0,0.92,6.43,53.57,70.59,7.8100000000000005,0,,0,,0,0.0,0.0,0.0,,,0.46,,3.44,0.0,0.0,0.0,0.0,0,0
G. Stoupis,Georgios Stoupis,-253981,Panionios,Panionios,https://cdn5.wyscout.com/photos/team/public/434_120x120.png,Super League 2,"LDMF, LCMF, RCMF",LDMF,48,LCMF,33,RCMF,17,30.0,1994-12-16,0,,4,392,0,0.06,0,0.5,16.53,48.61,Greece,['Greece'],,0,0,False,7.8100000000000005,8.49,62.16,3.67,43.75,0.6900000000000001,1.05,0.0,1.8399999999999999,2.79,3.44,0,0.0,0,0.0,0.92,0.0,0,0.0,0.01,0,0.0,3,0.6900000000000001,33.33,0.0,0.0,0.6900000000000001,66.67,0.46,50.0,0.23,100.0,0.23,0.46,50.0,2.98,30.77,0.0,0.92,0.0,24.34,0.0,0.92,34.67,84.11,11.48,70.0,4.82,95.24,30.99,88.15,2.98,46.15,18.63,28.73,0.12,0.6900000000000001,0.0,0.0,0.0,0.0,0.23,5.74,56.0,1.15,80.0,0.0,0.0,0.23,0.46,3.9,88.24,87.88,15.15,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,3.67,0.23,0.0,0.0,0.0,0,0
A. Avlonitis,Anastasios Avlonitis,70534,Panionios,Panionios,https://cdn5.wyscout.com/photos/team/public/434_120x120.png,Super League 2,LCB,LCB,98,,0,,0,35.0,1990-01-01,100000,,4,392,0,0.0,0,0.01,7.35,68.75,Greece,['Greece'],right,190,85,False,5.74,0.92,75.0,3.9,76.47,0.0,0.0,0.6900000000000001,5.05,7.67,0.23,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,50.0,0.0,0.46,0.0,30.31,0.23,0.92,45.0,88.78,18.14,78.48,2.3,100.0,39.72,94.22,5.28,47.83,20.74,41.09,0.0,0.23,0.0,0.0,0.0,0.0,0.0,3.67,68.75,0.92,50.0,0.6900000000000001,66.67,0.46,0.0,6.2,74.07,95.35,19.74,0,,0,,0,0.0,0.0,0.0,,,1.8399999999999999,,3.9,0.0,0.0,0.0,0.0,0,0
N. Giannakopoulos,Nikolaos Giannakopoulos,262032,Panionios,Panionios,https://cdn5.wyscout.com/photos/team/public/434_120x120.png,Super League 2,GK,GK,100,,0,,0,32.0,1993-02-19,200000,,4,392,0,0.0,0,0.0,0.46,100.0,Greece,['Greece'],right,193,81,False,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.7000000000000001,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,100.0,0.0,0.0,0.0,14.01,0.0,0.46,22.04,92.71,12.63,89.09,0.0,0.0,13.78,98.33,8.27,83.33,28.47,46.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,80.0,0.23,0.0,0.0,0.0,0.0,0.0,6.89,83.33,97.14,8.04,3,0.6900000000000001,8,1.8399999999999999,1,62.5,2.59,0.6000000000000001,-0.41000000000000003,-0.094,0.0,1.15,0.0,,,,0.0,0,0
P. Panagiotou,Panagiotis Panagiotou,-105382,PAS Giannina,PAS Giannina,https://cdn5.wyscout.com/photos/team/public/1551_120x120.png,Super League 2,"RCB, LCB, CB",RCB,37,LCB,37,CB,23,23.0,2002-01-16,0,,4,391,0,0.07,0,0.0,15.42,70.15,Greece,['Greece'],right,184,70,False,8.52,6.45,75.0,6.45,67.86,0.23,0.33,0.6900000000000001,3.45,5.0,0.92,2,0.46,0,0.0,0.0,0.0,0,0.0,0.02,0,0.0,1,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,25.0,0.23,0.0,0.0,28.77,0.0,0.92,42.58,89.73,14.5,74.6,1.8399999999999999,100.0,35.22,94.77,7.37,65.63,23.41,43.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5300000000000002,63.64,0.46,50.0,0.0,0.0,0.23,0.0,7.6,63.64,98.06,23.71,0,,0,,0,0.0,0.0,0.0,,,1.8399999999999999,,6.45,0.0,0.0,0.0,0.0,0,0
