Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
R. Hoffmann,Ron-Torben Hoffmann,420674,Eintracht Braunschweig,Eintracht Braunschweig,https://cdn5.wyscout.com/photos/team/public/1121_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,26,1999-04-04,1000000,2027-06-30,9,925,0,0.0,0,0.0,0.97,100.0,Germany,['Germany'],right,192,87,False,1.3599999999999999,0.0,0.0,0.49,100.0,0.0,0.0,0.0,1.3599999999999999,1.7000000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,16.05,0.1,0.58,22.38,83.48,12.75,71.76,0.0,0.0,12.26,97.62,10.12,66.35,35.06,49.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,66.67,0.1,0.0,0.19,100.0,0.1,0.0,7.59,82.05,98.89,8.76,17,1.65,43,4.18,1,60.47,14.39,1.4,-2.61,-0.254,0.0,1.65,0.49,,,,0.0,0,0.0
L. Karius,Loris Karius,205201,Schalke 04,Schalke 04,https://cdn5.wyscout.com/photos/team/public/8_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,32,1993-06-22,1000000,2027-06-30,9,917,0,0.0,0,0.0,0.98,80.0,Germany,['Germany'],right,189,87,False,2.26,0.1,100.0,0.59,66.67,0.0,0.0,0.0,2.16,2.83,0.0,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,100.0,0.0,0.0,0.0,11.88,0.1,0.39,19.14,80.51,13.35,75.74,0.0,0.0,8.15,97.59,10.8,69.09,37.73,49.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42,66.67,0.1,0.0,0.49,40.0,0.0,0.0,8.54,80.46,96.15,5.1,5,0.49,28,2.75,4,82.14,10.79,1.06,5.79,0.5680000000000001,0.0,1.08,0.59,,,,0.0,0,0.0
D. Seimen,Dennis  Seimen,-200832,Paderborn,Paderborn,https://cdn5.wyscout.com/photos/team/public/347_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,19,2005-12-01,0,2029-06-30,9,917,0,0.0,0,0.0,0.59,83.33,Germany,"['Germany', 'Romania']",left,190,89,True,1.18,0.1,100.0,0.39,75.0,0.0,0.0,0.0,1.08,1.47,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.53,0.29,0.2,27.19,89.53,14.53,83.11,0.0,0.0,18.16,99.46,9.03,69.57,30.54,47.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,55.56,0.1,0.0,0.1,0.0,0.0,0.0,7.36,81.33,96.67,11.78,8,0.79,33,3.24,4,75.76,10.9,1.07,2.9,0.28500000000000003,0.0,1.08,0.39,,,,0.0,0,0.0
A. El Azzouzi,Anouar El Azzouzi,-98624,Fortuna Düsseldorf,Fortuna Düsseldorf,https://cdn5.wyscout.com/photos/team/public/1134_120x120.png,2. Bundesliga,"RDMF, RCMF, RCMF3",RDMF,31,RCMF,28,RCMF3,18,24,2001-05-29,0,2029-06-30,9,913,1,0.63,1,0.4,15.38,48.08,Netherlands,"['Netherlands', 'Morocco']",right,187,76,False,7.98,6.7,57.35,1.87,47.37,0.49,0.61,0.2,3.65,4.49,1.87,3,0.30000000000000004,0,0.0,0.99,0.1,1,0.1,0.06,0,0.0,8,0.79,25.0,12.5,0.1,0.89,33.33,0.2,50.0,0.49,40.0,0.30000000000000004,1.18,41.67,4.34,29.55,0.99,0.79,0.2,32.04,0.49,0.79,42.58,89.12,13.41,82.35,6.8,97.1,39.73,92.56,1.97,45.0,17.49,33.35,0.04,0.39,0.1,0.1,0.1,0.0,0.1,4.93,80.0,1.28,46.15,0.2,0.0,0.30000000000000004,0.30000000000000004,4.53,78.26,92.35,16.76,0,,0,,0,0.0,0.0,0.0,,,0.99,,1.87,0.0,0.0,0.0,0.0,0,0.0
F. Kastenmeier,Florian Kastenmeier,313892,Fortuna Düsseldorf,Fortuna Düsseldorf,https://cdn5.wyscout.com/photos/team/public/1134_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,28,1997-06-28,1500000,2026-06-30,9,913,0,0.0,0,0.0,0.79,87.5,Germany,['Germany'],right,192,84,False,1.6800000000000002,0.1,100.0,0.59,83.33,0.0,0.0,0.0,1.58,1.94,0.0,1,0.1,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.1,100.0,0.0,0.0,0.0,21.49,0.1,0.0,34.8,85.55,18.63,74.07,0.0,0.0,21.59,98.63,13.21,64.18,35.01,51.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,59.32,0.2,0.0,0.59,16.67,0.0,0.0,9.96,80.2,98.76,15.87,17,1.6800000000000002,52,5.13,2,67.31,16.43,1.62,-0.5700000000000001,-0.056,0.0,1.28,0.59,,,,0.0,0,0.0
N. Noll,Nahuel Noll,-135197,Hannover 96,Hannover 96,https://cdn5.wyscout.com/photos/team/public/10_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,22,2003-03-17,500000,,9,912,0,0.0,1,0.24,1.48,80.0,Germany,"['Germany', 'Spain']",right,190,75,True,1.28,0.1,0.0,0.89,88.89,0.0,0.0,0.0,1.28,2.07,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,100.0,0.0,0.0,0.0,32.17,0.59,0.49,41.45,86.67,22.11,77.68,0.1,100.0,28.62,98.97,12.73,59.69,29.45,51.15,0.02,0.1,0.0,0.0,0.0,0.0,0.1,4.74,37.5,0.79,12.5,0.39,25.0,0.0,0.0,9.18,74.19,97.27,18.06,13,1.28,29,2.86,2,55.17,11.3,1.11,-1.7000000000000002,-0.168,0.1,1.6800000000000002,0.89,,,,0.0,0,0.0
J. Krahl,Julian Krahl,497137,Kaiserslautern,Kaiserslautern,https://cdn5.wyscout.com/photos/team/public/336_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,25,2000-01-22,900000,,9,912,0,0.0,0,0.0,0.89,55.56,Germany,['Germany'],right,194,90,False,1.48,0.0,0.0,0.39,50.0,0.0,0.0,0.0,1.48,1.8399999999999999,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,66.67,0.0,0.0,0.0,13.03,0.1,0.2,21.22,81.4,13.82,73.57,0.0,0.0,10.86,96.36,10.36,65.71,34.9,43.48,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.86,58.62,0.0,0.0,0.0,0.0,0.0,0.0,8.49,74.42,97.18,7.01,11,1.09,49,4.84,2,77.55,14.08,1.3900000000000001,3.08,0.304,0.0,1.88,0.39,,,,0.0,0,0.0
K. Faber,Konrad Faber,-90703,Dynamo Dresden,Dynamo Dresden,https://cdn5.wyscout.com/photos/team/public/1126_120x120.png,2. Bundesliga,RB,RB,90,,0,,0,27,1997-11-04,600000,2027-06-30,9,910,0,0.14,1,1.52,13.95,56.74,Germany,['Germany'],right,176,69,True,6.23,5.64,61.4,1.48,40.0,0.30000000000000004,0.42,0.4,2.47,3.52,0.79,1,0.1,0,0.0,2.87,0.0,0,0.0,0.01,0,0.0,5,0.49,0.0,0.0,0.1,4.35,36.36,0.0,0.0,4.35,36.36,0.59,1.98,65.0,5.44,61.82,0.59,3.76,1.09,29.47,1.6800000000000002,1.09,43.81,80.81,13.85,70.71,9.49,96.88,34.91,88.1,4.95,66.0,19.04,34.8,0.15,1.38,0.0,0.0,0.0,0.0,0.79,4.25,67.44,4.45,53.33,0.1,0.0,0.99,1.38,9.59,74.23,80.74,13.35,0,,0,,0,0.0,0.0,0.0,,,1.88,,1.48,0.6900000000000001,0.0,0.0,0.99,0,0.0
J. Schenk,Johannes Schenk,-97088,Preußen Münster,Preußen Münster,https://cdn5.wyscout.com/photos/team/public/2691_120x120.png,2. Bundesliga,GK,GK,100,,0,,0,22,2003-01-13,300000,2027-06-30,9,909,0,0.0,0,0.0,1.3900000000000001,78.57,Germany,['Germany'],right,191,85,False,2.9699999999999998,0.1,100.0,0.89,77.78,0.0,0.0,0.0,2.87,4.29,0.0,1,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,66.67,0.0,0.0,0.0,31.88,0.1,0.4,46.44,91.26,23.56,83.19,0.0,0.0,34.46,98.56,11.98,70.25,25.85,45.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,52.38,0.0,0.0,0.2,50.0,0.0,0.0,10.1,74.51,99.52,20.69,17,1.6800000000000002,46,4.55,0,63.04,17.09,1.69,0.09,0.009000000000000001,0.0,2.48,0.89,,,,0.0,0,0.0
J. Hendrix,Jorrit Hendrix,215544,Preußen Münster,Preußen Münster,https://cdn5.wyscout.com/photos/team/public/2691_120x120.png,2. Bundesliga,"LCMF3, LAMF, DMF",LCMF3,54,LAMF,23,DMF,11,30,1995-02-06,1000000,2026-06-30,9,909,1,0.39,0,0.03,13.07,46.21,Netherlands,['Netherlands'],left,181,75,False,6.44,6.14,46.77,2.2800000000000002,43.48,0.79,1.18,0.1,2.77,4.14,1.78,4,0.4,0,0.0,0.79,0.1,1,0.1,0.04,0,0.0,7,0.6900000000000001,42.86,14.286,0.0,0.5,60.0,0.4,50.0,0.1,100.0,0.1,0.5,40.0,3.17,46.88,0.5,0.5,0.1,47.43,0.2,0.89,55.64,89.5,15.84,78.13,13.07,96.97,53.07,91.23,2.08,52.38,15.53,31.78,0.0,0.30000000000000004,0.1,0.0,0.2,0.0,0.0,5.25,67.92,0.59,50.0,0.30000000000000004,0.0,0.1,0.30000000000000004,6.44,78.46,93.04,15.64,0,,0,,0,0.0,0.0,0.0,,,1.98,,2.2800000000000002,0.1,0.0,0.0,0.2,0,0.0
