Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
S. Aunehaugen,Synne Aunehaugen,-569180,Rosenborg,Rosenborg,https://cdn5.wyscout.com/photos/team/public/g4415_120x120.png,Toppserien,LCB,LCB,99,,0,,0,21.0,2004-02-01,0,,19,1840,3,1.81,1,0.35000000000000003,14.53,65.32,Norway,['Norway'],unknown,0,0,False,10.32,5.87,79.17,2.74,67.86,0.44,0.63,0.49,5.23,7.52,0.68,3,0.15,0,0.0,0.78,0.15,2,0.1,0.09,1,0.05,10,0.49,60.0,30.0,0.05,0.24,20.0,0.24,20.0,0.0,0.0,0.05,0.64,61.54,3.18,52.31,0.49,2.98,0.05,53.66,0.34,0.68,76.26,86.85,29.49,75.46,4.11,94.05,63.34,93.13,12.67,56.76,21.49,38.99,0.02,0.29,0.0,0.0,0.15,33.33,0.15,10.76,69.55,1.42,31.03,1.08,31.82,0.49,0.05,13.5,70.29,95.43,35.32,0,,0,,0,0.0,0.0,0.0,,,2.4,,2.74,0.0,0.0,0.0,0.0,1,100
K. Sporsem,Klara Thorsrud Sporsem,-284542,Lillestrøm,Lillestrøm,https://cdn5.wyscout.com/photos/team/public/g4409_120x120.png,Toppserien,GK,GK,100,,0,,0,27.0,1997-11-14,0,,19,1837,0,0.0,0,0.0,1.03,80.95,Norway,['Norway'],,0,0,False,1.67,0.0,0.0,0.6900000000000001,85.71,0.0,0.0,0.0,1.67,2.18,0.05,1,0.05,0,0.0,0.15,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,100.0,0.2,100.0,0.0,0.0,0.0,27.73,0.29,0.1,42.18,80.84,21.75,68.92,0.0,0.0,25.13,94.35,17.0,61.1,30.09,40.8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2.11,51.16,0.29,33.33,0.24,80.0,0.05,0.0,10.63,55.76,93.97,19.5,32,1.57,110,5.39,4,70.91,33.01,1.62,1.01,0.049,0.0,1.81,0.6900000000000001,,,,0.0,0,0
O. Fuglem,Oline Fuglem,-190130,Rosenborg,Rosenborg,https://cdn5.wyscout.com/photos/team/public/g4415_120x120.png,Toppserien,LCMF3,LCMF3,98,,0,,0,23.0,2001-10-31,0,2027-12-31,19,1821,5,6.14,1,2.36,27.83,47.96,Norway,['Norway'],,0,0,False,10.87,6.82,69.57,4.35,56.82,0.1,0.14,0.15,6.03,8.67,0.89,1,0.05,0,0.0,3.11,0.25,5,0.25,0.30000000000000004,1,0.05,50,2.47,44.0,10.0,0.05,0.89,22.22,0.79,25.0,0.05,0.0,0.15,3.36,50.0,13.34,35.93,4.0,2.37,0.49,23.43,1.19,1.04,37.81,72.94,13.99,61.48,6.43,91.54,35.49,76.04,1.43,27.59,15.65,28.75,0.12,0.9400000000000001,0.1,0.0,0.49,30.0,0.49,4.5,63.74,3.61,42.47,0.79,31.25,1.83,0.25,6.67,65.93,75.0,9.69,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.35,0.0,0.0,0.0,0.0,0,0
T. Kyvåg,Thea Kyvåg,-190559,Lillestrøm,Lillestrøm,https://cdn5.wyscout.com/photos/team/public/g4409_120x120.png,Toppserien,"LAMF, LWF, LW",LAMF,49,LWF,32,LW,10,21.0,2004-01-09,0,,19,1818,4,4.18,6,4.8100000000000005,16.24,50.91,Norway,['Norway'],,0,0,False,6.14,5.5,64.86,0.54,18.18,0.0,0.0,0.0,2.5700000000000003,3.36,0.79,1,0.05,0,0.0,5.59,0.2,4,0.2,0.21,0,0.0,51,2.52,31.37,7.843,0.30000000000000004,5.84,31.36,5.54,31.25,0.30000000000000004,33.33,1.24,4.7,63.16,8.02,48.15,5.3,3.07,0.45,23.66,4.06,0.25,29.95,63.8,6.29,50.39,8.22,84.94,22.38,73.67,1.88,44.74,19.58,32.54,0.24,1.83,0.05,0.05,0.0,0.0,1.34,1.73,57.14,3.66,50.0,0.25,60.0,0.99,1.88,6.04,67.21,65.46,9.6,0,,0,,0,0.0,0.0,0.0,,,0.25,,0.54,0.0,0.0,0.0,0.1,0,0
V. Aasprang,Vilde  Aasprang,-690406,Lyn,Lyn,https://cdn5.wyscout.com/photos/team/public/g23835_120x120.png,Toppserien,"RCB, CB",RCB,80,CB,17,,0,21.0,2004-01-28,0,,18,1741,1,1.4,1,0.35000000000000003,14.78,58.39,Norway,['Norway'],unknown,0,0,False,12.1,5.32,69.9,5.58,60.19,0.16,0.19,1.03,8.22,10.24,0.62,1,0.05,0,0.0,0.62,0.05,1,0.05,0.07,1,0.05,12,0.62,41.67,8.333,0.05,0.1,50.0,0.0,0.0,0.1,50.0,0.0,0.31,83.33,1.8599999999999999,36.11,0.88,0.98,0.0,37.17,0.36,0.36,59.24,82.37,25.07,69.07,5.53,96.26,49.26,88.77,9.87,50.79,21.03,40.53,0.02,0.16,0.0,0.0,0.05,100.0,0.1,11.27,63.3,1.24,37.5,0.67,30.77,0.47000000000000003,0.05,12.25,73.84,92.81,23.73,0,,0,,0,0.0,0.0,0.0,,,4.55,,5.58,0.0,0.0,0.0,0.0,0,0
S. Skoglund,Sunniva Skoglund,-81089,Stabæk,Stabæk,https://cdn5.wyscout.com/photos/team/public/g12930_120x120.png,Toppserien,GK,GK,100,,0,,0,23.0,2002-05-22,0,2027-07-31,18,1739,0,0.0,0,0.0,0.52,100.0,Norway,['Norway'],right,0,0,False,2.02,0.0,0.0,0.41000000000000003,100.0,0.0,0.0,0.0,2.02,2.09,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,18.32,0.0,0.16,28.72,80.9,14.59,65.25,0.0,0.0,15.68,99.01,12.99,59.36,30.77,42.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,40.0,0.31,0.0,0.0,0.0,0.0,0.0,8.49,62.2,97.03,12.21,26,1.35,105,5.43,7,75.24,30.47,1.58,4.47,0.231,0.0,2.12,0.41000000000000003,,,,0.0,0,0
E. Østerås,Emilie Libakken Østerås,480710,Stabæk,Stabæk,https://cdn5.wyscout.com/photos/team/public/g12930_120x120.png,Toppserien,"DMF, RDMF",DMF,84,RDMF,11,,0,23.0,2002-03-27,0,,18,1739,3,2.76,1,0.96,21.01,53.45,Norway,['Norway'],right,0,0,False,11.96,8.95,68.21,2.12,56.1,0.1,0.11,0.47000000000000003,5.74,5.96,0.98,1,0.05,0,0.0,1.6600000000000001,0.16,3,0.16,0.14,1,0.05,24,1.24,45.83,12.5,0.05,0.41000000000000003,37.5,0.0,0.0,0.36,42.86,0.1,1.76,52.94,7.8100000000000005,39.74,1.19,1.04,0.1,24.53,0.41000000000000003,1.81,36.95,84.17,13.04,71.43,7.92,98.69,33.48,87.17,3.11,58.33,17.99,35.88,0.05,0.26,0.0,0.05,0.05,0.0,0.05,7.09,70.07,1.4,51.85,0.31,33.33,0.88,0.26,6.06,75.21,90.87,11.33,0,,0,,0,0.0,0.0,0.0,,,0.5700000000000001,,2.12,0.16,0.16,33.33,0.0,0,0
S. Duffy,Savanna Mary-Anne Duffy,-379491,Kolbotn,Kolbotn,https://cdn5.wyscout.com/photos/team/public/g4414_120x120.png,Toppserien,GK,GK,100,,0,,0,20.0,2004-11-20,0,,18,1738,0,0.0,0,0.0,1.45,89.29,Republic of Ireland,['Republic of Ireland'],unknown,0,0,False,4.4,0.21,75.0,0.8300000000000001,93.75,0.0,0.0,0.0,4.25,4.43,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.05,0.0,11.19,0.05,0.31,28.74,76.58,14.71,58.45,0.05,100.0,16.36,96.2,12.27,51.05,32.29,48.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,32.08,0.36,0.0,0.31,0.0,0.0,0.0,8.65,57.49,95.69,12.01,44,2.2800000000000002,127,6.58,2,65.35,40.37,2.09,-3.63,-0.188,0.0,3.47,0.8300000000000001,,,,0.0,0,0
S. Ervik,Siri Ervik,211544,Hønefoss,Hønefoss,https://cdn5.wyscout.com/photos/team/public/g-17698_120x120.png,Toppserien,GK,GK,100,,0,,0,30.0,1995-05-10,0,,18,1734,0,0.0,0,0.0,0.88,82.35,Norway,['Norway'],,0,0,False,2.2800000000000002,0.21,75.0,0.5700000000000001,81.82,0.05,0.05,0.0,2.08,1.98,0.0,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,10.8,0.16,0.05,22.68,81.24,11.78,69.16,0.0,0.0,14.53,95.0,8.15,56.69,27.15,37.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,33.33,0.05,0.0,0.05,0.0,0.0,0.0,5.09,42.86,94.36,10.12,34,1.76,106,5.5,4,67.92,27.22,1.4100000000000001,-6.78,-0.352,0.0,1.3,0.5700000000000001,,,,0.0,0,0
A. Corder,Aubrei Corder,-179351,Bodø / Glimt,Bodø / Glimt,https://cdn5.wyscout.com/photos/team/public/g-20803_120x120.png,Toppserien,GK,GK,100,,0,,0,27.0,1998-02-28,0,,18,1730,0,0.0,0,0.0,1.09,80.95,United States,['United States'],,183,0,False,2.91,0.21,50.0,0.52,100.0,0.1,0.1,0.0,2.71,2.66,0.05,2,0.1,0,0.0,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.21,75.0,0.0,0.0,0.0,26.27,0.05,0.1,45.99,81.11,23.41,66.22,0.1,100.0,27.78,95.88,18.21,58.57,29.01,41.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,48.48,0.05,0.0,0.1,0.0,0.0,0.0,12.49,61.25,96.33,19.82,40,2.08,133,6.92,3,69.92,40.27,2.1,0.27,0.014,0.1,2.29,0.52,,,,0.0,0,0
