Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
F. Kljajić,Filip Kljajić,180629,Torpedo Kutaisi,Torpedo Kutaisi,https://cdn5.wyscout.com/photos/team/public/3057_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,35.0,1990-08-16,200000,,34,3412,0,0.0,0,0.0,0.45,82.35,Serbia,['Serbia'],right,197,82,False,1.35,0.13,80.0,0.24,88.89,0.0,0.0,0.0,1.24,1.62,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,11.42,0.29,0.13,16.54,87.08,7.91,75.67,0.0,0.0,11.32,98.6,5.22,62.12,30.41,44.89,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.6900000000000001,57.69,0.0,0.0,0.03,100.0,0.0,0.0,4.27,66.67,97.7,8.02,37,0.98,155,4.09,7,76.13,40.48,1.07,3.48,0.092,0.0,0.9,0.24,,,,0.0,0,0.0
M. Tsintsadze,Mate Tsintsadze,204370,Gagra,Gagra,https://cdn5.wyscout.com/photos/team/public/3789_120x120.png,Erovnuli Liga,"LDMF, LCMF, CB",LDMF,41,LCMF,25,CB,11,30.0,1995-01-07,200000,,35,3366,2,1.5899999999999999,1,1.21,7.46,55.56,Georgia,['Georgia'],both,179,74,False,6.02,3.45,63.57,1.6600000000000001,50.0,0.11,0.14,0.35000000000000003,3.7199999999999998,4.98,0.53,3,0.08,0,0.0,0.21,0.05,2,0.05,0.04,0,0.0,19,0.51,36.84,10.526,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.11,25.0,1.47,50.91,0.27,0.4,0.0,50.05,0.16,0.67,62.78,92.21,20.16,84.22,7.22,97.78,56.84,94.45,5.91,71.04,19.21,36.72,0.03,0.61,0.03,0.05,0.0,0.0,0.19,9.63,82.78,0.8300000000000001,67.74,0.48,27.78,0.56,0.0,10.16,83.42,96.23,26.98,0,,0,,0,0.0,0.0,0.0,,,1.18,,1.6600000000000001,0.11,0.03,0.0,0.0,1,0.0
Wanderson,Wanderson Henrique  do Nascimento Silva,228568,Gagra,Gagra,https://cdn5.wyscout.com/photos/team/public/3789_120x120.png,Erovnuli Liga,LB,LB,77,,0,,0,34.0,1991-09-13,150000,,35,3340,4,2.42,1,6.8100000000000005,10.91,46.42,Brazil,['Brazil'],left,184,75,False,7.09,5.55,59.71,1.02,36.84,0.16,0.22,0.16,3.61,4.87,0.49,1,0.03,0,0.0,1.37,0.11,3,0.08,0.07,1,0.03,33,0.89,39.39,12.121,0.03,2.18,32.1,2.13,31.65,0.05,50.0,0.24,0.5700000000000001,57.14,3.15,28.21,0.86,1.19,0.22,36.38,1.83,0.24,46.78,87.85,17.11,84.09,7.92,97.96,41.23,93.2,3.42,58.27,17.26,33.12,0.18,1.5899999999999999,0.05,0.05,0.03,0.0,0.4,5.5,84.8,2.51,49.46,0.24,55.56,0.59,0.81,8.08,76.67,85.66,13.53,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.02,0.43,0.16,16.67,2.7800000000000002,1,100.0
Z. Tchavtchanidze,Zurab  Tchavtchanidze,518080,Gagra,Gagra,https://cdn5.wyscout.com/photos/team/public/3789_120x120.png,Erovnuli Liga,"RCB, RCB3",RCB,67,RCB3,19,,0,24.0,2001-01-14,0,,34,3175,1,1.46,0,0.8,11.99,61.7,Georgia,['Georgia'],,183,0,False,8.87,5.64,70.85,3.37,56.3,0.14,0.19,0.5700000000000001,4.73,6.43,0.62,4,0.11,0,0.0,0.14,0.03,1,0.03,0.04,0,0.0,12,0.34,8.33,8.333,0.0,0.2,14.29,0.03,0.0,0.17,16.67,0.03,0.09,100.0,0.79,28.57,0.68,0.23,0.0,35.49,0.48,0.43,49.92,88.81,20.49,80.36,3.74,95.45,43.82,94.05,5.9,52.4,20.12,37.91,0.02,0.23,0.0,0.06,0.0,0.0,0.06,5.1,67.78,0.6000000000000001,19.05,0.31,45.45,0.2,0.03,7.68,69.0,95.34,20.66,0,,0,,0,0.0,0.0,0.0,,,2.55,,3.37,0.0,0.0,0.0,0.0,0,0.0
D. Agyakwa,Derek Agyakwa,-135177,Iberia 1999,Iberia 1999,https://cdn5.wyscout.com/photos/team/public/g24902_120x120.png,Erovnuli Liga,"RCB, RB, LCB",RCB,46,RB,30,LCB,19,23.0,2001-12-19,175000,,34,3168,3,2.73,1,0.36,9.83,52.02,Netherlands,"['Netherlands', 'Ghana']",right,190,80,False,6.28,3.89,65.69,3.1,52.29,0.06,0.08,0.48,3.66,5.19,0.91,5,0.14,0,0.0,0.4,0.09,3,0.09,0.08,1,0.03,11,0.31,36.36,27.273,0.03,0.23,50.0,0.0,0.0,0.23,50.0,0.0,0.37,46.15,1.53,35.19,0.45,1.05,0.06,36.36,0.43,0.31,47.56,92.65,17.44,86.97,4.29,96.03,45.48,94.38,1.85,55.38,18.67,32.08,0.01,0.17,0.06,0.06,0.0,0.0,0.06,5.09,87.15,0.4,42.86,0.09,33.33,0.14,0.11,7.1,77.2,97.57,19.91,0,,0,,0,0.0,0.0,0.0,,,2.36,,3.1,0.0,0.0,0.0,0.0,0,0.0
G. Mamageishvili,Gizo Mamageishvili,-126306,Iberia 1999,Iberia 1999,https://cdn5.wyscout.com/photos/team/public/g24902_120x120.png,Erovnuli Liga,"CF, AMF, RAMF",CF,27,AMF,22,RAMF,13,22.0,2003-01-15,300000,,33,3167,6,3.43,6,6.1,21.11,42.8,Georgia,['Georgia'],right,0,0,False,5.97,5.83,59.51,2.47,31.03,0.48,0.7000000000000001,0.06,2.02,2.91,1.9,9,0.26,0,0.0,2.5300000000000002,0.17,6,0.17,0.1,1,0.03,51,1.45,35.29,11.765,0.17,2.05,30.56,0.85,30.0,1.1400000000000001,32.5,0.26,2.98,42.86,10.23,36.67,2.42,1.99,0.31,24.61,1.53,2.27,31.63,80.68,6.74,70.46,8.44,92.59,28.19,85.38,1.48,57.69,17.04,27.42,0.17,1.65,0.03,0.0,0.17,66.67,0.54,2.98,75.24,2.81,56.57,0.31,45.45,1.28,0.63,4.32,79.61,80.73,10.17,0,,0,,0,0.0,0.0,0.0,,,0.17,,2.47,0.5700000000000001,0.03,100.0,1.42,0,0.0
D. Kereselidze,Davit Kereselidze,398697,Dila,Dila,https://cdn5.wyscout.com/photos/team/public/4434_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,26.0,1999-08-19,250000,2026-12-31,31,3086,0,0.0,0,0.0,0.41000000000000003,71.43,Georgia,['Georgia'],right,191,79,False,1.08,0.09,33.33,0.2,71.43,0.0,0.0,0.03,1.05,1.6400000000000001,0.06,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,8.22,0.35000000000000003,0.09,12.98,91.91,5.69,84.1,0.0,0.0,10.12,98.27,2.83,70.1,28.64,42.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,50.0,0.03,0.0,0.06,100.0,0.0,0.0,2.22,72.37,98.71,6.77,30,0.87,81,2.36,14,62.96,26.16,0.76,-3.84,-0.112,0.0,0.79,0.2,,,,0.03,0,0.0
A. Konté,Aboubacar Dit Boubou Konté,-115207,Dila,Dila,https://cdn5.wyscout.com/photos/team/public/4434_120x120.png,Erovnuli Liga,"LCMF, RCMF, LDMF",LCMF,19,RCMF,17,LDMF,12,24.0,2001-03-02,300000,,33,3069,6,3.69,3,3.4,10.85,55.95,Mali,['Mali'],right,175,62,False,4.69,3.61,70.73,0.91,45.16,0.21,0.32,0.12,1.94,3.02,0.79,6,0.18,0,0.0,2.02,0.18,5,0.15,0.11,0,0.0,49,1.44,30.61,12.245,0.09,0.97,57.58,0.38,38.46,0.59,70.0,0.15,1.55,58.49,4.99,50.59,0.76,3.05,0.38,38.56,0.53,1.35,50.29,90.32,12.7,82.91,8.06,94.18,45.81,92.32,3.58,72.95,19.21,33.07,0.1,1.23,0.09,0.06,0.18,66.67,0.47000000000000003,7.98,84.19,2.05,68.57,0.26,66.67,0.88,0.5,6.69,87.28,94.43,23.17,0,,0,,0,0.0,0.0,0.0,,,0.65,,0.91,0.29,0.0,0.0,0.91,1,100.0
L. Tandilashvili,Levan Tandilashvili,-189611,Telavi,Telavi,https://cdn5.wyscout.com/photos/team/public/g38638_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,22.0,2003-02-27,100000,,30,2995,0,0.0,0,0.0,0.6900000000000001,91.3,Georgia,['Georgia'],right,0,0,False,1.2,0.03,0.0,0.36,91.67,0.03,0.04,0.0,1.17,1.63,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0,0.0,0.0,9.74,0.15,0.24,16.14,82.68,8.74,70.1,0.0,0.0,10.19,97.64,5.95,57.07,32.52,46.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,32.65,0.09,33.33,0.06,50.0,0.03,0.0,4.06,73.33,97.36,6.82,51,1.53,154,4.63,7,66.88,48.53,1.46,-2.47,-0.074,0.0,1.29,0.36,,,,0.0,0,0.0
G. Makaridze,Giorgi Makaridze,59432,Iberia 1999,Iberia 1999,https://cdn5.wyscout.com/photos/team/public/g24902_120x120.png,Erovnuli Liga,GK,GK,100,,0,,0,35.0,1990-03-31,100000,,31,2985,0,0.0,0,0.0,0.84,85.71,Georgia,['Georgia'],right,194,88,False,1.69,0.12,25.0,0.63,95.24,0.0,0.0,0.0,1.6600000000000001,2.42,0.06,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.03,0.0,0.0,12.72,0.30000000000000004,0.27,19.9,86.97,11.07,77.11,0.0,0.0,13.93,99.13,5.94,58.88,30.51,48.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,40.58,0.21,0.0,0.09,33.33,0.0,0.0,4.34,77.08,99.25,8.05,17,0.51,89,2.68,19,80.9,18.84,0.5700000000000001,1.8399999999999999,0.055,0.0,1.87,0.63,,,,0.0,0,0.0
