Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Sutton,Alexander Sutton,-235834,Carolina Core,Carolina Core,https://cdn5.wyscout.com/photos/team/public/g-20867_120x120.png,MLS Next Pro,GK,GK,100,,0,,0,25.0,2000-05-26,0,2025-12-31,20,1978,0,0.0,0,0.26,0.77,76.47,United States,['United States'],,185,0,False,1.5899999999999999,0.05,0.0,0.32,85.71,0.0,0.0,0.0,1.5899999999999999,1.87,0.0,1,0.05,0,0.0,0.09,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.18,75.0,0.0,0.0,0.0,22.02,0.23,0.23,29.89,82.95,14.74,67.28,0.0,0.0,20.02,96.82,9.87,54.84,31.78,49.47,0.01,0.05,0.0,0.0,0.0,0.0,0.05,3.0,45.45,0.14,0.0,0.55,41.67,0.0,0.0,7.01,57.79,98.41,14.29,27,1.23,71,3.23,5,61.97,20.04,0.91,-6.96,-0.317,0.0,1.73,0.32,,,,0.0,0,0.0
F. Sar-Sar Cairo,Farid Sar-Sar Cairo,-430837,Chattanooga,Chattanooga,https://cdn5.wyscout.com/photos/team/public/g18884_120x120.png,MLS Next Pro,"RCB, RCB3",RCB,46,RCB3,36,,0,26.0,1999-07-08,0,2025-12-31,20,1971,1,1.35,0,0.30000000000000004,10.18,55.16,United States,['United States'],unknown,0,0,False,9.09,5.48,65.0,2.56,53.57,0.55,0.6000000000000001,0.59,4.98,5.45,0.64,5,0.23,0,0.0,0.14,0.05,1,0.05,0.06,1,0.05,7,0.32,28.57,14.286,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.09,50.0,1.1,20.83,0.87,0.68,0.0,26.26,0.27,0.23,39.36,87.47,14.79,75.93,2.47,98.15,36.07,90.89,3.24,50.7,21.67,34.94,0.01,0.14,0.0,0.05,0.0,0.0,0.05,3.52,75.32,0.23,40.0,0.18,0.0,0.14,0.0,6.12,57.46,97.12,19.04,0,,0,,0,0.0,0.0,0.0,,,1.46,,2.56,0.0,0.0,0.0,0.0,0,0.0
E. Jakupović,Eldin Jakupović,6453,Chattanooga,Chattanooga,https://cdn5.wyscout.com/photos/team/public/g18884_120x120.png,MLS Next Pro,GK,GK,100,,0,,0,40.0,1984-10-02,100000,2025-12-31,20,1971,0,0.0,0,0.0,0.5,100.0,Bosnia and Herzegovina,"['Bosnia and Herzegovina', 'Switzerland']",right,191,87,False,2.79,0.09,100.0,0.27,100.0,0.05,0.05,0.0,2.65,2.9,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,17.95,0.18,0.18,26.94,84.24,13.06,68.88,0.0,0.0,17.03,98.12,9.86,60.65,33.52,50.65,0.0,0.0,0.0,0.0,0.0,0.0,0.05,4.84,53.77,0.5,18.18,0.41000000000000003,44.44,0.09,0.0,6.62,77.24,98.94,12.88,31,1.42,113,5.16,5,72.57,34.81,1.5899999999999999,3.81,0.17400000000000002,0.0,1.1,0.27,,,,0.0,0,0.0
T. Reid-Brown,Tahir Reid-Brown,-331799,Orlando City B,Orlando City B,https://cdn5.wyscout.com/photos/team/public/g13227_120x120.png,MLS Next Pro,LB,LB,92,,0,,0,19.0,2006-07-02,0,2027-12-31,20,1970,1,0.38,0,0.42,15.94,52.15,United States,['United States'],left,188,63,False,7.58,6.12,63.43,1.28,53.57,0.27,0.34,0.32,3.43,4.27,0.55,4,0.18,0,0.0,1.46,0.05,1,0.05,0.02,0,0.0,7,0.32,42.86,14.286,0.0,0.96,23.81,0.96,23.81,0.0,0.0,0.09,2.33,47.06,6.99,43.14,0.41000000000000003,1.42,0.23,32.12,0.41000000000000003,1.23,39.97,86.17,13.57,77.44,6.53,95.8,36.32,90.69,2.7,47.46,17.94,37.19,0.02,0.09,0.0,0.05,0.05,0.0,0.05,4.16,70.33,1.05,26.09,0.18,25.0,0.14,0.23,5.66,63.71,89.38,12.47,0,,0,,0,0.0,0.0,0.0,,,0.46,,1.28,0.0,0.0,0.0,0.0,0,0.0
F. Canete,Facundo Canete,-332189,Carolina Core,Carolina Core,https://cdn5.wyscout.com/photos/team/public/g-20867_120x120.png,MLS Next Pro,"LCMF, RW, RWF",LCMF,58,RW,12,RWF,11,25.0,2000-02-22,0,2025-12-31,20,1962,6,5.1,2,1.43,19.95,48.97,United States,['United States'],unknown,0,0,False,6.83,5.96,61.54,2.75,41.67,0.14,0.16,0.14,3.03,3.55,1.38,6,0.28,0,0.0,2.48,0.28,6,0.28,0.23,2,0.09,32,1.47,50.0,18.75,0.09,1.19,38.46,0.6000000000000001,30.77,0.55,50.0,0.28,2.39,53.85,8.67,47.09,2.8,1.19,0.14,29.13,1.1,2.06,40.37,84.43,10.78,69.79,7.57,95.15,35.5,87.86,3.67,66.25,19.08,33.94,0.07,0.6900000000000001,0.05,0.05,0.23,0.0,0.28,5.55,72.73,1.33,41.38,0.6000000000000001,30.77,0.8300000000000001,0.46,5.83,74.02,91.45,16.1,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,2.75,0.0,0.0,0.0,0.14,1,0.0
D. Chica,Daniel Chica,-423341,Carolina Core,Carolina Core,https://cdn5.wyscout.com/photos/team/public/g-20867_120x120.png,MLS Next Pro,RCB3,RCB3,84,,0,,0,23.0,2002-02-18,0,2025-12-31,20,1909,0,0.65,1,0.12,15.42,63.91,United States,['United States'],unknown,188,0,False,8.49,7.07,73.33,3.11,51.52,0.14,0.17,0.24,3.16,3.7,1.13,4,0.19,0,0.0,0.85,0.0,0,0.0,0.03,0,0.0,9,0.42,55.56,0.0,0.05,0.14,33.33,0.0,0.0,0.14,33.33,0.0,0.75,75.0,3.06,58.46,0.38,1.08,0.19,29.18,0.9,1.08,40.97,88.61,15.09,73.75,4.67,97.98,36.11,93.73,4.71,51.0,21.78,42.21,0.01,0.09,0.05,0.05,0.0,0.0,0.14,4.9,75.0,0.38,62.5,0.14,66.67,0.05,0.05,6.88,65.07,98.38,17.49,0,,0,,0,0.0,0.0,0.0,,,2.22,,3.11,0.0,0.0,0.0,0.0,0,0.0
G. Ferraina Marchetti,Giovanni Ferraina Marchetti,-408236,Inter Miami II,Inter Miami II,https://cdn5.wyscout.com/photos/team/public/g-15448_120x120.png,MLS Next Pro,"LCB, LCB3",LCB,78,LCB3,21,,0,21.0,2004-02-01,0,2026-12-31,19,1853,0,0.22,1,0.02,10.88,59.38,Argentina,['Argentina'],left,0,0,True,8.26,6.46,65.41,1.94,52.5,0.05,0.06,0.34,3.98,5.18,1.02,8,0.39,0,0.0,0.1,0.0,0,0.0,0.01,0,0.0,3,0.15,0.0,0.0,0.05,0.05,100.0,0.05,100.0,0.0,0.0,0.0,0.05,100.0,0.92,31.58,0.29,1.02,0.0,61.0,0.39,0.39,78.63,89.75,28.51,75.98,2.7199999999999998,96.43,68.05,94.79,10.54,57.14,23.49,42.8,0.0,0.05,0.05,0.05,0.0,0.0,0.1,9.33,69.79,0.97,40.0,0.68,21.43,0.19,0.05,14.33,74.92,98.19,42.98,0,,0,,0,0.0,0.0,0.0,,,1.55,,1.94,0.0,0.0,0.0,0.0,0,0.0
C. McCamy,Collin McCamy,-137511,New York City II,New York City II,https://cdn5.wyscout.com/photos/team/public/g-15453_120x120.png,MLS Next Pro,"LCB, LCMF, LDMF",LCB,45,LCMF,16,LDMF,13,22.0,2003-05-16,0,2025-12-31,20,1852,1,0.43,0,0.11,12.59,62.16,United States,['United States'],,187,79,False,8.55,5.44,71.43,2.92,53.33,0.05,0.06,0.78,4.62,5.69,0.44,2,0.1,0,0.0,0.63,0.05,1,0.05,0.02,0,0.0,6,0.29,16.67,16.667,0.0,0.53,0.0,0.39,0.0,0.15,0.0,0.05,0.92,63.16,2.87,49.15,0.58,0.49,0.0,36.54,0.44,0.29,50.3,86.76,16.62,71.93,5.73,96.61,44.03,93.49,5.93,41.8,20.89,43.55,0.01,0.05,0.0,0.0,0.0,0.0,0.0,6.85,65.96,0.63,7.69,0.34,28.57,0.1,0.0,7.97,67.07,94.48,22.89,0,,0,,0,0.0,0.0,0.0,,,1.75,,2.92,0.0,0.0,0.0,0.0,0,0.0
C. Rindov,Christopher Rindov,-178894,Ventura County,Ventura County,https://cdn5.wyscout.com/photos/team/public/g27577_120x120.png,MLS Next Pro,LCB,LCB,98,,0,,0,23.0,2001-10-08,0,2025-12-31,19,1837,1,1.6400000000000001,0,0.07,8.38,50.29,United States,"['United States', 'Bulgaria']",right,188,86,False,7.84,3.63,52.7,3.04,53.23,0.15,0.18,0.88,5.78,7.04,0.78,3,0.15,0,0.0,0.24,0.05,1,0.05,0.08,1,0.05,10,0.49,30.0,10.0,0.0,0.1,50.0,0.05,100.0,0.05,0.0,0.05,0.1,50.0,0.6900000000000001,28.57,0.78,0.0,0.0,55.26,0.24,0.05,70.99,91.99,25.67,84.54,2.6,96.23,64.87,95.39,6.03,56.1,20.27,38.12,0.0,0.05,0.05,0.05,0.0,0.0,0.0,3.48,67.61,0.1,50.0,0.39,50.0,0.0,0.05,7.89,62.11,97.43,36.21,0,,0,,0,0.0,0.0,0.0,,,2.3,,3.04,0.0,0.0,0.0,0.0,0,0.0
T. Robertson,Tate Robertson,-46277,Chattanooga,Chattanooga,https://cdn5.wyscout.com/photos/team/public/g18884_120x120.png,MLS Next Pro,"RB, RWB",RB,56,RWB,35,,0,28.0,1997-05-31,0,,19,1836,5,2.5300000000000002,8,5.94,13.38,49.45,United States,['United States'],,175,0,False,6.32,4.9,51.0,1.52,38.71,0.29,0.32,0.49,3.5300000000000002,3.84,0.74,6,0.29,0,0.0,2.79,0.25,3,0.15,0.12,0,0.0,18,0.88,33.33,27.778,0.39,4.02,37.8,0.25,40.0,3.58,38.36,0.93,1.52,64.52,5.54,47.79,1.57,1.57,0.05,27.6,2.11,1.18,37.65,76.04,14.51,65.88,5.98,97.54,28.19,85.74,5.49,53.57,22.65,42.49,0.29,2.11,0.1,0.05,0.2,0.0,0.6900000000000001,6.32,55.04,5.05,51.46,0.98,30.0,1.27,1.42,9.22,73.94,80.93,12.6,0,,0,,0,0.0,0.0,0.0,,,0.93,,1.52,1.67,0.25,20.0,2.11,2,100.0
