Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Irving,Callum Irving,281822,Vancouver FC,Vancouver FC,https://cdn5.wyscout.com/photos/team/public/g-17439_120x120.png,U-Sports Non-conference matches,GK,GK,100,,0,,0,32.0,1993-03-16,150000,,24,2403,0,0.0,0,0.0,0.9400000000000001,80.0,Canada,['Canada'],right,186,84,False,2.02,0.15,50.0,0.56,100.0,0.0,0.0,0.0,1.9500000000000002,2.46,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.19,40.0,0.0,0.0,0.0,16.1,0.37,0.11,24.83,85.67,12.47,73.27,0.0,0.0,16.63,98.42,8.2,59.82,32.06,48.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,58.49,0.11,0.0,0.11,33.33,0.0,0.0,5.47,66.44,98.07,11.65,53,1.99,132,4.94,1,59.85,47.6,1.78,-5.4,-0.202,0.0,1.9100000000000001,0.56,,,,0.0,0,0.0
M. Carducci,Marco Carducci,289020,Cavalry,Cavalry,https://cdn5.wyscout.com/photos/team/public/g-10179_120x120.png,Canadian Premier League,GK,GK,100,,0,,0,28.0,1996-09-24,175000,2025-12-31,24,2375,0,0.0,1,0.06,0.91,75.0,Canada,['Canada'],right,185,87,False,1.74,0.23,66.67,0.45,91.67,0.0,0.0,0.0,1.5899999999999999,2.24,0.0,3,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.19,60.0,0.0,0.0,0.0,17.66,0.19,0.19,25.12,88.39,9.93,73.28,0.0,0.0,19.21,98.42,5.91,55.77,27.86,53.65,0.0,0.04,0.0,0.0,0.0,0.0,0.04,2.16,38.6,0.23,0.0,0.23,16.67,0.0,0.0,3.75,68.69,98.37,13.91,27,1.02,83,3.15,7,67.47,20.75,0.79,-6.25,-0.23700000000000002,0.0,1.44,0.45,,,,0.0,0,0.0
T. Meilleur-Giguère,Thomas Meilleur-Giguère,441058,HFX Wanderers FC,HFX Wanderers FC,https://cdn5.wyscout.com/photos/team/public/g-10181_120x120.png,Canadian Premier League,"RCB, CB",RCB,65,CB,29,,0,27.0,1997-11-13,200000,,24,2373,2,1.65,0,0.0,8.23,62.67,Canada,['Canada'],right,185,84,False,7.24,2.73,69.44,3.91,62.14,0.23,0.29,0.5700000000000001,5.12,6.63,0.27,1,0.04,0,0.0,0.19,0.08,2,0.08,0.06,2,0.08,14,0.53,28.57,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.53,35.71,0.8,0.04,0.0,24.31,0.34,0.19,37.93,88.1,14.03,77.03,1.8599999999999999,95.92,33.34,93.63,4.59,47.93,21.84,42.87,0.0,0.04,0.04,0.0,0.0,0.0,0.04,3.7199999999999998,61.22,0.30000000000000004,12.5,0.27,0.0,0.08,0.0,5.73,66.23,96.04,19.15,0,,0,,0,0.0,0.0,0.0,,,1.48,,3.91,0.0,0.0,0.0,0.0,0,0.0
R. Yesli,Rayane-Yuba Yesli,498932,HFX Wanderers FC,HFX Wanderers FC,https://cdn5.wyscout.com/photos/team/public/g-10181_120x120.png,Canadian Premier League,GK,GK,100,,0,,0,25.0,1999-10-12,0,,24,2373,0,0.16,0,0.0,0.99,65.38,Canada,['Canada'],right,203,86,False,1.21,0.27,57.14,0.42,81.82,0.0,0.0,0.0,1.06,1.37,0.08,4,0.15,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,25.0,0.04,0.0,0.0,10.2,0.23,0.08,17.18,83.66,8.99,71.73,0.04,100.0,11.76,97.74,5.39,53.52,29.03,46.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,30.3,0.15,0.0,0.19,60.0,0.0,0.0,3.5300000000000002,56.99,97.4,7.28,29,1.1,86,3.26,8,66.28,28.24,1.07,-0.76,-0.029,0.04,1.25,0.42,,,,0.0,0,0.0
N. Ingham,Nathan Ingham,281821,Atlético Ottawa,Atlético Ottawa,https://cdn5.wyscout.com/photos/team/public/g-12442_120x120.png,Canadian Premier League,GK,GK,100,,0,,0,32.0,1993-06-27,125000,2025-12-31,24,2357,0,0.0,0,0.0,0.6900000000000001,77.78,Canada,['Canada'],right,188,86,False,1.9100000000000001,0.11,0.0,0.19,80.0,0.0,0.0,0.0,1.9100000000000001,2.94,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,16.3,0.15,0.23,26.19,83.53,12.41,68.31,0.0,0.0,18.56,98.35,7.64,47.5,27.75,48.42,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.79,25.53,0.15,50.0,0.08,100.0,0.04,0.0,4.31,52.21,97.32,11.42,25,0.9500000000000001,99,3.7800000000000002,8,74.75,29.41,1.12,4.41,0.168,0.0,1.22,0.19,,,,0.0,0,0.0
D. Nimick,Daniel Nimick,-215067,Forge,Forge,https://cdn5.wyscout.com/photos/team/public/g-10178_120x120.png,Canadian Premier League,RCB,RCB,93,,0,,0,25.0,2000-09-22,0,,24,2357,2,3.5300000000000002,3,1.45,10.5,66.55,England,['England'],unknown,189,79,False,7.52,4.43,75.86,2.25,69.49,0.08,0.1,0.84,4.09,5.19,0.42,2,0.08,0,0.0,0.5,0.08,0,0.0,0.13,0,0.0,10,0.38,40.0,20.0,0.11,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.42,81.82,2.29,53.33,0.46,0.92,0.0,36.43,0.27,0.73,54.99,90.0,21.08,79.53,1.57,95.12,46.16,94.46,8.78,66.96,22.67,38.4,0.06,0.19,0.0,0.04,0.0,0.0,0.11,6.45,69.82,0.73,26.32,0.5700000000000001,33.33,0.19,0.0,10.04,68.44,97.34,28.68,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,2.25,0.0,0.0,0.0,0.0,4,50.0
K. Chung,Kadin Chung,420844,Pacific FC,Pacific FC,https://cdn5.wyscout.com/photos/team/public/g-10176_120x120.png,Canadian Premier League,"RB, RWB",RB,59,RWB,24,,0,27.0,1998-09-05,200000,,24,2357,2,0.48,1,2.25,12.22,56.88,Canada,"['Canada', 'Philippines']",both,175,68,False,7.03,6.07,69.18,1.22,34.38,0.9500000000000001,1.15,0.08,1.87,2.26,0.34,4,0.15,0,0.0,1.9500000000000002,0.08,2,0.08,0.02,0,0.0,10,0.38,60.0,20.0,0.04,2.29,38.33,0.0,0.0,2.25,38.98,0.23,1.45,55.26,3.7800000000000002,48.48,1.03,2.06,0.11,27.68,1.6800000000000002,0.6900000000000001,34.67,84.14,11.72,76.55,7.14,96.79,30.28,89.91,2.21,50.0,17.89,34.88,0.09,0.5700000000000001,0.04,0.0,0.15,25.0,0.34,4.05,75.47,1.99,63.46,0.15,25.0,0.6900000000000001,0.88,6.41,73.21,85.82,10.23,0,,0,,0,0.0,0.0,0.0,,,0.27,,1.22,0.0,0.0,0.0,0.0,0,0.0
A. Achinioti-Jönsson,Alexander Achinioti-Jönsson,334507,Forge,Forge,https://cdn5.wyscout.com/photos/team/public/g-10178_120x120.png,Canadian Premier League,LCB,LCB,75,,0,,0,29.0,1996-04-17,200000,,24,2289,1,1.18,0,0.43,10.97,61.29,Sweden,['Sweden'],right,186,70,False,7.31,4.88,66.94,2.2800000000000002,44.83,0.28,0.35000000000000003,0.59,3.77,4.79,0.67,1,0.04,0,0.0,0.39,0.04,1,0.04,0.05,1,0.04,9,0.35000000000000003,22.22,11.111,0.0,0.16,25.0,0.04,0.0,0.12,33.33,0.0,0.35000000000000003,77.78,1.69,72.09,0.8300000000000001,1.65,0.08,37.59,0.55,1.1400000000000001,49.27,90.02,19.62,81.56,2.56,95.38,44.08,94.02,5.03,57.03,20.85,36.13,0.02,0.08,0.04,0.0,0.0,0.0,0.08,6.49,72.73,0.59,26.67,0.35000000000000003,22.22,0.12,0.08,7.43,70.9,96.42,23.04,0,,0,,0,0.0,0.0,0.0,,,0.75,,2.2800000000000002,0.0,0.0,0.0,0.0,0,0.0
J. Koleilat,Jassem Koleilat,476438,Forge,Forge,https://cdn5.wyscout.com/photos/team/public/g-10178_120x120.png,Canadian Premier League,GK,GK,100,,0,,0,26.0,1999-07-30,0,,23,2259,0,0.0,0,0.0,0.44,100.0,Canada,['Canada'],,190,0,False,1.2,0.04,100.0,0.24,100.0,0.0,0.0,0.0,1.16,1.46,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,6.73,0.28,0.16,11.39,91.26,4.74,81.51,0.0,0.0,9.64,97.93,1.75,54.55,22.77,41.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,40.0,0.08,50.0,0.04,0.0,0.04,0.0,1.31,51.52,97.78,5.38,19,0.76,72,2.87,11,73.61,21.34,0.85,2.34,0.093,0.0,1.08,0.24,,,,0.0,0,0.0
S. Salter,Samuel Salter,-264834,Atlético Ottawa,Atlético Ottawa,https://cdn5.wyscout.com/photos/team/public/g-12442_120x120.png,Canadian Premier League,CF,CF,98,,0,,0,25.0,2000-08-09,0,,24,2206,16,11.97,3,1.4100000000000001,14.28,43.43,Canada,['Canada'],unknown,188,80,False,3.88,4.08,58.0,2.8200000000000003,46.38,0.2,0.31,0.12,1.31,2.01,1.31,3,0.12,0,0.0,2.49,0.65,16,0.65,0.49,2,0.08,73,2.98,52.05,21.918,0.12,0.24,50.0,0.08,100.0,0.16,25.0,0.0,1.1400000000000001,57.14,5.39,33.33,3.67,0.8200000000000001,0.2,12.2,1.88,0.8200000000000001,16.52,77.53,3.55,62.07,5.59,92.7,15.26,81.02,1.02,32.0,14.37,19.22,0.06,0.45,0.04,0.0,0.2,80.0,0.33,1.47,72.22,1.26,51.61,0.29,57.14,0.86,0.12,1.51,70.27,76.29,3.96,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.8200000000000003,0.0,0.0,0.0,0.0,0,0.0
