Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Haukioja,Martti  Haukioja,433403,VPS,VPS,https://cdn5.wyscout.com/photos/team/public/720_120x120.png,Veikkausliiga,"CB, LCB3",CB,74,LCB3,25,,0,25.0,1999-10-06,200000,2025-12-31,21,2051,1,1.13,0,0.26,13.47,66.12,Finland,['Finland'],left,188,80,False,9.08,6.8,73.55,3.86,57.95,0.35000000000000003,0.48,0.48,3.73,5.11,0.53,3,0.13,0,0.0,0.39,0.04,1,0.04,0.05,1,0.04,12,0.53,33.33,8.333,0.0,0.31,28.57,0.26,33.33,0.04,0.0,0.0,0.18,75.0,0.79,55.56,0.44,0.48,0.04,33.22,0.09,0.44,48.62,84.84,18.3,66.91,3.29,98.67,38.7,93.76,9.61,50.68,25.61,42.95,0.01,0.18,0.0,0.0,0.0,0.0,0.09,8.16,61.29,0.88,30.0,1.23,25.0,0.09,0.09,9.7,68.78,97.84,24.35,0,,0,,0,0.0,0.0,0.0,,,2.7199999999999998,,3.86,0.13,0.04,0.0,0.0,0,0.0
M. Rale,Matias Rale,-72222,Ilves,Ilves,https://cdn5.wyscout.com/photos/team/public/g2385_120x120.png,Veikkausliiga,"LCB3, LB, LCB",LCB3,73,LB,14,LCB,12,24.0,2001-03-04,500000,,21,2042,3,2.49,0,0.55,12.25,60.79,Finland,['Finland'],left,183,82,False,7.89,5.38,68.03,3.66,55.42,0.04,0.06,0.35000000000000003,4.19,5.97,0.48,2,0.09,0,0.0,1.28,0.13,3,0.13,0.11,1,0.04,12,0.53,25.0,25.0,0.0,1.37,51.61,1.28,51.72,0.04,100.0,0.13,0.5700000000000001,76.92,1.54,54.29,1.01,2.25,0.26,42.53,0.53,0.26,57.34,87.78,24.02,81.83,7.23,92.07,51.43,92.37,4.58,46.15,19.08,38.54,0.02,0.31,0.04,0.0,0.04,0.0,0.18,8.73,76.77,1.98,55.56,0.71,25.0,0.66,0.71,11.28,78.13,94.43,19.79,0,,0,,0,0.0,0.0,0.0,,,1.23,,3.66,0.04,0.0,0.0,0.0,0,0.0
E. Huuhtanen,Eetu Huuhtanen,-129392,Inter Turku,Inter Turku,https://cdn5.wyscout.com/photos/team/public/655_120x120.png,Veikkausliiga,GK,GK,100,,0,,0,22.0,2003-01-31,200000,2025-12-31,21,2042,0,0.0,0,0.36,0.79,88.89,Finland,['Finland'],right,184,79,False,1.85,0.0,0.0,0.66,93.33,0.0,0.0,0.0,1.85,2.54,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.0,0.0,0.0,24.06,0.09,0.04,34.33,86.39,17.06,75.19,0.0,0.0,23.93,99.26,10.27,57.51,28.38,48.43,0.02,0.09,0.0,0.0,0.0,0.0,0.09,3.48,37.97,0.18,25.0,0.48,36.36,0.04,0.0,6.83,70.32,98.53,15.03,19,0.84,75,3.31,7,74.67,18.86,0.8300000000000001,-0.14,-0.006,0.0,1.76,0.66,,,,0.0,0,0.0
J. Toivio,Joona Toivio,49820,KTP,KTP,https://cdn5.wyscout.com/photos/team/public/g2389_120x120.png,Veikkausliiga,"RCB, LCB",RCB,67,LCB,32,,0,37.0,1988-03-10,0,2025-12-31,21,2026,0,0.61,0,0.30000000000000004,10.04,58.85,Finland,['Finland'],right,186,81,False,7.2,3.73,67.86,3.69,51.81,0.09,0.11,0.67,4.58,5.74,0.44,2,0.09,0,0.0,0.27,0.0,0,0.0,0.03,0,0.0,6,0.27,16.67,0.0,0.0,0.36,37.5,0.09,50.0,0.27,33.33,0.0,0.13,66.67,0.62,71.43,0.4,0.44,0.04,26.43,0.4,0.49,39.49,82.56,18.92,71.36,1.78,95.0,30.43,90.36,8.71,57.14,22.37,38.05,0.01,0.22,0.0,0.0,0.04,0.0,0.13,5.91,60.15,1.2,48.15,1.02,30.43,0.4,0.18,9.2,63.29,93.88,15.24,0,,0,,0,0.0,0.0,0.0,,,0.93,,3.69,0.04,0.04,0.0,0.0,0,0.0
A. Kouame,Axel Kouame,-476701,Inter Turku,Inter Turku,https://cdn5.wyscout.com/photos/team/public/655_120x120.png,Veikkausliiga,"RCMF3, AMF, RCMF",RCMF3,40,AMF,26,RCMF,22,21.0,2003-10-14,0,,21,2012,4,5.33,6,6.39,17.22,42.08,Côte d'Ivoire,"[""Côte d'Ivoire""]",,0,0,False,4.34,4.43,57.58,1.3900000000000001,9.68,0.0,0.0,0.09,1.79,2.46,0.72,3,0.13,0,0.0,3.71,0.18,4,0.18,0.24,0,0.0,48,2.15,35.42,8.333,0.27,1.88,33.33,0.63,42.86,1.21,29.63,0.27,3.04,58.82,9.66,40.28,3.67,3.31,0.63,36.32,1.43,0.63,47.73,82.47,15.21,70.29,10.6,94.09,41.56,87.41,4.38,56.12,17.9,38.26,0.29,2.01,0.22,0.09,0.85,63.16,0.9400000000000001,7.2,70.19,5.68,59.06,1.97,40.91,3.09,0.67,7.69,83.14,86.41,13.82,0,,0,,0,0.0,0.0,0.0,,,0.49,,1.3900000000000001,0.27,0.09,50.0,0.9400000000000001,1,0.0
M. Fall,Maissa Fall El Hadji,-49460,VPS,VPS,https://cdn5.wyscout.com/photos/team/public/720_120x120.png,Veikkausliiga,"CF, AMF",CF,71,AMF,22,,0,30.0,1995-03-06,0,,20,1956,10,10.39,0,1.0,26.23,41.58,Senegal,"['Senegal', 'Italy']",right,193,87,False,5.43,4.65,58.42,7.78,47.34,0.23,0.31,0.09,2.48,3.37,1.9300000000000002,4,0.18,0,0.0,2.76,0.46,10,0.46,0.48,5,0.23,57,2.62,47.37,17.544,0.0,0.97,23.81,0.46,30.0,0.51,18.18,0.05,2.12,58.7,9.98,29.03,3.27,0.97,0.05,12.75,2.02,1.29,20.57,74.05,7.18,60.9,5.15,94.64,18.17,79.49,1.52,39.39,16.87,23.6,0.05,0.51,0.09,0.0,0.05,100.0,0.05,3.08,50.75,1.33,41.38,0.28,16.67,0.37,0.18,2.81,77.05,73.4,4.33,0,,0,,0,0.0,0.0,0.0,,,0.0,,7.78,0.0,0.0,0.0,0.0,0,0.0
Miguel Santos,Miguel José Oliveira Silva Santos,259581,Jaro,Jaro,https://cdn5.wyscout.com/photos/team/public/726_120x120.png,Veikkausliiga,GK,GK,100,,0,,0,30.0,1994-10-21,0,,20,1924,0,0.0,0,0.0,0.9400000000000001,85.0,Portugal,['Portugal'],right,193,88,False,2.25,0.09,100.0,0.61,84.62,0.05,0.06,0.0,2.1,2.51,0.05,1,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.05,10.99,0.09,0.23,21.56,83.3,14.41,78.57,0.0,0.0,9.54,96.08,12.02,73.15,37.3,46.63,0.0,0.0,0.05,0.0,0.0,0.0,0.0,3.09,74.24,0.14,66.67,0.09,100.0,0.05,0.0,8.98,79.69,92.96,6.64,34,1.5899999999999999,121,5.66,4,71.9,35.93,1.6800000000000002,1.9300000000000002,0.09,0.0,2.06,0.61,,,,0.0,0,0.0
G. Antzoulas,Georgios Antzoulas,465821,HJK,HJK,https://cdn5.wyscout.com/photos/team/public/718_120x120.png,Veikkausliiga,RCB,RCB,84,,0,,0,25.0,2000-02-04,300000,2025-12-31,21,1920,3,3.26,1,0.4,12.84,66.79,Greece,['Greece'],right,188,74,False,7.03,4.41,71.28,5.77,69.11,0.23,0.36,0.42,3.66,5.63,0.42,1,0.05,0,0.0,0.33,0.14,3,0.14,0.15,2,0.09,13,0.61,46.15,23.077,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,52.17,1.13,1.78,0.05,51.56,0.38,0.89,66.84,89.69,24.66,81.18,3.52,93.33,56.63,95.45,10.22,57.8,21.37,39.13,0.02,0.14,0.0,0.05,0.05,100.0,0.14,10.59,73.45,1.22,30.77,0.98,28.57,0.61,0.0,12.52,79.03,95.21,30.33,0,,0,,0,0.0,0.0,0.0,,,1.73,,5.77,0.0,0.0,0.0,0.0,0,0.0
E. Gunnarsson,Erik Gunnarsson,501420,Jaro,Jaro,https://cdn5.wyscout.com/photos/team/public/726_120x120.png,Veikkausliiga,LCB,LCB,91,,0,,0,26.0,1999-02-08,200000,,20,1919,0,1.04,1,0.98,15.62,60.96,Sweden,['Sweden'],left,183,86,False,12.1,7.93,72.19,4.13,56.82,0.09,0.11,1.13,6.28,7.63,1.13,8,0.38,0,0.0,0.33,0.0,0,0.0,0.05,0,0.0,10,0.47000000000000003,10.0,0.0,0.05,0.28,33.33,0.23,20.0,0.0,0.0,0.05,0.28,66.67,1.3599999999999999,31.03,0.75,0.52,0.0,26.12,0.33,0.23,39.54,84.1,17.96,74.93,3.1,96.97,32.83,91.71,6.43,47.45,21.5,35.78,0.05,0.09,0.05,0.05,0.0,0.0,0.14,5.44,68.1,0.84,38.89,0.19,25.0,0.28,0.14,8.54,64.29,90.71,14.63,0,,0,,0,0.0,0.0,0.0,,,2.11,,4.13,0.0,0.0,0.0,0.0,0,0.0
N. Kujasalo,Niilo Kujasalo,-138090,Mariehamn,Mariehamn,https://cdn5.wyscout.com/photos/team/public/722_120x120.png,Veikkausliiga,"DMF, AMF, LDMF",DMF,32,AMF,28,LDMF,15,21.0,2004-03-17,0,,21,1901,2,1.47,1,1.43,17.9,48.41,Finland,['Finland'],left,182,73,False,7.76,5.68,62.5,2.04,32.56,0.14,0.16,0.38,4.07,4.64,0.33,1,0.05,0,0.0,1.94,0.09,2,0.09,0.07,0,0.0,33,1.56,24.24,6.061,0.05,1.09,21.74,0.9,21.05,0.19,25.0,0.05,2.23,57.45,8.1,40.35,0.8,1.75,0.5700000000000001,25.33,0.5700000000000001,1.7000000000000002,38.06,79.85,13.78,67.7,6.01,92.91,33.09,86.12,3.93,43.37,19.24,41.61,0.07,0.8,0.09,0.05,0.09,50.0,0.14,8.29,66.86,1.85,43.59,0.33,42.86,0.47000000000000003,0.24,6.25,71.97,85.98,12.5,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,2.04,0.71,0.05,0.0,1.33,0,0.0
