Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Pigliacelli,Mirko Pigliacelli,203897,Catanzaro,Catanzaro,https://cdn5.wyscout.com/photos/team/public/411_120x120.png,Serie B,GK,GK,100,,0,,0,32.0,1993-06-30,800000,2027-06-30,35,3473,0,0.0,0,0.34,0.62,83.33,Italy,['Italy'],right,184,83,False,1.01,0.03,100.0,0.18,100.0,0.0,0.0,0.0,0.98,1.45,0.0,2,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.08,66.67,0.36,78.57,0.0,0.03,0.0,17.6,0.26,0.29,27.49,78.51,17.03,67.58,0.05,100.0,14.12,96.15,13.32,60.12,33.53,46.94,0.01,0.05,0.0,0.0,0.0,0.0,0.03,3.89,44.67,0.39,6.67,0.86,24.24,0.08,0.0,9.17,70.06,95.75,9.15,43,1.11,136,3.52,9,68.38,42.49,1.1,-0.51,-0.013000000000000001,0.05,0.98,0.18,,,,0.0,0,0.0
L. Palmisani,Lorenzo Palmisani,-143784,Frosinone,Frosinone,https://cdn5.wyscout.com/photos/team/public/185_120x120.png,Serie B,GK,GK,100,,0,,0,21.0,2004-06-12,200000,2029-06-30,35,3448,0,0.0,0,0.0,0.91,82.86,Italy,['Italy'],right,185,76,False,1.33,0.1,50.0,0.52,85.0,0.03,0.04,0.03,1.25,1.9100000000000001,0.05,3,0.08,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.26,100.0,0.0,0.0,0.0,13.18,0.26,0.26,22.27,79.48,15.56,72.15,0.0,0.0,11.88,96.92,10.34,59.6,34.98,50.19,0.0,0.0,0.03,0.0,0.0,0.0,0.0,4.52,63.58,0.08,33.33,0.26,70.0,0.08,0.0,7.86,76.41,96.1,6.03,34,0.89,166,4.33,12,79.52,44.88,1.17,10.88,0.28400000000000003,0.0,1.98,0.52,,,,0.0,0,0.0
F. Stanković,Filip Stanković,-106558,Venezia,Venezia,https://cdn5.wyscout.com/photos/team/public/201_120x120.png,Serie B,GK,GK,100,,0,,0,24.0,2002-02-25,3000000,2029-06-30,35,3427,0,0.0,0,0.2,0.53,95.0,Italy,"['Italy', 'Serbia']",right,187,79,False,1.21,0.03,100.0,0.24,88.89,0.0,0.0,0.0,1.18,2.31,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.03,0.03,30.18,0.34,0.32,38.84,90.6,20.01,82.81,0.05,100.0,26.68,99.21,12.16,71.71,27.86,45.17,0.01,0.03,0.0,0.03,0.0,0.0,0.03,3.83,70.55,0.26,40.0,0.74,64.29,0.13,0.0,9.09,80.64,98.94,17.36,29,0.76,134,3.52,14,78.36,36.05,0.9500000000000001,7.05,0.185,0.03,1.08,0.24,,,,0.0,0,0.0
A. Fulignati,Andrea Fulignati,278433,Empoli,Empoli,https://cdn5.wyscout.com/photos/team/public/77_120x120.png,Serie B,GK,GK,100,,0,,0,31.0,1994-10-31,700000,2026-06-30,35,3420,0,0.11,0,0.24,0.5,73.68,Italy,['Italy'],right,190,88,True,1.6600000000000001,0.05,0.0,0.26,80.0,0.03,0.04,0.0,1.63,2.22,0.0,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.03,0.03,0.03,19.76,0.18,0.18,30.58,82.53,16.68,69.87,0.0,0.0,17.47,98.34,13.08,61.37,33.28,47.89,0.01,0.05,0.0,0.0,0.0,0.0,0.03,4.87,52.97,0.18,28.57,0.42,31.25,0.05,0.0,8.71,77.95,98.14,12.76,50,1.32,150,3.95,6,66.67,48.82,1.28,-1.18,-0.031,0.0,1.24,0.26,,,,0.0,0,0.0
J. Klinsmann,Jonathan Klinsmann,474553,Cesena,Cesena,https://cdn5.wyscout.com/photos/team/public/g25343_120x120.png,Serie B,GK,GK,100,,0,,0,29.0,1997-04-08,100000,2028-06-30,35,3415,0,0.0,1,0.63,0.47000000000000003,94.44,Germany,"['Germany', 'United States']",right,194,89,False,0.66,0.0,0.0,0.29,90.91,0.0,0.0,0.0,0.66,0.8,0.03,2,0.05,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.16,100.0,0.0,0.0,0.0,13.34,0.13,0.24,18.0,81.26,9.17,65.23,0.0,0.0,11.49,97.48,6.48,52.85,31.84,50.51,0.02,0.03,0.0,0.0,0.0,0.0,0.03,2.32,47.73,0.21,25.0,0.37,28.57,0.05,0.0,4.61,70.29,98.68,7.96,52,1.37,140,3.69,5,62.86,44.27,1.17,-7.73,-0.20400000000000001,0.0,1.16,0.29,,,,0.0,0,0.0
D. Thiam,Demba Thiam Ngagne,469533,Monza,Monza,https://cdn5.wyscout.com/photos/team/public/203_120x120.png,Serie B,GK,GK,100,,0,,0,28.0,1998-03-05,450000,2028-06-30,35,3401,0,0.0,0,0.0,0.6900000000000001,96.15,Senegal,['Senegal'],right,202,87,False,1.5899999999999999,0.03,100.0,0.42,100.0,0.0,0.0,0.0,1.56,2.15,0.03,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,20.11,0.34,0.16,28.1,85.59,14.74,74.33,0.05,50.0,17.89,97.34,10.16,65.36,31.84,49.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,54.35,0.19,42.86,0.37,42.86,0.05,0.0,8.26,80.45,98.7,12.23,27,0.71,119,3.15,15,77.31,28.68,0.76,1.6800000000000002,0.044,0.0,2.14,0.42,,,,0.0,0,0.0
M. Bleve,Marco Bleve,284329,Carrarese,Carrarese,https://cdn5.wyscout.com/photos/team/public/396_120x120.png,Serie B,GK,GK,100,,0,,0,30.0,1995-10-18,600000,2027-06-30,34,3346,0,0.0,0,0.0,0.51,100.0,Italy,['Italy'],right,184,84,False,1.16,0.0,0.0,0.38,100.0,0.0,0.0,0.0,1.16,1.63,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.03,0.03,14.07,0.24,0.30000000000000004,22.33,86.27,12.72,77.59,0.0,0.0,12.8,97.9,9.52,70.62,31.52,44.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,47.56,0.16,0.0,0.19,14.29,0.03,0.0,6.27,78.97,97.9,8.96,46,1.24,142,3.8200000000000003,11,67.61,43.85,1.18,-2.15,-0.058,0.0,1.48,0.38,,,,0.0,0,0.0
M. Cerofolini,Michele Cerofolini,472824,Bari,Bari,https://cdn5.wyscout.com/photos/team/public/192_120x120.png,Serie B,GK,GK,100,,0,,0,27.0,1999-01-04,700000,2028-06-30,34,3343,0,0.0,0,0.05,0.67,92.0,Italy,['Italy'],right,188,80,False,0.89,0.08,66.67,0.43,100.0,0.03,0.03,0.0,0.81,1.04,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,12.63,0.19,0.22,19.6,85.99,10.63,76.46,0.0,0.0,12.81,98.32,6.78,62.7,30.73,47.54,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.83,51.47,0.13,20.0,0.22,62.5,0.03,0.0,5.06,70.21,97.34,8.1,54,1.45,194,5.22,6,72.16,62.2,1.67,8.2,0.221,0.0,1.37,0.43,,,,0.0,0,0.0
J. Pohjanpalo,Joel Pohjanpalo,160201,Palermo,Palermo,https://cdn5.wyscout.com/photos/team/public/85_120x120.png,Serie B,CF,CF,100,,0,,0,31.0,1994-09-13,5500000,2029-06-30,35,3294,23,17.59,7,3.12,11.83,34.41,Finland,['Finland'],right,186,83,False,2.08,1.15,47.62,5.14,37.77,0.11,0.15,0.33,1.42,2.01,0.93,0,0.0,0,0.0,1.28,0.63,18,0.49,0.48,5,0.14,81,2.21,43.21,28.395,0.19,0.14,0.0,0.03,0.0,0.11,0.0,0.08,0.68,44.0,2.87,27.62,3.36,0.19,0.05,9.32,1.45,0.30000000000000004,14.07,68.16,3.93,48.61,3.85,83.69,12.76,70.24,1.17,53.49,15.16,19.76,0.09,0.68,0.03,0.03,0.08,33.33,0.36,1.83,52.24,1.23,46.67,0.25,22.22,1.04,0.03,1.58,56.9,72.22,3.44,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.14,0.03,0.0,0.0,0.0,5,100.0
T. Augello,Tommaso Augello,256802,Palermo,Palermo,https://cdn5.wyscout.com/photos/team/public/85_120x120.png,Serie B,"LWB, LB5",LWB,62,LB5,27,,0,31.0,1994-08-30,2000000,2027-06-30,35,3246,1,1.3599999999999999,3,6.42,12.45,48.55,Italy,['Italy'],left,180,70,False,6.16,4.35,53.5,2.33,50.0,0.06,0.08,0.33,3.77,5.32,0.55,3,0.08,0,0.0,3.7199999999999998,0.03,1,0.03,0.04,0,0.0,18,0.5,27.78,5.556,0.08,5.21,45.74,5.13,45.95,0.08,33.33,0.6900000000000001,2.02,58.9,4.55,43.9,1.08,1.72,0.58,33.94,1.58,0.5,45.33,80.49,16.08,72.24,7.85,92.93,35.63,88.33,4.74,59.06,19.46,31.14,0.18,1.55,0.14,0.11,0.0,0.0,0.72,5.96,76.74,5.05,60.44,0.25,22.22,0.72,2.36,11.92,78.14,83.4,13.53,0,,0,,0,0.0,0.0,0.0,,,1.11,,2.33,0.25,0.03,0.0,0.64,0,0.0
