Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Nuno Silva,Nuno Miguel Gomes Silva,461202,Trofense,Trofense,https://cdn5.wyscout.com/photos/team/public/1260_120x120.png,Liga 3,GK,GK,100,,0,,0,28.0,1997-08-03,0,2026-06-30,24,2394,0,0.0,0,0.0,0.98,88.46,Portugal,['Portugal'],right,188,84,False,1.73,0.04,100.0,0.64,88.24,0.0,0.0,0.0,1.69,2.51,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,12.18,0.23,0.26,20.41,77.53,12.26,66.87,0.0,0.0,9.36,97.19,11.05,60.88,39.65,52.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,45.19,0.34,0.0,0.30000000000000004,50.0,0.0,0.0,7.78,78.74,93.56,7.59,22,0.8300000000000001,82,3.08,6,73.17,21.75,0.8200000000000001,-0.25,-0.009000000000000001,0.0,1.8399999999999999,0.64,,,,0.0,0,0.0
Guilherme Oliveira,Guilherme Mata Oliveira,261874,CF Os Belenenses,CF Os Belenenses,https://cdn5.wyscout.com/photos/team/public/g-13865_120x120.png,Liga 3,GK,GK,100,,0,,0,30.0,1995-04-12,0,2026-06-30,24,2352,0,0.0,0,0.0,0.73,89.47,Portugal,['Portugal'],right,189,82,False,1.49,0.0,0.0,0.42,90.91,0.0,0.0,0.0,1.49,2.01,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,12.86,0.15,0.31,20.59,83.64,10.98,70.38,0.04,0.0,13.93,98.08,6.66,53.45,31.46,49.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,39.29,0.15,0.0,0.19,20.0,0.0,0.0,4.32,69.03,99.58,9.03,24,0.92,85,3.25,10,71.76,28.04,1.07,4.04,0.155,0.0,1.11,0.42,,,,0.0,0,0.0
Gustavo Galil,Luiz Gustavo Pinto Galil,-116021,Sporting Covilhã,Sporting Covilhã,https://cdn5.wyscout.com/photos/team/public/1543_120x120.png,Liga 3,GK,GK,100,,0,,0,27.0,1998-04-02,0,2026-06-30,23,2273,0,0.0,0,0.0,0.75,78.95,Brazil,['Brazil'],right,186,81,False,0.99,0.08,50.0,0.32,75.0,0.0,0.0,0.0,0.9500000000000001,1.3599999999999999,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,9.86,0.08,0.32,17.7,79.64,10.33,70.11,0.0,0.0,9.98,96.43,7.68,58.25,36.38,51.21,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.77,48.57,0.16,25.0,0.12,33.33,0.04,0.0,6.18,70.51,93.33,6.53,30,1.19,100,3.96,6,70.0,29.45,1.17,-0.55,-0.022,0.0,1.43,0.32,,,,0.0,0,0.0
Diogo Gomes,Diogo Miguel Ribeiro Gomes,-136390,Trofense,Trofense,https://cdn5.wyscout.com/photos/team/public/1260_120x120.png,Liga 3,"CB, RCB",CB,65,RCB,15,,0,25.0,2000-10-06,125000,2026-06-30,23,2266,1,0.77,0,0.31,16.24,61.61,Portugal,['Portugal'],right,197,88,False,9.25,5.04,73.23,6.0,64.24,0.2,0.30000000000000004,0.6000000000000001,5.36,8.04,1.31,7,0.28,0,0.0,0.44,0.04,1,0.04,0.03,1,0.04,8,0.32,37.5,12.5,0.0,0.24,33.33,0.16,25.0,0.08,50.0,0.0,0.36,66.67,1.83,30.43,1.03,0.28,0.04,20.81,0.4,0.6000000000000001,36.78,82.07,15.05,70.18,3.93,94.95,30.7,87.32,5.84,56.46,22.62,39.94,0.01,0.2,0.0,0.0,0.0,0.0,0.04,4.61,55.17,0.48,25.0,0.24,50.0,0.16,0.08,6.75,66.47,91.01,14.58,0,,0,,0,0.0,0.0,0.0,,,2.34,,6.0,0.0,0.0,0.0,0.0,0,0.0
Ricardo Teixeira,Ricardo Jorge Martins Teixeira,-162754,Académica,Académica,https://cdn5.wyscout.com/photos/team/public/168_120x120.png,Liga 3,RCB,RCB,83,,0,,0,24.0,2001-06-07,150000,2026-06-30,23,2263,1,1.58,0,0.03,12.05,60.73,Portugal,['Portugal'],right,188,83,False,7.4,3.74,63.83,4.22,58.49,0.44,0.63,0.44,4.57,6.6,0.64,4,0.16,0,0.0,0.28,0.04,1,0.04,0.06,0,0.0,8,0.32,37.5,12.5,0.0,0.2,40.0,0.04,0.0,0.16,50.0,0.0,0.2,40.0,1.51,57.89,0.72,0.87,0.12,23.54,0.2,0.99,38.14,84.98,14.83,71.05,2.62,96.97,33.13,90.76,4.8100000000000005,47.11,21.22,34.37,0.0,0.08,0.0,0.0,0.0,0.0,0.0,4.53,65.79,0.4,50.0,0.08,50.0,0.16,0.08,6.92,61.49,95.61,17.22,0,,0,,0,0.0,0.0,0.0,,,1.43,,4.22,0.0,0.0,0.0,0.0,0,0.0
Wilson Soares,Wilson Jorge Rosa Soares,200565,Caldas,Caldas,https://cdn5.wyscout.com/photos/team/public/g1739_120x120.png,Liga 3,GK,GK,100,,0,,0,33.0,1993-03-13,0,2026-06-30,23,2262,0,0.0,0,0.0,1.15,72.41,Portugal,['Portugal'],left,190,82,False,2.67,0.12,33.33,0.76,73.68,0.0,0.0,0.0,2.63,3.67,0.0,1,0.04,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.24,83.33,0.0,0.0,0.0,13.45,0.12,0.24,22.48,83.72,13.21,74.1,0.04,0.0,13.33,97.91,9.07,63.6,32.27,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,45.28,0.24,16.67,0.2,20.0,0.04,0.0,7.0,72.16,98.06,8.2,27,1.07,81,3.22,6,66.67,20.43,0.81,-6.57,-0.261,0.0,1.51,0.76,,,,0.0,0,0.0
Duarte Martins,Duarte Tomé Marrafa Figueira Martins,-563060,Lusitano Évora 1911,Lusitano Évora 1911,https://cdn5.wyscout.com/photos/team/public/g-18005_120x120.png,Liga 3,GK,GK,100,,0,,0,23.0,2002-03-31,0,,23,2257,0,0.0,0,0.0,0.56,71.43,Portugal,['Portugal'],right,0,0,False,1.28,0.08,0.0,0.32,100.0,0.0,0.0,0.0,1.28,1.73,0.08,2,0.08,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,33.33,0.16,50.0,0.0,0.0,0.04,4.03,0.24,0.12,10.77,79.26,4.82,57.02,0.0,0.0,7.06,97.18,3.71,45.16,31.89,52.95,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.2,26.67,0.08,0.0,0.16,50.0,0.0,0.0,2.31,68.97,96.85,5.06,25,1.0,68,2.71,4,63.24,22.5,0.9,-2.5,-0.1,0.0,1.44,0.32,,,,0.0,0,0.0
Cassiano,Cassiano Borges Santana,409850,Lusitano Évora 1911,Lusitano Évora 1911,https://cdn5.wyscout.com/photos/team/public/g-18005_120x120.png,Liga 3,"RCB, LCB",RCB,64,LCB,35,,0,31.0,1994-06-26,0,2026-06-30,23,2257,1,3.07,0,0.37,11.13,55.56,Brazil,['Brazil'],right,190,83,False,6.38,3.03,64.47,4.94,58.06,0.48,0.65,0.56,3.95,5.36,0.8,4,0.16,0,0.0,0.2,0.04,1,0.04,0.12,1,0.04,15,0.6000000000000001,20.0,6.667,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.08,100.0,1.08,37.04,0.96,0.72,0.0,21.81,0.6000000000000001,0.32,38.04,77.25,20.18,66.8,0.72,77.78,29.15,86.18,8.85,48.2,24.54,38.86,0.01,0.12,0.04,0.0,0.0,0.0,0.04,5.78,56.55,0.56,14.29,0.36,22.22,0.16,0.0,10.49,68.06,93.3,14.28,0,,0,,0,0.0,0.0,0.0,,,0.32,,4.94,0.0,0.0,0.0,0.0,0,0.0
João Carvalho,João Gonçalo Carapinha Carvalho,-284472,Sporting Braga II,Sporting Braga II,https://cdn5.wyscout.com/photos/team/public/g1758_120x120.png,Liga 3,GK,GK,100,,0,,0,21.0,2004-04-09,0,2028-06-30,23,2254,0,0.0,0,0.0,1.28,87.5,Portugal,['Portugal'],right,192,78,False,1.12,0.04,0.0,0.96,91.67,0.0,0.0,0.0,1.12,1.63,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,14.61,0.28,0.48,24.0,88.35,9.66,75.62,0.04,0.0,19.13,98.33,4.87,49.18,25.78,49.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,33.33,0.2,0.0,0.08,50.0,0.0,0.0,3.71,58.06,97.17,12.7,22,0.88,97,3.87,10,77.32,25.81,1.03,3.81,0.152,0.0,2.2800000000000002,0.96,,,,0.0,0,0.0
Diogo Castro,Diogo Rebelo Castro,450999,Fafe,Fafe,https://cdn5.wyscout.com/photos/team/public/g1765_120x120.png,Liga 3,RB,RB,88,,0,,0,29.0,1997-01-07,0,2026-06-30,23,2244,1,1.65,1,6.34,16.4,52.32,Portugal,['Portugal'],right,183,75,False,7.3,5.78,66.67,1.6800000000000002,45.24,0.12,0.19,0.04,3.33,5.39,1.12,5,0.2,0,0.0,2.73,0.04,1,0.04,0.07,0,0.0,24,0.96,12.5,4.167,0.04,4.21,29.52,0.24,50.0,3.93,28.57,0.88,2.41,55.0,6.42,45.63,1.32,1.56,0.36,28.68,2.5700000000000003,1.44,40.31,75.32,16.04,72.75,6.02,93.33,31.76,84.85,4.41,50.0,20.09,33.48,0.25,1.6,0.0,0.0,0.2,20.0,0.36,6.02,66.0,4.93,38.21,1.04,30.77,0.96,1.16,10.07,75.7,74.16,13.2,0,,0,,0,0.0,0.0,0.0,,,0.8,,1.6800000000000002,1.08,0.08,0.0,2.61,0,0.0
