Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Broman,Alice Broman,-376804,Elfsborg,Elfsborg,https://cdn5.wyscout.com/photos/team/public/g-23301_120x120.png,Elitettan,"LCB, RCB",LCB,87,RCB,10,,0,18.0,2007-01-28,0,,19,1833,0,2.77,0,0.04,11.0,55.8,Sweden,['Sweden'],unknown,0,0,False,8.54,5.25,70.09,2.41,59.18,0.15,0.19,1.08,4.71,6.09,0.34,0,0.0,0,0.0,0.15,0.0,0,0.0,0.14,0,0.0,13,0.64,7.69,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.15,66.67,1.28,30.77,0.88,0.29,0.0,27.25,0.0,0.25,43.99,82.14,18.71,66.93,2.8,94.74,36.63,88.2,7.32,52.35,21.45,35.2,0.0,0.05,0.05,0.0,0.0,0.0,0.0,3.09,57.14,0.29,33.33,0.05,0.0,0.29,0.0,8.3,49.11,95.97,19.49,0,,0,,0,0.0,0.0,0.0,,,2.21,,2.41,0.0,0.0,0.0,0.0,0,0
M. Nurmi,Matilda Nurmi,478132,Uppsala,Uppsala,https://cdn5.wyscout.com/photos/team/public/g38248_120x120.png,Elitettan,GK,GK,100,,0,,0,26.0,1999-06-21,0,,19,1823,0,0.0,0,0.0,0.79,75.0,Finland,['Finland'],,0,0,False,2.32,0.25,80.0,0.30000000000000004,66.67,0.0,0.0,0.0,2.12,3.38,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,50.0,0.0,0.0,0.05,7.6,0.0,0.05,15.8,88.13,8.34,80.47,0.0,0.0,11.9,98.76,3.9,55.7,19.58,33.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,46.88,96.81,4.64,17,0.84,65,3.21,7,73.85,16.48,0.81,-0.52,-0.026000000000000002,0.0,1.33,0.30000000000000004,,,,0.0,0,0
D. Hellwig,Disa Viola Angelina Hellwig,-431424,Jitex,Jitex,https://cdn5.wyscout.com/photos/team/public/g5216_120x120.png,Elitettan,GK,GK,100,,0,,0,23.0,2002-05-12,0,,19,1814,0,0.0,0,0.0,0.99,75.0,Sweden,['Sweden'],,0,0,False,1.8900000000000001,0.15,100.0,0.4,62.5,0.0,0.0,0.0,1.74,1.96,0.05,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.35000000000000003,12.95,64.37,11.46,61.47,0.0,0.0,2.68,92.59,10.27,57.0,39.17,43.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,50.0,0.2,25.0,0.05,0.0,0.05,0.0,6.85,76.09,85.19,1.34,33,1.6400000000000001,111,5.51,5,70.27,32.5,1.6099999999999999,-0.5,-0.025,0.0,1.49,0.4,,,,0.0,0,0
M. Garpenbeck,Moa Ekmyr Garpenbeck,-254996,Bollstanäs,Bollstanäs,https://cdn5.wyscout.com/photos/team/public/g5214_120x120.png,Elitettan,"RCB, LCB3, LCB",RCB,39,LCB3,17,LCB,14,23.0,2002-01-03,0,,19,1800,0,0.42,0,0.07,11.45,57.64,Sweden,['Sweden'],,0,0,False,10.6,7.2,68.06,0.9,44.44,0.0,0.0,0.65,5.7,6.51,0.25,3,0.15,0,0.0,0.55,0.0,0,0.0,0.02,0,0.0,1,0.05,0.0,0.0,0.0,0.4,37.5,0.05,0.0,0.35000000000000003,42.86,0.15,0.5,80.0,2.5,34.0,0.1,1.0,0.1,20.3,0.35000000000000003,0.2,35.95,72.04,18.75,56.8,3.45,92.75,26.0,84.42,9.55,39.79,22.25,37.67,0.0,0.2,0.0,0.0,0.0,0.0,0.05,6.65,47.37,1.3,38.46,0.65,30.77,0.30000000000000004,0.2,8.95,51.96,93.24,10.35,0,,0,,0,0.0,0.0,0.0,,,2.0,,0.9,0.05,0.0,0.0,0.0,0,0
W. Öhman,Wilma Ohman,425555,Eskilstuna United,Eskilstuna United,https://cdn5.wyscout.com/photos/team/public/g5211_120x120.png,Elitettan,"RCMF, RDMF, LCMF",RCMF,41,RDMF,22,LCMF,21,25.0,1999-11-20,0,,19,1799,4,4.05,2,1.97,20.16,52.49,Sweden,['Sweden'],,0,0,False,8.25,5.71,74.07,2.12,60.0,0.0,0.0,0.0,4.02,5.25,0.85,1,0.05,0,0.0,2.75,0.2,4,0.21,0.21,2,0.11,33,1.75,36.36,12.121,0.11,1.53,41.38,0.74,42.86,0.74,35.71,0.11,2.22,61.9,10.32,41.54,1.53,2.38,0.26,16.88,0.32,1.43,33.17,73.05,11.53,57.8,4.92,93.55,28.15,78.95,3.6,39.71,18.57,29.12,0.1,0.58,0.05,0.0,0.32,33.33,0.48,6.77,59.38,2.54,41.67,0.74,21.43,0.74,0.53,5.34,69.31,79.52,11.11,0,,0,,0,0.0,0.0,0.0,,,0.05,,2.12,0.0,0.0,0.0,0.05,0,0
T. Ivarsson-Lidström,Tindra Ivarsson-Lidström,-188954,Jitex,Jitex,https://cdn5.wyscout.com/photos/team/public/g5216_120x120.png,Elitettan,"LCMF3, AMF",LCMF3,55,AMF,17,,0,23.0,2002-08-09,0,,19,1798,5,7.47,4,1.8900000000000001,28.63,41.96,Sweden,['Sweden'],,0,0,False,8.81,7.8100000000000005,65.38,5.76,49.57,0.1,0.11,0.05,3.6,4.05,1.5,2,0.1,0,0.0,2.15,0.25,5,0.25,0.37,2,0.1,57,2.85,36.84,8.772,0.2,0.45,0.0,0.35000000000000003,0.0,0.1,0.0,0.2,2.3,43.48,12.46,24.9,2.75,0.9500000000000001,0.25,16.97,2.0,0.8,31.23,69.23,13.62,57.35,5.76,87.83,27.03,75.56,3.8,31.58,16.46,30.07,0.09,1.2,0.15,0.05,0.25,40.0,0.5,6.96,47.48,1.8,44.44,0.75,26.67,1.25,0.0,6.61,68.94,75.86,5.8100000000000005,0,,0,,0,0.0,0.0,0.0,,,0.0,,5.76,0.05,0.0,0.0,0.05,0,0
T. Olausson,Tess Olausson,-433645,Häcken II,Häcken II,https://cdn5.wyscout.com/photos/team/public/g-17747_120x120.png,Elitettan,LCB,LCB,100,,0,,0,,,0,,19,1776,1,1.24,0,1.18,14.92,60.57,Sweden,['Sweden'],unknown,0,0,False,7.8100000000000005,5.61,77.14,1.02,47.37,0.21,0.32,0.32,3.26,4.91,0.27,1,0.05,0,0.0,2.03,0.05,1,0.05,0.07,0,0.0,14,0.75,35.71,7.143,0.0,1.28,33.33,0.7000000000000001,38.46,0.53,20.0,0.37,1.76,72.73,7.01,49.62,0.43,3.69,0.0,63.48,0.16,0.8,82.35,86.3,30.05,75.27,6.26,96.58,73.96,90.53,7.17,51.49,19.56,37.17,0.06,0.27,0.05,0.21,0.16,33.33,0.05,8.82,63.64,1.98,40.54,1.07,35.0,0.48,0.43,13.37,60.4,92.82,37.22,0,,0,,0,0.0,0.0,0.0,,,0.59,,1.02,0.48,0.05,0.0,0.11,1,0
S. Nilsson,Sofia Munthe  Nilsson,-475557,Gamla Upsala,Gamla Upsala,https://cdn5.wyscout.com/photos/team/public/g7795_120x120.png,Elitettan,"RB, LB, CF",RB,43,LB,19,CF,14,24.0,2000-12-01,0,,19,1772,0,0.93,3,3.19,25.7,54.55,Sweden,['Sweden'],,0,0,False,12.19,9.35,71.2,1.9300000000000002,42.11,0.25,0.30000000000000004,0.15,5.28,6.22,0.66,1,0.05,0,0.0,4.67,0.0,0,0.0,0.05,0,0.0,13,0.66,30.77,0.0,0.15,4.37,34.88,1.02,40.0,3.35,33.33,0.97,4.93,58.76,11.88,46.58,1.78,3.35,0.71,26.61,2.18,1.22,40.68,66.04,16.81,58.01,6.55,89.92,31.44,73.18,5.08,48.0,19.04,36.5,0.16,0.91,0.05,0.0,0.15,33.33,0.76,5.69,51.79,4.83,34.74,1.02,50.0,1.07,1.37,9.29,61.2,62.81,10.11,0,,0,,0,0.0,0.0,0.0,,,0.25,,1.9300000000000002,0.0,0.0,0.0,0.0,0,0
M. Kuusniemi-Fishwick,Matilda Kuusniemi-Fishwick,-331152,Gamla Upsala,Gamla Upsala,https://cdn5.wyscout.com/photos/team/public/g7795_120x120.png,Elitettan,"DMF, RDMF",DMF,73,RDMF,14,,0,21.0,2004-03-06,0,,19,1771,1,0.8200000000000001,3,1.1400000000000001,23.38,56.3,Finland,['Finland'],unknown,0,0,False,14.03,12.15,71.55,1.17,39.13,0.05,0.06,0.25,5.29,6.18,2.13,1,0.05,0,0.0,1.27,0.05,1,0.05,0.04,0,0.0,18,0.91,27.78,5.556,0.15,0.86,52.94,0.15,33.33,0.71,57.14,0.25,1.02,55.0,7.01,37.68,0.2,0.25,0.0,30.69,0.1,1.32,50.31,79.6,18.55,63.29,8.44,95.78,40.5,87.2,8.99,48.02,19.69,37.23,0.06,0.66,0.0,0.05,0.05,0.0,0.30000000000000004,8.84,61.49,2.44,45.83,1.37,44.44,0.76,0.41000000000000003,9.15,61.11,88.33,16.11,0,,0,,0,0.0,0.0,0.0,,,1.63,,1.17,0.41000000000000003,0.05,0.0,0.76,0,0
E. Anderson,Ellica Anderson,-609305,Jitex,Jitex,https://cdn5.wyscout.com/photos/team/public/g5216_120x120.png,Elitettan,"CB, RCB",CB,78,RCB,16,,0,,,0,,19,1760,0,0.28,2,0.41000000000000003,12.73,57.43,Sweden,['Sweden'],,0,0,False,10.94,5.88,72.17,2.4,65.96,0.0,0.0,0.77,6.7,7.53,0.61,2,0.1,0,0.0,0.1,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.1,0.2,50.0,0.05,100.0,0.15,33.33,0.05,0.05,0.0,2.25,27.27,0.2,0.05,0.0,11.2,0.05,0.31,25.11,73.52,14.78,67.13,1.43,75.0,19.74,78.76,5.16,54.46,18.65,34.73,0.02,0.15,0.0,0.0,0.0,0.0,0.05,3.94,62.34,0.46,22.22,0.36,42.86,0.0,0.1,6.75,53.79,88.79,5.93,0,,0,,0,0.0,0.0,0.0,,,0.31,,2.4,0.0,0.0,0.0,0.05,0,0
