Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Kessi,Kessi Isac dos Santos,286083,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"LCMF, RCMF, DMF",LCMF,35,RCMF,31,DMF,16,31.0,1994-10-26,250000,,9,953,1,0.86,0,0.34,17.47,54.59,Brazil,['Brazil'],right,179,72,False,8.59,6.14,66.15,4.34,60.87,0.19,0.30000000000000004,0.28,4.34,7.01,1.7000000000000002,2,0.19,0,0.0,0.66,0.09,1,0.09,0.08,1,0.09,9,0.85,44.44,11.111,0.0,0.5700000000000001,33.33,0.09,0.0,0.38,50.0,0.0,0.47000000000000003,20.0,3.59,39.47,0.9400000000000001,0.47000000000000003,0.0,22.38,0.38,0.66,36.64,82.99,11.43,62.81,5.48,96.55,33.43,87.01,2.64,42.86,17.27,30.75,0.03,0.47000000000000003,0.0,0.0,0.0,0.0,0.0,4.91,73.08,1.23,61.54,0.19,50.0,0.5700000000000001,0.19,4.25,62.22,91.03,13.69,0,,0,,0,0.0,0.0,0.0,,,0.28,,4.34,0.0,0.0,0.0,0.0,0,0
Diego Eli,Diego Eli Moreira,113542,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"CB, RCB",CB,74,RCB,11,,0,37.0,1988-09-04,50000,,9,929,0,1.0,0,0.03,14.24,61.22,Hong Kong,"['Hong Kong', 'Brazil']",right,181,76,False,6.59,4.75,65.31,3.2,63.64,0.39,0.63,0.29,3.1,5.03,0.87,1,0.1,0,0.0,0.97,0.0,0,0.0,0.1,0,0.0,11,1.07,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,87.5,3.49,52.78,1.16,1.07,0.0,22.48,0.29,0.87,37.88,81.59,15.98,67.27,2.42,100.0,30.03,90.32,7.85,48.15,22.68,39.38,0.0,0.1,0.0,0.0,0.19,100.0,0.1,6.98,58.33,0.68,28.57,1.07,36.36,0.19,0.0,8.53,62.5,92.68,15.89,0,,0,,0,0.0,0.0,0.0,,,0.87,,3.2,0.29,0.1,0.0,0.0,0,0
Luizinho,Luiz Humberto  Dutra dos Santos,-247006,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"LW, CF, LWF",LW,31,CF,21,LWF,16,30.0,1995-11-01,250000,,9,905,2,1.99,2,2.21,14.92,48.0,Brazil,['Brazil'],right,177,0,False,3.88,1.99,60.0,1.3900000000000001,64.29,0.1,0.16,0.1,2.59,4.15,0.30000000000000004,2,0.2,0,0.0,4.97,0.2,2,0.2,0.2,0,0.0,26,2.59,30.77,7.692,0.2,3.88,33.33,2.98,33.33,0.9,33.33,0.9,4.38,59.09,9.85,46.46,2.69,2.39,0.2,24.46,2.59,1.3900000000000001,33.81,67.35,10.44,63.81,6.36,87.5,26.65,73.51,3.58,61.11,18.38,35.64,0.22,2.39,0.0,0.0,0.5,60.0,0.4,5.57,60.71,4.38,36.36,0.8,37.5,0.8,1.3900000000000001,6.36,73.44,63.27,9.75,0,,0,,0,0.0,0.0,0.0,,,0.0,,1.3900000000000001,2.29,0.2,50.0,4.67,0,0
Chun Yuen Ho,Yuen Ho Chun,370517,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,GK,GK,100,,0,,0,30.0,1995-07-19,50000,,8,857,0,0.0,0,0.0,0.63,66.67,Hong Kong,['Hong Kong'],right,176,84,False,1.47,0.21,50.0,0.32,66.67,0.0,0.0,0.11,1.37,2.13,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,8.93,0.11,0.11,15.02,83.22,11.13,80.19,0.0,0.0,7.88,97.33,7.04,68.66,35.66,49.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,73.33,0.0,0.0,0.0,0.0,0.0,0.0,5.46,71.15,94.29,3.68,15,1.58,35,3.68,2,57.14,12.83,1.35,-2.17,-0.228,0.0,1.37,0.32,,,,0.0,0,0
Chan Yun Tung,Yun Tung Chan,-247779,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,RB,RB,94,,0,,0,23.0,2002-07-07,0,,8,823,1,1.37,0,0.5700000000000001,13.56,53.23,Hong Kong,['Hong Kong'],right,175,0,False,8.53,6.89,58.73,2.84,46.15,0.33,0.48,0.33,4.16,6.06,1.09,2,0.22,0,0.0,1.75,0.11,1,0.11,0.15,0,0.0,7,0.77,14.29,14.286,0.0,2.08,42.11,0.0,0.0,2.08,42.11,0.44,1.09,70.0,2.41,59.09,1.2,0.22,0.22,14.87,1.53,0.87,24.5,65.63,11.26,53.4,3.61,96.97,16.73,75.82,5.8,45.28,22.43,37.2,0.06,0.66,0.0,0.0,0.0,0.0,0.11,4.26,48.72,2.84,53.85,0.33,0.0,0.66,0.87,6.12,60.71,71.93,6.23,0,,0,,0,0.0,0.0,0.0,,,0.0,,2.84,0.0,0.0,0.0,0.0,0,0
S. Sasaki,Shu Sasaki,472118,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,"LAMF, LW, LDMF",LAMF,27,LW,14,LDMF,14,34.0,1991-02-12,200000,,8,823,1,1.94,1,0.96,24.28,46.4,Japan,['Japan'],right,0,0,False,7.76,7.44,61.76,4.16,36.84,0.0,0.0,0.0,3.17,4.63,1.8599999999999999,1,0.11,0,0.0,2.62,0.11,1,0.11,0.21,0,0.0,11,1.2,36.36,9.091,0.11,2.19,40.0,1.75,31.25,0.44,75.0,0.33,2.62,50.0,7.65,45.71,2.62,1.31,0.11,19.36,2.84,1.8599999999999999,33.9,65.81,14.0,54.69,3.94,91.67,25.04,73.8,6.67,44.26,20.08,36.7,0.11,0.77,0.0,0.0,0.0,0.0,0.33,7.65,57.14,3.61,48.48,0.55,40.0,1.09,0.98,8.75,65.0,68.13,9.95,0,,0,,0,0.0,0.0,0.0,,,0.0,,4.16,0.77,0.0,0.0,0.87,0,0
Ng Wai Him,Wai Him Ng,-183451,Southern District,Southern District,https://cdn5.wyscout.com/photos/team/public/g14323_120x120.png,Premier League,GK,GK,100,,0,,0,23.0,2002-06-30,0,,8,817,0,0.0,0,0.0,0.33,100.0,Hong Kong,['Hong Kong'],right,183,80,False,0.99,0.0,0.0,0.22,100.0,0.0,0.0,0.0,0.99,1.44,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.11,0.0,8.15,89.19,4.85,81.82,0.0,0.0,4.63,97.62,3.5300000000000002,78.13,35.94,43.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,54.55,0.0,0.0,0.11,0.0,0.0,0.0,2.75,88.0,100.0,3.3,13,1.43,41,4.52,2,68.29,10.89,1.2,-2.11,-0.232,0.0,1.1,0.22,,,,0.0,0,0
Bruno Bianconi,Bruno de Oliveira Bianconi,-216356,Eastern District,Eastern District,https://cdn5.wyscout.com/photos/team/public/g37496_120x120.png,Premier League,RCB,RCB,91,,0,,0,23.0,2002-07-26,0,,8,809,0,0.5,0,0.04,10.12,63.74,Brazil,['Brazil'],right,190,79,False,9.79,3.23,75.86,2.7800000000000002,60.0,0.44,0.6000000000000001,0.78,6.9,9.25,0.44,1,0.11,0,0.0,1.11,0.0,0,0.0,0.06,0,0.0,4,0.44,25.0,0.0,0.0,0.33,100.0,0.0,0.0,0.33,100.0,0.11,0.89,75.0,1.8900000000000001,52.94,0.44,1.11,0.0,37.05,0.22,0.22,55.18,86.09,23.25,71.77,2.34,100.0,46.5,92.34,8.34,50.67,21.89,38.38,0.0,0.11,0.0,0.0,0.0,0.0,0.11,6.9,67.74,1.0,22.22,0.44,0.0,0.0,0.33,11.12,70.0,95.76,26.25,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,2.7800000000000002,0.0,0.0,0.0,0.0,0,0
Hélio,Hélio José de Souza Gonçalves,65686,Eastern District,Eastern District,https://cdn5.wyscout.com/photos/team/public/g37496_120x120.png,Premier League,LCB,LCB,91,,0,,0,39.0,1986-01-31,50000,,8,809,1,0.06,0,0.0,7.45,55.22,Brazil,"['Brazil', 'Hong Kong']",right,186,81,False,5.01,2.45,68.18,3.56,46.88,0.22,0.30000000000000004,0.44,3.11,4.18,0.56,2,0.22,0,0.0,0.11,0.11,1,0.11,0.01,1,0.11,1,0.11,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,50.0,0.11,0.11,0.0,36.82,0.11,0.22,49.28,89.84,16.91,76.97,0.44,75.0,44.28,94.47,5.01,48.89,21.0,37.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,2.45,36.36,0.11,0.0,0.11,0.0,0.0,0.0,6.5600000000000005,57.63,97.77,29.93,0,,0,,0,0.0,0.0,0.0,,,0.33,,3.56,0.0,0.0,0.0,0.0,0,0
J. Kang,Jun-hyun Kang,-423217,Kowloon City,Kowloon City,https://cdn5.wyscout.com/photos/team/public/g-22103_120x120.png,Premier League,"LCB3, LCB",LCB3,77,LCB,22,,0,26.0,1999-04-13,0,,8,797,0,0.37,0,0.0,11.07,61.22,Korea Republic,['Korea Republic'],unknown,0,0,False,4.86,4.07,72.22,3.61,68.75,0.34,0.55,0.34,1.58,2.55,0.79,2,0.23,1,0.11,0.23,0.0,0,0.0,0.04,0,0.0,3,0.34,66.67,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,1.13,30.0,0.68,0.23,0.0,21.46,0.34,0.56,33.09,84.64,16.37,73.79,1.47,92.31,26.99,92.89,5.98,49.06,22.07,40.89,0.0,0.11,0.0,0.0,0.0,0.0,0.0,5.08,66.67,0.11,0.0,0.34,0.0,0.0,0.0,6.55,72.41,96.26,12.08,0,,0,,0,0.0,0.0,0.0,,,1.13,,3.61,0.0,0.0,0.0,0.0,0,0
