Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Hyung-Geun Kim,Hyung-Geun Kim,360323,Bucheon 1995,Bucheon 1995,https://cdn5.wyscout.com/photos/team/public/g10752_120x120.png,K League 2,GK,GK,100,,0,,0,31.0,1994-01-06,150000,2025-12-31,38,3859,0,0.0,0,0.0,0.89,84.21,Korea Republic,['Korea Republic'],right,188,78,False,1.07,0.05,50.0,0.68,89.66,0.0,0.0,0.0,1.05,1.45,0.05,3,0.07,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.12,80.0,0.0,0.0,0.0,7.46,0.16,0.16,11.68,79.24,8.63,73.24,0.0,0.0,5.5,98.73,6.11,62.6,36.73,52.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,58.43,0.12,0.0,0.09,50.0,0.0,0.0,4.71,77.23,96.52,2.68,49,1.1400000000000001,160,3.73,13,69.38,53.48,1.25,4.48,0.10400000000000001,0.0,1.73,0.68,,,,0.0,0,0.0
Kim Geon-Hui,Kim Geon-Hui,-491428,Incheon United,Incheon United,https://cdn5.wyscout.com/photos/team/public/2544_120x120.png,K League 2,RCB,RCB,96,,0,,0,23.0,2002-09-16,0,,38,3856,1,1.57,3,1.62,12.49,64.86,Korea Republic,['Korea Republic'],right,192,84,False,7.21,3.99,64.91,5.13,72.73,0.30000000000000004,0.42,0.47000000000000003,4.32,6.03,0.54,3,0.07,0,0.0,0.93,0.02,1,0.02,0.04,1,0.02,14,0.33,35.71,7.143,0.07,0.77,57.58,0.02,0.0,0.72,58.06,0.05,0.47000000000000003,75.0,1.7000000000000002,45.21,0.68,1.9100000000000001,0.02,52.03,0.93,0.12,68.32,84.49,30.46,74.25,4.92,94.79,58.12,91.61,9.52,43.14,21.9,40.25,0.04,0.33,0.0,0.02,0.05,50.0,0.26,11.53,61.34,1.75,36.0,0.86,18.92,0.47000000000000003,0.4,12.35,67.67,94.68,26.77,0,,0,,0,0.0,0.0,0.0,,,3.03,,5.13,0.0,0.0,0.0,0.0,0,0.0
Kim Seon-Min,Seon-Min Kim,178813,Chungbuk Cheongju,Chungbuk Cheongju,https://cdn5.wyscout.com/photos/team/public/g13144_120x120.png,K League 2,"RCMF, LCMF, DMF",RCMF,50,LCMF,31,DMF,12,33.0,1991-12-12,325000,,38,3808,1,2.12,0,1.56,11.13,53.93,Korea Republic,['Korea Republic'],right,167,65,False,8.37,6.0,61.02,1.18,38.0,0.17,0.21,0.43,4.54,5.66,1.51,4,0.09,0,0.0,0.5700000000000001,0.02,1,0.02,0.05,0,0.0,35,0.8300000000000001,14.29,2.857,0.0,0.59,52.0,0.19,50.0,0.35000000000000003,46.67,0.07,0.26,45.45,1.8,38.16,0.35000000000000003,0.12,0.05,35.03,0.19,0.52,50.86,84.85,17.06,69.67,7.54,97.81,41.71,91.1,8.58,56.75,20.51,39.38,0.04,0.43,0.02,0.0,0.09,25.0,0.21,8.79,69.09,2.32,52.04,1.04,56.82,0.99,0.31,8.91,72.41,92.05,19.92,0,,0,,0,0.0,0.0,0.0,,,0.6900000000000001,,1.18,0.02,0.0,0.0,0.0,0,0.0
L. Ruiz,Leonardo Acevedo Ruiz,363507,Seongnam,Seongnam,https://cdn5.wyscout.com/photos/team/public/2548_120x120.png,K League 2,CF,CF,98,,0,,0,29.0,1996-04-18,400000,,37,3715,17,16.04,1,0.9,19.28,34.92,Colombia,"['Colombia', 'Portugal']",right,185,69,False,3.2,2.62,49.07,6.52,34.94,0.17,0.24,0.12,1.74,2.49,1.6,7,0.17,0,0.0,1.9100000000000001,0.41000000000000003,14,0.34,0.39,6,0.15,84,2.03,50.0,20.238,0.02,0.24,40.0,0.07,0.0,0.15,50.0,0.0,1.21,54.0,7.17,31.08,3.05,0.63,0.07,12.99,1.79,1.04,19.07,80.69,3.71,61.44,6.27,91.89,17.78,81.74,1.09,68.89,16.4,25.8,0.02,0.31,0.02,0.02,0.22,66.67,0.24,1.77,69.86,0.92,60.53,0.22,44.44,0.61,0.1,1.96,56.79,84.62,5.67,0,,0,,0,0.0,0.0,0.0,,,0.07,,6.52,0.0,0.0,0.0,0.0,4,75.0
Jae-Won Shin,Jae-Won Shin,-118856,Seongnam,Seongnam,https://cdn5.wyscout.com/photos/team/public/2548_120x120.png,K League 2,"RB, RWB",RB,74,RWB,16,,0,27.0,1998-09-16,175000,,37,3702,0,2.38,9,6.63,12.45,54.1,Korea Republic,['Korea Republic'],right,183,75,False,6.18,4.38,61.11,2.92,60.0,0.1,0.14,0.19,3.4,4.84,0.56,6,0.15,0,0.0,2.89,0.0,0,0.0,0.06,0,0.0,27,0.66,25.93,0.0,0.22,4.35,32.96,0.15,50.0,4.21,32.37,0.9,2.12,60.92,3.94,46.91,1.02,1.51,0.27,25.72,2.26,0.63,34.23,71.45,12.11,60.24,5.74,90.68,25.06,83.03,5.03,46.38,21.88,36.66,0.16,1.24,0.07,0.05,0.0,0.0,0.46,4.42,52.2,3.67,38.41,0.39,31.25,0.22,1.3599999999999999,8.19,65.28,73.63,11.99,0,,0,,0,0.0,0.0,0.0,,,0.8300000000000001,,2.92,0.85,0.07,0.0,2.24,0,0.0
J. Alberti,José Alberti Loyarte,434704,Jeonnam Dragons,Jeonnam Dragons,https://cdn5.wyscout.com/photos/team/public/2549_120x120.png,K League 2,"LCMF, DMF, RCMF",LCMF,41,DMF,24,RCMF,21,28.0,1997-03-29,500000,,37,3664,4,2.39,7,3.79,12.85,50.86,Uruguay,['Uruguay'],right,172,71,False,6.75,5.67,64.94,1.87,36.84,0.15,0.18,0.02,2.92,3.55,0.59,4,0.1,0,0.0,0.84,0.1,4,0.1,0.06,0,0.0,41,1.01,29.27,9.756,0.17,0.61,40.0,0.2,62.5,0.42,29.41,0.05,0.64,46.15,3.71,35.1,0.52,0.74,0.05,28.89,0.29,0.76,41.66,83.67,12.77,68.65,4.62,95.74,35.86,87.88,5.26,59.35,20.24,35.32,0.09,0.91,0.02,0.05,0.02,0.0,0.29,7.74,73.33,1.52,54.84,0.37,60.0,0.66,0.2,7.61,75.48,90.95,19.55,0,,0,,0,0.0,0.0,0.0,,,0.34,,1.87,0.42,0.02,0.0,1.2,0,0.0
Koo Sang-Min,Sang-Min Koo,331877,Busan I'Park,Busan I'Park,https://cdn5.wyscout.com/photos/team/public/2552_120x120.png,K League 2,GK,GK,100,,0,,0,34.0,1991-10-31,275000,,36,3635,0,0.0,0,0.9,0.9400000000000001,86.84,Korea Republic,['Korea Republic'],left,186,82,False,1.24,0.12,60.0,0.62,96.0,0.0,0.0,0.0,1.16,1.51,0.0,2,0.05,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,71.43,0.0,0.0,0.0,13.2,0.25,0.25,19.49,83.86,11.98,75.0,0.0,0.0,11.64,97.87,7.85,63.09,34.26,51.41,0.02,0.1,0.02,0.0,0.0,0.0,0.0,3.64,59.86,0.17,28.57,0.22,11.11,0.05,0.0,6.07,81.63,98.18,6.8100000000000005,43,1.06,129,3.19,11,66.67,40.95,1.01,-2.05,-0.051000000000000004,0.0,1.58,0.62,,,,0.0,0,0.0
Seung-Yong Jung,Seung-Yong Jung,119373,Seongnam,Seongnam,https://cdn5.wyscout.com/photos/team/public/2548_120x120.png,K League 2,"LB, LCB3",LB,72,LCB3,22,,0,34.0,1991-03-25,325000,,37,3626,1,0.41000000000000003,0,4.5600000000000005,12.06,61.32,Korea Republic,['Korea Republic'],left,182,83,False,7.0,4.86,71.43,1.6600000000000001,62.69,0.37,0.53,0.37,3.15,4.49,0.84,3,0.07,0,0.0,1.46,0.02,1,0.02,0.01,0,0.0,10,0.25,30.0,10.0,0.0,2.08,38.1,1.94,39.74,0.1,25.0,0.2,0.92,62.16,3.43,52.9,0.2,2.21,0.2,42.42,1.46,1.07,54.9,85.17,23.11,77.34,7.92,96.24,47.21,91.38,5.83,50.21,18.48,35.73,0.11,0.79,0.02,0.05,0.05,50.0,0.37,8.29,72.16,2.48,49.0,0.22,33.33,0.42,0.74,11.05,74.38,90.61,15.34,0,,0,,0,0.0,0.0,0.0,,,0.47000000000000003,,1.6600000000000001,0.6900000000000001,0.07,66.67,1.02,0,0.0
Song-Hun Shin,Song-Hun Shin,-142893,Chungnam Asan,Chungnam Asan,https://cdn5.wyscout.com/photos/team/public/g21170_120x120.png,K League 2,GK,GK,100,,0,,0,23.0,2002-11-07,300000,,36,3623,0,0.0,0,0.0,1.19,87.5,Korea Republic,['Korea Republic'],right,180,0,False,1.09,0.1,50.0,0.92,89.19,0.0,0.0,0.0,1.04,1.38,0.0,1,0.02,0,0.0,0.02,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,100.0,0.1,100.0,0.0,0.0,0.0,13.04,0.2,0.2,17.79,86.17,8.72,73.22,0.0,0.0,11.9,99.58,5.84,59.57,33.62,51.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,53.13,0.2,0.0,0.17,42.86,0.0,0.0,4.2,79.29,99.43,8.64,41,1.02,126,3.13,12,67.46,38.14,0.9500000000000001,-2.86,-0.07100000000000001,0.0,1.9100000000000001,0.92,,,,0.0,0,0.0
Ho-Ik Jang,Ho-Ik Jang,441597,Busan I'Park,Busan I'Park,https://cdn5.wyscout.com/photos/team/public/2552_120x120.png,K League 2,RCB3,RCB3,82,,0,,0,31.0,1993-12-04,400000,,36,3605,1,0.9500000000000001,0,0.91,13.13,59.51,Korea Republic,['Korea Republic'],right,173,62,False,8.51,5.54,67.57,2.8,51.79,0.8200000000000001,1.06,0.35000000000000003,3.94,5.1,0.8,5,0.12,0,0.0,1.1,0.02,1,0.02,0.02,0,0.0,16,0.4,37.5,6.25,0.0,0.87,51.43,0.05,100.0,0.8,46.88,0.05,0.77,64.52,2.77,53.15,0.4,1.35,0.15,30.76,0.52,1.3,44.26,85.45,19.17,79.43,5.04,92.57,39.32,89.65,4.22,53.25,17.91,34.7,0.02,0.30000000000000004,0.05,0.0,0.05,0.0,0.1,6.09,77.87,1.22,48.98,0.15,16.67,0.30000000000000004,0.35000000000000003,8.51,70.38,91.77,13.66,0,,0,,0,0.0,0.0,0.0,,,1.5,,2.8,0.07,0.0,0.0,0.0,0,0.0
