Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Csenterics,Adrián Dany Hammad Csenterics,-272166,Mérida AD,Mérida AD,https://cdn5.wyscout.com/photos/team/public/g30539_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,21.0,2004-10-08,0,,22,2269,0,0.0,0,0.04,0.67,88.24,Hungary,['Hungary'],right,196,0,True,1.9,0.2,80.0,0.24,83.33,0.04,0.06,0.0,1.71,2.55,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,11.94,0.04,0.16,17.73,82.77,10.91,73.82,0.0,0.0,10.67,98.14,6.94,60.0,33.12,49.84,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.01,53.95,0.16,0.0,0.12,0.0,0.0,0.0,5.24,76.52,96.95,6.51,30,1.19,78,3.09,6,61.54,25.28,1.0,-4.72,-0.187,0.0,1.35,0.24,,,,0.0,0,0.0
M. Parera,Miquel Parera Pizá,360651,Racing Ferrol,Racing Ferrol,https://cdn5.wyscout.com/photos/team/public/659_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,29.0,1996-05-18,700000,2026-06-30,22,2258,0,0.0,0,0.0,1.04,84.62,Spain,['Spain'],right,182,77,False,1.55,0.16,75.0,0.56,92.86,0.04,0.06,0.0,1.4,2.04,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,100.0,0.0,0.0,0.0,12.08,0.2,0.4,18.61,86.08,10.52,77.65,0.0,0.0,11.6,96.56,7.02,68.75,31.45,49.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,65.85,0.04,0.0,0.16,25.0,0.0,0.0,5.54,73.38,96.76,7.37,24,0.96,94,3.75,6,74.47,24.81,0.99,0.81,0.032,0.0,1.9100000000000001,0.56,,,,0.0,0,0.0
Fermín Sobrón,Fermín Sobrón Olarte,251286,Zamora,Zamora,https://cdn5.wyscout.com/photos/team/public/2711_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,30.0,1995-11-15,200000,2026-06-30,22,2227,0,0.0,0,0.0,0.85,95.24,Spain,['Spain'],right,177,63,False,2.02,0.04,100.0,0.53,92.31,0.0,0.0,0.0,1.98,2.81,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.04,0.0,0.0,20.33,0.2,0.36,28.81,78.82,17.82,66.44,0.0,0.0,13.98,97.98,14.79,60.93,38.24,52.19,0.0,0.0,0.0,0.0,0.0,0.0,0.04,6.79,54.76,0.4,20.0,0.6900000000000001,47.06,0.08,0.0,10.51,77.69,98.82,10.26,25,1.01,75,3.03,9,66.67,24.95,1.01,-0.05,-0.002,0.0,1.7000000000000002,0.53,,,,0.0,0,0.0
D. Martín,Daniel Martín Fernández,387305,Tenerife,Tenerife,https://cdn5.wyscout.com/photos/team/public/778_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,27.0,1998-07-08,800000,2028-06-30,22,2212,0,0.0,1,0.0,0.65,87.5,Spain,['Spain'],right,187,78,False,1.46,0.08,50.0,0.37,88.89,0.0,0.0,0.0,1.42,2.19,0.0,2,0.08,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.12,100.0,0.0,0.0,0.0,14.81,0.28,0.2,21.16,84.62,12.25,74.42,0.0,0.0,11.84,98.63,9.32,66.81,34.33,50.21,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.85,45.71,0.16,0.0,0.16,50.0,0.0,0.0,6.51,78.75,99.02,8.34,12,0.49,66,2.69,14,81.82,16.29,0.66,4.29,0.17500000000000002,0.0,1.22,0.37,,,,0.0,0,0.0
D. Fuoli,Diego Licinio Lázaro Fuoli,499775,Sabadell,Sabadell,https://cdn5.wyscout.com/photos/team/public/2516_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,28.0,1997-10-20,200000,2027-06-30,21,2177,0,0.01,0,0.0,0.41000000000000003,100.0,Spain,['Spain'],right,188,79,False,1.32,0.0,0.0,0.29,100.0,0.0,0.0,0.0,1.32,2.07,0.0,3,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.04,0.0,14.47,0.25,0.21,20.3,78.62,13.35,69.35,0.04,100.0,10.05,97.53,10.21,60.32,38.61,55.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,55.47,0.37,22.22,0.37,33.33,0.12,0.0,6.86,79.52,97.47,6.53,10,0.41000000000000003,73,3.02,14,86.3,15.33,0.63,5.33,0.22,0.0,0.9500000000000001,0.29,,,,0.0,0,0.0
Álvaro Ratón,Álvaro López Ratón,242028,Ourense CF,Ourense CF,https://cdn5.wyscout.com/photos/team/public/g39884_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,33.0,1993-01-29,200000,2026-06-30,21,2169,0,0.0,1,0.13,0.33,87.5,Spain,['Spain'],left,192,84,False,1.2,0.04,100.0,0.21,80.0,0.0,0.0,0.0,1.16,1.69,0.08,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,13.82,0.25,0.12,21.7,76.48,14.44,67.24,0.0,0.0,9.46,96.49,12.16,61.43,37.71,49.27,0.01,0.04,0.0,0.0,0.0,0.0,0.04,4.07,56.12,0.17,0.0,0.25,83.33,0.0,0.0,8.55,75.24,94.97,6.6,26,1.08,88,3.65,8,70.45,24.34,1.01,-1.6600000000000001,-0.069,0.0,0.8300000000000001,0.21,,,,0.0,0,0.0
Manu González,Manuel González Pallarés,-556611,Betis Deportivo,Betis Deportivo,https://cdn5.wyscout.com/photos/team/public/2741_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,18.0,2007-04-18,0,2028-06-30,21,2168,0,0.0,0,0.0,0.8300000000000001,85.0,Spain,['Spain'],right,0,0,False,1.37,0.12,33.33,0.46,90.91,0.0,0.0,0.0,1.33,2.4,0.0,0,0.0,0,0.0,0.04,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.17,100.0,0.0,0.0,0.0,17.14,0.08,0.04,25.95,85.76,16.15,78.41,0.0,0.0,16.4,97.47,9.55,65.65,30.26,48.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,55.17,0.25,0.0,0.25,0.0,0.0,0.0,7.43,72.07,97.64,8.8,28,1.16,95,3.94,4,70.53,27.19,1.13,-0.81,-0.034,0.0,1.58,0.46,,,,0.0,0,0.0
Hugo Sanz,Hugo  Sanz Pérez,-370806,Ourense CF,Ourense CF,https://cdn5.wyscout.com/photos/team/public/g39884_120x120.png,Primera Division RFEF,LB,LB,95,,0,,0,23.0,2002-04-21,0,2026-06-30,22,2163,3,0.44,1,3.61,9.15,45.0,Spain,['Spain'],left,174,0,False,5.74,4.16,47.0,1.29,35.48,0.04,0.06,0.33,3.74,5.5,0.42,2,0.08,0,0.0,2.16,0.12,3,0.12,0.02,1,0.04,7,0.29,85.71,42.857,0.04,3.66,36.36,3.5,35.71,0.17,50.0,0.46,0.8300000000000001,70.0,2.12,43.14,1.17,1.33,0.54,20.8,1.37,0.25,30.58,70.75,12.32,66.89,5.12,91.06,22.68,80.92,4.45,47.66,19.72,30.64,0.15,0.96,0.0,0.0,0.0,0.0,0.33,3.58,61.63,2.29,41.82,0.12,0.0,0.12,1.21,7.66,68.48,68.11,7.7,0,,0,,0,0.0,0.0,0.0,,,0.58,,1.29,0.67,0.0,0.0,0.92,0,0.0
Arthur Bonaldo,Arthur Renan Bonaldo,473296,Sabadell,Sabadell,https://cdn5.wyscout.com/photos/team/public/2516_120x120.png,Primera Division RFEF,"RCB3, RCB, CB",RCB3,37,RCB,36,CB,12,29.0,1996-02-18,200000,2026-06-30,21,2158,2,1.13,3,0.55,15.26,58.2,Brazil,"['Brazil', 'Italy']",right,181,73,False,8.26,3.75,64.44,7.92,58.42,0.25,0.39,0.58,5.59,8.74,0.92,1,0.04,0,0.0,0.25,0.08,2,0.08,0.05,2,0.08,8,0.33,50.0,25.0,0.13,0.04,100.0,0.0,0.0,0.04,100.0,0.0,0.13,33.33,1.17,50.0,0.58,0.58,0.08,25.36,0.25,0.38,40.79,87.63,17.18,78.64,3.8,98.9,36.87,90.38,3.92,61.7,19.53,35.3,0.02,0.13,0.0,0.0,0.0,0.0,0.04,3.17,59.21,0.25,50.0,0.29,28.57,0.25,0.04,6.59,63.92,93.82,15.51,0,,0,,0,0.0,0.0,0.0,,,2.92,,7.92,0.0,0.0,0.0,0.0,0,0.0
Carlos Abad,Carlos Javier Abad Hernández Trujillo,334589,Hércules,Hércules,https://cdn5.wyscout.com/photos/team/public/773_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,30.0,1995-06-28,250000,2028-06-30,21,2157,0,0.0,0,0.0,0.29,85.71,Spain,['Spain'],right,193,83,False,1.29,0.08,100.0,0.08,100.0,0.0,0.0,0.0,1.21,1.92,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,100.0,0.0,0.0,0.0,10.51,0.38,0.13,17.23,83.54,9.68,74.14,0.0,0.0,10.6,95.67,6.59,64.56,34.56,50.03,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.17,53.85,0.04,0.0,0.08,0.0,0.0,0.0,5.13,73.17,97.11,7.22,25,1.04,80,3.34,7,68.75,24.29,1.01,-0.71,-0.03,0.0,1.0,0.08,,,,0.0,0,0.0
Jaime González,Jaime González Peguero,428515,Talavera CF,Talavera CF,https://cdn5.wyscout.com/photos/team/public/g2086_120x120.png,Primera Division RFEF,GK,GK,100,,0,,0,27.0,1998-03-22,0,2026-06-30,21,2154,0,0.0,0,0.0,0.63,100.0,Spain,['Spain'],right,0,0,False,1.71,0.04,100.0,0.29,100.0,0.0,0.0,0.0,1.67,2.18,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.04,0.04,0.0,7.86,0.13,0.21,14.08,82.2,8.23,70.56,0.0,0.0,7.44,99.44,6.64,62.89,37.37,51.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,62.07,0.21,0.0,0.04,0.0,0.04,0.0,4.47,85.05,98.37,5.14,31,1.3,79,3.3,3,60.76,25.14,1.05,-5.86,-0.245,0.0,1.63,0.29,,,,0.0,0,0.0
Sergio Martínez,Sergio Martínez Macías,-288805,Sevilla Atlético,Sevilla Atlético,https://cdn5.wyscout.com/photos/team/public/776_120x120.png,Primera Division RFEF,"LCB, LB",LCB,59,LB,38,,0,21.0,2004-04-09,0,2026-06-30,21,2143,0,0.47000000000000003,0,0.4,12.73,59.41,Spain,['Spain'],left,177,75,False,7.73,5.5,68.7,2.56,44.26,0.08,0.12,0.38,3.86,5.38,0.97,3,0.13,0,0.0,1.13,0.0,0,0.0,0.02,0,0.0,8,0.34,25.0,0.0,0.0,1.05,52.0,1.05,52.0,0.0,0.0,0.08,0.63,80.0,1.97,48.94,0.63,0.97,0.17,28.01,0.84,0.38,40.49,82.26,18.27,69.43,3.5700000000000003,95.29,33.01,87.79,6.47,59.09,22.38,37.88,0.02,0.34,0.0,0.0,0.0,0.0,0.04,7.14,68.24,1.6400000000000001,51.28,0.21,40.0,0.34,0.59,9.58,74.56,94.75,15.2,0,,0,,0,0.0,0.0,0.0,,,1.81,,2.56,0.0,0.0,0.0,0.0,0,0.0
