Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Arndt,Dawid Arndt,-118369,Chrobry Głogów,Chrobry Głogów,https://cdn5.wyscout.com/photos/team/public/g8962_120x120.png,I Liga,GK,GK,100,,0,,0,24.0,2001-09-22,200000,2026-06-30,15,1475,0,0.0,0,0.0,0.49,100.0,Poland,['Poland'],right,187,80,False,1.16,0.0,0.0,0.24,100.0,0.0,0.0,0.0,1.16,1.67,0.0,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,100.0,0.0,0.0,0.06,13.0,0.0,0.24,21.36,86.86,11.72,77.6,0.0,0.0,13.12,98.14,8.24,68.89,32.06,49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,65.0,0.12,0.0,0.12,50.0,0.0,0.0,6.77,77.48,98.0,9.15,14,0.85,54,3.29,5,74.07,18.28,1.12,4.28,0.261,0.0,1.9500000000000002,0.24,,,,0.0,0,0
J. Grič,Jakub Grič,295746,Chrobry Głogów,Chrobry Głogów,https://cdn5.wyscout.com/photos/team/public/g8962_120x120.png,I Liga,RCB,RCB,99,,0,,0,29.0,1996-07-05,250000,,15,1475,2,1.44,0,0.02,10.01,64.63,Slovakia,['Slovakia'],right,181,78,False,7.99,4.82,70.89,2.38,56.41,0.18,0.26,0.79,4.39,6.32,0.85,5,0.31,0,0.0,0.79,0.12,2,0.12,0.09,1,0.06,14,0.85,42.86,14.286,0.0,0.55,55.56,0.06,100.0,0.49,50.0,0.06,0.24,50.0,0.92,40.0,0.98,1.16,0.06,28.56,0.18,0.79,43.69,90.36,12.57,77.67,2.87,95.74,39.29,94.41,3.91,54.69,21.25,35.29,0.0,0.24,0.0,0.0,0.0,0.0,0.06,4.52,77.03,0.79,61.54,0.24,0.0,0.37,0.31,5.55,63.74,96.93,25.81,0,,0,,0,0.0,0.0,0.0,,,2.26,,2.38,0.0,0.0,0.0,0.0,0,0
M. Mazur,Myroslav Mazur,420545,Chrobry Głogów,Chrobry Głogów,https://cdn5.wyscout.com/photos/team/public/g8962_120x120.png,I Liga,LCB,LCB,99,,0,,0,27.0,1998-08-11,200000,,15,1475,5,4.71,0,1.0,12.69,56.73,Ukraine,['Ukraine'],left,194,88,False,7.99,3.7199999999999998,60.66,5.13,58.33,0.31,0.44,0.79,5.43,7.8100000000000005,0.61,2,0.12,0,0.0,1.28,0.31,3,0.18,0.29,1,0.06,21,1.28,42.86,23.81,0.0,0.85,57.14,0.61,50.0,0.18,66.67,0.0,0.43,57.14,1.9500000000000002,40.63,1.34,0.92,0.06,33.38,0.61,0.98,47.35,82.22,24.16,76.26,2.81,95.65,35.08,90.43,11.47,58.51,24.7,42.42,0.06,0.31,0.0,0.0,0.0,0.0,0.31,10.01,68.9,2.56,57.14,1.04,52.94,0.85,0.49,12.94,75.47,90.04,16.54,0,,0,,0,0.0,0.0,0.0,,,1.5899999999999999,,5.13,0.31,0.18,66.67,0.0,4,50
K. Podliński,Karol Podliński,476850,Pogoń Siedlce,Pogoń Siedlce,https://cdn5.wyscout.com/photos/team/public/g13545_120x120.png,I Liga,CF,CF,100,,0,,0,27.0,1997-11-06,150000,,15,1469,2,5.01,1,0.09,29.71,41.86,Poland,['Poland'],right,194,90,False,4.59,2.8200000000000003,50.0,11.89,45.36,0.18,0.23,0.06,3.0,3.8,1.8399999999999999,3,0.18,0,0.0,0.49,0.12,2,0.12,0.31,0,0.0,22,1.35,31.82,9.091,0.06,0.06,100.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.66,39.2,2.76,0.31,0.0,8.82,1.1,2.45,15.5,74.31,3.92,46.88,5.21,94.12,14.58,75.63,0.86,50.0,15.74,24.21,0.01,0.25,0.0,0.0,0.12,0.0,0.06,1.78,41.38,0.37,50.0,0.12,0.0,0.25,0.06,1.53,44.0,82.54,3.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,11.89,0.0,0.0,0.0,0.0,0,0
J. Bednarczyk,Jakub Bednarczyk,441380,Górnik Łęczna,Górnik Łęczna,https://cdn5.wyscout.com/photos/team/public/2793_120x120.png,I Liga,RB,RB,94,,0,,0,26.0,1999-01-02,200000,,15,1466,2,2.21,1,2.44,18.79,54.58,Poland,"['Poland', 'Germany']",right,184,68,False,11.42,6.94,62.83,2.89,40.43,0.31,0.45,0.43,6.75,9.97,0.86,3,0.18,0,0.0,3.81,0.12,0,0.0,0.14,0,0.0,30,1.8399999999999999,16.67,6.667,0.06,5.03,29.27,0.25,50.0,4.73,28.57,0.37,3.5,57.89,7.12,51.72,1.11,3.07,0.37,25.97,1.72,1.9,37.39,70.94,12.22,53.27,7.61,95.16,27.32,83.82,5.16,41.67,21.6,39.31,0.15,1.17,0.0,0.06,0.06,0.0,0.68,5.65,52.17,4.91,36.25,0.43,28.57,0.49,1.6600000000000001,8.59,72.86,72.22,12.16,0,,0,,0,0.0,0.0,0.0,,,0.74,,2.89,0.37,0.06,0.0,0.8,2,100
M. Kuchta,Mateusz Kuchta,289869,Polonia Warszawa,Polonia Warszawa,https://cdn5.wyscout.com/photos/team/public/446_120x120.png,I Liga,GK,GK,100,,0,,0,29.0,1996-02-05,150000,,15,1428,0,0.0,1,0.63,0.9500000000000001,93.33,Poland,['Poland'],right,190,86,False,1.51,0.0,0.0,0.5700000000000001,88.89,0.06,0.09,0.0,1.45,2.11,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.06,13.87,0.38,0.44,21.87,90.78,12.48,86.36,0.0,0.0,13.93,98.64,7.88,77.6,31.53,49.15,0.04,0.13,0.0,0.0,0.0,0.0,0.13,2.21,65.71,0.0,0.0,0.13,100.0,0.0,0.0,6.8100000000000005,87.96,97.83,8.7,25,1.58,66,4.16,1,62.12,21.07,1.33,-3.93,-0.248,0.0,1.9500000000000002,0.5700000000000001,,,,0.0,0,0
J. Keiblinger,Julian Keiblinger,-267142,Tychy 71,Tychy 71,https://cdn5.wyscout.com/photos/team/public/g9959_120x120.png,I Liga,"RWB, RW",RWB,62,RW,10,,0,24.0,2001-05-18,300000,2026-06-30,15,1427,3,0.92,1,3.55,12.74,42.08,Austria,['Austria'],right,176,69,False,7.32,5.36,43.53,1.6400000000000001,30.77,0.25,0.36,0.13,4.73,6.7,0.8200000000000001,2,0.13,0,0.0,2.33,0.19,3,0.19,0.06,0,0.0,11,0.6900000000000001,36.36,27.273,0.06,3.47,45.45,0.38,50.0,3.03,43.75,0.76,1.58,28.0,4.6,42.47,1.51,1.7000000000000002,0.06,28.32,1.83,0.88,38.41,83.09,9.21,73.97,9.4,94.63,32.61,90.33,2.46,38.46,17.95,39.66,0.22,1.96,0.0,0.06,0.06,100.0,0.5700000000000001,2.84,77.78,3.59,49.12,0.19,66.67,0.9500000000000001,1.6400000000000001,6.5,68.93,81.9,13.94,0,,0,,0,0.0,0.0,0.0,,,0.88,,1.6400000000000001,1.1400000000000001,0.0,0.0,2.33,0,0
Ángel Rodado,Ángel Rodado Jareño,455282,Wisła Kraków,Wisła Kraków,https://cdn5.wyscout.com/photos/team/public/445_120x120.png,I Liga,CF,CF,91,,0,,0,28.0,1997-03-07,700000,2030-06-30,15,1422,15,11.97,0,1.02,19.3,37.7,Spain,['Spain'],left,179,74,False,5.13,4.05,56.25,3.86,36.07,0.13,0.21,0.06,2.7199999999999998,4.57,1.3900000000000001,1,0.06,0,0.0,2.5300000000000002,0.9500000000000001,13,0.8200000000000001,0.76,3,0.19,67,4.24,35.82,22.388,0.0,1.01,18.75,0.8200000000000001,23.08,0.13,0.0,0.25,2.15,38.24,8.29,30.53,5.0,1.65,0.25,14.81,1.52,0.89,20.19,75.55,5.19,62.2,4.62,90.41,18.23,79.86,1.01,50.0,16.71,27.04,0.06,0.8200000000000001,0.0,0.0,0.06,0.0,0.44,1.96,58.06,1.46,60.87,0.13,0.0,1.27,0.19,1.9,83.33,76.47,6.46,0,,0,,0,0.0,0.0,0.0,,,0.06,,3.86,0.44,0.32,20.0,0.13,2,100
M. Błachewicz,Marcel Błachewicz,-267374,Tychy 71,Tychy 71,https://cdn5.wyscout.com/photos/team/public/g9959_120x120.png,I Liga,"LWB, LB",LWB,63,LB,22,,0,22.0,2003-05-06,300000,2026-06-30,15,1402,3,1.92,1,0.96,16.05,42.8,Poland,['Poland'],left,186,76,False,7.13,5.39,61.9,4.3,28.36,0.06,0.09,0.32,3.7199999999999998,5.24,0.9,3,0.19,0,0.0,3.08,0.19,3,0.19,0.12,2,0.13,22,1.4100000000000001,40.91,13.636,0.06,4.37,27.94,3.92,29.51,0.45,14.29,0.71,2.63,46.34,4.94,37.66,2.5700000000000003,1.8599999999999999,0.06,20.29,2.18,0.51,26.45,66.5,7.57,59.32,5.71,92.13,20.61,77.57,1.8599999999999999,34.48,19.15,37.01,0.06,1.16,0.06,0.0,0.06,100.0,0.26,2.89,64.44,3.5300000000000002,36.36,0.13,50.0,0.45,1.16,5.97,56.99,58.46,8.35,0,,0,,0,0.0,0.0,0.0,,,0.19,,4.3,0.32,0.0,0.0,1.16,0,0
Ł. Zjawiński,Łukasz Zjawiński,509897,Polonia Warszawa,Polonia Warszawa,https://cdn5.wyscout.com/photos/team/public/446_120x120.png,I Liga,CF,CF,100,,0,,0,24.0,2001-07-11,250000,2026-06-30,15,1386,9,10.03,0,0.52,21.75,39.4,Poland,['Poland'],right,189,83,False,2.14,1.3,65.0,8.25,37.01,0.0,0.0,0.26,1.3,1.8900000000000001,0.78,1,0.06,0,0.0,2.08,0.58,6,0.39,0.65,3,0.19,49,3.18,38.78,18.367,0.0,0.45,14.29,0.19,0.0,0.26,25.0,0.13,1.62,48.0,7.01,40.74,4.35,0.26,0.0,6.75,1.3599999999999999,1.9500000000000002,9.74,67.33,2.79,60.47,2.08,84.38,8.77,70.37,0.52,62.5,15.91,18.53,0.03,0.26,0.13,0.0,0.0,0.0,0.06,0.78,50.0,0.26,50.0,0.0,0.0,0.32,0.06,1.17,33.33,54.05,2.4,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.25,0.06,0.06,0.0,0.0,3,100
