Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
A. Jovanović,Aleksandar Jovanović,286730,Kocaelispor,Kocaelispor,https://cdn5.wyscout.com/photos/team/public/1112_120x120.png,Süper Lig,GK,GK,100,,0,,0,33.0,1992-12-06,1200000,2027-06-30,17,1714,0,0.0,0,0.0,0.53,90.0,Serbia,"['Serbia', 'Montenegro']",right,191,86,False,1.1,0.05,100.0,0.37,100.0,0.0,0.0,0.0,1.05,1.57,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,13.97,0.42,0.11,21.11,84.83,13.44,77.73,0.0,0.0,10.45,99.5,10.55,71.14,35.27,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,55.0,0.11,0.0,0.05,0.0,0.05,0.0,8.87,77.51,97.74,6.98,17,0.89,49,2.5700000000000003,6,65.31,13.27,0.7000000000000001,-3.73,-0.196,0.0,1.31,0.37,,,,0.0,0,0
A. Gianniotis,Andreas Gianniotis,219921,Kasımpaşa,Kasımpaşa,https://cdn5.wyscout.com/photos/team/public/1252_120x120.png,Süper Lig,GK,GK,100,,0,,0,33.0,1992-12-18,500000,2027-06-30,17,1697,0,0.0,0,0.05,0.21,50.0,Greece,['Greece'],right,190,80,False,1.27,0.16,33.33,0.05,100.0,0.0,0.0,0.0,1.22,1.53,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,13.84,0.16,0.0,22.17,87.32,11.88,77.68,0.0,0.0,13.74,98.46,8.43,69.18,32.62,50.51,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.65,54.0,0.16,33.33,0.27,40.0,0.11,0.0,6.42,81.82,98.35,9.65,24,1.27,75,3.98,4,68.0,25.37,1.35,1.37,0.073,0.0,0.6900000000000001,0.05,,,,0.0,0,0
N. Opoku,Nicholas Opoku,436104,Kasımpaşa,Kasımpaşa,https://cdn5.wyscout.com/photos/team/public/1252_120x120.png,Süper Lig,"RCB, CB",RCB,73,CB,20,,0,28.0,1997-08-11,900000,2026-06-30,17,1697,0,0.72,0,0.11,10.55,56.78,Ghana,['Ghana'],right,190,87,False,9.18,4.99,61.7,3.39,53.13,0.11,0.13,0.58,5.99,7.53,0.6900000000000001,3,0.16,0,0.0,0.11,0.0,0,0.0,0.04,0,0.0,5,0.27,20.0,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.05,0.05,100.0,0.85,43.75,0.32,0.48,0.0,20.58,0.27,0.58,38.03,87.17,14.96,78.37,3.18,95.0,33.04,91.33,4.88,60.87,21.46,37.06,0.01,0.16,0.11,0.05,0.05,0.0,0.05,4.3,70.37,0.32,16.67,0.27,20.0,0.11,0.05,7.69,66.9,95.57,16.76,0,,0,,0,0.0,0.0,0.0,,,2.39,,3.39,0.0,0.0,0.0,0.0,0,0
I. Grbić,Ivo Grbić,273290,Fatih Karagümrük,Fatih Karagümrük,https://cdn5.wyscout.com/photos/team/public/g3014_120x120.png,Süper Lig,GK,GK,100,,0,,0,29.0,1996-01-18,3500000,2027-06-30,17,1689,0,0.0,0,0.0,0.8,93.33,Croatia,['Croatia'],right,195,83,True,2.5,0.27,100.0,0.43,87.5,0.0,0.0,0.0,2.24,3.02,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.0,0.0,0.0,13.96,0.11,0.05,23.82,87.92,12.04,79.65,0.11,100.0,18.33,96.22,5.49,60.19,26.39,45.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,33.33,0.05,0.0,0.21,0.0,0.0,0.0,4.21,62.03,96.89,10.28,32,1.71,106,5.65,1,69.81,28.06,1.5,-3.94,-0.21,0.0,1.44,0.43,,,,0.0,0,0
A. Çankaya,Atakan Çankaya,501377,Fatih Karagümrük,Fatih Karagümrük,https://cdn5.wyscout.com/photos/team/public/g3014_120x120.png,Süper Lig,"RB, RCB",RB,67,RCB,31,,0,27.0,1998-06-25,0,2027-06-30,17,1689,1,1.37,1,1.22,16.68,57.51,Türkiye,['Türkiye'],right,180,78,False,9.43,7.57,58.45,3.36,49.21,0.16,0.22,0.37,4.85,6.55,1.23,3,0.16,0,0.0,1.28,0.05,1,0.05,0.07,1,0.05,11,0.59,27.27,9.091,0.05,0.96,27.78,0.0,0.0,0.96,27.78,0.16,1.28,62.5,3.68,60.87,0.96,1.44,0.05,21.47,0.91,2.24,33.52,76.79,15.83,68.69,2.45,82.61,28.61,83.05,3.94,43.24,17.59,32.08,0.07,0.27,0.0,0.0,0.05,100.0,0.16,5.06,57.89,1.28,45.83,0.11,50.0,0.37,0.21,6.29,63.56,87.5,10.23,0,,0,,0,0.0,0.0,0.0,,,0.59,,3.36,0.0,0.0,0.0,0.0,0,0
D. Goutas,Dimitrios Goutas,262361,Gençlerbirliği,Gençlerbirliği,https://cdn5.wyscout.com/photos/team/public/825_120x120.png,Süper Lig,"RCB, LCB, CB",RCB,68,LCB,17,CB,12,31.0,1994-04-04,2800000,2027-06-30,17,1688,2,1.8,0,0.0,9.17,69.19,Greece,['Greece'],right,189,81,False,7.73,2.61,75.51,4.53,63.53,0.11,0.13,0.85,5.65,6.77,0.37,2,0.11,0,0.0,0.21,0.11,2,0.11,0.1,1,0.05,8,0.43,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,66.67,0.59,81.82,0.53,0.05,0.0,19.51,0.27,0.48,32.31,84.82,14.4,76.3,1.92,97.22,27.03,91.12,5.28,52.53,22.94,39.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,62.5,0.21,25.0,0.16,33.33,0.05,0.0,6.93,63.08,93.44,13.81,0,,0,,0,0.0,0.0,0.0,,,1.44,,4.53,0.0,0.0,0.0,0.0,0,0
O. Koçuk,Okan Koçuk,214799,Samsunspor,Samsunspor,https://cdn5.wyscout.com/photos/team/public/1343_120x120.png,Süper Lig,GK,GK,100,,0,,0,30.0,1995-07-27,1000000,2028-06-30,17,1687,0,0.0,0,0.0,0.43,62.5,Türkiye,['Türkiye'],right,187,76,False,1.07,0.11,100.0,0.21,50.0,0.0,0.0,0.0,0.96,1.33,0.0,2,0.11,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,11.31,0.37,0.05,16.86,84.18,9.34,74.29,0.05,100.0,10.83,95.07,6.03,64.6,31.4,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,42.86,0.11,0.0,0.0,0.0,0.0,0.0,5.33,69.0,96.09,6.83,20,1.07,61,3.25,4,67.21,17.5,0.93,-2.5,-0.133,0.0,0.91,0.21,,,,0.0,0,0
R. van Drongelen,Rick van Drongelen,399765,Samsunspor,Samsunspor,https://cdn5.wyscout.com/photos/team/public/1343_120x120.png,Süper Lig,"LCB, LCB3",LCB,78,LCB3,13,,0,27.0,1998-12-20,1400000,2028-06-30,17,1687,2,1.33,0,0.08,13.6,57.65,Netherlands,['Netherlands'],left,188,81,False,8.96,5.76,68.52,4.96,51.61,0.05,0.07,0.48,4.96,6.86,1.12,3,0.16,0,0.0,0.48,0.11,2,0.11,0.07,0,0.0,10,0.53,40.0,20.0,0.0,0.43,37.5,0.43,37.5,0.0,0.0,0.11,0.11,50.0,0.96,44.44,0.85,1.55,0.11,35.58,0.16,0.27,49.83,86.94,24.7,78.83,2.4,97.78,42.79,91.65,6.72,59.52,23.55,42.91,0.0,0.16,0.0,0.0,0.05,100.0,0.05,7.31,75.91,0.96,50.0,0.59,54.55,0.48,0.11,11.84,77.03,96.88,18.78,0,,0,,0,0.0,0.0,0.0,,,1.28,,4.96,0.0,0.0,0.0,0.0,0,0
Héliton,Héliton Jorge Tito dos Santos,301973,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,CB,CB,93,,0,,0,30.0,1995-11-13,500000,2026-06-30,17,1683,0,1.01,0,0.0,11.93,66.37,Brazil,['Brazil'],left,195,89,False,7.06,3.21,81.67,6.84,60.16,0.05,0.07,0.53,4.39,5.5,0.75,3,0.16,0,0.0,0.11,0.0,0,0.0,0.05,0,0.0,11,0.59,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,42.86,0.86,0.05,0.0,8.56,0.0,0.32,17.33,83.64,8.07,73.51,1.82,94.12,14.33,87.31,2.99,66.07,22.87,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,69.81,0.21,0.0,0.11,0.0,0.05,0.0,4.06,81.58,94.83,6.2,0,,0,,0,0.0,0.0,0.0,,,1.3900000000000001,,6.84,0.0,0.0,0.0,0.0,0,0
M. Lis,Mateusz Lis,408090,Göztepe,Göztepe,https://cdn5.wyscout.com/photos/team/public/3932_120x120.png,Süper Lig,GK,GK,100,,0,,0,28.0,1997-02-27,1600000,2027-06-30,17,1683,0,0.0,0,0.0,1.02,84.21,Poland,['Poland'],right,192,83,False,1.5,0.05,0.0,0.86,87.5,0.0,0.0,0.0,1.5,1.88,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.05,0.0,8.4,0.16,0.21,13.74,74.32,12.19,72.81,0.05,100.0,2.94,92.73,10.7,70.0,47.01,53.09,0.0,0.05,0.0,0.05,0.0,0.0,0.0,7.38,67.39,0.53,40.0,0.32,33.33,0.21,0.0,8.24,87.66,91.67,1.28,9,0.48,57,3.05,11,84.21,13.49,0.72,4.49,0.24,0.0,1.6600000000000001,0.86,,,,0.0,0,0
