Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Libertazzi,Davide Libertazzi,-11344,Sangiuliano City,Sangiuliano City,https://cdn5.wyscout.com/photos/team/public/g-10963_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,31.0,1994-07-21,75000,2026-06-30,21,2034,0,0.0,0,0.0,0.71,93.75,Italy,['Italy'],right,184,80,False,1.42,0.09,100.0,0.44,90.0,0.0,0.0,0.0,1.33,1.9300000000000002,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,100.0,0.0,0.0,0.0,7.52,0.13,0.22,17.88,77.48,10.8,65.98,0.0,0.0,9.96,97.33,7.88,52.81,34.33,49.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,35.19,0.22,20.0,0.18,0.0,0.04,0.0,5.18,64.1,95.62,6.06,26,1.15,97,4.29,8,73.2,24.09,1.07,-1.9100000000000001,-0.085,0.0,1.46,0.44,,,,0.0,0,0
M. Gennari,Mattia Gennari,97993,Pistoiese,Pistoiese,https://cdn5.wyscout.com/photos/team/public/226_120x120.png,Serie D - Girone D,"CB, RCB",CB,63,RCB,31,,0,34.0,1991-12-18,100000,2026-06-30,21,2033,4,1.67,0,0.36,12.71,66.9,Italy,['Italy'],right,183,79,False,7.44,3.94,74.16,5.45,68.29,0.22,0.35000000000000003,0.71,4.29,6.78,0.89,1,0.04,0,0.0,0.27,0.18,4,0.18,0.07,4,0.18,14,0.62,35.71,28.571,0.0,0.13,0.0,0.04,0.0,0.09,0.0,0.0,0.04,100.0,0.93,71.43,0.75,0.44,0.09,24.92,0.31,0.93,41.83,84.66,17.71,70.25,2.39,98.15,34.88,90.36,6.82,57.14,22.67,39.52,0.02,0.13,0.0,0.04,0.0,0.0,0.0,5.14,54.31,0.53,41.67,0.58,46.15,0.22,0.0,7.61,66.86,95.4,18.28,0,,0,,0,0.0,0.0,0.0,,,1.77,,5.45,0.0,0.0,0.0,0.0,0,0
C. Fratti,Cristiano Fratti,-676542,Desenzano Calvina,Desenzano Calvina,https://cdn5.wyscout.com/photos/team/public/g-12816_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,18.0,2007-05-21,0,,21,2032,0,0.0,0,0.0,0.71,100.0,Italy,['Italy'],unknown,184,0,True,1.28,0.0,0.0,0.27,100.0,0.0,0.0,0.0,1.28,2.09,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,100.0,0.0,0.0,0.0,11.78,0.49,0.4,21.08,79.41,12.71,68.29,0.0,0.0,12.09,98.53,8.95,53.96,33.26,48.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,40.68,0.22,0.0,0.27,16.67,0.0,0.0,6.2,65.0,96.89,7.13,16,0.71,54,2.39,9,70.37,12.12,0.54,-3.88,-0.17200000000000001,0.0,1.28,0.27,,,,0.0,0,0
E. Ribero,Emanuele Ribero,-153855,Piacenza,Piacenza,https://cdn5.wyscout.com/photos/team/public/193_120x120.png,Serie D - Girone E,GK,GK,100,,0,,0,19.0,2006-11-27,0,2028-06-30,21,2030,0,0.0,0,0.0,0.27,83.33,Italy,['Italy'],,0,0,True,0.84,0.0,0.0,0.13,100.0,0.0,0.0,0.0,0.84,1.28,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,8.47,0.31,0.13,15.38,81.56,9.13,70.87,0.0,0.0,9.53,99.07,5.85,53.03,32.27,49.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,43.9,0.09,0.0,0.04,0.0,0.0,0.0,3.86,70.11,97.5,5.32,20,0.89,49,2.17,6,59.18,14.39,0.64,-5.61,-0.249,0.0,0.93,0.13,,,,0.0,0,0
S. Ruggeri,Samuele Ruggeri,-73308,C.S. Trevigliese,C.S. Trevigliese,https://cdn5.wyscout.com/photos/team/public/g-3149_120x120.png,Serie D - Girone D,"LCB3, LB, LWB",LCB3,68,LB,17,LWB,10,25.0,2001-01-09,0,2026-06-30,21,2024,3,2.1,1,1.57,15.83,58.99,Italy,['Italy'],left,180,72,False,11.47,6.63,66.44,5.11,64.35,0.71,0.98,1.02,6.36,8.77,1.07,5,0.22,0,0.0,1.56,0.13,3,0.13,0.09,2,0.09,16,0.71,43.75,18.75,0.04,2.13,33.33,2.09,34.04,0.04,0.0,0.09,0.71,75.0,1.9100000000000001,41.86,1.07,1.33,0.09,22.41,0.93,0.22,36.82,75.36,17.88,66.42,2.93,89.39,27.7,84.75,7.11,51.25,23.03,38.12,0.07,0.76,0.0,0.0,0.04,0.0,0.44,6.63,55.03,2.8,44.44,0.8,44.44,0.62,0.58,9.07,72.55,85.11,12.54,0,,0,,0,0.0,0.0,0.0,,,0.8,,5.11,0.0,0.0,0.0,0.0,0,0
A. Bakayoko,Aboubakar Bakayoko,-48667,Desenzano Calvina,Desenzano Calvina,https://cdn5.wyscout.com/photos/team/public/g-12816_120x120.png,Serie D - Girone E,LCB,LCB,99,,0,,0,33.0,1992-10-14,75000,2026-06-30,21,1996,3,0.9,1,0.44,14.16,62.74,Italy,"['Italy', ""Côte d'Ivoire""]",left,188,79,False,7.67,5.05,67.86,5.14,66.67,0.05,0.07,0.59,4.19,6.86,1.08,2,0.09,0,0.0,0.45,0.14,3,0.14,0.04,2,0.09,9,0.41000000000000003,55.56,33.333,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,62.5,1.4,45.16,0.54,0.63,0.0,22.68,0.41000000000000003,0.59,37.29,88.03,14.16,75.8,2.5300000000000002,94.64,33.86,91.88,3.43,50.0,20.67,35.67,0.02,0.05,0.0,0.0,0.0,0.0,0.05,3.74,71.08,0.23,20.0,0.05,0.0,0.09,0.0,5.55,67.48,96.54,16.95,0,,0,,0,0.0,0.0,0.0,,,1.8900000000000001,,5.14,0.0,0.0,0.0,0.05,0,0
A. Maspero,Alessandro Maspero,-41030,Pro Sesto,Pro Sesto,https://cdn5.wyscout.com/photos/team/public/207_120x120.png,Serie D - Girone E,"LDMF, LCMF, DMF",LDMF,52,LCMF,17,DMF,16,28.0,1997-10-03,50000,2026-06-30,21,1992,4,2.93,3,3.37,17.03,59.42,Italy,['Italy'],right,180,0,False,11.7,7.77,65.7,2.98,45.45,0.86,1.26,0.18,5.74,8.39,1.45,3,0.14,0,0.0,1.67,0.18,0,0.0,0.13,0,0.0,27,1.22,29.63,11.111,0.14,0.9500000000000001,38.1,0.36,50.0,0.54,25.0,0.0,1.4,64.52,3.5700000000000003,62.03,0.27,0.9,0.0,33.8,0.36,1.49,53.31,79.41,21.51,65.55,6.14,95.59,42.88,85.35,9.53,56.87,21.51,36.62,0.15,1.58,0.0,0.0,0.09,50.0,0.18,11.25,65.86,2.3,43.14,0.9500000000000001,42.86,0.77,0.41000000000000003,11.16,78.54,88.44,21.1,0,,0,,0,0.0,0.0,0.0,,,0.36,,2.98,2.17,0.23,20.0,2.94,3,100
A. Montesano,Andrea Montesano,350349,Pro Sesto,Pro Sesto,https://cdn5.wyscout.com/photos/team/public/207_120x120.png,Serie D - Girone E,LCB,LCB,92,,0,,0,33.0,1992-02-11,75000,2026-06-30,21,1992,2,1.05,1,0.12,11.48,60.24,Italy,['Italy'],left,181,76,False,6.01,3.48,67.53,3.84,57.65,0.09,0.13,0.45,3.5700000000000003,5.22,0.81,3,0.14,0,0.0,0.27,0.09,2,0.09,0.05,1,0.05,8,0.36,37.5,25.0,0.05,0.14,33.33,0.14,33.33,0.0,0.0,0.05,0.23,40.0,1.22,48.15,0.45,0.63,0.05,25.21,0.23,0.9,40.93,81.02,18.8,68.99,3.03,95.52,32.48,88.73,8.36,51.35,22.81,37.82,0.01,0.09,0.0,0.0,0.0,0.0,0.09,7.27,55.28,0.9,25.0,0.41000000000000003,22.22,0.23,0.05,9.44,66.99,92.42,15.5,0,,0,,0,0.0,0.0,0.0,,,1.99,,3.84,0.0,0.0,0.0,0.0,0,0
M. Parlato,Mattia Parlato,-147915,Desenzano Calvina,Desenzano Calvina,https://cdn5.wyscout.com/photos/team/public/g-12816_120x120.png,Serie D - Girone E,RB,RB,97,,0,,0,20.0,2005-04-12,0,2026-06-30,21,1988,2,0.49,1,1.09,15.8,59.6,Italy,['Italy'],,0,0,False,7.79,6.65,67.35,2.58,56.14,0.0,0.0,0.27,3.3,5.38,1.3599999999999999,4,0.18,0,0.0,1.6800000000000002,0.09,2,0.09,0.02,0,0.0,10,0.45,30.0,20.0,0.05,2.4,20.75,0.05,0.0,2.31,21.57,0.36,1.4,74.19,4.03,51.69,0.72,1.27,0.23,22.27,1.31,1.31,31.96,78.47,13.31,72.79,5.98,96.97,25.76,89.1,3.85,42.35,18.94,35.22,0.05,0.5,0.09,0.0,0.0,0.0,0.27,4.8,69.81,2.58,33.33,0.27,16.67,0.45,0.5,6.02,69.92,75.0,7.06,0,,0,,0,0.0,0.0,0.0,,,1.09,,2.58,0.05,0.0,0.0,0.0,0,0
S. Maltoni,Samuel Maltoni,-133430,Progresso,Progresso,https://cdn5.wyscout.com/photos/team/public/g-4960_120x120.png,Serie D - Girone E,"LCMF, RCMF3, DMF",LCMF,27,RCMF3,25,DMF,16,21.0,2004-06-17,0,2026-06-30,21,1960,1,0.71,0,1.34,22.09,50.73,Italy,['Italy'],right,0,0,False,9.6,9.0,64.8,2.11,36.96,0.6000000000000001,0.9,0.05,3.17,4.76,1.47,3,0.14,0,0.0,1.79,0.05,1,0.05,0.03,0,0.0,30,1.38,23.33,3.333,0.0,0.87,57.89,0.28,33.33,0.6000000000000001,69.23,0.05,1.74,47.37,8.04,37.14,0.37,0.78,0.09,22.55,0.87,1.65,38.39,78.35,13.59,62.16,5.5600000000000005,94.21,32.92,83.68,4.59,44.0,17.63,32.6,0.06,0.73,0.05,0.09,0.18,75.0,0.18,7.71,63.1,2.11,52.17,0.6000000000000001,30.77,0.51,0.51,6.06,80.3,87.59,12.95,0,,0,,0,0.0,0.0,0.0,,,0.37,,2.11,0.18,0.0,0.0,0.32,0,0
