Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
P. Zubczuk,Patrick Sergei Zubczuk Meléndez,349869,Deportivo Garcilaso,Deportivo Garcilaso,https://cdn5.wyscout.com/photos/team/public/g37890_120x120.png,Primera División,GK,GK,100,,0,,0,30.0,1995-02-21,425000,,29,2952,0,0.0,2,0.38,0.61,90.0,Peru,"['Peru', 'Argentina']",right,188,78,False,1.37,0.03,0.0,0.37,100.0,0.03,0.04,0.0,1.34,1.8,0.0,2,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,100.0,0.0,0.0,0.0,2.65,0.09,0.21,7.93,81.92,5.58,75.96,0.03,100.0,4.09,98.51,3.7800000000000002,65.32,42.69,55.62,0.01,0.03,0.0,0.0,0.0,0.0,0.03,1.65,46.3,0.09,0.0,0.03,0.0,0.0,0.0,2.93,87.5,100.0,2.2,31,0.9500000000000001,141,4.3,10,78.01,36.93,1.13,5.93,0.181,0.0,1.1,0.37,,,,0.0,0,0.0
S. Rivadeneyra,Steven Aldair Rivadeneyra del Villar,338283,Sport Boys,Sport Boys,https://cdn5.wyscout.com/photos/team/public/552_120x120.png,Primera División,GK,GK,100,,0,,0,30.0,1994-11-02,350000,2025-12-31,29,2945,0,0.0,0,0.0,0.46,60.0,Peru,['Peru'],right,189,86,False,1.04,0.09,33.33,0.24,75.0,0.06,0.1,0.0,0.9500000000000001,1.48,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,0.06,0.03,11.06,90.06,5.01,81.1,0.0,0.0,8.37,97.81,2.63,67.44,31.55,44.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,52.17,0.06,0.0,0.03,0.0,0.0,0.0,1.96,64.06,98.39,5.68,43,1.31,137,4.19,4,68.61,42.23,1.29,-0.77,-0.024,0.0,0.92,0.24,,,,0.0,0,0.0
R. Tapia,Rodrigo Ernesto Tapia,432114,Atlético Grau,Atlético Grau,https://cdn5.wyscout.com/photos/team/public/3746_120x120.png,Primera División,RCB,RCB,82,,0,,0,31.0,1994-09-28,250000,2025-12-31,30,2932,0,0.5700000000000001,1,0.35000000000000003,11.36,59.46,Argentina,['Argentina'],right,184,82,False,7.95,4.57,75.84,3.81,50.0,0.46,0.73,0.31,4.02,6.36,0.74,6,0.18,0,0.0,0.18,0.0,0,0.0,0.02,0,0.0,9,0.28,33.33,0.0,0.03,0.06,50.0,0.0,0.0,0.0,0.0,0.0,0.18,33.33,0.98,37.5,0.37,0.58,0.0,30.33,0.58,0.18,44.66,90.31,19.09,82.96,3.38,94.55,38.4,95.04,6.2,61.39,21.28,34.86,0.01,0.06,0.03,0.0,0.0,0.0,0.03,3.59,70.94,0.31,40.0,0.28,44.44,0.09,0.0,7.58,73.68,96.75,18.88,0,,0,,0,0.0,0.0,0.0,,,2.52,,3.81,0.0,0.0,0.0,0.0,0,0.0
P. Álvarez,Patricio Leonel Álvarez Noguera,241174,Atlético Grau,Atlético Grau,https://cdn5.wyscout.com/photos/team/public/3746_120x120.png,Primera División,GK,GK,100,,0,,0,31.0,1994-01-24,350000,2025-11-30,29,2892,3,3.04,0,0.08,0.4,84.62,Peru,['Peru'],right,180,74,False,1.09,0.06,100.0,0.22,100.0,0.0,0.0,0.0,1.03,1.62,0.0,1,0.03,0,0.0,0.09,0.09,0,0.0,0.09,0,0.0,5,0.16,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,50.0,0.06,0.0,0.0,16.8,0.22,0.06,25.83,86.99,11.98,74.29,0.06,100.0,17.74,98.6,8.09,61.54,29.74,47.19,0.0,0.03,0.0,0.0,0.0,0.0,0.03,2.3,41.89,0.09,33.33,0.12,0.0,0.0,0.0,5.57,68.72,98.04,12.7,39,1.21,128,3.98,8,69.53,43.49,1.35,4.49,0.14,0.06,1.21,0.22,,,,0.0,4,75.0
R. Alfani,Renzo Alfani,469790,Juan Pablo II College,Juan Pablo II College,https://cdn5.wyscout.com/photos/team/public/g-23170_120x120.png,Primera División,"RCB, CB",RCB,85,CB,14,,0,29.0,1996-02-18,100000,2025-12-31,29,2875,4,2.86,1,0.1,10.64,61.18,Argentina,['Argentina'],right,186,79,False,9.08,4.19,70.15,4.88,56.41,0.44,0.5700000000000001,0.53,5.7,7.39,0.53,8,0.25,0,0.0,0.5,0.13,4,0.13,0.09,3,0.09,21,0.66,61.9,19.048,0.03,0.06,50.0,0.0,0.0,0.06,50.0,0.0,0.09,66.67,0.53,52.94,0.85,0.19,0.0,17.44,0.47000000000000003,0.41000000000000003,30.65,78.14,17.87,69.7,0.75,83.33,22.54,86.39,8.05,55.25,24.69,40.18,0.0,0.06,0.06,0.0,0.0,0.0,0.09,4.91,56.69,0.59,42.11,0.53,41.18,0.22,0.03,8.7,65.83,91.61,9.7,0,,0,,0,0.0,0.0,0.0,,,0.41000000000000003,,4.88,0.0,0.0,0.0,0.0,0,0.0
M. Vega,Matías Alejandro Vega,59265,Juan Pablo II College,Juan Pablo II College,https://cdn5.wyscout.com/photos/team/public/g-23170_120x120.png,Primera División,GK,GK,100,,0,,0,39.0,1986-04-18,25000,2025-12-31,29,2875,0,0.0,0,0.0,0.75,87.5,Argentina,['Argentina'],right,191,79,False,1.5,0.13,75.0,0.56,88.89,0.0,0.0,0.0,1.4100000000000001,1.83,0.06,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.0,4.1,0.06,0.16,10.24,81.65,6.17,70.56,0.0,0.0,5.42,98.84,4.82,62.34,36.49,50.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,51.35,0.16,0.0,0.03,0.0,0.0,0.0,3.22,77.67,98.33,3.76,39,1.22,139,4.35,11,71.94,36.87,1.15,-2.13,-0.067,0.0,1.88,0.56,,,,0.0,0,0.0
Y. Mena,Yorley Mena Palacios,103886,Alianza Universidad,Alianza Universidad,https://cdn5.wyscout.com/photos/team/public/g14468_120x120.png,Primera División,CF,CF,86,,0,,0,34.0,1991-07-20,650000,2026-12-31,29,2872,12,12.79,2,2.33,16.61,33.96,Colombia,['Colombia'],right,182,79,False,3.1,3.51,48.21,3.13,38.0,0.03,0.05,0.09,1.38,2.33,1.5,9,0.28,0,0.0,1.9100000000000001,0.38,10,0.31,0.4,0,0.0,73,2.29,41.1,16.438,0.06,0.56,16.67,0.31,10.0,0.25,25.0,0.13,2.1,40.3,7.61,27.16,2.98,0.81,0.13,7.61,1.79,0.91,11.78,79.26,1.6600000000000001,66.04,4.32,92.75,10.87,83.57,0.34,45.45,16.18,10.56,0.07,0.38,0.0,0.0,0.03,100.0,0.16,0.78,72.0,0.81,38.46,0.03,100.0,0.47000000000000003,0.13,1.1,71.43,73.39,3.42,0,,0,,0,0.0,0.0,0.0,,,0.03,,3.13,0.0,0.0,0.0,0.0,3,66.667
A. Fuentes,Aldair Amarildo Fuentes Siguas,471283,Cusco,Cusco,https://cdn5.wyscout.com/photos/team/public/3745_120x120.png,Primera División,"RCB, LCB, RCB3",RCB,46,LCB,29,RCB3,12,27.0,1998-04-25,300000,,29,2858,3,4.78,0,0.41000000000000003,10.52,61.68,Peru,['Peru'],right,191,85,False,7.27,3.87,59.35,3.75,67.23,0.47000000000000003,0.73,0.63,4.5,6.95,1.01,6,0.19,1,0.03,0.47000000000000003,0.09,3,0.09,0.15,2,0.06,28,0.88,39.29,10.714,0.0,0.09,33.33,0.0,0.0,0.09,33.33,0.0,0.09,100.0,1.29,56.1,0.85,0.54,0.03,41.0,0.79,0.72,51.83,92.04,20.88,85.22,2.3,98.63,48.15,95.16,3.59,51.75,18.66,39.18,0.01,0.13,0.03,0.0,0.03,0.0,0.03,3.24,65.05,0.41000000000000003,46.15,0.41000000000000003,30.77,0.16,0.03,5.73,67.58,97.41,23.11,0,,0,,0,0.0,0.0,0.0,,,1.73,,3.75,0.0,0.0,0.0,0.0,0,0.0
O. Valenzuela,Oswaldo Josúe Valenzuela Dileo,-62567,Cusco,Cusco,https://cdn5.wyscout.com/photos/team/public/3745_120x120.png,Primera División,"LDMF, LCMF, DMF",LDMF,43,LCMF,31,DMF,15,24.0,2000-12-20,300000,2026-12-31,29,2857,0,0.35000000000000003,1,0.27,8.25,48.47,Peru,['Peru'],right,171,70,False,5.39,3.62,54.78,1.07,55.88,0.22,0.34,0.38,3.18,4.88,0.79,6,0.19,0,0.0,0.28,0.0,0,0.0,0.01,0,0.0,12,0.38,16.67,0.0,0.03,0.19,0.0,0.13,0.0,0.06,0.0,0.0,0.38,50.0,2.46,37.18,0.09,0.28,0.0,34.65,0.19,0.6900000000000001,45.87,91.0,14.24,81.86,5.2,98.79,41.96,93.99,3.7199999999999998,61.86,18.16,34.2,0.01,0.28,0.09,0.03,0.03,100.0,0.06,6.05,83.85,0.54,41.18,0.25,37.5,0.22,0.0,6.33,74.63,94.02,19.5,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.07,0.0,0.0,0.0,0.0,0,0.0
I. Colman,Iván Leonardo Colman,366789,Cusco,Cusco,https://cdn5.wyscout.com/photos/team/public/3745_120x120.png,Primera División,AMF,AMF,72,,0,,0,30.0,1995-05-06,400000,2027-12-31,30,2848,5,4.83,14,10.16,11.63,43.48,Argentina,['Argentina'],right,173,68,False,3.63,3.1,55.1,0.7000000000000001,36.36,0.19,0.29,0.03,1.74,2.7,0.7000000000000001,4,0.13,0,0.0,2.88,0.16,4,0.13,0.15,0,0.0,39,1.23,41.03,12.821,0.44,3.0,40.0,1.6099999999999999,37.25,1.3599999999999999,41.86,0.25,1.8599999999999999,52.54,6.83,38.43,1.3599999999999999,2.59,0.38,49.27,2.18,0.92,60.01,84.04,17.48,71.25,11.79,95.98,51.42,89.98,5.69,52.78,18.2,36.1,0.32,2.46,0.06,0.06,0.51,37.5,0.79,9.95,72.06,5.28,47.31,1.58,36.0,1.6400000000000001,1.1400000000000001,8.12,85.6,86.38,20.19,0,,0,,0,0.0,0.0,0.0,,,0.16,,0.7000000000000001,1.3599999999999999,0.03,100.0,2.7800000000000002,2,50.0
