Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Ivan de Nova,Iván De Nova Ruiz,416824,Paganese,Paganese,https://cdn5.wyscout.com/photos/team/public/211_120x120.png,Serie D - Girone H,LCB,LCB,96,,0,,0,29.0,1996-09-22,75000,2026-06-30,27,2638,0,1.13,1,1.45,10.24,60.0,Spain,['Spain'],left,184,78,False,6.76,3.89,70.18,3.21,55.32,0.17,0.24,0.65,3.86,5.49,0.58,4,0.14,0,0.0,0.41000000000000003,0.0,0,0.0,0.04,0,0.0,6,0.2,33.33,0.0,0.03,0.48,42.86,0.44,38.46,0.03,100.0,0.1,0.2,66.67,1.19,45.71,0.55,1.6,0.03,31.69,0.27,0.58,51.72,84.76,27.23,77.94,2.59,93.42,41.96,91.46,9.28,56.62,23.1,38.12,0.05,0.41000000000000003,0.03,0.0,0.0,0.0,0.24,9.55,70.0,1.5,34.09,0.78,17.39,0.44,0.24,12.9,74.34,93.53,18.46,0,,0,,0,0.0,0.0,0.0,,,1.6400000000000001,,3.21,0.14,0.03,0.0,0.0,0,0.0
B. D''Agostino,Bernardino D''Agostino,224385,Pompei,Pompei,https://cdn5.wyscout.com/photos/team/public/g-22250_120x120.png,Serie D - Girone H,GK,GK,100,,0,,0,32.0,1993-04-07,0,2026-06-30,27,2617,0,0.0,0,0.0,0.41000000000000003,58.33,Italy,['Italy'],left,182,80,False,0.96,0.03,0.0,0.31,66.67,0.0,0.0,0.0,0.96,1.37,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,50.0,0.0,0.0,0.0,13.24,0.52,0.07,22.29,86.42,11.18,76.31,0.0,0.0,14.41,97.85,7.8100000000000005,65.64,30.69,45.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9300000000000002,48.21,0.1,0.0,0.03,100.0,0.0,0.0,5.3,70.78,96.76,9.56,31,1.07,147,5.06,6,78.91,34.74,1.19,3.74,0.129,0.0,1.65,0.31,,,,0.0,0,0.0
C. Lupo,Christian Lupo,-640698,Martina Calcio,Martina Calcio,https://cdn5.wyscout.com/photos/team/public/230_120x120.png,Serie D - Girone H,LB,LB,97,,0,,0,19.0,2007-01-20,0,2027-06-30,27,2581,0,0.02,0,1.07,11.72,50.3,Italy,['Italy'],,0,0,False,6.52,6.0,62.21,1.22,45.71,0.1,0.16,0.03,2.69,4.04,0.7000000000000001,2,0.07,0,0.0,0.84,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,1.57,26.67,1.57,26.67,0.0,0.0,0.31,0.84,50.0,2.89,34.94,0.17,1.15,0.24,16.32,0.7000000000000001,0.49,24.06,72.75,11.12,65.2,3.84,95.45,20.47,79.9,2.13,36.07,17.61,26.05,0.04,0.38,0.0,0.0,0.0,0.0,0.21,3.66,64.76,1.19,32.35,0.1,0.0,0.03,0.49,5.61,59.63,72.3,5.16,0,,0,,0,0.0,0.0,0.0,,,0.03,,1.22,0.0,0.0,0.0,0.0,0,0.0
R. De Angelis,Roberto De Angelis,-98697,Martina Calcio,Martina Calcio,https://cdn5.wyscout.com/photos/team/public/230_120x120.png,Serie D - Girone H,"RCB, LCB",RCB,81,LCB,15,,0,24.0,2001-07-27,100000,2026-06-30,26,2540,1,1.8,0,0.17,14.95,55.21,Italy,['Italy'],right,186,75,False,7.8,5.49,66.45,5.7,53.42,0.14,0.22,0.53,4.0,6.09,1.9100000000000001,7,0.25,0,0.0,0.35000000000000003,0.04,1,0.04,0.06,0,0.0,15,0.53,20.0,6.667,0.0,0.21,50.0,0.0,0.0,0.21,50.0,0.0,0.14,100.0,0.74,28.57,0.71,1.24,0.0,25.37,0.11,0.43,44.89,83.5,20.09,71.78,1.9100000000000001,96.3,38.09,89.77,6.63,48.66,22.75,41.29,0.01,0.14,0.0,0.04,0.07,0.0,0.04,6.7,62.96,0.5,35.71,0.35000000000000003,30.0,0.18,0.07,9.0,70.87,93.62,19.45,0,,0,,0,0.0,0.0,0.0,,,1.17,,5.7,0.0,0.0,0.0,0.0,0,0.0
P. Galiano,Pier Francesco Galiano,-754003,Ferrandina,Ferrandina,https://cdn5.wyscout.com/photos/team/public/g-24533_120x120.png,Serie D - Girone H,GK,GK,100,,0,,0,20.0,2006-01-01,0,,26,2536,0,0.0,0,0.02,0.71,85.0,Italy,['Italy'],unknown,0,0,False,1.35,0.0,0.0,0.39,90.91,0.0,0.0,0.0,1.35,1.82,0.04,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.21,83.33,0.0,0.0,0.04,6.1,0.04,0.21,14.09,80.6,8.02,67.7,0.14,75.0,7.7,95.85,6.39,62.22,36.57,52.34,0.0,0.04,0.04,0.0,0.0,0.0,0.0,2.87,53.09,0.18,0.0,0.39,18.18,0.0,0.0,4.72,75.19,97.92,5.11,30,1.06,77,2.73,6,61.04,25.41,0.9,-4.59,-0.163,0.0,1.42,0.39,,,,0.0,0,0.0
E. Gallo,Emilio Pietro Gallo,-295852,Paganese,Paganese,https://cdn5.wyscout.com/photos/team/public/211_120x120.png,Serie D - Girone H,GK,GK,100,,0,,0,20.0,2006-01-04,0,2026-06-30,26,2531,0,0.0,0,0.0,0.78,100.0,Italy,['Italy'],both,188,0,False,1.71,0.11,100.0,0.39,100.0,0.0,0.0,0.0,1.6,2.2800000000000002,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,100.0,0.0,0.0,0.0,6.22,0.14,0.43,12.41,88.25,5.76,77.16,0.04,100.0,9.71,99.27,2.63,50.0,25.49,46.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,37.5,0.04,100.0,0.07,50.0,0.04,0.0,2.38,55.22,98.55,4.91,20,0.71,68,2.42,12,70.59,22.0,0.78,2.0,0.07100000000000001,0.0,1.6400000000000001,0.39,,,,0.0,0,0.0
E. Zenelaj,Endri Zenelaj,-148899,Martina Calcio,Martina Calcio,https://cdn5.wyscout.com/photos/team/public/230_120x120.png,Serie D - Girone H,DMF,DMF,82,,0,,0,23.0,2003-03-11,150000,2026-06-30,26,2521,4,4.58,3,2.64,17.28,54.75,Albania,['Albania'],right,185,77,False,8.93,6.43,63.33,2.21,62.9,0.07,0.11,0.29,4.78,7.22,1.11,3,0.11,0,0.0,1.57,0.14,2,0.07,0.16,0,0.0,44,1.57,38.64,9.091,0.11,1.07,36.67,0.36,30.0,0.68,42.11,0.14,0.89,60.0,6.78,44.74,0.54,0.54,0.0,36.34,0.29,2.18,56.01,82.86,23.03,74.26,5.46,92.81,47.98,88.02,7.03,53.81,21.09,39.81,0.09,0.8200000000000001,0.04,0.04,0.07,50.0,0.29,10.71,69.33,1.82,43.14,0.29,25.0,0.36,0.43,12.46,77.94,90.28,21.67,0,,0,,0,0.0,0.0,0.0,,,0.71,,2.21,1.6099999999999999,0.25,28.57,2.2800000000000002,4,50.0
R. Galli,Riccardo Galli,170518,Nardò,Nardò,https://cdn5.wyscout.com/photos/team/public/2836_120x120.png,Serie D - Girone H,GK,GK,100,,0,,0,32.0,1993-06-19,0,2026-06-30,26,2510,0,0.0,0,0.0,0.36,80.0,Italy,['Italy'],right,187,80,False,0.93,0.11,33.33,0.22,100.0,0.0,0.0,0.0,0.9,1.17,0.0,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,0.14,0.14,17.35,84.71,8.0,71.3,0.0,0.0,12.37,98.26,4.91,51.82,29.78,51.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,37.29,0.22,16.67,0.18,40.0,0.04,0.0,3.51,65.31,96.49,8.18,24,0.86,102,3.66,11,76.47,29.95,1.07,5.95,0.213,0.0,1.04,0.22,,,,0.0,0,0.0
V. Labriola,Valerio Labriola,508841,Paganese,Paganese,https://cdn5.wyscout.com/photos/team/public/211_120x120.png,Serie D - Girone H,"LCMF3, LCMF, AMF",LCMF3,61,LCMF,15,AMF,12,24.0,2001-04-13,125000,2026-06-30,27,2476,6,7.26,2,3.12,16.65,48.03,Italy,['Italy'],right,173,68,False,4.94,2.69,68.92,1.96,50.0,0.15,0.2,0.18,2.94,4.1,0.55,3,0.11,0,0.0,3.05,0.22,6,0.22,0.26,1,0.04,79,2.87,37.97,7.595,0.07,0.91,36.0,0.62,35.29,0.22,33.33,0.07,2.73,56.0,9.78,41.26,1.53,2.73,0.36,30.24,0.65,2.04,42.35,77.77,15.41,60.38,5.49,96.03,34.35,84.55,7.12,50.0,19.84,35.58,0.11,1.56,0.0,0.04,0.18,60.0,0.4,8.25,64.32,2.8,48.05,1.16,37.5,1.02,0.33,7.52,74.4,87.17,15.01,0,,0,,0,0.0,0.0,0.0,,,0.11,,1.96,1.31,0.25,42.86,2.58,0,0.0
L. Pierce,Michael Leonel Pierce,316739,Paganese,Paganese,https://cdn5.wyscout.com/photos/team/public/211_120x120.png,Serie D - Girone H,"DMF, LDMF",DMF,70,LDMF,16,,0,32.0,1993-07-28,0,2026-06-30,26,2475,1,1.21,1,0.52,18.87,56.07,Argentina,"['Argentina', 'Italy']",right,177,76,False,11.67,8.69,64.44,2.73,49.33,0.65,0.93,0.25,5.42,7.69,1.49,7,0.25,0,0.0,0.6900000000000001,0.04,1,0.04,0.04,0,0.0,16,0.58,12.5,6.25,0.04,0.47000000000000003,23.08,0.18,20.0,0.22,16.67,0.11,0.6900000000000001,63.16,4.15,45.61,0.33,0.91,0.0,29.24,0.22,1.6,53.05,83.0,19.67,68.39,7.45,96.59,46.36,88.78,6.25,44.19,18.55,31.49,0.02,0.8,0.04,0.0,0.11,66.67,0.18,8.87,69.26,2.22,37.7,0.73,30.0,0.65,0.18,9.49,74.33,91.4,19.02,0,,0,,0,0.0,0.0,0.0,,,0.44,,2.73,0.0,0.0,0.0,0.0,0,0.0
