Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Osagie,Declan Osagie,-573915,Bray Wanderers,Bray Wanderers,https://cdn5.wyscout.com/photos/team/public/2574_120x120.png,First Division,RCB,RCB,100,,0,,0,19.0,2006-05-20,0,,15,1455,0,1.9100000000000001,0,0.15,17.13,59.57,Republic of Ireland,['Republic of Ireland'],,0,0,False,9.77,5.69,73.91,7.3,60.17,0.06,0.1,0.68,5.51,8.53,0.87,0,0.0,0,0.0,0.49,0.0,0,0.0,0.12,0,0.0,12,0.74,25.0,0.0,0.0,0.19,66.67,0.06,0.0,0.12,100.0,0.0,0.37,50.0,1.98,37.5,1.18,1.24,0.06,29.01,0.31,0.43,47.26,81.28,21.77,70.45,2.9699999999999998,87.5,41.13,88.12,5.94,34.38,21.86,40.05,0.01,0.12,0.0,0.0,0.0,0.0,0.06,6.5600000000000005,56.6,1.05,47.06,0.49,12.5,0.31,0.12,9.65,62.18,93.65,18.49,0,,0,,0,0.0,0.0,0.0,,,1.8599999999999999,,7.3,0.0,0.0,0.0,0.0,0,0.0
J. Corcoran,Jimmy Corcoran,-77775,Bray Wanderers,Bray Wanderers,https://cdn5.wyscout.com/photos/team/public/2574_120x120.png,First Division,GK,GK,100,,0,,0,24.0,2002-02-01,25000,2026-11-30,15,1455,0,0.0,0,0.0,1.24,85.0,Republic of Ireland,['Republic of Ireland'],right,181,70,False,2.29,0.12,50.0,0.87,85.71,0.0,0.0,0.06,2.23,3.45,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,100.0,0.0,0.0,0.0,10.89,0.12,0.25,19.86,79.13,11.88,65.1,0.0,0.0,10.02,98.15,9.77,60.13,37.01,53.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,55.38,0.62,20.0,0.43,14.29,0.12,0.0,6.8,77.27,100.0,7.42,19,1.18,58,3.59,1,67.24,16.51,1.02,-2.49,-0.154,0.0,2.1,0.87,,,,0.0,0,0.0
K. Moore,Kian Moore,-265736,Longford Town,Longford Town,https://cdn5.wyscout.com/photos/team/public/g1183_120x120.png,First Division,GK,GK,100,,0,,0,23.0,2003-03-31,0,2026-11-30,15,1450,0,0.0,0,0.0,0.99,68.75,Republic of Ireland,['Republic of Ireland'],right,0,0,False,1.8599999999999999,0.06,0.0,0.62,90.0,0.0,0.0,0.0,1.8599999999999999,2.23,0.06,2,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74,0.12,0.12,18.0,71.38,12.23,59.39,0.0,0.0,7.82,95.24,10.18,53.05,37.3,49.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,28.95,0.25,0.0,0.06,0.0,0.0,0.0,6.77,66.97,96.25,4.97,13,0.81,56,3.48,6,76.79,17.71,1.1,4.71,0.292,0.0,1.37,0.62,,,,0.0,0,0.0
P. Martin,Paul Martin,421837,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g8201_120x120.png,First Division,GK,GK,100,,0,,0,27.0,1999-01-05,50000,2026-11-30,15,1443,0,0.0,1,0.30000000000000004,1.12,72.22,Republic of Ireland,['Republic of Ireland'],,0,0,False,1.25,0.0,0.0,0.9400000000000001,73.33,0.0,0.0,0.0,1.25,1.63,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,66.67,0.0,0.0,0.0,12.91,0.06,0.25,22.45,88.33,9.42,73.51,0.06,0.0,16.78,99.26,5.68,56.04,27.63,43.7,0.02,0.06,0.0,0.0,0.0,0.0,0.06,0.5,62.5,0.0,0.0,0.12,50.0,0.0,0.0,4.86,57.69,99.46,11.6,18,1.12,54,3.37,5,66.67,18.3,1.1400000000000001,0.30000000000000004,0.019,0.0,1.9300000000000002,0.9400000000000001,,,,0.0,0,0.0
D. Hand,Dylan Hand,-117667,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g8201_120x120.png,First Division,"RCB, LCB, RB",RCB,57,LCB,22,RB,16,27.0,1999-03-15,0,2026-11-30,15,1431,0,0.29,0,0.02,17.36,69.2,Republic of Ireland,['Republic of Ireland'],,0,0,False,11.26,6.79,82.41,6.6,69.52,0.19,0.25,0.6900000000000001,5.47,7.15,1.01,4,0.25,0,0.0,0.19,0.0,0,0.0,0.02,0,0.0,1,0.06,0.0,0.0,0.0,0.25,50.0,0.0,0.0,0.25,50.0,0.06,0.19,33.33,1.9500000000000002,29.03,0.38,0.38,0.0,26.73,0.5,0.5,46.04,76.91,21.13,60.71,3.14,100.0,34.15,86.74,11.64,48.65,24.7,40.14,0.0,0.06,0.0,0.06,0.06,0.0,0.0,6.6,47.62,0.8200000000000001,7.69,0.44,0.0,0.13,0.06,11.32,57.78,92.2,17.74,0,,0,,0,0.0,0.0,0.0,,,1.51,,6.6,0.0,0.0,0.0,0.0,0,0.0
K. O'Connor,Kyle O'Connor,-256120,Athlone Town,Athlone Town,https://cdn5.wyscout.com/photos/team/public/g1195_120x120.png,First Division,LB,LB,100,,0,,0,23.0,2003-03-14,0,,15,1428,1,0.48,2,1.01,18.15,56.25,Republic of Ireland,['Republic of Ireland'],,0,0,False,10.78,8.57,66.91,1.83,51.72,0.13,0.17,0.25,4.92,6.65,0.6900000000000001,4,0.25,0,0.0,2.39,0.06,1,0.06,0.03,0,0.0,16,1.01,25.0,6.25,0.13,3.15,32.0,2.84,28.89,0.25,75.0,0.44,2.21,45.71,6.62,43.81,0.25,1.6400000000000001,0.38,23.32,1.32,0.8200000000000001,39.14,70.69,18.09,57.84,7.25,95.65,28.36,83.78,7.82,37.9,21.81,35.78,0.06,1.07,0.06,0.0,0.19,66.67,0.19,7.69,51.64,3.7199999999999998,33.9,1.01,31.25,0.44,0.88,10.02,71.07,74.64,8.7,0,,0,,0,0.0,0.0,0.0,,,0.5,,1.83,1.13,0.38,16.67,3.15,0,0.0
K. Cantwell,Kilian Cantwell,332896,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"RCB, CB",RCB,54,CB,38,,0,30.0,1995-05-24,0,2026-11-30,15,1425,0,0.05,0,0.2,12.32,61.54,Republic of Ireland,['Republic of Ireland'],right,186,76,False,7.07,5.12,67.9,4.86,57.14,0.25,0.31,1.01,3.35,4.13,0.5700000000000001,2,0.13,0,0.0,0.32,0.0,0,0.0,0.0,0,0.0,4,0.25,0.0,0.0,0.0,0.19,66.67,0.06,0.0,0.13,100.0,0.0,0.19,100.0,0.76,58.33,0.32,0.6900000000000001,0.0,16.74,0.06,0.06,30.51,71.64,15.73,56.63,1.52,95.83,20.4,81.42,9.92,51.59,24.08,36.17,0.01,0.13,0.06,0.0,0.06,0.0,0.0,5.62,50.56,0.51,37.5,0.44,28.57,0.06,0.13,8.46,56.72,91.43,11.05,0,,0,,0,0.0,0.0,0.0,,,0.88,,4.86,0.0,0.0,0.0,0.0,0,0.0
J. Doyle,Jake Doyle,-414162,Wexford,Wexford,https://cdn5.wyscout.com/photos/team/public/g8201_120x120.png,First Division,CF,CF,96,,0,,0,21.0,2005-04-28,0,2026-11-30,15,1410,5,6.21,1,1.58,37.6,32.26,Republic of Ireland,['Republic of Ireland'],,0,0,False,3.89,4.15,56.92,8.36,37.4,0.19,0.25,0.26,1.34,1.75,1.85,3,0.19,0,0.0,3.06,0.32,4,0.26,0.4,2,0.13,45,2.87,40.0,11.111,0.06,0.8300000000000001,7.69,0.19,0.0,0.64,10.0,0.06,4.02,44.44,20.55,25.78,4.28,1.28,0.0,8.87,2.81,0.89,20.3,72.64,4.66,58.9,4.28,79.1,18.45,76.47,1.02,56.25,15.98,22.91,0.1,1.02,0.0,0.0,0.19,33.33,0.5700000000000001,2.62,70.73,1.02,50.0,0.19,0.0,1.21,0.06,2.17,79.41,77.89,6.06,0,,0,,0,0.0,0.0,0.0,,,0.0,,8.36,0.13,0.13,0.0,0.0,1,100.0
J. Hakkinen,Jonas Hakkinen,513876,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"LCB, LCB3",LCB,51,LCB3,48,,0,27.0,1999-03-21,75000,2026-11-30,15,1401,0,0.03,0,0.6900000000000001,15.42,54.17,Canada,"['Canada', 'Finland']",right,186,0,False,9.57,4.75,67.57,7.52,53.85,0.32,0.4,0.58,6.04,7.46,1.09,3,0.19,0,0.0,0.13,0.0,0,0.0,0.0,0,0.0,3,0.19,0.0,0.0,0.0,0.19,66.67,0.13,50.0,0.06,100.0,0.0,0.0,0.0,1.28,40.0,0.64,0.64,0.0,22.42,0.06,0.51,40.99,81.19,20.69,68.63,1.9300000000000002,90.0,31.86,88.31,8.93,56.12,22.92,37.16,0.04,0.26,0.0,0.0,0.0,0.0,0.0,7.26,60.18,0.45,28.57,0.39,0.0,0.26,0.13,10.47,66.87,95.59,14.58,0,,0,,0,0.0,0.0,0.0,,,0.96,,7.52,0.0,0.0,0.0,0.0,0,0.0
C. Murphy,Cian Murphy,-102609,Kerry ,Kerry ,https://cdn5.wyscout.com/photos/team/public/g-17426_120x120.png,First Division,"CF, LAMF, AMF",CF,60,LAMF,29,AMF,10,25.0,2000-06-08,0,2027-11-30,15,1389,3,4.15,1,0.79,27.21,35.24,Republic of Ireland,['Republic of Ireland'],right,186,75,False,5.18,5.18,51.25,9.4,31.03,0.06,0.08,0.06,2.46,3.01,2.66,5,0.32,0,0.0,1.62,0.19,1,0.06,0.27,0,0.0,25,1.62,20.0,12.0,0.06,1.43,22.73,0.58,33.33,0.78,16.67,0.13,1.49,60.87,8.62,31.58,3.05,1.23,0.32,11.47,2.46,1.43,19.96,65.58,4.99,48.05,6.35,87.76,16.39,72.33,2.14,42.42,18.17,27.96,0.05,0.32,0.06,0.0,0.13,50.0,0.39,2.33,50.0,1.43,36.36,0.45,42.86,0.52,0.26,3.37,50.0,61.33,4.86,0,,0,,0,0.0,0.0,0.0,,,0.0,,9.4,0.0,0.0,0.0,0.06,2,100.0
